aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.747957e-01,1,8.747957e-01,1,13,93,1
E,1,8.747957e-01,1,8.747957e-01,1,13,314,1
E,1,8.747957e-01,1,8.747957e-01,1,13,395,1
E,1,1.252043e-01,1,8.747957e-01,1,4,464,1
E,1,8.747957e-01,1,8.747957e-01,1,13,751,1
E,1,1.252043e-01,1,8.747957e-01,1,4,760,1
E,1,8.747957e-01,1,8.747957e-01,1,13,785,1
E,1,8.747957e-01,1,8.747957e-01,1,13,877,1
E,1,8.747957e-01,1,8.747957e-01,1,13,1153,1
E,1,8.747957e-01,1,8.747957e-01,1,13,1263,1
E,1,1.252043e-01,1,8.747957e-01,1,4,1296,1
E,1,8.747957e-01,1,8.747957e-01,1,13,1298,1
E,1,8.747957e-01,1,8.747957e-01,1,13,1629,1
E,1,1.252043e-01,1,8.747957e-01,1,4,1640,1
E,1,8.747957e-01,1,8.747957e-01,1,13,1920,1
E,1,8.747957e-01,1,8.747957e-01,1,13,1957,1
E,1,8.747957e-01,1,8.747957e-01,1,13,2071,1
E,2,7.652676e-01,1,7.652676e-01,1,18,119,2
E,2,7.652676e-01,1,7.652676e-01,1,18,399,2
E,2,7.652676e-01,1,7.652676e-01,1,18,548,2
E,2,7.652676e-01,1,7.652676e-01,1,18,558,2
E,2,2.190563e-01,1,7.652676e-01,1,3,565,2
E,2,7.652676e-01,1,7.652676e-01,1,18,580,2
E,2,7.652676e-01,1,7.652676e-01,1,18,766,2
E,2,2.190563e-01,1,7.652676e-01,1,3,1086,2
E,2,7.652676e-01,1,7.652676e-01,1,18,1125,2
E,2,7.652676e-01,1,7.652676e-01,1,18,1215,2
E,2,7.652676e-01,1,7.652676e-01,1,18,1309,2
E,2,7.652676e-01,1,7.652676e-01,1,18,1338,2
E,2,7.652676e-01,1,7.652676e-01,1,18,1417,2
E,2,2.190563e-01,1,7.652676e-01,1,3,1506,2
E,2,7.652676e-01,1,7.652676e-01,1,18,1515,2
E,2,7.652676e-01,1,7.652676e-01,1,18,1746,2
E,2,7.652676e-01,1,7.652676e-01,1,18,1830,2
E,2,1.567611e-02,1,7.652676e-01,1,1,1965,2
