aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,9,288,0
E,1,5.000000e-01,2,5.000000e-01,2,9,669,0
E,1,5.000000e-01,2,5.000000e-01,2,9,838,0
E,1,5.000000e-01,2,5.000000e-01,2,9,867,0
E,1,5.000000e-01,2,5.000000e-01,2,9,1157,0
E,1,5.000000e-01,2,5.000000e-01,2,9,1241,0
E,1,5.000000e-01,2,5.000000e-01,2,9,1258,0
E,1,5.000000e-01,2,5.000000e-01,2,9,1490,0
E,1,5.000000e-01,2,5.000000e-01,2,9,1491,0
E,2,5.000000e-01,1,5.000000e-01,1,12,6,1
E,2,2.500000e-01,2,5.000000e-01,1,11,179,1
E,2,5.000000e-01,1,5.000000e-01,1,12,238,1
E,2,2.500000e-01,2,5.000000e-01,1,11,242,1
E,2,5.000000e-01,1,5.000000e-01,1,12,248,1
E,2,2.500000e-01,2,5.000000e-01,1,11,346,1
E,2,5.000000e-01,1,5.000000e-01,1,12,369,1
E,2,5.000000e-01,1,5.000000e-01,1,12,512,1
E,2,2.500000e-01,2,5.000000e-01,1,11,560,1
E,2,5.000000e-01,1,5.000000e-01,1,12,624,1
E,2,5.000000e-01,1,5.000000e-01,1,12,724,1
E,2,2.500000e-01,2,5.000000e-01,1,11,800,1
E,2,5.000000e-01,1,5.000000e-01,1,12,855,1
E,2,2.500000e-01,2,5.000000e-01,1,11,971,1
E,2,5.000000e-01,1,5.000000e-01,1,12,995,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1014,1
E,2,2.500000e-01,2,5.000000e-01,1,11,1077,1
E,2,2.500000e-01,2,5.000000e-01,1,11,1227,1
E,2,2.500000e-01,2,5.000000e-01,1,11,1248,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1259,1
E,2,5.000000e-01,1,5.000000e-01,1,12,1285,1
E,2,2.500000e-01,2,5.000000e-01,1,11,1317,1
E,2,2.500000e-01,2,5.000000e-01,1,11,1473,1
E,3,3.750000e-01,2,3.750000e-01,2,12,14,2
E,3,3.750000e-01,2,3.750000e-01,2,12,24,2
E,3,3.750000e-01,2,3.750000e-01,2,12,49,2
E,3,1.250000e-01,2,3.750000e-01,2,1,143,2
E,3,3.750000e-01,2,3.750000e-01,2,12,426,2
E,3,3.750000e-01,2,3.750000e-01,2,12,621,2
E,3,3.750000e-01,2,3.750000e-01,2,12,836,2
E,3,3.750000e-01,2,3.750000e-01,2,12,1015,2
E,3,3.750000e-01,2,3.750000e-01,2,12,1037,2
E,3,3.750000e-01,2,3.750000e-01,2,12,1251,2
E,3,3.750000e-01,2,3.750000e-01,2,12,1347,2
E,3,3.750000e-01,2,3.750000e-01,2,12,1354,2
E,3,3.750000e-01,2,3.750000e-01,2,12,1415,2
E,4,2.500000e-01,2,3.750000e-01,1,18,68,3
E,4,3.750000e-01,1,3.750000e-01,1,9,150,3
E,4,2.500000e-01,2,3.750000e-01,1,18,180,3
E,4,2.500000e-01,2,3.750000e-01,1,18,182,3
E,4,2.500000e-01,2,3.750000e-01,1,18,313,3
E,4,2.500000e-01,2,3.750000e-01,1,18,349,3
E,4,2.500000e-01,2,3.750000e-01,1,18,356,3
E,4,2.500000e-01,2,3.750000e-01,1,18,508,3
E,4,2.500000e-01,2,3.750000e-01,1,18,554,3
E,4,2.500000e-01,2,3.750000e-01,1,18,629,3
E,4,6.250000e-02,2,3.750000e-01,1,4,663,3
E,4,2.500000e-01,2,3.750000e-01,1,18,666,3
E,4,2.500000e-01,2,3.750000e-01,1,18,743,3
E,4,6.250000e-02,2,3.750000e-01,1,4,762,3
E,4,6.250000e-02,2,3.750000e-01,1,4,807,3
E,4,3.750000e-01,1,3.750000e-01,1,9,863,3
E,4,2.500000e-01,2,3.750000e-01,1,18,872,3
E,4,3.750000e-01,1,3.750000e-01,1,9,957,3
E,4,2.500000e-01,2,3.750000e-01,1,18,1021,3
E,4,2.500000e-01,2,3.750000e-01,1,18,1045,3
E,4,3.750000e-01,1,3.750000e-01,1,9,1081,3
E,4,3.750000e-01,1,3.750000e-01,1,9,1083,3
E,4,3.750000e-01,1,3.750000e-01,1,9,1105,3
E,4,2.500000e-01,2,3.750000e-01,1,18,1154,3
E,4,2.500000e-01,2,3.750000e-01,1,18,1193,3
E,4,3.750000e-01,1,3.750000e-01,1,9,1345,3
E,4,2.500000e-01,2,3.750000e-01,1,18,1346,3
E,4,3.750000e-01,1,3.750000e-01,1,9,1374,3
E,4,6.250000e-02,2,3.750000e-01,1,4,1425,3
E,4,2.500000e-01,2,3.750000e-01,1,18,1483,3
E,4,3.750000e-01,1,3.750000e-01,1,9,1493,3
E,5,1.562500e-01,2,3.125000e-01,2,5,8,1
E,5,3.125000e-01,2,3.125000e-01,2,18,9,1
E,5,3.125000e-01,2,3.125000e-01,2,18,58,1
E,5,3.125000e-01,2,3.125000e-01,2,18,140,1
E,5,1.562500e-01,2,3.125000e-01,2,5,232,1
E,5,1.562500e-01,2,3.125000e-01,2,5,326,1
E,5,1.562500e-01,2,3.125000e-01,2,5,333,1
E,5,3.125000e-01,2,3.125000e-01,2,18,357,1
E,5,3.125000e-01,2,3.125000e-01,2,18,380,1
