species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00246,0.013855,0.735411,29
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0274,0.013855,0.735411,29
saccharomyces_arboricola_h_6,SU7_0203,-0.000000,0.149446,28
saccharomyces_eubayanus,DI49_1148,0.109241,0.996039,30
kazachstania_africana_cbs_2517,KAFR_0D02620,0.005300,0.558632,27
kazachstania_naganishii_cbs_8797,KNAG_0B01420,0.251727,0.998455,26
naumovozyma_dairenensis_cbs_421,NDAI_0A07980,0.194742,0.998455,26
naumovozyma_castellii_cbs_4309,NCAS_0I01030,0.115459,0.995460,27
vanderwaltozyma_polyspora_dsm_70294,Kpol_1039p57,0.018572,0.771268,25
tetrapisispora_phaffii_cbs_4417,TPHA_0M01660,-0.000000,0.271668,33
zygosaccharomyces_bailii_isa1307,ZBAI_05562,0.109241,0.996039,30
zygosaccharomyces_rouxii,ZYRO0C16632g,0.319004,0.998455,26
zygosaccharomyces_bailii_isa1307,ZBAI_00407,0.008623,0.638977,30
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADL366W,0.251727,0.998455,26
eremothecium_cymbalariae_dbvpg_7215,Ecym_3454,-0.000000,0.154981,26
lachancea_lanzarotensis,LALA0_S03e06062g,0.364734,0.996758,22
ashbya_gossypii,AGOS_ADL366W,0.251727,0.998455,26
lachancea_thermotolerans_cbs_6340,KLTH0F11836g,0.484677,0.999643,24
kluyveromyces_marxianus_dmku3_1042,KLMA_80302,0.390418,0.997013,25
kluyveromyces_lactis,KLLA0_B09152g,0.496126,0.998455,26
eremothecium_sinecaudum,AW171_hschr2294,0.021892,0.790772,23
hanseniaspora_opuntiae,AWRI3578_g3901,0.308942,0.997013,25
hanseniaspora_osmophila,AWRI3579_g2810,0.288040,0.999836,30
hanseniaspora_uvarum_dsm_2768,D499_0A02800,0.095249,0.986433,25
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_53198,0.260791,0.999876,27
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0J19589g,0.251727,0.998455,26
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_142718,0.251727,0.998455,26
wickerhamomyces_ciferrii,BN7_5454,0.214704,0.997476,28
_candida_tenuis_atcc_10573,CANTEDRAFT_96523,0.106181,0.991583,26
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_153367,-0.000000,0.168188,22
scheffersomyces_stipitis_cbs_6054,PICST_67105,0.477463,0.998296,23
candida_orthopsilosis_co_90_125,CORT_0A04750,0.046253,0.925363,26
meyerozyma_guilliermondii_atcc_6260,PGUG_01282,0.160583,0.998296,23
debaryomyces_fabryi,AC631_04671,0.484677,0.999643,24
candida_tropicalis_mya_3404,CTRG_03172,0.013855,0.735411,29
_candida_auris,QG37_04824,0.621437,0.998455,26
clavispora_lusitaniae_atcc_42720,CLUG_00170,0.489814,0.997013,25
debaryomyces_hansenii_cbs767,DEHA2F03960g,0.288602,0.998296,23
_candida_tenuis_atcc_10573,CANTEDRAFT_131980,0.054251,0.937205,24
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_84020,0.004605,0.541775,29
candida_maltosa_xu316,G210_5348,0.319004,0.998455,26
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_155456,0.618569,0.997013,25
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_46812,0.489814,0.997013,25
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_153575,0.021892,0.790772,23
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0I17828g,0.308942,0.997013,25
candida_albicans_wo_1,CAWG_00593,0.081522,0.982206,27
lodderomyces_elongisporus_nrrl_yb_4239,LELG_00374,0.240753,0.997013,25
candida_dubliniensis_cd36,CD36_07840,0.062812,0.957746,25
