aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,2.665737e-01,1,7.334263e-01,1,24,73,0
E,1,7.334263e-01,1,7.334263e-01,1,43,74,1
E,1,7.334263e-01,1,7.334263e-01,1,43,149,1
E,1,7.334263e-01,1,7.334263e-01,1,43,219,1
E,1,7.334263e-01,1,7.334263e-01,1,43,227,1
E,1,2.665737e-01,1,7.334263e-01,1,24,279,0
E,1,7.334263e-01,1,7.334263e-01,1,43,336,1
E,1,7.334263e-01,1,7.334263e-01,1,43,416,1
E,1,7.334263e-01,1,7.334263e-01,1,43,448,1
E,1,7.334263e-01,1,7.334263e-01,1,43,744,1
E,1,7.334263e-01,1,7.334263e-01,1,43,775,1
E,1,2.665737e-01,1,7.334263e-01,1,24,885,0
E,1,7.334263e-01,1,7.334263e-01,1,43,966,1
E,1,2.665737e-01,1,7.334263e-01,1,24,970,0
E,1,2.665737e-01,1,7.334263e-01,1,24,1088,0
E,1,2.665737e-01,1,7.334263e-01,1,24,1112,0
E,1,7.334263e-01,1,7.334263e-01,1,43,1180,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1182,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1199,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1323,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1390,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1440,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1605,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1616,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1632,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1661,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1684,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1718,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1720,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1771,1
E,1,2.665737e-01,1,7.334263e-01,1,24,1855,0
E,1,7.334263e-01,1,7.334263e-01,1,43,1883,1
E,1,2.665737e-01,1,7.334263e-01,1,24,1896,0
E,1,2.665737e-01,1,7.334263e-01,1,24,1897,0
E,1,2.665737e-01,1,7.334263e-01,1,24,1902,0
E,1,2.665737e-01,1,7.334263e-01,1,24,1917,0
E,1,7.334263e-01,1,7.334263e-01,1,43,1918,1
E,1,7.334263e-01,1,7.334263e-01,1,43,1926,1
E,1,2.665737e-01,1,7.334263e-01,1,24,1964,0
E,1,7.334263e-01,1,7.334263e-01,1,43,2033,1
E,1,7.334263e-01,1,7.334263e-01,1,43,2038,1
E,1,7.334263e-01,1,7.334263e-01,1,43,2057,1
E,1,7.334263e-01,1,7.334263e-01,1,43,2095,1
E,1,2.665737e-01,1,7.334263e-01,1,24,2144,0
E,1,2.665737e-01,1,7.334263e-01,1,24,2239,0
E,1,2.665737e-01,1,7.334263e-01,1,24,2248,0
E,1,2.665737e-01,1,7.334263e-01,1,24,2257,0
E,1,7.334263e-01,1,7.334263e-01,1,43,2295,1
E,1,2.665737e-01,1,7.334263e-01,1,24,2325,0
E,1,7.334263e-01,1,7.334263e-01,1,43,2332,1
E,1,2.665737e-01,1,7.334263e-01,1,24,2380,0
E,1,7.334263e-01,1,7.334263e-01,1,43,2405,1
E,1,2.665737e-01,1,7.334263e-01,1,24,2420,0
E,1,7.334263e-01,1,7.334263e-01,1,43,2444,1
E,1,7.334263e-01,1,7.334263e-01,1,43,2448,1
E,1,7.334263e-01,1,7.334263e-01,1,43,2600,1
E,1,2.665737e-01,1,7.334263e-01,1,24,2642,0
E,1,7.334263e-01,1,7.334263e-01,1,43,2645,1
E,1,7.334263e-01,1,7.334263e-01,1,43,2683,1
E,1,7.334263e-01,1,7.334263e-01,1,43,2713,1
E,1,7.334263e-01,1,7.334263e-01,1,43,2746,1
E,1,2.665737e-01,1,7.334263e-01,1,24,2779,0
E,1,2.665737e-01,1,7.334263e-01,1,24,2818,0
E,1,2.665737e-01,1,7.334263e-01,1,24,2835,0
E,1,2.665737e-01,1,7.334263e-01,1,24,2894,0
E,1,7.334263e-01,1,7.334263e-01,1,43,2906,1
E,1,7.334263e-01,1,7.334263e-01,1,43,2992,1
E,2,3.910243e-01,1,5.379141e-01,1,32,96,1
E,2,5.379141e-01,1,5.379141e-01,1,34,118,2
E,2,7.106154e-02,1,5.379141e-01,1,10,269,0
E,2,5.379141e-01,1,5.379141e-01,1,34,346,2
E,2,5.379141e-01,1,5.379141e-01,1,34,373,2
E,2,5.379141e-01,1,5.379141e-01,1,34,403,2
E,2,5.379141e-01,1,5.379141e-01,1,34,544,2
E,2,3.910243e-01,1,5.379141e-01,1,32,585,1
E,2,3.910243e-01,1,5.379141e-01,1,32,613,1
E,2,7.106154e-02,1,5.379141e-01,1,10,726,0
E,2,5.379141e-01,1,5.379141e-01,1,34,841,2
E,2,7.106154e-02,1,5.379141e-01,1,10,886,0
E,2,5.379141e-01,1,5.379141e-01,1,34,965,2
E,2,5.379141e-01,1,5.379141e-01,1,34,1030,2
E,2,3.910243e-01,1,5.379141e-01,1,32,1058,1
E,2,5.379141e-01,1,5.379141e-01,1,34,1065,2
E,2,5.379141e-01,1,5.379141e-01,1,34,1135,2
E,2,3.910243e-01,1,5.379141e-01,1,32,1156,1
E,2,7.106154e-02,1,5.379141e-01,1,10,1176,0
E,2,5.379141e-01,1,5.379141e-01,1,34,1239,2
E,2,3.910243e-01,1,5.379141e-01,1,32,1264,1
E,2,3.910243e-01,1,5.379141e-01,1,32,1281,1
E,2,5.379141e-01,1,5.379141e-01,1,34,1314,2
E,2,5.379141e-01,1,5.379141e-01,1,34,1359,2
E,2,5.379141e-01,1,5.379141e-01,1,34,1469,2
E,2,3.910243e-01,1,5.379141e-01,1,32,1477,1
E,2,3.910243e-01,1,5.379141e-01,1,32,1539,1
E,2,5.379141e-01,1,5.379141e-01,1,34,1553,2
E,2,7.106154e-02,1,5.379141e-01,1,10,1573,0
E,2,3.910243e-01,1,5.379141e-01,1,32,1574,1
E,2,3.910243e-01,1,5.379141e-01,1,32,1580,1
E,2,3.910243e-01,1,5.379141e-01,1,32,1606,1
E,2,3.910243e-01,1,5.379141e-01,1,32,1671,1
E,2,5.379141e-01,1,5.379141e-01,1,34,1672,2
E,2,3.910243e-01,1,5.379141e-01,1,32,1710,1
E,2,5.379141e-01,1,5.379141e-01,1,34,1822,2
E,2,3.910243e-01,1,5.379141e-01,1,32,1907,1
E,2,5.379141e-01,1,5.379141e-01,1,34,1923,2
E,2,5.379141e-01,1,5.379141e-01,1,34,1984,2
E,2,5.379141e-01,1,5.379141e-01,1,34,2027,2
E,2,5.379141e-01,1,5.379141e-01,1,34,2028,2
E,2,5.379141e-01,1,5.379141e-01,1,34,2034,2
E,2,5.379141e-01,1,5.379141e-01,1,34,2050,2
E,2,5.379141e-01,1,5.379141e-01,1,34,2088,2
E,2,3.910243e-01,1,5.379141e-01,1,32,2103,1
E,2,3.910243e-01,1,5.379141e-01,1,32,2165,1
E,2,5.379141e-01,1,5.379141e-01,1,34,2172,2
E,2,3.910243e-01,1,5.379141e-01,1,32,2194,1
E,2,3.910243e-01,1,5.379141e-01,1,32,2266,1
E,2,3.910243e-01,1,5.379141e-01,1,32,2278,1
E,2,3.910243e-01,1,5.379141e-01,1,32,2280,1
E,2,3.910243e-01,1,5.379141e-01,1,32,2314,1
E,2,7.106154e-02,1,5.379141e-01,1,10,2394,0
E,2,5.379141e-01,1,5.379141e-01,1,34,2416,2
E,2,3.910243e-01,1,5.379141e-01,1,32,2419,1
E,2,3.910243e-01,1,5.379141e-01,1,32,2431,1
E,2,5.379141e-01,1,5.379141e-01,1,34,2438,2
E,2,3.910243e-01,1,5.379141e-01,1,32,2467,1
E,2,3.910243e-01,1,5.379141e-01,1,32,2487,1
E,2,3.910243e-01,1,5.379141e-01,1,32,2490,1
E,2,5.379141e-01,1,5.379141e-01,1,34,2505,2
E,2,7.106154e-02,1,5.379141e-01,1,10,2517,0
E,2,3.910243e-01,1,5.379141e-01,1,32,2522,1
E,2,5.379141e-01,1,5.379141e-01,1,34,2536,2
E,2,3.910243e-01,1,5.379141e-01,1,32,2540,1
E,2,3.910243e-01,1,5.379141e-01,1,32,2703,1
E,2,5.379141e-01,1,5.379141e-01,1,34,2709,2
E,2,7.106154e-02,1,5.379141e-01,1,10,2811,0
E,2,5.379141e-01,1,5.379141e-01,1,34,2865,2
E,2,5.379141e-01,1,5.379141e-01,1,34,2942,2
E,2,3.910243e-01,1,5.379141e-01,1,32,2956,1
E,2,5.379141e-01,1,5.379141e-01,1,34,2961,2
E,2,3.910243e-01,1,5.379141e-01,1,32,2964,1
E,2,5.379141e-01,1,5.379141e-01,1,34,2966,2
E,2,7.106154e-02,1,5.379141e-01,1,10,2998,0
E,2,7.106154e-02,1,5.379141e-01,1,10,3028,0
E,3,4.301813e-01,1,4.301813e-01,1,47,11,2
E,3,4.301813e-01,1,4.301813e-01,1,47,62,2
E,3,3.945204e-01,1,4.301813e-01,1,40,207,3
E,3,3.945204e-01,1,4.301813e-01,1,40,243,3
