species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0091,0.201299,0.998896,37
saccharomyces_sp_boulardii_,KO01_00440,0.201299,0.998896,37
saccharomyces_arboricola_h_6,SU7_0057,0.452774,0.999916,35
saccharomyces_eubayanus,DI49_0090,0.286760,0.998896,37
tetrapisispora_phaffii_cbs_4417,TPHA_0K00590,0.448264,0.998938,34
kazachstania_africana_cbs_2517,KAFR_0G01130,0.358399,0.997802,31
kazachstania_naganishii_cbs_8797,KNAG_0C04360,0.076793,0.987732,33
naumovozyma_castellii_cbs_4309,NCAS_0E02390,0.324850,0.999916,35
naumovozyma_dairenensis_cbs_421,NDAI_0E03950,0.466660,0.999754,38
vanderwaltozyma_polyspora_dsm_70294,Kpol_1018p115,0.635304,0.999916,35
vanderwaltozyma_polyspora_dsm_70294,Kpol_1045p9,0.533723,0.999916,35
_candida_glabrata,CAGL0M09581g,-0.000000,0.271668,33
torulaspora_delbrueckii,TDEL_0C02950,0.165576,0.998896,37
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAGL272C,0.248880,0.999754,38
lachancea_lanzarotensis,LALA0_S01e05754g,0.390426,0.999683,36
ashbya_gossypii,AGOS_AGL272C,0.344187,0.999754,38
eremothecium_cymbalariae_dbvpg_7215,Ecym_7121,-0.000000,0.264121,35
eremothecium_sinecaudum,AW171_hschr42370,0.248880,0.999754,38
lachancea_thermotolerans_cbs_6340,KLTH0C05698g,0.337762,0.998896,37
kluyveromyces_lactis,KLLA0_E06667g,0.636911,0.999683,36
kluyveromyces_marxianus_dmku3_1042,KLMA_70140,0.537369,0.999683,36
hanseniaspora_opuntiae,AWRI3578_g1325,0.634432,0.998938,34
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_50973,0.530715,0.998938,34
hanseniaspora_uvarum_dsm_2768,D499_0F01020,0.634432,0.998938,34
hanseniaspora_osmophila,AWRI3579_g3021,0.635304,0.999916,35
tetrapisispora_blattae_cbs_6284,TBLA_0I00990,0.523391,0.995195,32
zygosaccharomyces_bailii_isa1307,ZBAI_08335,0.103322,0.996719,33
zygosaccharomyces_bailii_isa1307,ZBAI_03329,0.095774,0.995195,32
zygosaccharomyces_rouxii,ZYRO0F13068g,0.636911,0.999683,36
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_28380,0.634432,0.998938,34
kuraishia_capsulata_cbs_1993,KUCA_T00001079001,0.308942,0.997013,25
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_49613,0.634432,0.998938,34
cyberlindnera_jadinii,BN1211_6171,0.378642,0.998938,34
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_17928,0.318416,0.998938,34
ogataea_parapolymorpha_dl_1,HPODL_02577,0.280245,0.999683,36
brettanomyces_bruxellensis_awri1499,AWRI1499_3314,0.036073,0.920993,33
ogataea_polymorpha,OGAPODRAFT_15376,0.223508,0.998449,29
komagataella_phaffii_cbs_7435,PP7435_CHR3-0630,0.091643,0.995800,35
komagataella_pastoris,PAS_chr3_0576,0.091643,0.995800,35
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_8173,0.150332,0.999916,35
pichia_kudriavzevii,JL09_g2373,0.632653,0.999960,33
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_77523,0.533723,0.999916,35
wickerhamomyces_ciferrii,BN7_4133,0.635304,0.999916,35
_candida_auris,QG37_05721,0.240753,0.997013,25
_candida_tenuis_atcc_10573,CANTEDRAFT_124062,0.637710,0.998896,37
debaryomyces_fabryi,AC631_04945,0.629713,0.997802,31
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_166052,0.639904,0.998057,39
candida_orthopsilosis_co_90_125,CORT_0B06550,0.378642,0.998938,34
candida_maltosa_xu316,G210_2773,0.636911,0.999683,36
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_36046,0.466660,0.999754,38
candida_dubliniensis_cd36,CD36_04360,0.636911,0.999683,36
lodderomyces_elongisporus_nrrl_yb_4239,LELG_01813,0.099802,0.992621,29
meyerozyma_guilliermondii_atcc_6260,PGUG_01133,0.002464,0.428912,28
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_180314,0.639904,0.998057,39
scheffersomyces_stipitis_cbs_6054,PICST_86570,0.466660,0.999754,38
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0K01836g,0.004885,0.571299,40
clavispora_lusitaniae_atcc_42720,CLUG_01226,0.012144,0.719511,31
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_145832,0.636911,0.999683,36
debaryomyces_hansenii_cbs767,DEHA2D13398g,0.637710,0.998896,37
candida_tropicalis_mya_3404,CTRG_04698,0.626433,0.998449,29
candida_albicans_wo_1,CAWG_00934,0.636911,0.999683,36
candida_parapsilosis_cdc317,CPAR2_105340,0.533723,0.999916,35
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0L01837g,0.004885,0.571299,40
sugiyamaella_lignohabitans,AWJ20_5107,0.156148,0.999876,27
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_25413,0.452774,0.999916,35
geotrichum_candidum,BN980_GECA01s09107g,0.390426,0.999683,36
geotrichum_candidum,BN980_GECA04s00593g,0.457863,0.999683,36
yarrowia_lipolytica,YALI0_F03179g,0.545967,0.998057,39
lipomyces_starkeyi_nrrl_y_11557,LIPSTDRAFT_448,-0.000000,0.750000,3
tortispora_caseinolytica_nrrl_y_17796,CANCADRAFT_32002,-0.000000,0.264121,35
neurospora_tetrasperma_fgsc_2509,NEUTE2DRAFT_80126,0.448264,0.998938,34
pseudogymnoascus_sp_wsf_3629,VE00_06109,0.384263,0.999916,35
dactylellina_haptotyla_cbs_200_50,H072_5189,0.055254,0.981953,42
bipolaris_oryzae_atcc_44560,COCMIDRAFT_89489,0.134281,0.999960,33
verticillium_alfalfae_vams_102,VDBG_05020,0.632653,0.999960,33
colletotrichum_higginsianum,CH063_09220,0.526698,0.999960,33
diaporthe_helianthi,DHEL01_13843,0.569059,0.999893,12
pseudogymnoascus_sp_vkm_f_4516_fw_969_,V497_03571,0.457863,0.999683,36
penicillium_rubens_wisconsin_54_1255,PCH_Pc12g03370,0.540118,0.998896,37
pseudocercospora_musae,AC579_5957,0.234628,0.999683,36
aspergillus_rambellii,ARAM_000482,0.318416,0.998938,34
cladophialophora_carrionii_cbs_160_54,G647_02704,0.010732,0.704550,33
pseudogymnoascus_sp_05ny08,VF21_07340,0.452774,0.999916,35
metarhizium_anisopliae_arsef_23,MAA_03979,0.226736,0.999916,35
magnaporthe_poae,MAPG_03402,0.324850,0.999916,35
emmonsia_parva_uamh_139,EMPG_13625,0.111626,0.998938,34
ophiocordyceps_sinensis_co18,OCS_00009,0.427378,0.998037,17
aspergillus_calidoustus,ASPCAL11533,0.265717,0.998938,34
microsporum_gypseum_cbs_118893,MGYG_05144,0.344187,0.999754,38
trichoderma_virens,TRIVIDRAFT_88676,0.442680,0.999960,33
acremonium_chrysogenum_atcc_11550,ACRE_069630,0.533723,0.999916,35
aureobasidium_namibiae_cbs_147_97,M436DRAFT_70570,0.632653,0.999960,33
leptosphaeria_maculans,LEMA_P027950.1,0.194203,0.999683,36
sporothrix_brasiliensis_5110,SPBR_05655,0.530715,0.998938,34
aureobasidium_subglaciale_exf_2481,AUEXF2481DRAFT_40587,0.448264,0.998938,34
neurospora_crassa,NCU02514,0.448264,0.998938,34
aspergillus_terreus,CADATEAG00007248,0.390426,0.999683,36
exophiala_spinifera,PV08_00912,0.001681,0.393117,34
penicillium_italicum,PITC_059080,0.639169,0.999754,38
isaria_fumosorosea_arsef_2679,ISF_00087,0.344187,0.999754,38
paraphaeosphaeria_sporulosa,CC84DRAFT_1195002,0.384263,0.999916,35
pseudogymnoascus_sp_vkm_f_4518_fw_2643_,V500_09593,0.318416,0.998938,34
sporothrix_insectorum_rcef_264,SPI_01702,0.452774,0.999916,35
aspergillus_fumigatus,CADAFUAG00003172,0.158429,0.999683,36
beauveria_bassiana_arsef_2860,BBA_00154,0.349711,0.998057,39
penicillium_nordicum,ACN38_g1386,0.545967,0.998057,39
