aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,9.251096e-01,1,9.251096e-01,1,6,165,0
E,1,9.251096e-01,1,9.251096e-01,1,6,249,0
E,1,9.251096e-01,1,9.251096e-01,1,6,396,0
E,1,9.251096e-01,1,9.251096e-01,1,6,647,0
E,1,9.251096e-01,1,9.251096e-01,1,6,733,0
E,1,7.489036e-02,1,9.251096e-01,1,1,756,0
E,1,9.251096e-01,1,9.251096e-01,1,6,784,0
E,2,8.558279e-01,1,8.558279e-01,1,10,24,0
E,2,8.558279e-01,1,8.558279e-01,1,10,72,0
E,2,8.558279e-01,1,8.558279e-01,1,10,74,0
E,2,8.558279e-01,1,8.558279e-01,1,10,163,0
E,2,8.558279e-01,1,8.558279e-01,1,10,389,0
E,2,8.558279e-01,1,8.558279e-01,1,10,461,0
E,2,8.558279e-01,1,8.558279e-01,1,10,560,0
E,2,1.385636e-01,1,8.558279e-01,1,1,614,0
E,2,8.558279e-01,1,8.558279e-01,1,10,714,0
E,2,8.558279e-01,1,8.558279e-01,1,10,737,0
E,2,8.558279e-01,1,8.558279e-01,1,10,783,0
E,3,7.917346e-01,1,7.917346e-01,1,11,36,0
E,3,7.917346e-01,1,7.917346e-01,1,11,89,0
E,3,7.917346e-01,1,7.917346e-01,1,11,104,0
E,3,7.917346e-01,1,7.917346e-01,1,11,114,0
E,3,7.917346e-01,1,7.917346e-01,1,11,142,0
E,3,1.922798e-01,1,7.917346e-01,1,5,262,0
E,3,7.917346e-01,1,7.917346e-01,1,11,366,0
E,3,1.922798e-01,1,7.917346e-01,1,5,417,0
E,3,7.917346e-01,1,7.917346e-01,1,11,438,0
E,3,7.917346e-01,1,7.917346e-01,1,11,553,0
E,3,1.922798e-01,1,7.917346e-01,1,5,574,0
E,3,7.917346e-01,1,7.917346e-01,1,11,649,0
E,3,1.922798e-01,1,7.917346e-01,1,5,676,0
E,3,7.917346e-01,1,7.917346e-01,1,11,725,0
E,3,7.917346e-01,1,7.917346e-01,1,11,767,0
E,3,1.922798e-01,1,7.917346e-01,1,5,782,0
E,4,7.324413e-01,1,7.324413e-01,1,14,6,0
E,4,7.324413e-01,1,7.324413e-01,1,14,21,0
E,4,7.324413e-01,1,7.324413e-01,1,14,41,0
E,4,7.324413e-01,1,7.324413e-01,1,14,174,0
E,4,7.324413e-01,1,7.324413e-01,1,14,204,0
E,4,7.324413e-01,1,7.324413e-01,1,14,266,0
E,4,2.371731e-01,1,7.324413e-01,1,4,292,0
E,4,2.371731e-01,1,7.324413e-01,1,4,318,0
E,4,7.324413e-01,1,7.324413e-01,1,14,479,0
E,4,7.324413e-01,1,7.324413e-01,1,14,511,0
E,4,7.324413e-01,1,7.324413e-01,1,14,527,0
E,4,7.324413e-01,1,7.324413e-01,1,14,577,0
E,4,2.371731e-01,1,7.324413e-01,1,4,583,0
E,4,7.324413e-01,1,7.324413e-01,1,14,621,0
E,4,7.324413e-01,1,7.324413e-01,1,14,626,0
E,4,7.324413e-01,1,7.324413e-01,1,14,635,0
E,4,2.371731e-01,1,7.324413e-01,1,4,663,0
E,4,7.324413e-01,1,7.324413e-01,1,14,688,0
E,5,6.775885e-01,1,6.775885e-01,1,16,28,0
E,5,4.440495e-02,1,6.775885e-01,1,2,40,0
E,5,2.742640e-01,1,6.775885e-01,1,7,57,0
E,5,6.775885e-01,1,6.775885e-01,1,16,92,0
E,5,6.775885e-01,1,6.775885e-01,1,16,113,0
E,5,6.775885e-01,1,6.775885e-01,1,16,138,0
E,5,2.742640e-01,1,6.775885e-01,1,7,169,0
E,5,6.775885e-01,1,6.775885e-01,1,16,185,0
E,5,6.775885e-01,1,6.775885e-01,1,16,201,0
E,5,2.742640e-01,1,6.775885e-01,1,7,269,0
E,5,2.742640e-01,1,6.775885e-01,1,7,283,0
E,5,2.742640e-01,1,6.775885e-01,1,7,312,0
E,5,2.742640e-01,1,6.775885e-01,1,7,319,0
E,5,6.775885e-01,1,6.775885e-01,1,16,388,0
E,5,2.742640e-01,1,6.775885e-01,1,7,392,0
E,5,6.775885e-01,1,6.775885e-01,1,16,427,0
E,5,6.775885e-01,1,6.775885e-01,1,16,502,0
E,5,6.775885e-01,1,6.775885e-01,1,16,513,0
E,5,6.775885e-01,1,6.775885e-01,1,16,515,0
E,5,6.775885e-01,1,6.775885e-01,1,16,518,0
E,5,6.775885e-01,1,6.775885e-01,1,16,532,0
E,5,6.775885e-01,1,6.775885e-01,1,16,580,0
E,5,4.440495e-02,1,6.775885e-01,1,2,651,0
E,5,6.775885e-01,1,6.775885e-01,1,16,765,0
E,5,6.775885e-01,1,6.775885e-01,1,16,807,0
E,6,6.268437e-01,1,6.268437e-01,1,14,3,0
E,6,6.268437e-01,1,6.268437e-01,1,14,68,0
E,6,6.268437e-01,1,6.268437e-01,1,14,131,0
E,6,3.044691e-01,1,6.268437e-01,1,11,161,0
E,6,6.268437e-01,1,6.268437e-01,1,14,166,0
E,6,6.268437e-01,1,6.268437e-01,1,14,190,0
E,6,6.268437e-01,1,6.268437e-01,1,14,194,0
E,6,3.044691e-01,1,6.268437e-01,1,11,253,0
