aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.711852e-01,1,5.288148e-01,1,14,289,0
E,1,5.288148e-01,1,5.288148e-01,1,21,303,0
E,1,4.711852e-01,1,5.288148e-01,1,14,410,0
E,1,5.288148e-01,1,5.288148e-01,1,21,530,0
E,1,4.711852e-01,1,5.288148e-01,1,14,604,0
E,1,4.711852e-01,1,5.288148e-01,1,14,638,0
E,1,5.288148e-01,1,5.288148e-01,1,21,661,0
E,1,5.288148e-01,1,5.288148e-01,1,21,707,0
E,1,5.288148e-01,1,5.288148e-01,1,21,795,0
E,1,4.711852e-01,1,5.288148e-01,1,14,853,0
E,1,5.288148e-01,1,5.288148e-01,1,21,936,0
E,1,4.711852e-01,1,5.288148e-01,1,14,1400,0
E,1,4.711852e-01,1,5.288148e-01,1,14,1473,0
E,1,4.711852e-01,1,5.288148e-01,1,14,1475,0
E,1,5.288148e-01,1,5.288148e-01,1,21,1601,0
E,1,4.711852e-01,1,5.288148e-01,1,14,1613,0
E,1,4.711852e-01,1,5.288148e-01,1,14,1780,0
E,1,4.711852e-01,1,5.288148e-01,1,14,1827,0
E,1,5.288148e-01,1,5.288148e-01,1,21,1962,0
E,1,5.288148e-01,1,5.288148e-01,1,21,2017,0
E,1,5.288148e-01,1,5.288148e-01,1,21,2074,0
E,1,5.288148e-01,1,5.288148e-01,1,21,2176,0
E,1,5.288148e-01,1,5.288148e-01,1,21,2192,0
E,1,5.288148e-01,1,5.288148e-01,1,21,2299,0
E,1,4.711852e-01,1,5.288148e-01,1,14,2300,0
E,1,5.288148e-01,1,5.288148e-01,1,21,2448,0
E,1,5.288148e-01,1,5.288148e-01,1,21,2669,0
E,1,5.288148e-01,1,5.288148e-01,1,21,2756,0
E,1,5.288148e-01,1,5.288148e-01,1,21,2910,0
E,1,5.288148e-01,1,5.288148e-01,1,21,2931,0
E,1,5.288148e-01,1,5.288148e-01,1,21,3041,0
E,1,5.288148e-01,1,5.288148e-01,1,21,3159,0
E,1,4.711852e-01,1,5.288148e-01,1,14,3215,0
E,1,4.711852e-01,1,5.288148e-01,1,14,3334,0
E,1,5.288148e-01,1,5.288148e-01,1,21,3335,0
E,2,4.983394e-01,1,4.983394e-01,1,26,21,1
E,2,4.983394e-01,1,4.983394e-01,1,26,196,1
E,2,2.796451e-01,1,4.983394e-01,1,21,206,1
E,2,2.796451e-01,1,4.983394e-01,1,21,227,1
E,2,2.796451e-01,1,4.983394e-01,1,21,256,1
E,2,4.983394e-01,1,4.983394e-01,1,26,403,1
E,2,2.220155e-01,1,4.983394e-01,1,7,502,1
E,2,2.796451e-01,1,4.983394e-01,1,21,594,1
E,2,2.796451e-01,1,4.983394e-01,1,21,670,1
E,2,2.796451e-01,1,4.983394e-01,1,21,693,1
E,2,4.983394e-01,1,4.983394e-01,1,26,731,1
E,2,4.983394e-01,1,4.983394e-01,1,26,791,1
E,2,2.796451e-01,1,4.983394e-01,1,21,996,1
E,2,2.796451e-01,1,4.983394e-01,1,21,1029,1
E,2,2.796451e-01,1,4.983394e-01,1,21,1153,1
E,2,2.796451e-01,1,4.983394e-01,1,21,1166,1
E,2,2.796451e-01,1,4.983394e-01,1,21,1219,1
E,2,4.983394e-01,1,4.983394e-01,1,26,1237,1
E,2,2.796451e-01,1,4.983394e-01,1,21,1332,1
E,2,4.983394e-01,1,4.983394e-01,1,26,1365,1
E,2,4.983394e-01,1,4.983394e-01,1,26,1406,1
E,2,2.220155e-01,1,4.983394e-01,1,7,1478,1
E,2,2.220155e-01,1,4.983394e-01,1,7,1582,1
E,2,2.220155e-01,1,4.983394e-01,1,7,1621,1
E,2,4.983394e-01,1,4.983394e-01,1,26,1640,1
E,2,4.983394e-01,1,4.983394e-01,1,26,1648,1
E,2,2.796451e-01,1,4.983394e-01,1,21,1707,1
E,2,4.983394e-01,1,4.983394e-01,1,26,1708,1
E,2,2.796451e-01,1,4.983394e-01,1,21,1711,1
E,2,4.983394e-01,1,4.983394e-01,1,26,1748,1
E,2,4.983394e-01,1,4.983394e-01,1,26,1830,1
E,2,4.983394e-01,1,4.983394e-01,1,26,1952,1
E,2,4.983394e-01,1,4.983394e-01,1,26,2010,1
E,2,2.796451e-01,1,4.983394e-01,1,21,2355,1
E,2,4.983394e-01,1,4.983394e-01,1,26,2396,1
E,2,2.796451e-01,1,4.983394e-01,1,21,2447,1
E,2,2.796451e-01,1,4.983394e-01,1,21,2457,1
E,2,4.983394e-01,1,4.983394e-01,1,26,2466,1
E,2,4.983394e-01,1,4.983394e-01,1,26,2491,1
E,2,2.220155e-01,1,4.983394e-01,1,7,2506,1
