aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,13,22,1
E,1,5.000000e-01,2,5.000000e-01,2,13,491,1
E,1,5.000000e-01,2,5.000000e-01,2,13,738,1
E,1,5.000000e-01,2,5.000000e-01,2,13,919,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1073,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1089,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1256,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1275,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1464,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1853,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1920,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1946,1
E,1,5.000000e-01,2,5.000000e-01,2,13,2081,1
E,2,2.500000e-01,2,5.000000e-01,1,12,201,0
E,2,2.500000e-01,2,5.000000e-01,1,12,282,0
E,2,2.500000e-01,2,5.000000e-01,1,12,356,0
E,2,5.000000e-01,1,5.000000e-01,1,9,364,0
E,2,5.000000e-01,1,5.000000e-01,1,9,416,0
E,2,2.500000e-01,2,5.000000e-01,1,12,446,0
E,2,2.500000e-01,2,5.000000e-01,1,12,466,0
E,2,5.000000e-01,1,5.000000e-01,1,9,541,0
E,2,2.500000e-01,2,5.000000e-01,1,12,652,0
E,2,5.000000e-01,1,5.000000e-01,1,9,674,0
E,2,5.000000e-01,1,5.000000e-01,1,9,743,0
E,2,5.000000e-01,1,5.000000e-01,1,9,755,0
E,2,2.500000e-01,2,5.000000e-01,1,12,774,0
E,2,2.500000e-01,2,5.000000e-01,1,12,899,0
E,2,2.500000e-01,2,5.000000e-01,1,12,992,0
E,2,5.000000e-01,1,5.000000e-01,1,9,1042,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1541,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1542,0
E,2,5.000000e-01,1,5.000000e-01,1,9,1695,0
E,2,2.500000e-01,2,5.000000e-01,1,12,1727,0
E,2,5.000000e-01,1,5.000000e-01,1,9,1769,0
E,3,3.750000e-01,2,3.750000e-01,2,30,13,1
E,3,3.750000e-01,2,3.750000e-01,2,30,44,1
E,3,1.250000e-01,2,3.750000e-01,2,7,82,1
E,3,1.250000e-01,2,3.750000e-01,2,7,140,1
E,3,3.750000e-01,2,3.750000e-01,2,30,205,1
E,3,3.750000e-01,2,3.750000e-01,2,30,219,1
E,3,3.750000e-01,2,3.750000e-01,2,30,269,1
E,3,3.750000e-01,2,3.750000e-01,2,30,436,1
E,3,3.750000e-01,2,3.750000e-01,2,30,456,1
E,3,3.750000e-01,2,3.750000e-01,2,30,469,1
E,3,3.750000e-01,2,3.750000e-01,2,30,493,1
E,3,3.750000e-01,2,3.750000e-01,2,30,534,1
E,3,1.250000e-01,2,3.750000e-01,2,7,617,1
E,3,3.750000e-01,2,3.750000e-01,2,30,627,1
E,3,3.750000e-01,2,3.750000e-01,2,30,725,1
E,3,3.750000e-01,2,3.750000e-01,2,30,760,1
E,3,3.750000e-01,2,3.750000e-01,2,30,812,1
E,3,3.750000e-01,2,3.750000e-01,2,30,884,1
E,3,3.750000e-01,2,3.750000e-01,2,30,932,1
E,3,3.750000e-01,2,3.750000e-01,2,30,937,1
E,3,3.750000e-01,2,3.750000e-01,2,30,972,1
E,3,3.750000e-01,2,3.750000e-01,2,30,1041,1
E,3,3.750000e-01,2,3.750000e-01,2,30,1166,1
E,3,1.250000e-01,2,3.750000e-01,2,7,1261,1
E,3,3.750000e-01,2,3.750000e-01,2,30,1373,1
E,3,3.750000e-01,2,3.750000e-01,2,30,1405,1
E,3,3.750000e-01,2,3.750000e-01,2,30,1422,1
E,3,3.750000e-01,2,3.750000e-01,2,30,1443,1
E,3,3.750000e-01,2,3.750000e-01,2,30,1474,1
E,3,3.750000e-01,2,3.750000e-01,2,30,1641,1
E,3,1.250000e-01,2,3.750000e-01,2,7,1681,1
E,3,3.750000e-01,2,3.750000e-01,2,30,1694,1
E,3,1.250000e-01,2,3.750000e-01,2,7,1721,1
E,3,3.750000e-01,2,3.750000e-01,2,30,1790,1
E,3,3.750000e-01,2,3.750000e-01,2,30,1892,1
E,3,3.750000e-01,2,3.750000e-01,2,30,1998,1
E,3,1.250000e-01,2,3.750000e-01,2,7,2029,1
E,4,2.500000e-01,2,3.750000e-01,1,15,12,1
E,4,3.750000e-01,1,3.750000e-01,1,18,21,1
E,4,2.500000e-01,2,3.750000e-01,1,15,47,1
E,4,3.750000e-01,1,3.750000e-01,1,18,51,1
E,4,3.750000e-01,1,3.750000e-01,1,18,81,1
E,4,2.500000e-01,2,3.750000e-01,1,15,112,1
E,4,2.500000e-01,2,3.750000e-01,1,15,181,1
E,4,6.250000e-02,2,3.750000e-01,1,10,350,1
E,4,3.750000e-01,1,3.750000e-01,1,18,377,1
E,4,3.750000e-01,1,3.750000e-01,1,18,395,1
E,4,2.500000e-01,2,3.750000e-01,1,15,424,1
E,4,3.750000e-01,1,3.750000e-01,1,18,488,1
E,4,2.500000e-01,2,3.750000e-01,1,15,497,1
E,4,3.750000e-01,1,3.750000e-01,1,18,505,1
E,4,6.250000e-02,2,3.750000e-01,1,10,554,1
E,4,6.250000e-02,2,3.750000e-01,1,10,741,1
E,4,3.750000e-01,1,3.750000e-01,1,18,791,1
E,4,6.250000e-02,2,3.750000e-01,1,10,847,1
E,4,2.500000e-01,2,3.750000e-01,1,15,850,1
E,4,3.750000e-01,1,3.750000e-01,1,18,982,1
E,4,6.250000e-02,2,3.750000e-01,1,10,1015,1
E,4,2.500000e-01,2,3.750000e-01,1,15,1152,1
E,4,3.750000e-01,1,3.750000e-01,1,18,1154,1
E,4,3.750000e-01,1,3.750000e-01,1,18,1157,1
E,4,3.750000e-01,1,3.750000e-01,1,18,1180,1
E,4,6.250000e-02,2,3.750000e-01,1,10,1247,1
E,4,2.500000e-01,2,3.750000e-01,1,15,1276,1
E,4,2.500000e-01,2,3.750000e-01,1,15,1446,1
E,4,6.250000e-02,2,3.750000e-01,1,10,1447,1
E,4,6.250000e-02,2,3.750000e-01,1,10,1467,1
E,4,3.750000e-01,1,3.750000e-01,1,18,1574,1
E,4,6.250000e-02,2,3.750000e-01,1,10,1697,1
E,4,2.500000e-01,2,3.750000e-01,1,15,1704,1
E,4,3.750000e-01,1,3.750000e-01,1,18,1713,1
E,4,3.750000e-01,1,3.750000e-01,1,18,1724,1
E,4,6.250000e-02,2,3.750000e-01,1,10,1768,1
E,4,3.750000e-01,1,3.750000e-01,1,18,1808,1
E,4,2.500000e-01,2,3.750000e-01,1,15,1891,1
E,4,2.500000e-01,2,3.750000e-01,1,15,1953,1
E,4,3.750000e-01,1,3.750000e-01,1,18,1959,1
E,4,2.500000e-01,2,3.750000e-01,1,15,1993,1
E,4,3.750000e-01,1,3.750000e-01,1,18,2055,1
E,4,2.500000e-01,2,3.750000e-01,1,15,2090,1
E,5,1.562500e-01,2,3.125000e-01,2,14,40,1
E,5,3.125000e-01,2,3.125000e-01,2,36,65,1
E,5,3.125000e-01,2,3.125000e-01,2,36,124,1
E,5,3.125000e-01,2,3.125000e-01,2,36,148,1
E,5,1.562500e-01,2,3.125000e-01,2,14,169,1
E,5,3.125000e-01,2,3.125000e-01,2,36,171,1
E,5,3.125000e-01,2,3.125000e-01,2,36,189,1
E,5,3.125000e-02,2,3.125000e-01,2,4,198,1
E,5,3.125000e-01,2,3.125000e-01,2,36,223,1
E,5,3.125000e-01,2,3.125000e-01,2,36,252,1
E,5,3.125000e-01,2,3.125000e-01,2,36,360,1
E,5,1.562500e-01,2,3.125000e-01,2,14,365,1
E,5,3.125000e-01,2,3.125000e-01,2,36,439,1
E,5,1.562500e-01,2,3.125000e-01,2,14,461,1
E,5,3.125000e-01,2,3.125000e-01,2,36,607,1
E,5,3.125000e-01,2,3.125000e-01,2,36,651,1
E,5,1.562500e-01,2,3.125000e-01,2,14,670,1
E,5,1.562500e-01,2,3.125000e-01,2,14,711,1
E,5,3.125000e-01,2,3.125000e-01,2,36,750,1
E,5,3.125000e-02,2,3.125000e-01,2,4,837,1
E,5,3.125000e-01,2,3.125000e-01,2,36,862,1
E,5,3.125000e-01,2,3.125000e-01,2,36,890,1
E,5,3.125000e-01,2,3.125000e-01,2,36,940,1
E,5,3.125000e-01,2,3.125000e-01,2,36,953,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1021,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1143,1
E,5,1.562500e-01,2,3.125000e-01,2,14,1151,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1178,1
E,5,1.562500e-01,2,3.125000e-01,2,14,1205,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1218,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1277,1
E,5,3.125000e-02,2,3.125000e-01,2,4,1302,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1361,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1380,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1462,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1537,1
E,5,1.562500e-01,2,3.125000e-01,2,14,1546,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1554,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1565,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1642,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1655,1
E,5,3.125000e-02,2,3.125000e-01,2,4,1656,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1678,1
E,5,1.562500e-01,2,3.125000e-01,2,14,1701,1
E,5,1.562500e-01,2,3.125000e-01,2,14,1737,1
E,5,1.562500e-01,2,3.125000e-01,2,14,1801,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1838,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1843,1
E,5,1.562500e-01,2,3.125000e-01,2,14,1887,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1896,1
E,5,3.125000e-01,2,3.125000e-01,2,36,1956,1
E,5,3.125000e-01,2,3.125000e-01,2,36,2004,1
E,5,1.562500e-01,2,3.125000e-01,2,14,2019,1
E,5,3.125000e-01,2,3.125000e-01,2,36,2072,1
E,6,3.125000e-01,1,3.125000e-01,1,9,102,3
E,6,2.343750e-01,2,3.125000e-01,1,30,113,3
E,6,9.375000e-02,2,3.125000e-01,1,13,176,3
E,6,3.125000e-01,1,3.125000e-01,1,9,183,3
E,6,2.343750e-01,2,3.125000e-01,1,30,184,3
E,6,3.125000e-01,1,3.125000e-01,1,9,226,3
E,6,9.375000e-02,2,3.125000e-01,1,13,256,3
E,6,9.375000e-02,2,3.125000e-01,1,13,290,3
E,6,2.343750e-01,2,3.125000e-01,1,30,483,3
E,6,2.343750e-01,2,3.125000e-01,1,30,498,3
E,6,2.343750e-01,2,3.125000e-01,1,30,597,3
E,6,9.375000e-02,2,3.125000e-01,1,13,629,3
E,6,9.375000e-02,2,3.125000e-01,1,13,638,3
E,6,9.375000e-02,2,3.125000e-01,1,13,697,3
E,6,9.375000e-02,2,3.125000e-01,1,13,747,3
E,6,2.343750e-01,2,3.125000e-01,1,30,759,3
E,6,2.343750e-01,2,3.125000e-01,1,30,854,3
E,6,9.375000e-02,2,3.125000e-01,1,13,870,3
E,6,2.343750e-01,2,3.125000e-01,1,30,912,3
E,6,2.343750e-01,2,3.125000e-01,1,30,942,3
E,6,2.343750e-01,2,3.125000e-01,1,30,954,3
E,6,2.343750e-01,2,3.125000e-01,1,30,957,3
E,6,2.343750e-01,2,3.125000e-01,1,30,960,3
E,6,3.125000e-01,1,3.125000e-01,1,9,996,3
E,6,3.125000e-01,1,3.125000e-01,1,9,1005,3
E,6,2.343750e-01,2,3.125000e-01,1,30,1009,3
E,6,2.343750e-01,2,3.125000e-01,1,30,1031,3
E,6,9.375000e-02,2,3.125000e-01,1,13,1090,3
E,6,9.375000e-02,2,3.125000e-01,1,13,1207,3
E,6,2.343750e-01,2,3.125000e-01,1,30,1220,3
E,6,2.343750e-01,2,3.125000e-01,1,30,1278,3
E,6,2.343750e-01,2,3.125000e-01,1,30,1307,3
E,6,9.375000e-02,2,3.125000e-01,1,13,1309,3
E,6,2.343750e-01,2,3.125000e-01,1,30,1379,3
E,6,2.343750e-01,2,3.125000e-01,1,30,1394,3
E,6,2.343750e-01,2,3.125000e-01,1,30,1547,3
E,6,2.343750e-01,2,3.125000e-01,1,30,1640,3
E,6,3.125000e-01,1,3.125000e-01,1,9,1658,3
E,6,2.343750e-01,2,3.125000e-01,1,30,1668,3
E,6,9.375000e-02,2,3.125000e-01,1,13,1688,3
