species,gene,entropyValue,entropyLocation,length
saccharomyces_eubayanus,DI49_4463,0.176306,0.975134,33
vanderwaltozyma_polyspora_dsm_70294,Kpol_1037p33,0.062595,0.556466,34
vanderwaltozyma_polyspora_dsm_70294,Kpol_1066p32,0.077496,0.549685,26
vanderwaltozyma_polyspora_dsm_70294,Kpol_1055p49,0.119513,0.804122,27
kazachstania_africana_cbs_2517,KAFR_0B06625,0.177080,0.982862,36
naumovozyma_dairenensis_cbs_421,NDAI_0A01420,0.134145,0.789032,23
naumovozyma_dairenensis_cbs_421,NDAI_0G00610,0.245480,0.996832,31
naumovozyma_dairenensis_cbs_421,NDAI_0B00740,0.186669,0.997736,43
naumovozyma_dairenensis_cbs_421,NDAI_0D00660,0.090253,0.483350,19
kazachstania_naganishii_cbs_8797,KNAG_0I01240,0.146697,0.891339,27
naumovozyma_dairenensis_cbs_421,NDAI_0B04860,0.093841,0.674309,27
