aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.474586e-01,1,6.474586e-01,1,29,87,1
E,1,6.474586e-01,1,6.474586e-01,1,29,96,1
E,1,3.525414e-01,1,6.474586e-01,1,20,120,1
E,1,6.474586e-01,1,6.474586e-01,1,29,140,1
E,1,3.525414e-01,1,6.474586e-01,1,20,184,1
E,1,3.525414e-01,1,6.474586e-01,1,20,199,1
E,1,6.474586e-01,1,6.474586e-01,1,29,223,1
E,1,6.474586e-01,1,6.474586e-01,1,29,268,1
E,1,6.474586e-01,1,6.474586e-01,1,29,297,1
E,1,3.525414e-01,1,6.474586e-01,1,20,299,1
E,1,6.474586e-01,1,6.474586e-01,1,29,317,1
E,1,6.474586e-01,1,6.474586e-01,1,29,320,1
E,1,3.525414e-01,1,6.474586e-01,1,20,340,1
E,1,6.474586e-01,1,6.474586e-01,1,29,376,1
E,1,6.474586e-01,1,6.474586e-01,1,29,398,1
E,1,3.525414e-01,1,6.474586e-01,1,20,459,1
E,1,3.525414e-01,1,6.474586e-01,1,20,466,1
E,1,3.525414e-01,1,6.474586e-01,1,20,556,1
E,1,6.474586e-01,1,6.474586e-01,1,29,624,1
E,1,6.474586e-01,1,6.474586e-01,1,29,643,1
E,1,3.525414e-01,1,6.474586e-01,1,20,681,1
E,1,6.474586e-01,1,6.474586e-01,1,29,694,1
E,1,6.474586e-01,1,6.474586e-01,1,29,695,1
E,1,3.525414e-01,1,6.474586e-01,1,20,698,1
E,1,6.474586e-01,1,6.474586e-01,1,29,759,1
E,1,6.474586e-01,1,6.474586e-01,1,29,777,1
E,1,3.525414e-01,1,6.474586e-01,1,20,783,1
E,1,6.474586e-01,1,6.474586e-01,1,29,791,1
E,1,3.525414e-01,1,6.474586e-01,1,20,805,1
E,1,6.474586e-01,1,6.474586e-01,1,29,858,1
E,1,6.474586e-01,1,6.474586e-01,1,29,865,1
E,1,3.525414e-01,1,6.474586e-01,1,20,917,1
E,1,6.474586e-01,1,6.474586e-01,1,29,950,1
E,1,3.525414e-01,1,6.474586e-01,1,20,954,1
E,1,3.525414e-01,1,6.474586e-01,1,20,966,1
E,1,6.474586e-01,1,6.474586e-01,1,29,1174,1
E,1,6.474586e-01,1,6.474586e-01,1,29,1206,1
E,1,6.474586e-01,1,6.474586e-01,1,29,1299,1
E,1,6.474586e-01,1,6.474586e-01,1,29,1315,1
E,1,3.525414e-01,1,6.474586e-01,1,20,1348,1
E,1,6.474586e-01,1,6.474586e-01,1,29,1369,1
E,1,6.474586e-01,1,6.474586e-01,1,29,1383,1
E,1,6.474586e-01,1,6.474586e-01,1,29,1418,1
E,1,3.525414e-01,1,6.474586e-01,1,20,1421,1
E,1,3.525414e-01,1,6.474586e-01,1,20,1449,1
E,1,6.474586e-01,1,6.474586e-01,1,29,1508,1
E,1,3.525414e-01,1,6.474586e-01,1,20,1509,1
E,1,3.525414e-01,1,6.474586e-01,1,20,1605,1
E,1,6.474586e-01,1,6.474586e-01,1,29,1632,1
E,2,4.565119e-01,1,4.565119e-01,1,30,138,1
E,2,4.192027e-01,1,4.565119e-01,1,27,231,1
E,2,4.192027e-01,1,4.565119e-01,1,27,244,1
E,2,4.565119e-01,1,4.565119e-01,1,30,255,1
E,2,4.192027e-01,1,4.565119e-01,1,27,267,1
E,2,4.565119e-01,1,4.565119e-01,1,30,360,1
E,2,4.565119e-01,1,4.565119e-01,1,30,425,1
E,2,4.192027e-01,1,4.565119e-01,1,27,500,1
E,2,4.565119e-01,1,4.565119e-01,1,30,574,1
E,2,4.565119e-01,1,4.565119e-01,1,30,582,1
E,2,4.192027e-01,1,4.565119e-01,1,27,602,1
E,2,4.565119e-01,1,4.565119e-01,1,30,622,1
E,2,4.565119e-01,1,4.565119e-01,1,30,690,1
E,2,4.565119e-01,1,4.565119e-01,1,30,702,1
E,2,4.192027e-01,1,4.565119e-01,1,27,736,1
E,2,4.565119e-01,1,4.565119e-01,1,30,768,1
E,2,4.565119e-01,1,4.565119e-01,1,30,774,1
E,2,4.565119e-01,1,4.565119e-01,1,30,780,1
E,2,4.565119e-01,1,4.565119e-01,1,30,845,1
E,2,4.565119e-01,1,4.565119e-01,1,30,849,1
E,2,1.242854e-01,1,4.565119e-01,1,5,866,1
E,2,4.192027e-01,1,4.565119e-01,1,27,877,1
E,2,4.192027e-01,1,4.565119e-01,1,27,918,1
E,2,4.192027e-01,1,4.565119e-01,1,27,929,1
E,2,4.565119e-01,1,4.565119e-01,1,30,980,1
E,2,4.565119e-01,1,4.565119e-01,1,30,981,1
E,2,4.192027e-01,1,4.565119e-01,1,27,989,1
E,2,1.242854e-01,1,4.565119e-01,1,5,1010,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1035,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1038,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1056,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1066,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1110,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1117,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1134,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1155,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1158,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1167,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1225,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1226,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1253,1
E,2,1.242854e-01,1,4.565119e-01,1,5,1281,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1319,1
E,2,1.242854e-01,1,4.565119e-01,1,5,1332,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1333,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1334,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1343,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1344,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1370,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1371,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1373,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1388,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1410,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1451,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1458,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1476,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1482,1
E,2,1.242854e-01,1,4.565119e-01,1,5,1483,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1501,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1520,1
E,2,4.565119e-01,1,4.565119e-01,1,30,1543,1
E,2,4.192027e-01,1,4.565119e-01,1,27,1633,1
E,3,2.714164e-01,1,4.433589e-01,1,24,18,3
E,3,2.714164e-01,1,4.433589e-01,1,24,37,3
E,3,4.433589e-01,1,4.433589e-01,1,35,59,3
E,3,2.414090e-01,1,4.433589e-01,1,18,78,3
E,3,4.433589e-01,1,4.433589e-01,1,35,80,3
E,3,4.433589e-01,1,4.433589e-01,1,35,81,3
