species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00054,0.030197,0.603643,46
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0020,0.046583,0.792336,46
saccharomyces_arboricola_h_6,SU7_0012,0.040692,0.774449,50
saccharomyces_eubayanus,DI49_0020,0.001482,0.026238,50
torulaspora_delbrueckii,TDEL_0H04190,0.089934,0.916048,34
tetrapisispora_phaffii_cbs_4417,TPHA_0H02920,0.192160,0.999933,50
zygosaccharomyces_rouxii,ZYRO0D04950g,0.080396,0.926238,41
tetrapisispora_blattae_cbs_6284,TBLA_0A04470,0.210217,0.999977,39
vanderwaltozyma_polyspora_dsm_70294,Kpol_367p2,0.315154,0.999977,42
zygosaccharomyces_bailii_isa1307,ZBAI_06792,0.025613,0.491940,43
kazachstania_naganishii_cbs_8797,KNAG_0D05020,0.156867,0.999959,48
naumovozyma_castellii_cbs_4309,NCAS_0A07560,0.138439,0.998273,46
zygosaccharomyces_bailii_isa1307,ZBAI_04947,0.039683,0.703164,42
naumovozyma_dairenensis_cbs_421,NDAI_0H01120,0.137753,0.999993,58
_candida_glabrata,CAGL0M11968g,0.052249,0.768065,38
kazachstania_africana_cbs_2517,KAFR_0K00480,0.054454,0.857992,47
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADR388C,0.042488,0.594050,29
lachancea_thermotolerans_cbs_6340,KLTH0D01166g,0.086298,0.819952,26
ashbya_gossypii,AGOS_ADR388C,0.013271,0.190382,29
lachancea_lanzarotensis,LALA0_S14e01068g,0.022855,0.407756,38
kluyveromyces_lactis,KLLA0_C12969g,0.074500,0.815953,32
kluyveromyces_marxianus_dmku3_1042,KLMA_80244,0.039713,0.579035,34
eremothecium_cymbalariae_dbvpg_7215,Ecym_5031,0.019250,0.256990,28
eremothecium_sinecaudum,AW171_hschr42442,0.004769,0.075544,28
hanseniaspora_uvarum_dsm_2768,D499_0O00120,0.341404,0.999959,48
hanseniaspora_osmophila,AWRI3579_g217,0.050683,0.346274,8
