aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,14,69,0
E,1,5.000000e-01,2,5.000000e-01,2,14,200,0
E,1,5.000000e-01,2,5.000000e-01,2,14,479,0
E,1,5.000000e-01,2,5.000000e-01,2,14,697,0
E,1,5.000000e-01,2,5.000000e-01,2,14,871,0
E,1,5.000000e-01,2,5.000000e-01,2,14,1061,0
E,1,5.000000e-01,2,5.000000e-01,2,14,1117,0
E,1,5.000000e-01,2,5.000000e-01,2,14,1221,0
E,1,5.000000e-01,2,5.000000e-01,2,14,1339,0
E,1,5.000000e-01,2,5.000000e-01,2,14,1409,0
E,1,5.000000e-01,2,5.000000e-01,2,14,1529,0
E,1,5.000000e-01,2,5.000000e-01,2,14,1607,0
E,1,5.000000e-01,2,5.000000e-01,2,14,1700,0
E,1,5.000000e-01,2,5.000000e-01,2,14,2139,0
E,2,5.000000e-01,1,5.000000e-01,1,10,60,1
E,2,2.500000e-01,2,5.000000e-01,1,6,67,1
E,2,2.500000e-01,2,5.000000e-01,1,6,140,1
E,2,5.000000e-01,1,5.000000e-01,1,10,320,1
E,2,5.000000e-01,1,5.000000e-01,1,10,487,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1119,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1130,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1156,1
E,2,2.500000e-01,2,5.000000e-01,1,6,1369,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1577,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1604,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1719,1
E,2,2.500000e-01,2,5.000000e-01,1,6,1787,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1964,1
E,2,2.500000e-01,2,5.000000e-01,1,6,1978,1
E,2,2.500000e-01,2,5.000000e-01,1,6,2162,1
E,3,3.750000e-01,2,3.750000e-01,2,16,50,2
E,3,3.750000e-01,2,3.750000e-01,2,16,91,2
E,3,3.750000e-01,2,3.750000e-01,2,16,100,2
E,3,1.250000e-01,2,3.750000e-01,2,7,130,2
E,3,1.250000e-01,2,3.750000e-01,2,7,290,2
E,3,3.750000e-01,2,3.750000e-01,2,16,327,2
E,3,1.250000e-01,2,3.750000e-01,2,7,402,2
E,3,3.750000e-01,2,3.750000e-01,2,16,562,2
E,3,3.750000e-01,2,3.750000e-01,2,16,760,2
E,3,3.750000e-01,2,3.750000e-01,2,16,761,2
E,3,3.750000e-01,2,3.750000e-01,2,16,762,2
E,3,3.750000e-01,2,3.750000e-01,2,16,876,2
E,3,3.750000e-01,2,3.750000e-01,2,16,900,2
E,3,1.250000e-01,2,3.750000e-01,2,7,936,2
E,3,1.250000e-01,2,3.750000e-01,2,7,937,2
E,3,3.750000e-01,2,3.750000e-01,2,16,964,2
E,3,3.750000e-01,2,3.750000e-01,2,16,970,2
E,3,1.250000e-01,2,3.750000e-01,2,7,994,2
E,3,3.750000e-01,2,3.750000e-01,2,16,1019,2
E,3,1.250000e-01,2,3.750000e-01,2,7,1021,2
E,3,3.750000e-01,2,3.750000e-01,2,16,1683,2
E,3,3.750000e-01,2,3.750000e-01,2,16,1862,2
E,3,3.750000e-01,2,3.750000e-01,2,16,2118,2
E,4,2.500000e-01,2,3.750000e-01,1,14,39,3
E,4,2.500000e-01,2,3.750000e-01,1,14,40,3
E,4,3.750000e-01,1,3.750000e-01,1,14,41,3
E,4,2.500000e-01,2,3.750000e-01,1,14,52,3
E,4,2.500000e-01,2,3.750000e-01,1,14,82,3
E,4,3.750000e-01,1,3.750000e-01,1,14,123,3
E,4,3.750000e-01,1,3.750000e-01,1,14,131,3
E,4,2.500000e-01,2,3.750000e-01,1,14,211,3
E,4,6.250000e-02,2,3.750000e-01,1,5,313,3
E,4,6.250000e-02,2,3.750000e-01,1,5,354,3
E,4,2.500000e-01,2,3.750000e-01,1,14,365,3
E,4,6.250000e-02,2,3.750000e-01,1,5,386,3
E,4,3.750000e-01,1,3.750000e-01,1,14,449,3
E,4,3.750000e-01,1,3.750000e-01,1,14,604,3
E,4,2.500000e-01,2,3.750000e-01,1,14,719,3
E,4,2.500000e-01,2,3.750000e-01,1,14,914,3
E,4,2.500000e-01,2,3.750000e-01,1,14,967,3
E,4,2.500000e-01,2,3.750000e-01,1,14,1003,3
E,4,3.750000e-01,1,3.750000e-01,1,14,1063,3
E,4,3.750000e-01,1,3.750000e-01,1,14,1075,3
E,4,2.500000e-01,2,3.750000e-01,1,14,1254,3
E,4,2.500000e-01,2,3.750000e-01,1,14,1328,3
E,4,2.500000e-01,2,3.750000e-01,1,14,1414,3
E,4,6.250000e-02,2,3.750000e-01,1,5,1448,3
E,4,3.750000e-01,1,3.750000e-01,1,14,1517,3
E,4,3.750000e-01,1,3.750000e-01,1,14,1592,3
E,4,3.750000e-01,1,3.750000e-01,1,14,1626,3
E,4,3.750000e-01,1,3.750000e-01,1,14,1662,3
E,4,3.750000e-01,1,3.750000e-01,1,14,1698,3
E,4,2.500000e-01,2,3.750000e-01,1,14,1732,3
E,4,3.750000e-01,1,3.750000e-01,1,14,1812,3
E,4,6.250000e-02,2,3.750000e-01,1,5,1875,3
E,4,3.750000e-01,1,3.750000e-01,1,14,2163,3
E,5,1.562500e-01,2,3.125000e-01,2,14,29,4
E,5,1.562500e-01,2,3.125000e-01,2,14,121,4
E,5,3.125000e-01,2,3.125000e-01,2,22,177,4
E,5,1.562500e-01,2,3.125000e-01,2,14,180,4
E,5,3.125000e-01,2,3.125000e-01,2,22,205,4
E,5,3.125000e-01,2,3.125000e-01,2,22,208,4
E,5,3.125000e-01,2,3.125000e-01,2,22,249,4
E,5,3.125000e-01,2,3.125000e-01,2,22,261,4
E,5,3.125000e-01,2,3.125000e-01,2,22,323,4
