aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,17,93,1
E,1,5.000000e-01,2,5.000000e-01,2,17,314,1
E,1,5.000000e-01,2,5.000000e-01,2,17,395,1
E,1,5.000000e-01,2,5.000000e-01,2,17,464,1
E,1,5.000000e-01,2,5.000000e-01,2,17,751,1
E,1,5.000000e-01,2,5.000000e-01,2,17,760,1
E,1,5.000000e-01,2,5.000000e-01,2,17,785,1
E,1,5.000000e-01,2,5.000000e-01,2,17,877,1
E,1,5.000000e-01,2,5.000000e-01,2,17,1153,1
E,1,5.000000e-01,2,5.000000e-01,2,17,1263,1
E,1,5.000000e-01,2,5.000000e-01,2,17,1296,1
E,1,5.000000e-01,2,5.000000e-01,2,17,1298,1
E,1,5.000000e-01,2,5.000000e-01,2,17,1629,1
E,1,5.000000e-01,2,5.000000e-01,2,17,1640,1
E,1,5.000000e-01,2,5.000000e-01,2,17,1920,1
E,1,5.000000e-01,2,5.000000e-01,2,17,1957,1
E,1,5.000000e-01,2,5.000000e-01,2,17,2071,1
E,2,5.000000e-01,1,5.000000e-01,1,8,119,1
E,2,2.500000e-01,2,5.000000e-01,1,14,399,1
E,2,2.500000e-01,2,5.000000e-01,1,14,548,1
E,2,2.500000e-01,2,5.000000e-01,1,14,558,1
E,2,5.000000e-01,1,5.000000e-01,1,8,565,1
E,2,5.000000e-01,1,5.000000e-01,1,8,580,1
E,2,2.500000e-01,2,5.000000e-01,1,14,766,1
E,2,5.000000e-01,1,5.000000e-01,1,8,1086,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1125,1
E,2,5.000000e-01,1,5.000000e-01,1,8,1215,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1309,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1338,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1417,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1506,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1515,1
E,2,5.000000e-01,1,5.000000e-01,1,8,1746,1
E,2,5.000000e-01,1,5.000000e-01,1,8,1830,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1965,1
E,2,2.500000e-01,2,5.000000e-01,1,14,2055,1
E,2,2.500000e-01,2,5.000000e-01,1,14,2091,1
E,2,5.000000e-01,1,5.000000e-01,1,8,2133,1
