aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,29,41,0
E,1,5.000000e-01,2,5.000000e-01,2,29,63,1
E,1,5.000000e-01,2,5.000000e-01,2,29,79,0
E,1,5.000000e-01,2,5.000000e-01,2,29,122,0
E,1,5.000000e-01,2,5.000000e-01,2,29,143,1
E,1,5.000000e-01,2,5.000000e-01,2,29,200,1
E,1,5.000000e-01,2,5.000000e-01,2,29,205,0
E,1,5.000000e-01,2,5.000000e-01,2,29,220,0
E,1,5.000000e-01,2,5.000000e-01,2,29,224,0
E,1,5.000000e-01,2,5.000000e-01,2,29,235,0
E,1,5.000000e-01,2,5.000000e-01,2,29,241,0
E,1,5.000000e-01,2,5.000000e-01,2,29,297,0
E,1,5.000000e-01,2,5.000000e-01,2,29,330,0
E,1,5.000000e-01,2,5.000000e-01,2,29,490,0
E,1,5.000000e-01,2,5.000000e-01,2,29,511,1
E,1,5.000000e-01,2,5.000000e-01,2,29,631,0
E,1,5.000000e-01,2,5.000000e-01,2,29,713,1
E,1,5.000000e-01,2,5.000000e-01,2,29,732,0
E,1,5.000000e-01,2,5.000000e-01,2,29,735,0
E,1,5.000000e-01,2,5.000000e-01,2,29,768,1
E,1,5.000000e-01,2,5.000000e-01,2,29,772,1
E,1,5.000000e-01,2,5.000000e-01,2,29,780,0
E,1,5.000000e-01,2,5.000000e-01,2,29,787,0
E,1,5.000000e-01,2,5.000000e-01,2,29,871,0
E,1,5.000000e-01,2,5.000000e-01,2,29,878,1
E,1,5.000000e-01,2,5.000000e-01,2,29,902,1
E,1,5.000000e-01,2,5.000000e-01,2,29,935,0
E,1,5.000000e-01,2,5.000000e-01,2,29,959,0
E,1,5.000000e-01,2,5.000000e-01,2,29,965,0
E,2,2.500000e-01,2,5.000000e-01,1,21,20,0
E,2,2.500000e-01,2,5.000000e-01,1,21,135,2
E,2,2.500000e-01,2,5.000000e-01,1,21,136,0
E,2,5.000000e-01,1,5.000000e-01,1,16,163,1
E,2,2.500000e-01,2,5.000000e-01,1,21,176,2
E,2,5.000000e-01,1,5.000000e-01,1,16,192,1
E,2,5.000000e-01,1,5.000000e-01,1,16,239,1
E,2,5.000000e-01,1,5.000000e-01,1,16,256,1
E,2,5.000000e-01,1,5.000000e-01,1,16,261,1
E,2,2.500000e-01,2,5.000000e-01,1,21,288,0
E,2,2.500000e-01,2,5.000000e-01,1,21,289,0
E,2,5.000000e-01,1,5.000000e-01,1,16,325,1
E,2,5.000000e-01,1,5.000000e-01,1,16,327,1
E,2,5.000000e-01,1,5.000000e-01,1,16,373,1
E,2,5.000000e-01,1,5.000000e-01,1,16,379,1
E,2,2.500000e-01,2,5.000000e-01,1,21,380,0
E,2,2.500000e-01,2,5.000000e-01,1,21,452,0
E,2,2.500000e-01,2,5.000000e-01,1,21,458,0
E,2,2.500000e-01,2,5.000000e-01,1,21,529,0
E,2,2.500000e-01,2,5.000000e-01,1,21,530,2
E,2,2.500000e-01,2,5.000000e-01,1,21,600,2
E,2,5.000000e-01,1,5.000000e-01,1,16,606,1
E,2,5.000000e-01,1,5.000000e-01,1,16,650,1
E,2,2.500000e-01,2,5.000000e-01,1,21,654,0
E,2,5.000000e-01,1,5.000000e-01,1,16,667,1
E,2,2.500000e-01,2,5.000000e-01,1,21,669,0
E,2,5.000000e-01,1,5.000000e-01,1,16,694,1
E,2,5.000000e-01,1,5.000000e-01,1,16,721,1
E,2,2.500000e-01,2,5.000000e-01,1,21,734,0
E,2,2.500000e-01,2,5.000000e-01,1,21,758,0
E,2,2.500000e-01,2,5.000000e-01,1,21,786,2
E,2,5.000000e-01,1,5.000000e-01,1,16,800,1
E,2,2.500000e-01,2,5.000000e-01,1,21,808,0
E,2,2.500000e-01,2,5.000000e-01,1,21,813,0
E,2,2.500000e-01,2,5.000000e-01,1,21,894,2
E,2,2.500000e-01,2,5.000000e-01,1,21,901,0
E,2,5.000000e-01,1,5.000000e-01,1,16,960,1
E,3,3.750000e-01,2,3.750000e-01,2,19,34,2
E,3,3.750000e-01,2,3.750000e-01,2,19,95,1
E,3,3.750000e-01,2,3.750000e-01,2,19,158,1
E,3,1.250000e-01,2,3.750000e-01,2,8,174,0
E,3,1.250000e-01,2,3.750000e-01,2,8,196,0
E,3,3.750000e-01,2,3.750000e-01,2,19,211,1
E,3,3.750000e-01,2,3.750000e-01,2,19,214,2
E,3,3.750000e-01,2,3.750000e-01,2,19,284,1
E,3,1.250000e-01,2,3.750000e-01,2,8,308,0
E,3,3.750000e-01,2,3.750000e-01,2,19,360,1
E,3,1.250000e-01,2,3.750000e-01,2,8,395,0
E,3,3.750000e-01,2,3.750000e-01,2,19,409,2
E,3,1.250000e-01,2,3.750000e-01,2,8,469,0
E,3,3.750000e-01,2,3.750000e-01,2,19,489,1
E,3,3.750000e-01,2,3.750000e-01,2,19,516,1
E,3,3.750000e-01,2,3.750000e-01,2,19,521,2
E,3,1.250000e-01,2,3.750000e-01,2,8,524,0
E,3,3.750000e-01,2,3.750000e-01,2,19,564,1
E,3,1.250000e-01,2,3.750000e-01,2,8,582,0
E,3,3.750000e-01,2,3.750000e-01,2,19,601,1
E,3,1.250000e-01,2,3.750000e-01,2,8,623,0
E,3,3.750000e-01,2,3.750000e-01,2,19,652,1
E,3,3.750000e-01,2,3.750000e-01,2,19,655,1
E,3,3.750000e-01,2,3.750000e-01,2,19,737,1
E,3,3.750000e-01,2,3.750000e-01,2,19,756,2
E,3,3.750000e-01,2,3.750000e-01,2,19,771,1
E,3,3.750000e-01,2,3.750000e-01,2,19,773,1
E,4,6.250000e-02,2,3.750000e-01,1,4,190,4
E,4,6.250000e-02,2,3.750000e-01,1,4,213,0
E,4,2.500000e-01,2,3.750000e-01,1,13,430,1
E,4,2.500000e-01,2,3.750000e-01,1,13,445,1
E,4,2.500000e-01,2,3.750000e-01,1,13,465,1
E,4,2.500000e-01,2,3.750000e-01,1,13,484,3
E,4,3.750000e-01,1,3.750000e-01,1,7,567,2
E,4,2.500000e-01,2,3.750000e-01,1,13,578,1
E,4,2.500000e-01,2,3.750000e-01,1,13,604,1
E,4,2.500000e-01,2,3.750000e-01,1,13,632,1
E,4,3.750000e-01,1,3.750000e-01,1,7,675,2
E,4,2.500000e-01,2,3.750000e-01,1,13,700,3
E,4,6.250000e-02,2,3.750000e-01,1,4,750,0
E,4,2.500000e-01,2,3.750000e-01,1,13,753,3
E,4,2.500000e-01,2,3.750000e-01,1,13,765,1
E,4,2.500000e-01,2,3.750000e-01,1,13,775,1
E,4,3.750000e-01,1,3.750000e-01,1,7,785,2
E,4,3.750000e-01,1,3.750000e-01,1,7,826,2
E,4,2.500000e-01,2,3.750000e-01,1,13,839,1
