aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,27,104,0
E,1,5.000000e-01,2,5.000000e-01,2,27,352,0
E,1,5.000000e-01,2,5.000000e-01,2,27,382,0
E,1,5.000000e-01,2,5.000000e-01,2,27,454,0
E,1,5.000000e-01,2,5.000000e-01,2,27,610,0
E,1,5.000000e-01,2,5.000000e-01,2,27,767,0
E,1,5.000000e-01,2,5.000000e-01,2,27,929,0
E,1,5.000000e-01,2,5.000000e-01,2,27,980,0
E,1,5.000000e-01,2,5.000000e-01,2,27,1028,0
E,1,5.000000e-01,2,5.000000e-01,2,27,1235,0
E,1,5.000000e-01,2,5.000000e-01,2,27,1390,0
E,1,5.000000e-01,2,5.000000e-01,2,27,1590,0
E,1,5.000000e-01,2,5.000000e-01,2,27,1642,0
E,1,5.000000e-01,2,5.000000e-01,2,27,1992,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2047,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2078,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2085,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2122,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2165,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2285,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2331,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2408,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2531,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2566,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2816,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2843,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2881,0
E,2,2.500000e-01,2,5.000000e-01,1,14,146,0
E,2,2.500000e-01,2,5.000000e-01,1,14,207,0
E,2,5.000000e-01,1,5.000000e-01,1,16,252,0
E,2,5.000000e-01,1,5.000000e-01,1,16,269,0
E,2,5.000000e-01,1,5.000000e-01,1,16,299,0
E,2,5.000000e-01,1,5.000000e-01,1,16,362,0
E,2,2.500000e-01,2,5.000000e-01,1,14,408,0
E,2,2.500000e-01,2,5.000000e-01,1,14,642,0
E,2,5.000000e-01,1,5.000000e-01,1,16,665,0
E,2,2.500000e-01,2,5.000000e-01,1,14,774,0
E,2,5.000000e-01,1,5.000000e-01,1,16,817,0
E,2,2.500000e-01,2,5.000000e-01,1,14,871,0
E,2,2.500000e-01,2,5.000000e-01,1,14,968,0
E,2,5.000000e-01,1,5.000000e-01,1,16,1101,0
E,2,5.000000e-01,1,5.000000e-01,1,16,1179,0
E,2,5.000000e-01,1,5.000000e-01,1,16,1327,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1492,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1574,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1639,0
E,2,5.000000e-01,1,5.000000e-01,1,16,1653,0
E,2,5.000000e-01,1,5.000000e-01,1,16,2019,0
E,2,5.000000e-01,1,5.000000e-01,1,16,2077,0
E,2,2.500000e-01,2,5.000000e-01,1,14,2143,0
E,2,5.000000e-01,1,5.000000e-01,1,16,2337,0
E,2,2.500000e-01,2,5.000000e-01,1,14,2410,0
E,2,5.000000e-01,1,5.000000e-01,1,16,2425,0
E,2,5.000000e-01,1,5.000000e-01,1,16,2756,0
E,2,2.500000e-01,2,5.000000e-01,1,14,2769,0
E,2,5.000000e-01,1,5.000000e-01,1,16,2827,0
E,2,2.500000e-01,2,5.000000e-01,1,14,2834,0
E,3,3.750000e-01,2,3.750000e-01,2,37,11,1
E,3,3.750000e-01,2,3.750000e-01,2,37,91,1
E,3,3.750000e-01,2,3.750000e-01,2,37,141,1
E,3,3.750000e-01,2,3.750000e-01,2,37,192,1
E,3,3.750000e-01,2,3.750000e-01,2,37,245,1
E,3,3.750000e-01,2,3.750000e-01,2,37,341,1
E,3,1.250000e-01,2,3.750000e-01,2,9,459,1
E,3,3.750000e-01,2,3.750000e-01,2,37,480,1
E,3,3.750000e-01,2,3.750000e-01,2,37,481,1
