aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.705821e-01,1,5.294179e-01,1,34,93,0
E,1,4.705821e-01,1,5.294179e-01,1,34,96,0
E,1,5.294179e-01,1,5.294179e-01,1,30,265,1
E,1,4.705821e-01,1,5.294179e-01,1,34,304,0
E,1,4.705821e-01,1,5.294179e-01,1,34,346,0
E,1,5.294179e-01,1,5.294179e-01,1,30,399,1
E,1,4.705821e-01,1,5.294179e-01,1,34,476,0
E,1,4.705821e-01,1,5.294179e-01,1,34,482,0
E,1,5.294179e-01,1,5.294179e-01,1,30,570,1
E,1,5.294179e-01,1,5.294179e-01,1,30,641,1
E,1,4.705821e-01,1,5.294179e-01,1,34,663,0
E,1,4.705821e-01,1,5.294179e-01,1,34,687,0
E,1,5.294179e-01,1,5.294179e-01,1,30,816,1
E,1,4.705821e-01,1,5.294179e-01,1,34,940,0
E,1,4.705821e-01,1,5.294179e-01,1,34,948,0
E,1,4.705821e-01,1,5.294179e-01,1,34,956,0
E,1,4.705821e-01,1,5.294179e-01,1,34,1026,0
E,1,4.705821e-01,1,5.294179e-01,1,34,1033,0
E,1,4.705821e-01,1,5.294179e-01,1,34,1053,0
E,1,5.294179e-01,1,5.294179e-01,1,30,1054,1
E,1,5.294179e-01,1,5.294179e-01,1,30,1083,1
E,1,5.294179e-01,1,5.294179e-01,1,30,1107,1
E,1,5.294179e-01,1,5.294179e-01,1,30,1290,1
E,1,5.294179e-01,1,5.294179e-01,1,30,1549,1
E,1,4.705821e-01,1,5.294179e-01,1,34,1616,0
E,1,5.294179e-01,1,5.294179e-01,1,30,1644,1
E,1,5.294179e-01,1,5.294179e-01,1,30,1671,1
E,1,4.705821e-01,1,5.294179e-01,1,34,1684,0
E,1,5.294179e-01,1,5.294179e-01,1,30,1761,1
E,1,5.294179e-01,1,5.294179e-01,1,30,1830,1
E,1,4.705821e-01,1,5.294179e-01,1,34,1897,0
E,1,4.705821e-01,1,5.294179e-01,1,34,1929,0
E,1,4.705821e-01,1,5.294179e-01,1,34,1932,0
E,1,4.705821e-01,1,5.294179e-01,1,34,2037,0
E,1,4.705821e-01,1,5.294179e-01,1,34,2124,0
E,1,5.294179e-01,1,5.294179e-01,1,30,2243,1
E,1,5.294179e-01,1,5.294179e-01,1,30,2304,1
E,1,4.705821e-01,1,5.294179e-01,1,34,2317,0
E,1,4.705821e-01,1,5.294179e-01,1,34,2338,0
E,1,4.705821e-01,1,5.294179e-01,1,34,2375,0
E,1,5.294179e-01,1,5.294179e-01,1,30,2415,1
E,1,5.294179e-01,1,5.294179e-01,1,30,2436,1
E,1,5.294179e-01,1,5.294179e-01,1,30,2496,1
