aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,3.588547e-01,1,6.411453e-01,1,2,193,1
E,1,6.411453e-01,1,6.411453e-01,1,7,246,0
E,1,6.411453e-01,1,6.411453e-01,1,7,297,0
E,1,6.411453e-01,1,6.411453e-01,1,7,346,0
E,1,6.411453e-01,1,6.411453e-01,1,7,424,0
E,1,6.411453e-01,1,6.411453e-01,1,7,656,0
E,1,3.588547e-01,1,6.411453e-01,1,2,823,1
E,1,6.411453e-01,1,6.411453e-01,1,7,834,0
E,1,6.411453e-01,1,6.411453e-01,1,7,891,0
E,2,4.110673e-01,1,4.601560e-01,1,5,2,0
E,2,4.601560e-01,1,4.601560e-01,1,6,85,1
E,2,1.287767e-01,1,4.601560e-01,1,3,100,2
E,2,4.601560e-01,1,4.601560e-01,1,6,116,1
E,2,1.287767e-01,1,4.601560e-01,1,3,230,2
E,2,4.601560e-01,1,4.601560e-01,1,6,301,1
E,2,4.601560e-01,1,4.601560e-01,1,6,344,1
E,2,4.110673e-01,1,4.601560e-01,1,5,413,0
E,2,4.110673e-01,1,4.601560e-01,1,5,447,0
E,2,4.110673e-01,1,4.601560e-01,1,5,451,0
E,2,4.601560e-01,1,4.601560e-01,1,6,468,1
E,2,4.110673e-01,1,4.601560e-01,1,5,492,0
E,2,1.287767e-01,1,4.601560e-01,1,3,844,2
E,2,4.601560e-01,1,4.601560e-01,1,6,850,1
E,3,2.635539e-01,1,4.425403e-01,1,4,119,0
E,3,2.476937e-01,1,4.425403e-01,1,5,160,2
E,3,4.425403e-01,1,4.425403e-01,1,6,173,1
E,3,2.635539e-01,1,4.425403e-01,1,4,229,0
E,3,2.476937e-01,1,4.425403e-01,1,5,264,2
E,3,4.425403e-01,1,4.425403e-01,1,6,318,1
E,3,2.635539e-01,1,4.425403e-01,1,4,348,0
E,3,2.476937e-01,1,4.425403e-01,1,5,360,2
E,3,4.425403e-01,1,4.425403e-01,1,6,387,1
E,3,2.476937e-01,1,4.425403e-01,1,5,428,2
E,3,2.476937e-01,1,4.425403e-01,1,5,446,2
E,3,4.425403e-01,1,4.425403e-01,1,6,572,1
E,3,4.425403e-01,1,4.425403e-01,1,6,628,1
E,3,2.635539e-01,1,4.425403e-01,1,4,813,0
E,3,4.425403e-01,1,4.425403e-01,1,6,869,1
E,4,3.783102e-01,1,3.783102e-01,1,9,7,1
E,4,3.783102e-01,1,3.783102e-01,1,9,38,1
E,4,3.783102e-01,1,3.783102e-01,1,9,115,1
E,4,3.783102e-01,1,3.783102e-01,1,9,170,1
E,4,1.185147e-01,1,3.783102e-01,1,4,216,3
E,4,3.176153e-01,1,3.783102e-01,1,5,326,2
E,4,3.783102e-01,1,3.783102e-01,1,9,362,1
E,4,3.783102e-01,1,3.783102e-01,1,9,426,1
E,4,3.176153e-01,1,3.783102e-01,1,5,443,2
E,4,1.185147e-01,1,3.783102e-01,1,4,459,3
E,4,1.689764e-01,1,3.783102e-01,1,1,517,0
E,4,3.783102e-01,1,3.783102e-01,1,9,522,1
E,4,1.185147e-01,1,3.783102e-01,1,4,527,3
E,4,3.176153e-01,1,3.783102e-01,1,5,602,2
E,4,3.783102e-01,1,3.783102e-01,1,9,678,1
E,4,3.176153e-01,1,3.783102e-01,1,5,796,2
E,4,1.185147e-01,1,3.783102e-01,1,4,808,3
E,4,3.176153e-01,1,3.783102e-01,1,5,816,2
E,4,3.783102e-01,1,3.783102e-01,1,9,827,1
E,5,1.899629e-01,1,3.393959e-01,1,5,71,3
E,5,1.083384e-01,1,3.393959e-01,1,1,149,0
E,5,5.316195e-02,1,3.393959e-01,1,2,188,4
E,5,3.031898e-01,1,3.393959e-01,1,6,277,1
E,5,3.031898e-01,1,3.393959e-01,1,6,325,1
E,5,3.393959e-01,1,3.393959e-01,1,2,422,2
E,5,3.031898e-01,1,3.393959e-01,1,6,452,1
E,5,3.031898e-01,1,3.393959e-01,1,6,457,1
E,5,5.316195e-02,1,3.393959e-01,1,2,505,4
