aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,47,76,1
E,1,5.000000e-01,2,5.000000e-01,2,47,77,1
E,1,5.000000e-01,2,5.000000e-01,2,47,370,1
E,1,5.000000e-01,2,5.000000e-01,2,47,472,1
E,1,5.000000e-01,2,5.000000e-01,2,47,735,1
E,1,5.000000e-01,2,5.000000e-01,2,47,736,1
E,1,5.000000e-01,2,5.000000e-01,2,47,753,1
E,1,5.000000e-01,2,5.000000e-01,2,47,755,1
E,1,5.000000e-01,2,5.000000e-01,2,47,870,1
E,1,5.000000e-01,2,5.000000e-01,2,47,887,1
E,1,5.000000e-01,2,5.000000e-01,2,47,907,1
E,1,5.000000e-01,2,5.000000e-01,2,47,1377,1
E,1,5.000000e-01,2,5.000000e-01,2,47,1700,1
E,1,5.000000e-01,2,5.000000e-01,2,47,1710,1
E,1,5.000000e-01,2,5.000000e-01,2,47,1714,1
E,1,5.000000e-01,2,5.000000e-01,2,47,1718,1
E,1,5.000000e-01,2,5.000000e-01,2,47,1761,1
E,1,5.000000e-01,2,5.000000e-01,2,47,1764,1
E,1,5.000000e-01,2,5.000000e-01,2,47,1897,1
E,1,5.000000e-01,2,5.000000e-01,2,47,1978,1
E,1,5.000000e-01,2,5.000000e-01,2,47,2117,1
E,1,5.000000e-01,2,5.000000e-01,2,47,2165,1
E,1,5.000000e-01,2,5.000000e-01,2,47,2166,1
E,1,5.000000e-01,2,5.000000e-01,2,47,2186,1
E,1,5.000000e-01,2,5.000000e-01,2,47,2231,1
E,1,5.000000e-01,2,5.000000e-01,2,47,2263,1
E,1,5.000000e-01,2,5.000000e-01,2,47,2568,1
E,1,5.000000e-01,2,5.000000e-01,2,47,2672,1
E,1,5.000000e-01,2,5.000000e-01,2,47,2894,1
E,1,5.000000e-01,2,5.000000e-01,2,47,3221,1
E,1,5.000000e-01,2,5.000000e-01,2,47,3331,1
E,1,5.000000e-01,2,5.000000e-01,2,47,3415,1
E,1,5.000000e-01,2,5.000000e-01,2,47,3630,1
E,1,5.000000e-01,2,5.000000e-01,2,47,3691,1
