aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.681207e-01,1,6.681207e-01,1,7,74,0
E,1,3.318793e-01,1,6.681207e-01,1,4,120,0
E,1,3.318793e-01,1,6.681207e-01,1,4,176,0
E,1,6.681207e-01,1,6.681207e-01,1,7,292,0
E,1,3.318793e-01,1,6.681207e-01,1,4,482,0
E,1,6.681207e-01,1,6.681207e-01,1,7,638,0
E,1,3.318793e-01,1,6.681207e-01,1,4,691,0
E,1,6.681207e-01,1,6.681207e-01,1,7,1246,0
E,1,6.681207e-01,1,6.681207e-01,1,7,1598,0
E,1,6.681207e-01,1,6.681207e-01,1,7,1811,0
E,1,6.681207e-01,1,6.681207e-01,1,7,1842,0
E,2,4.434708e-01,1,4.463853e-01,1,9,6,1
E,2,4.434708e-01,1,4.463853e-01,1,9,101,1
E,2,4.463853e-01,1,4.463853e-01,1,8,254,1
E,2,4.463853e-01,1,4.463853e-01,1,8,260,1
E,2,4.463853e-01,1,4.463853e-01,1,8,308,1
E,2,4.434708e-01,1,4.463853e-01,1,9,324,1
E,2,4.434708e-01,1,4.463853e-01,1,9,498,1
E,2,4.463853e-01,1,4.463853e-01,1,8,626,1
E,2,4.434708e-01,1,4.463853e-01,1,9,827,1
E,2,4.463853e-01,1,4.463853e-01,1,8,836,1
E,2,4.434708e-01,1,4.463853e-01,1,9,872,1
E,2,4.463853e-01,1,4.463853e-01,1,8,883,1
E,2,4.463853e-01,1,4.463853e-01,1,8,1179,1
E,2,4.434708e-01,1,4.463853e-01,1,9,1388,1
E,2,4.434708e-01,1,4.463853e-01,1,9,1593,1
E,2,4.434708e-01,1,4.463853e-01,1,9,1652,1
E,2,4.463853e-01,1,4.463853e-01,1,8,1708,1
E,3,2.207682e-01,1,4.444381e-01,1,3,182,2
E,3,4.444381e-01,1,4.444381e-01,1,13,219,2
E,3,2.982393e-01,1,4.444381e-01,1,7,258,2
E,3,2.207682e-01,1,4.444381e-01,1,3,267,2
E,3,4.444381e-01,1,4.444381e-01,1,13,307,2
E,3,2.982393e-01,1,4.444381e-01,1,7,343,2
E,3,4.444381e-01,1,4.444381e-01,1,13,366,2
E,3,2.982393e-01,1,4.444381e-01,1,7,470,2
E,3,4.444381e-01,1,4.444381e-01,1,13,474,2
E,3,2.982393e-01,1,4.444381e-01,1,7,484,2
E,3,4.444381e-01,1,4.444381e-01,1,13,608,2
E,3,4.444381e-01,1,4.444381e-01,1,13,640,2
E,3,2.982393e-01,1,4.444381e-01,1,7,652,2
E,3,2.982393e-01,1,4.444381e-01,1,7,679,2
E,3,2.982393e-01,1,4.444381e-01,1,7,692,2
E,3,4.444381e-01,1,4.444381e-01,1,13,982,2
E,3,2.207682e-01,1,4.444381e-01,1,3,1109,2
E,3,4.444381e-01,1,4.444381e-01,1,13,1146,2
E,3,4.444381e-01,1,4.444381e-01,1,13,1178,2
E,3,4.444381e-01,1,4.444381e-01,1,13,1244,2
E,3,4.444381e-01,1,4.444381e-01,1,13,1606,2
E,3,4.444381e-01,1,4.444381e-01,1,13,1738,2
E,3,4.444381e-01,1,4.444381e-01,1,13,1752,2
E,4,9.769117e-02,1,3.959177e-01,1,4,63,3
E,4,1.992599e-01,1,3.959177e-01,1,6,108,3
E,4,9.769117e-02,1,3.959177e-01,1,4,110,3
E,4,2.949996e-01,1,3.959177e-01,1,13,316,3
E,4,2.949996e-01,1,3.959177e-01,1,13,385,3
E,4,3.959177e-01,1,3.959177e-01,1,11,410,3
E,4,3.959177e-01,1,3.959177e-01,1,11,508,3
E,4,3.959177e-01,1,3.959177e-01,1,11,534,3
E,4,1.992599e-01,1,3.959177e-01,1,6,589,3
E,4,1.992599e-01,1,3.959177e-01,1,6,618,3
E,4,2.949996e-01,1,3.959177e-01,1,13,623,3
E,4,2.949996e-01,1,3.959177e-01,1,13,629,3
E,4,3.959177e-01,1,3.959177e-01,1,11,631,3
E,4,9.769117e-02,1,3.959177e-01,1,4,866,3
E,4,3.959177e-01,1,3.959177e-01,1,11,917,3
E,4,2.949996e-01,1,3.959177e-01,1,13,931,3
E,4,3.959177e-01,1,3.959177e-01,1,11,1050,3
E,4,3.959177e-01,1,3.959177e-01,1,11,1075,3
E,4,3.959177e-01,1,3.959177e-01,1,11,1082,3
E,4,2.949996e-01,1,3.959177e-01,1,13,1085,3
E,4,3.959177e-01,1,3.959177e-01,1,11,1104,3
E,4,2.949996e-01,1,3.959177e-01,1,13,1241,3
E,4,3.959177e-01,1,3.959177e-01,1,11,1247,3
E,4,2.949996e-01,1,3.959177e-01,1,13,1255,3
E,4,1.213167e-02,1,3.959177e-01,1,1,1265,3
E,4,2.949996e-01,1,3.959177e-01,1,13,1268,3
E,4,2.949996e-01,1,3.959177e-01,1,13,1364,3
E,4,1.992599e-01,1,3.959177e-01,1,6,1421,3
E,4,1.992599e-01,1,3.959177e-01,1,6,1440,3
E,4,9.769117e-02,1,3.959177e-01,1,4,1447,3
E,4,2.949996e-01,1,3.959177e-01,1,13,1590,3
E,4,2.949996e-01,1,3.959177e-01,1,13,1670,3
E,4,2.949996e-01,1,3.959177e-01,1,13,1778,3
E,4,3.959177e-01,1,3.959177e-01,1,11,1825,3
E,4,1.992599e-01,1,3.959177e-01,1,6,1857,3
E,5,1.631737e-01,1,3.306511e-01,1,7,45,3
E,5,3.306511e-01,1,3.306511e-01,1,17,154,3
E,5,1.631737e-01,1,3.306511e-01,1,7,212,3
E,5,3.306511e-01,1,3.306511e-01,1,17,329,3
E,5,3.284922e-01,1,3.306511e-01,1,15,355,3
E,5,3.284922e-01,1,3.306511e-01,1,15,367,3
E,5,3.306511e-01,1,3.306511e-01,1,17,378,3
E,5,3.284922e-01,1,3.306511e-01,1,15,426,3
E,5,3.306511e-01,1,3.306511e-01,1,17,444,3
E,5,1.331296e-01,1,3.306511e-01,1,5,465,3
