aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,5,104,0
E,1,5.000000e-01,2,5.000000e-01,2,5,138,0
E,1,5.000000e-01,2,5.000000e-01,2,5,305,0
E,1,5.000000e-01,2,5.000000e-01,2,5,382,0
E,1,5.000000e-01,2,5.000000e-01,2,5,569,0
E,2,2.500000e-01,2,5.000000e-01,1,3,139,0
E,2,5.000000e-01,1,5.000000e-01,1,1,154,1
E,2,2.500000e-01,2,5.000000e-01,1,3,275,0
E,2,2.500000e-01,2,5.000000e-01,1,3,561,0
E,3,3.750000e-01,2,3.750000e-01,2,2,125,1
E,3,1.250000e-01,2,3.750000e-01,2,6,140,0
E,3,1.250000e-01,2,3.750000e-01,2,6,400,0
E,3,1.250000e-01,2,3.750000e-01,2,6,468,0
E,3,3.750000e-01,2,3.750000e-01,2,2,472,1
E,3,1.250000e-01,2,3.750000e-01,2,6,543,0
E,3,1.250000e-01,2,3.750000e-01,2,6,552,0
E,3,1.250000e-01,2,3.750000e-01,2,6,566,0
E,4,6.250000e-02,2,3.750000e-01,1,7,48,0
E,4,2.500000e-01,2,3.750000e-01,1,4,56,1
E,4,2.500000e-01,2,3.750000e-01,1,4,58,1
E,4,2.500000e-01,2,3.750000e-01,1,4,68,1
E,4,6.250000e-02,2,3.750000e-01,1,7,78,0
E,4,6.250000e-02,2,3.750000e-01,1,7,87,0
E,4,2.500000e-01,2,3.750000e-01,1,4,245,1
E,4,6.250000e-02,2,3.750000e-01,1,7,253,0
E,4,6.250000e-02,2,3.750000e-01,1,7,273,0
E,4,6.250000e-02,2,3.750000e-01,1,7,417,0
E,4,6.250000e-02,2,3.750000e-01,1,7,486,0
E,5,3.125000e-01,2,3.125000e-01,2,1,75,2
E,5,3.125000e-02,2,3.125000e-01,2,10,88,0
E,5,1.562500e-01,2,3.125000e-01,2,1,109,1
E,5,3.125000e-02,2,3.125000e-01,2,10,175,0
E,5,3.125000e-02,2,3.125000e-01,2,10,220,0
E,5,3.125000e-02,2,3.125000e-01,2,10,376,0
E,5,3.125000e-02,2,3.125000e-01,2,10,391,0
E,5,3.125000e-02,2,3.125000e-01,2,10,418,0
E,5,3.125000e-02,2,3.125000e-01,2,10,425,0
E,5,3.125000e-02,2,3.125000e-01,2,10,555,0
E,5,3.125000e-02,2,3.125000e-01,2,10,563,0
E,5,3.125000e-02,2,3.125000e-01,2,10,565,0
E,6,9.375000e-02,2,3.125000e-01,1,2,4,1
E,6,1.562500e-02,2,3.125000e-01,1,3,72,0
E,6,1.562500e-02,2,3.125000e-01,1,3,74,0
E,6,9.375000e-02,2,3.125000e-01,1,2,223,1
E,6,2.343750e-01,2,3.125000e-01,1,1,345,2
E,6,1.562500e-02,2,3.125000e-01,1,3,538,0
E,7,5.468750e-02,2,2.734375e-01,2,5,34,1
E,7,7.812500e-03,2,2.734375e-01,2,12,45,0
E,7,7.812500e-03,2,2.734375e-01,2,12,67,0
E,7,7.812500e-03,2,2.734375e-01,2,12,123,0
