aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,60,30,1
E,1,5.000000e-01,2,5.000000e-01,2,60,181,1
E,1,5.000000e-01,2,5.000000e-01,2,60,212,1
E,1,5.000000e-01,2,5.000000e-01,2,60,224,1
E,1,5.000000e-01,2,5.000000e-01,2,60,289,1
E,1,5.000000e-01,2,5.000000e-01,2,60,294,1
E,1,5.000000e-01,2,5.000000e-01,2,60,295,1
E,1,5.000000e-01,2,5.000000e-01,2,60,313,1
E,1,5.000000e-01,2,5.000000e-01,2,60,332,1
E,1,5.000000e-01,2,5.000000e-01,2,60,359,1
E,1,5.000000e-01,2,5.000000e-01,2,60,403,1
E,1,5.000000e-01,2,5.000000e-01,2,60,404,1
E,1,5.000000e-01,2,5.000000e-01,2,60,410,1
E,1,5.000000e-01,2,5.000000e-01,2,60,475,1
E,1,5.000000e-01,2,5.000000e-01,2,60,517,1
E,1,5.000000e-01,2,5.000000e-01,2,60,529,1
E,1,5.000000e-01,2,5.000000e-01,2,60,542,1
E,1,5.000000e-01,2,5.000000e-01,2,60,578,1
E,1,5.000000e-01,2,5.000000e-01,2,60,580,1
E,1,5.000000e-01,2,5.000000e-01,2,60,589,1
E,1,5.000000e-01,2,5.000000e-01,2,60,622,1
E,1,5.000000e-01,2,5.000000e-01,2,60,660,1
E,1,5.000000e-01,2,5.000000e-01,2,60,689,1
E,1,5.000000e-01,2,5.000000e-01,2,60,707,1
E,1,5.000000e-01,2,5.000000e-01,2,60,709,1
E,1,5.000000e-01,2,5.000000e-01,2,60,734,1
E,1,5.000000e-01,2,5.000000e-01,2,60,846,1
E,1,5.000000e-01,2,5.000000e-01,2,60,964,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1040,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1053,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1063,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1099,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1111,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1197,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1260,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1305,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1324,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1390,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1399,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1575,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1594,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1660,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1682,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1724,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1732,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1766,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1812,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1884,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1896,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1937,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1946,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1992,1
E,1,5.000000e-01,2,5.000000e-01,2,60,1993,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2013,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2021,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2083,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2089,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2105,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2139,1
E,1,5.000000e-01,2,5.000000e-01,2,60,2165,1
E,2,5.000000e-01,1,5.000000e-01,1,41,23,1
E,2,5.000000e-01,1,5.000000e-01,1,41,65,1
E,2,2.500000e-01,2,5.000000e-01,1,32,75,1
E,2,5.000000e-01,1,5.000000e-01,1,41,111,1
E,2,5.000000e-01,1,5.000000e-01,1,41,199,1
E,2,2.500000e-01,2,5.000000e-01,1,32,204,1
E,2,5.000000e-01,1,5.000000e-01,1,41,299,1
E,2,5.000000e-01,1,5.000000e-01,1,41,358,1
E,2,5.000000e-01,1,5.000000e-01,1,41,406,1
E,2,2.500000e-01,2,5.000000e-01,1,32,432,1
E,2,2.500000e-01,2,5.000000e-01,1,32,624,1
E,2,5.000000e-01,1,5.000000e-01,1,41,684,1
E,2,5.000000e-01,1,5.000000e-01,1,41,697,1
E,2,5.000000e-01,1,5.000000e-01,1,41,780,1
E,2,5.000000e-01,1,5.000000e-01,1,41,830,1
E,2,2.500000e-01,2,5.000000e-01,1,32,847,1
E,2,5.000000e-01,1,5.000000e-01,1,41,861,1
E,2,5.000000e-01,1,5.000000e-01,1,41,889,1
E,2,5.000000e-01,1,5.000000e-01,1,41,901,1
E,2,2.500000e-01,2,5.000000e-01,1,32,903,1
E,2,2.500000e-01,2,5.000000e-01,1,32,912,1
E,2,2.500000e-01,2,5.000000e-01,1,32,938,1
E,2,2.500000e-01,2,5.000000e-01,1,32,956,1
E,2,2.500000e-01,2,5.000000e-01,1,32,1046,1
E,2,5.000000e-01,1,5.000000e-01,1,41,1052,1
E,2,5.000000e-01,1,5.000000e-01,1,41,1054,1
E,2,5.000000e-01,1,5.000000e-01,1,41,1057,1
E,2,2.500000e-01,2,5.000000e-01,1,32,1070,1
E,2,2.500000e-01,2,5.000000e-01,1,32,1076,1
E,2,5.000000e-01,1,5.000000e-01,1,41,1087,1
E,2,5.000000e-01,1,5.000000e-01,1,41,1094,1
E,2,2.500000e-01,2,5.000000e-01,1,32,1102,1
E,2,2.500000e-01,2,5.000000e-01,1,32,1114,1
E,2,5.000000e-01,1,5.000000e-01,1,41,1152,1
E,2,2.500000e-01,2,5.000000e-01,1,32,1177,1
E,2,2.500000e-01,2,5.000000e-01,1,32,1180,1
E,2,2.500000e-01,2,5.000000e-01,1,32,1254,1
E,2,5.000000e-01,1,5.000000e-01,1,41,1256,1
E,2,5.000000e-01,1,5.000000e-01,1,41,1318,1
E,2,5.000000e-01,1,5.000000e-01,1,41,1334,1
E,2,5.000000e-01,1,5.000000e-01,1,41,1340,1
E,2,2.500000e-01,2,5.000000e-01,1,32,1372,1
E,2,5.000000e-01,1,5.000000e-01,1,41,1417,1
