species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0091,0.009538,0.576245,14
saccharomyces_sp_boulardii_,KO01_00440,0.038500,0.820629,14
saccharomyces_arboricola_h_6,SU7_0057,0.038500,0.820629,14
saccharomyces_eubayanus,DI49_0090,0.160267,0.987314,14
tetrapisispora_phaffii_cbs_4417,TPHA_0K00590,-0.000000,0.352394,19
kazachstania_africana_cbs_2517,KAFR_0G01130,-0.000000,0.196381,16
kazachstania_naganishii_cbs_8797,KNAG_0C04360,0.427378,0.998037,17
naumovozyma_castellii_cbs_4309,NCAS_0E02390,0.009538,0.576245,14
naumovozyma_dairenensis_cbs_421,NDAI_0E03950,0.038500,0.820629,14
vanderwaltozyma_polyspora_dsm_70294,Kpol_1018p115,0.039713,0.856712,17
vanderwaltozyma_polyspora_dsm_70294,Kpol_1045p9,0.080487,0.951273,17
_candida_glabrata,CAGL0M09581g,0.195920,0.996505,16
torulaspora_delbrueckii,TDEL_0C02950,0.274370,0.999402,15
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAGL272C,0.591416,0.996505,16
lachancea_lanzarotensis,LALA0_S01e05754g,0.392989,0.998436,14
ashbya_gossypii,AGOS_AGL272C,0.584634,0.999402,15
eremothecium_cymbalariae_dbvpg_7215,Ecym_7121,0.103373,0.965210,15
eremothecium_sinecaudum,AW171_hschr42370,0.392989,0.998436,14
lachancea_thermotolerans_cbs_6340,KLTH0C05698g,0.591416,0.996505,16
kluyveromyces_lactis,KLLA0_E06667g,0.404097,0.999402,15
kluyveromyces_marxianus_dmku3_1042,KLMA_70140,0.404097,0.999402,15
hanseniaspora_opuntiae,AWRI3578_g1325,0.259288,0.998436,14
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_50973,0.122254,0.979409,16
hanseniaspora_uvarum_dsm_2768,D499_0F01020,0.259288,0.998436,14
hanseniaspora_osmophila,AWRI3579_g3021,0.009538,0.576245,14
tetrapisispora_blattae_cbs_6284,TBLA_0I00990,0.210385,0.998037,17
zygosaccharomyces_bailii_isa1307,ZBAI_08335,0.227076,0.999515,18
zygosaccharomyces_bailii_isa1307,ZBAI_03329,0.227076,0.999515,18
zygosaccharomyces_rouxii,ZYRO0F13068g,0.418129,0.996505,16
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_28380,0.176614,0.992987,15
kuraishia_capsulata_cbs_1993,KUCA_T00001079001,0.392989,0.998436,14
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_49613,0.361984,0.999893,12
cyberlindnera_jadinii,BN1211_6171,0.361984,0.999893,12
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_17928,0.274370,0.999402,15
ogataea_parapolymorpha_dl_1,HPODL_02577,0.418129,0.996505,16
brettanomyces_bruxellensis_awri1499,AWRI1499_3314,0.176614,0.992987,15
ogataea_polymorpha,OGAPODRAFT_15376,0.404097,0.999402,15
komagataella_phaffii_cbs_7435,PP7435_CHR3-0630,0.274370,0.999402,15
komagataella_pastoris,PAS_chr3_0576,0.274370,0.999402,15
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_8173,0.581493,0.998436,14
pichia_kudriavzevii,JL09_g2373,0.122254,0.979409,16
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_77523,-0.000000,0.196381,16
wickerhamomyces_ciferrii,BN7_4133,0.137828,0.977784,13
_candida_auris,QG37_05721,0.404097,0.999402,15
_candida_tenuis_atcc_10573,CANTEDRAFT_124062,0.237772,0.996844,13
