species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0237,0.037993,0.738481,49
saccharomyces_sp_boulardii_,KO01_00287,0.037993,0.738481,49
saccharomyces_eubayanus,DI49_1105,0.031622,0.628784,48
zygosaccharomyces_bailii_isa1307,ZBAI_02838,0.094301,0.980160,49
zygosaccharomyces_bailii_isa1307,ZBAI_09096,0.149578,0.999782,47
zygosaccharomyces_rouxii,ZYRO0G12474g,0.151284,0.999960,46
torulaspora_delbrueckii,TDEL_0D03340,0.051547,0.870470,53
naumovozyma_dairenensis_cbs_421,NDAI_0A07510,0.078503,0.878553,35
naumovozyma_castellii_cbs_4309,NCAS_0I01510,0.129438,0.996444,47
kazachstania_naganishii_cbs_8797,KNAG_0J02230,0.076037,0.918846,43
kazachstania_africana_cbs_2517,KAFR_0C00390,0.280668,0.999927,32
tetrapisispora_phaffii_cbs_4417,TPHA_0M01230,0.217406,0.999977,42
tetrapisispora_blattae_cbs_6284,TBLA_0G03190,0.108783,0.978870,42
lachancea_lanzarotensis,LALA0_S06e04654g,0.100064,0.983334,48
ashbya_gossypii,AGOS_AGL212W,0.015701,0.472783,66
lachancea_thermotolerans_cbs_6340,KLTH0C05038g,0.014821,0.304775,48
eremothecium_sinecaudum,AW171_hschr74425,0.049155,0.874463,54
eremothecium_cymbalariae_dbvpg_7215,Ecym_2678,0.067595,0.931275,50
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAGL212W,0.007608,0.222843,63
_candida_glabrata,CAGL0M01958g,0.112817,0.988755,46
kluyveromyces_lactis,KLLA0_F11814g,0.183493,0.999960,46
kluyveromyces_marxianus_dmku3_1042,KLMA_20179,0.152589,0.998037,43
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_52248,0.345340,0.999997,40
hanseniaspora_uvarum_dsm_2768,D499_0D00460,0.237375,0.999977,39
hanseniaspora_osmophila,AWRI3579_g4251,0.119045,0.987683,43
hanseniaspora_opuntiae,AWRI3578_g3053,0.041288,0.674474,38
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_27671,0.083450,0.920631,38
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_8953,0.094095,0.967649,44
brettanomyces_bruxellensis_awri1499,AWRI1499_3795,0.024006,0.324905,26
ogataea_parapolymorpha_dl_1,HPODL_01003,0.282393,0.999984,44
scheffersomyces_stipitis_cbs_6054,PICST_15102,0.147187,0.990327,36
candida_dubliniensis_cd36,CD36_24530,0.127595,0.960989,30
pichia_kudriavzevii,JL09_g475,0.146614,0.907984,18
meyerozyma_guilliermondii_atcc_6260,PGUG_01392,0.139830,0.999983,53
candida_parapsilosis_cdc317,CPAR2_407700,0.049232,0.708373,36
candida_maltosa_xu316,G210_5820,0.298685,0.999910,29
candida_tropicalis_mya_3404,CTRG_02020,0.164060,0.996459,37
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_26326,0.081975,0.840515,29
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_70719,0.124776,0.985185,39
candida_albicans_wo_1,CAWG_06143,0.184285,0.999937,38
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0I14462g,0.021232,0.387615,38
cyberlindnera_jadinii,BN1211_3077,0.031257,0.638882,47
lodderomyces_elongisporus_nrrl_yb_4239,LELG_02337,0.135207,0.999989,59
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_159629,0.062908,0.936573,56
debaryomyces_hansenii_cbs767,DEHA2F06446g,0.156898,0.997107,39
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0J16267g,0.168598,0.997727,38
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_47617,0.170414,0.998824,39
ogataea_polymorpha,OGAPODRAFT_16665,0.207619,0.999994,47
clavispora_lusitaniae_atcc_42720,CLUG_04866,0.067742,0.893852,43
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_34758,0.318458,0.999977,42
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_179170,0.380502,0.999960,46
komagataella_pastoris,PAS_FragB_0039,0.036954,0.658524,41
candida_orthopsilosis_co_90_125,CORT_0C07040,0.074685,0.866617,36
_candida_tenuis_atcc_10573,CANTEDRAFT_137339,0.021582,0.466289,47
_candida_auris,QG37_06498,0.012164,0.338361,59
debaryomyces_fabryi,AC631_03398,0.146614,0.907984,18
komagataella_phaffii_cbs_7435,PP7435_CHR1-1523,0.036954,0.658524,41
kuraishia_capsulata_cbs_1993,KUCA_T00002407001,0.034213,0.744819,56
wickerhamomyces_ciferrii,BN7_1902,0.597262,0.999960,46
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_24960,0.066065,0.843427,37
yarrowia_lipolytica,YALI0_E24431g,0.127048,0.998761,51
tortispora_caseinolytica_nrrl_y_17796,CANCADRAFT_13489,0.122002,0.987682,41
sugiyamaella_lignohabitans,AWJ20_2768,0.091330,0.980749,51
geotrichum_candidum,BN980_GECA08s03167g,0.086511,0.988819,60
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_49534,0.076784,0.980876,61
lipomyces_starkeyi_nrrl_y_11557,LIPSTDRAFT_44589,0.199853,0.999983,53
schizosaccharomyces_pombe,SPAC22F3.03c,0.110856,0.970814,38
schizosaccharomyces_octosporus,SOCG_02020,0.265544,0.999977,39
schizosaccharomyces_cryophilus,SPOG_03991,0.114877,0.965698,36
schizosaccharomyces_japonicus,SJAG_00980,0.046919,0.723970,37
byssochlamys_spectabilis_no_5,PVAR5_2934,0.058411,0.967418,72
penicillium_nordicum,ACN38_g8200,0.019821,0.571801,66
arthroderma_benhamiae_cbs_112371,ARB_01851,0.033585,0.773706,63
uncinocarpus_reesii_1704,UREG_07082,0.027797,0.667573,60
setosphaeria_turcica_et28a,SETTUDRAFT_138023,0.114056,0.999443,58
bipolaris_victoriae_fi3,COCVIDRAFT_113502,0.069532,0.963224,58
rasamsonia_emersonii_cbs_393_64,T310_1812,0.043337,0.899038,69
macrophomina_phaseolina_ms6,MPH_10185,0.272185,0.999993,58
pseudogymnoascus_verrucosus,VE01_02180,0.176650,0.999960,78
bipolaris_maydis_c5,COCHEDRAFT_1167819,0.058592,0.928031,57
pseudogymnoascus_sp_vkm_f_4517_fw_2822_,V498_02082,0.027939,0.977536,158
aspergillus_flavus,AFLA_084510,0.020454,0.502129,54
erysiphe_necator,EV44_g4930,0.023126,0.528070,52
penicillium_chrysogenum,EN45_045290,0.007712,0.232409,67
pyrenophora_teres,PTT_18347,0.154479,0.999989,59
pseudogymnoascus_sp_03vt05,VE02_05840,0.190326,0.999991,79
aspergillus_ochraceoroseus,AOCH_001765,0.123250,0.999992,68
coccidioides_posadasii_str_silveira,CPSG_02742,0.026544,0.727709,71
coniosporium_apollinis_cbs_100218,W97_01597,0.190183,0.999987,62
cercospora_fijiensis_cirad86,MYCFIDRAFT_213848,0.146007,0.999977,65
trichophyton_tonsurans_cbs_112818,TESG_04786,0.045684,0.902594,66
bipolaris_sorokiniana_nd90pr,COCSADRAFT_264941,0.140587,0.999989,59
trichophyton_verrucosum_hki_0517,TRV_04621,0.026595,0.688226,65
paracoccidioides_sp_lutzii_pb01,PAAG_02129,0.011684,0.399921,75
pseudocercospora_musae,AC579_1253,0.062204,0.960149,64
bipolaris_oryzae_atcc_44560,COCMIDRAFT_94940,0.082053,0.978432,56
capronia_coronata_cbs_617_96,A1O1_07294,0.047674,0.925868,69
zymoseptoria_tritici,Mycgr3G10632,0.794513,0.984642,4
exophiala_oligosperma,PV06_07517,0.050751,0.911332,61
bipolaris_zeicola_26_r_13,COCCADRAFT_84792,0.069532,0.963224,58
pseudogymnoascus_sp_wsf_3629,VE00_09525,0.251574,0.999970,70
talaromyces_stipitatus_atcc_10500,TSTA_094310,0.024463,0.691612,70
dactylellina_haptotyla_cbs_200_50,H072_4846,0.015342,0.409498,57
baudoinia_panamericana_uamh_10762,BAUCODRAFT_569497,0.239235,0.999970,70
pseudogymnoascus_sp_vkm_f_4281_fw_2241_,V493_03702,NaN,NaN,NaN
cladophialophora_psammophila_cbs_110553,A1O5_12925,0.010248,0.305050,65
pyrenophora_triticirepentis,PTRG_10508,0.163531,0.999989,59
aspergillus_clavatus,CADACLAG00002927,0.062783,0.954958,61
phaeomoniella_chlamydospora,UCRPC4_g03094,0.109736,0.999849,61
