species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0029,0.150408,0.580354,10
saccharomyces_sp_boulardii_,KO01_00045,0.150408,0.580354,10
saccharomyces_eubayanus,DI49_0029,0.150408,0.580354,10
kazachstania_naganishii_cbs_8797,KNAG_0D04940,0.222336,0.831775,13
vanderwaltozyma_polyspora_dsm_70294,Kpol_1071p8,0.602463,0.999966,13
kazachstania_africana_cbs_2517,KAFR_0K00570,0.223970,0.766938,8
_candida_glabrata,CAGL0M11836g,0.351011,0.960015,12
naumovozyma_dairenensis_cbs_421,NDAI_0H01530,0.219722,0.783508,10
naumovozyma_castellii_cbs_4309,NCAS_0F01040,0.223970,0.766938,8
zygosaccharomyces_bailii_isa1307,ZBAI_04918,0.150408,0.580354,10
zygosaccharomyces_rouxii,ZYRO0D04356g,0.199715,0.862594,15
torulaspora_delbrueckii,TDEL_0H03920,0.275655,0.912644,13
zygosaccharomyces_bailii_isa1307,ZBAI_06819,0.150408,0.580354,10
tetrapisispora_blattae_cbs_6284,TBLA_0E01890,0.289037,0.924015,10
tetrapisispora_phaffii_cbs_4417,TPHA_0N00460,0.712001,0.999724,11
lachancea_thermotolerans_cbs_6340,KLTH0D01870g,0.242943,0.906030,14
lachancea_lanzarotensis,LALA0_S14e00386g,0.118570,0.599172,16
kluyveromyces_lactis,KLLA0_F02453g,0.372232,0.994666,17
kluyveromyces_marxianus_dmku3_1042,KLMA_50105,0.358352,0.955906,10
eremothecium_sinecaudum,AW171_hschr53156,0.223970,0.766938,8
ashbya_gossypii,AGOS_ADR362C,0.053319,0.151601,13
eremothecium_cymbalariae_dbvpg_7215,Ecym_5058,0.179176,0.692965,10
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADR362C,0.031190,0.114343,13
hanseniaspora_osmophila,AWRI3579_g2220,0.454008,0.984516,7
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_63589,0.840872,0.999522,7
hanseniaspora_opuntiae,AWRI3578_g3290,0.683927,0.999522,7
ogataea_parapolymorpha_dl_1,HPODL_05368,0.099874,0.353194,11
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_72183,0.651198,0.999948,18
pichia_kudriavzevii,JL09_g5126,0.299622,0.909149,11
pichia_kudriavzevii,JL09_g981,0.299622,0.909149,11
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_191358,0.346060,0.969938,11
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_31736,0.346060,0.969938,11
komagataella_pastoris,PAS_chr3_0927,0.317222,0.933269,12
komagataella_phaffii_cbs_7435,PP7435_CHR3-1611,0.317222,0.933269,12
wickerhamomyces_ciferrii,BN7_6734,0.276101,0.879567,9
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_24530,0.321152,0.933608,9
candida_albicans_wo_1,CAWG_02604,0.409074,0.983702,11
candida_parapsilosis_cdc317,CPAR2_103500,0.216891,0.740921,12
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_26532,0.262761,0.866958,11
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_163042,0.272956,0.946329,15
scheffersomyces_stipitis_cbs_6054,PICST_83666,0.216891,0.740921,12
candida_dubliniensis_cd36,CD36_82830,0.555386,0.998632,11
kuraishia_capsulata_cbs_1993,KUCA_T00003179001,0.321152,0.933608,9
meyerozyma_guilliermondii_atcc_6260,PGUG_04645,0.332426,0.973687,14
lodderomyces_elongisporus_nrrl_yb_4239,LELG_02005,0.223970,0.766938,8
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_152868,0.466535,0.993652,12
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0L01133g,0.262761,0.866958,11
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_140191,0.137327,0.534252,8
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_39205,0.093228,0.455593,16
candida_tropicalis_mya_3404,CTRG_02562,0.793207,0.999856,9
debaryomyces_hansenii_cbs767,DEHA2G01188g,0.449981,0.993234,10
candida_orthopsilosis_co_90_125,CORT_0B04710,0.289037,0.924015,10
_candida_auris,QG37_07446,0.274653,0.887985,12
debaryomyces_fabryi,AC631_04292,0.346060,0.969938,11
_candida_tenuis_atcc_10573,CANTEDRAFT_96881,0.248491,0.802279,10
clavispora_lusitaniae_atcc_42720,CLUG_02383,0.199748,0.764502,11
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0K01132g,0.262761,0.866958,11
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_14877,0.136734,0.513708,11
sugiyamaella_lignohabitans,AWJ20_3522,0.208312,0.806931,13
lipomyces_starkeyi_nrrl_y_11557,LIPSTDRAFT_63281,0.153506,0.709450,15
yarrowia_lipolytica,YALI0_B04752g,0.099874,0.353194,11
geotrichum_candidum,BN980_GECA12s03387g,0.593136,0.999996,19
tortispora_caseinolytica_nrrl_y_17796,CANCADRAFT_134402,0.154993,0.588351,13
cladophialophora_bantiana_cbs_173_52,Z519_01719,0.085740,0.509942,20
pseudogymnoascus_sp_23342_1_i1,VE03_01779,0.119451,0.541178,15
sporothrix_schenckii_atcc_58251,HMPREF1624_06956,0.511464,0.999975,21
blastomyces_dermatitidis_er_3,BDCG_06932,0.278949,0.986881,21
exophiala_dermatitidis_nih_ut8656,HMPREF1120_00974,0.094856,0.567314,20
cyphellophora_europaea_cbs_101466,HMPREF1541_03820,0.208312,0.806931,13
colletotrichum_higginsianum,CH063_03528,0.150408,0.580354,10
acidomyces_richmondensis_bfw,M433DRAFT_66595,0.043322,0.189600,16
emmonsia_parva_uamh_139,EMPG_17306,0.303130,0.993563,22
exophiala_oligosperma,PV06_09052,0.039925,0.201840,20
fonsecaea_multimorphosa_cbs_102226,Z520_02868,0.120959,0.736947,24
aspergillus_nidulans,CADANIAG00009149,0.143176,0.798141,22
trichoderma_gamsii,TGAM01_02629,0.183102,0.685848,12
penicillium_camemberti_fm_013,PCAMFM013_S026g000121,0.357405,0.994756,18
oidiodendron_maius_zn,OIDMADRAFT_42381,0.226061,0.910838,17
penicillium_digitatum_phi26,PDIG_12690,0.172283,0.796043,18
aspergillus_calidoustus,ASPCAL12581,0.103382,0.629705,22
mycosphaerella_eumusae,AC578_10427,0.271904,0.924478,14
valsa_mali_var_pyri,VP1G_02187,0.317222,0.933269,12
exophiala_sideris,PV11_03182,0.121813,0.742476,22
arthrobotrys_oligospora_atcc_24927,AOL_s00097g145,0.216891,0.740921,12
