aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,2.281996e-01,1,7.718004e-01,1,8,1,1
E,1,7.718004e-01,1,7.718004e-01,1,38,71,1
E,1,2.281996e-01,1,7.718004e-01,1,8,125,1
E,1,7.718004e-01,1,7.718004e-01,1,38,176,1
E,1,7.718004e-01,1,7.718004e-01,1,38,271,1
E,1,7.718004e-01,1,7.718004e-01,1,38,410,1
E,1,7.718004e-01,1,7.718004e-01,1,38,417,1
E,1,7.718004e-01,1,7.718004e-01,1,38,484,1
E,1,2.281996e-01,1,7.718004e-01,1,8,497,1
E,1,7.718004e-01,1,7.718004e-01,1,38,500,1
E,1,7.718004e-01,1,7.718004e-01,1,38,575,1
E,1,7.718004e-01,1,7.718004e-01,1,38,717,1
E,1,7.718004e-01,1,7.718004e-01,1,38,839,1
E,1,7.718004e-01,1,7.718004e-01,1,38,893,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1062,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1066,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1134,1
E,1,2.281996e-01,1,7.718004e-01,1,8,1145,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1172,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1192,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1193,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1207,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1239,1
E,1,2.281996e-01,1,7.718004e-01,1,8,1261,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1287,1
E,1,2.281996e-01,1,7.718004e-01,1,8,1365,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1462,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1658,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1665,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1736,1
E,1,2.281996e-01,1,7.718004e-01,1,8,1785,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1791,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1838,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1878,1
E,1,7.718004e-01,1,7.718004e-01,1,38,1884,1
E,1,7.718004e-01,1,7.718004e-01,1,38,2061,1
E,1,7.718004e-01,1,7.718004e-01,1,38,2120,1
E,1,7.718004e-01,1,7.718004e-01,1,38,2167,1
E,1,7.718004e-01,1,7.718004e-01,1,38,2182,1
E,1,7.718004e-01,1,7.718004e-01,1,38,2191,1
E,1,7.718004e-01,1,7.718004e-01,1,38,2203,1
E,1,7.718004e-01,1,7.718004e-01,1,38,2228,1
E,1,7.718004e-01,1,7.718004e-01,1,38,2267,1
E,1,7.718004e-01,1,7.718004e-01,1,38,2301,1
E,1,7.718004e-01,1,7.718004e-01,1,38,2364,1
E,1,2.281996e-01,1,7.718004e-01,1,8,2381,1
E,2,5.956759e-01,1,5.956759e-01,1,33,6,0
E,2,5.956759e-01,1,5.956759e-01,1,33,46,0
E,2,3.522491e-01,1,5.956759e-01,1,16,189,0
E,2,5.956759e-01,1,5.956759e-01,1,33,270,0
E,2,5.956759e-01,1,5.956759e-01,1,33,294,0
E,2,5.956759e-01,1,5.956759e-01,1,33,407,0
E,2,5.207505e-02,1,5.956759e-01,1,4,412,0
E,2,5.956759e-01,1,5.956759e-01,1,33,422,0
E,2,5.956759e-01,1,5.956759e-01,1,33,475,0
E,2,3.522491e-01,1,5.956759e-01,1,16,482,0
E,2,5.956759e-01,1,5.956759e-01,1,33,515,0
E,2,3.522491e-01,1,5.956759e-01,1,16,567,0
E,2,3.522491e-01,1,5.956759e-01,1,16,597,0
E,2,5.956759e-01,1,5.956759e-01,1,33,604,0
E,2,3.522491e-01,1,5.956759e-01,1,16,712,0
E,2,5.956759e-01,1,5.956759e-01,1,33,824,0
E,2,5.956759e-01,1,5.956759e-01,1,33,838,0
E,2,3.522491e-01,1,5.956759e-01,1,16,860,0
E,2,5.956759e-01,1,5.956759e-01,1,33,883,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1028,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1061,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1085,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1138,0
E,2,3.522491e-01,1,5.956759e-01,1,16,1198,0
E,2,3.522491e-01,1,5.956759e-01,1,16,1307,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1381,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1382,0
E,2,3.522491e-01,1,5.956759e-01,1,16,1389,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1399,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1449,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1509,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1647,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1648,0
E,2,5.207505e-02,1,5.956759e-01,1,4,1668,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1671,0
E,2,3.522491e-01,1,5.956759e-01,1,16,1686,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1688,0
E,2,3.522491e-01,1,5.956759e-01,1,16,1705,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1706,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1741,0
E,2,3.522491e-01,1,5.956759e-01,1,16,1743,0
E,2,5.207505e-02,1,5.956759e-01,1,4,1821,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1969,0
E,2,5.956759e-01,1,5.956759e-01,1,33,1980,0
E,2,3.522491e-01,1,5.956759e-01,1,16,1984,0
E,2,3.522491e-01,1,5.956759e-01,1,16,2126,0
E,2,5.956759e-01,1,5.956759e-01,1,33,2131,0
E,2,3.522491e-01,1,5.956759e-01,1,16,2144,0
E,2,5.956759e-01,1,5.956759e-01,1,33,2229,0
E,2,3.522491e-01,1,5.956759e-01,1,16,2231,0
E,2,5.207505e-02,1,5.956759e-01,1,4,2274,0
E,2,5.956759e-01,1,5.956759e-01,1,33,2311,0
E,2,5.956759e-01,1,5.956759e-01,1,33,2393,0
E,3,4.077990e-01,1,4.597429e-01,1,21,37,1
E,3,4.597429e-01,1,4.597429e-01,1,24,120,1
E,3,4.597429e-01,1,4.597429e-01,1,24,146,1
E,3,4.597429e-01,1,4.597429e-01,1,24,177,1
E,3,4.597429e-01,1,4.597429e-01,1,24,209,1
E,3,4.597429e-01,1,4.597429e-01,1,24,255,1
E,3,4.077990e-01,1,4.597429e-01,1,21,289,1
E,3,4.597429e-01,1,4.597429e-01,1,24,350,1
E,3,1.188350e-02,1,4.597429e-01,1,1,396,1
E,3,4.597429e-01,1,4.597429e-01,1,24,465,1
E,3,4.597429e-01,1,4.597429e-01,1,24,592,1
E,3,4.597429e-01,1,4.597429e-01,1,24,611,1
E,3,4.077990e-01,1,4.597429e-01,1,21,641,1
E,3,4.597429e-01,1,4.597429e-01,1,24,859,1
E,3,4.597429e-01,1,4.597429e-01,1,24,887,1
E,3,4.597429e-01,1,4.597429e-01,1,24,910,1
E,3,4.077990e-01,1,4.597429e-01,1,21,926,1
E,3,4.597429e-01,1,4.597429e-01,1,24,936,1
E,3,4.597429e-01,1,4.597429e-01,1,24,978,1
E,3,4.597429e-01,1,4.597429e-01,1,24,1008,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1023,1
E,3,4.597429e-01,1,4.597429e-01,1,24,1029,1
E,3,4.597429e-01,1,4.597429e-01,1,24,1032,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1121,1
E,3,4.597429e-01,1,4.597429e-01,1,24,1152,1
E,3,4.597429e-01,1,4.597429e-01,1,24,1189,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1194,1
E,3,4.597429e-01,1,4.597429e-01,1,24,1211,1
E,3,4.597429e-01,1,4.597429e-01,1,24,1233,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1243,1
E,3,4.597429e-01,1,4.597429e-01,1,24,1326,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1338,1
E,3,1.205746e-01,1,4.597429e-01,1,5,1373,1
E,3,4.597429e-01,1,4.597429e-01,1,24,1519,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1633,1
E,3,1.205746e-01,1,4.597429e-01,1,5,1649,1
E,3,1.205746e-01,1,4.597429e-01,1,5,1650,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1666,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1856,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1894,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1913,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1937,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1942,1
E,3,4.077990e-01,1,4.597429e-01,1,21,1963,1
E,3,4.077990e-01,1,4.597429e-01,1,21,2068,1
E,3,4.077990e-01,1,4.597429e-01,1,21,2109,1
E,3,4.077990e-01,1,4.597429e-01,1,21,2233,1
E,3,4.077990e-01,1,4.597429e-01,1,21,2280,1
E,3,1.205746e-01,1,4.597429e-01,1,5,2286,1
E,3,4.597429e-01,1,4.597429e-01,1,24,2314,1
E,3,1.205746e-01,1,4.597429e-01,1,5,2355,1
E,4,3.548298e-01,1,4.196525e-01,1,17,32,0
E,4,1.861191e-01,1,4.196525e-01,1,9,35,0
E,4,3.548298e-01,1,4.196525e-01,1,17,96,0
E,4,4.196525e-01,1,4.196525e-01,1,15,111,0
E,4,4.196525e-01,1,4.196525e-01,1,15,136,0
E,4,4.196525e-01,1,4.196525e-01,1,15,170,0
E,4,4.196525e-01,1,4.196525e-01,1,15,232,0
E,4,1.861191e-01,1,4.196525e-01,1,9,332,0
E,4,1.861191e-01,1,4.196525e-01,1,9,335,0
E,4,3.548298e-01,1,4.196525e-01,1,17,357,0
E,4,4.196525e-01,1,4.196525e-01,1,15,395,0
E,4,3.548298e-01,1,4.196525e-01,1,17,408,0
E,4,1.861191e-01,1,4.196525e-01,1,9,481,0
E,4,3.548298e-01,1,4.196525e-01,1,17,509,0
E,4,4.196525e-01,1,4.196525e-01,1,15,513,0
E,4,1.861191e-01,1,4.196525e-01,1,9,531,0
E,4,4.196525e-01,1,4.196525e-01,1,15,540,0
E,4,4.196525e-01,1,4.196525e-01,1,15,642,0
E,4,4.196525e-01,1,4.196525e-01,1,15,665,0
E,4,3.548298e-01,1,4.196525e-01,1,17,708,0
E,4,4.196525e-01,1,4.196525e-01,1,15,820,0
E,4,3.548298e-01,1,4.196525e-01,1,17,1103,0
E,4,1.861191e-01,1,4.196525e-01,1,9,1136,0
E,4,3.548298e-01,1,4.196525e-01,1,17,1208,0
E,4,3.548298e-01,1,4.196525e-01,1,17,1225,0
E,4,4.196525e-01,1,4.196525e-01,1,15,1264,0
E,4,3.548298e-01,1,4.196525e-01,1,17,1314,0
E,4,1.861191e-01,1,4.196525e-01,1,9,1372,0
E,4,3.548298e-01,1,4.196525e-01,1,17,1458,0
E,4,3.548298e-01,1,4.196525e-01,1,17,1484,0
E,4,1.861191e-01,1,4.196525e-01,1,9,1676,0
E,4,3.548298e-01,1,4.196525e-01,1,17,1839,0
E,4,1.861191e-01,1,4.196525e-01,1,9,1889,0
E,4,3.548298e-01,1,4.196525e-01,1,17,1909,0
E,4,3.548298e-01,1,4.196525e-01,1,17,1914,0
E,4,3.548298e-01,1,4.196525e-01,1,17,2101,0
E,4,4.196525e-01,1,4.196525e-01,1,15,2138,0
