aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,1.490147e-01,1,8.509853e-01,1,1,288,1
E,1,8.509853e-01,1,8.509853e-01,1,8,669,0
E,1,8.509853e-01,1,8.509853e-01,1,8,838,0
E,1,8.509853e-01,1,8.509853e-01,1,8,867,0
E,1,8.509853e-01,1,8.509853e-01,1,8,1157,0
E,1,8.509853e-01,1,8.509853e-01,1,8,1241,0
E,1,8.509853e-01,1,8.509853e-01,1,8,1258,0
E,1,8.509853e-01,1,8.509853e-01,1,8,1490,0
E,1,8.509853e-01,1,8.509853e-01,1,8,1491,0
E,2,7.241760e-01,1,7.241760e-01,1,16,6,0
E,2,7.241760e-01,1,7.241760e-01,1,16,179,0
E,2,2.536186e-01,1,7.241760e-01,1,7,238,1
E,2,2.536186e-01,1,7.241760e-01,1,7,242,1
E,2,7.241760e-01,1,7.241760e-01,1,16,248,0
E,2,7.241760e-01,1,7.241760e-01,1,16,346,0
E,2,7.241760e-01,1,7.241760e-01,1,16,369,0
E,2,7.241760e-01,1,7.241760e-01,1,16,512,0
E,2,7.241760e-01,1,7.241760e-01,1,16,560,0
E,2,2.536186e-01,1,7.241760e-01,1,7,624,1
E,2,7.241760e-01,1,7.241760e-01,1,16,724,0
E,2,2.536186e-01,1,7.241760e-01,1,7,800,1
E,2,7.241760e-01,1,7.241760e-01,1,16,855,0
E,2,7.241760e-01,1,7.241760e-01,1,16,971,0
E,2,7.241760e-01,1,7.241760e-01,1,16,995,0
E,2,2.536186e-01,1,7.241760e-01,1,7,1014,1
E,2,2.536186e-01,1,7.241760e-01,1,7,1077,1
E,2,7.241760e-01,1,7.241760e-01,1,16,1227,0
E,2,2.536186e-01,1,7.241760e-01,1,7,1248,1
E,2,7.241760e-01,1,7.241760e-01,1,16,1259,0
E,2,7.241760e-01,1,7.241760e-01,1,16,1285,0
E,2,7.241760e-01,1,7.241760e-01,1,16,1317,0
E,2,7.241760e-01,1,7.241760e-01,1,16,1473,0
E,3,5.668936e-02,1,6.162631e-01,1,1,14,2
E,3,3.237386e-01,1,6.162631e-01,1,5,24,1
E,3,6.162631e-01,1,6.162631e-01,1,7,49,0
E,3,6.162631e-01,1,6.162631e-01,1,7,143,0
E,3,6.162631e-01,1,6.162631e-01,1,7,426,0
E,3,3.237386e-01,1,6.162631e-01,1,5,621,1
E,3,6.162631e-01,1,6.162631e-01,1,7,836,0
E,3,6.162631e-01,1,6.162631e-01,1,7,1015,0
E,3,6.162631e-01,1,6.162631e-01,1,7,1037,0
E,3,6.162631e-01,1,6.162631e-01,1,7,1251,0
E,3,3.237386e-01,1,6.162631e-01,1,5,1347,1
E,3,3.237386e-01,1,6.162631e-01,1,5,1354,1
E,3,3.237386e-01,1,6.162631e-01,1,5,1415,1
E,4,5.244308e-01,1,5.244308e-01,1,17,68,0
E,4,3.673291e-01,1,5.244308e-01,1,11,150,1
E,4,3.673291e-01,1,5.244308e-01,1,11,180,1
E,4,5.244308e-01,1,5.244308e-01,1,17,182,0
E,4,5.244308e-01,1,5.244308e-01,1,17,313,0
E,4,5.244308e-01,1,5.244308e-01,1,17,349,0
E,4,1.126340e-02,1,5.244308e-01,1,2,356,3
E,4,3.673291e-01,1,5.244308e-01,1,11,508,1
E,4,3.673291e-01,1,5.244308e-01,1,11,554,1
E,4,3.673291e-01,1,5.244308e-01,1,11,629,1
E,4,5.244308e-01,1,5.244308e-01,1,17,663,0
E,4,5.244308e-01,1,5.244308e-01,1,17,666,0
E,4,5.244308e-01,1,5.244308e-01,1,17,743,0
E,4,3.673291e-01,1,5.244308e-01,1,11,762,1
E,4,3.673291e-01,1,5.244308e-01,1,11,807,1
E,4,5.244308e-01,1,5.244308e-01,1,17,863,0
E,4,5.244308e-01,1,5.244308e-01,1,17,872,0
E,4,9.648363e-02,1,5.244308e-01,1,1,957,2
E,4,5.244308e-01,1,5.244308e-01,1,17,1021,0
E,4,3.673291e-01,1,5.244308e-01,1,11,1045,1
E,4,5.244308e-01,1,5.244308e-01,1,17,1081,0
E,4,3.673291e-01,1,5.244308e-01,1,11,1083,1
E,4,5.244308e-01,1,5.244308e-01,1,17,1105,0
E,4,5.244308e-01,1,5.244308e-01,1,17,1154,0
E,4,1.126340e-02,1,5.244308e-01,1,2,1193,3
E,4,5.244308e-01,1,5.244308e-01,1,17,1345,0
E,4,5.244308e-01,1,5.244308e-01,1,17,1346,0
E,4,5.244308e-01,1,5.244308e-01,1,17,1374,0
E,4,5.244308e-01,1,5.244308e-01,1,17,1425,0
E,4,3.673291e-01,1,5.244308e-01,1,11,1483,1
E,4,3.673291e-01,1,5.244308e-01,1,11,1493,1
E,5,3.907395e-01,1,4.462829e-01,1,10,8,1
E,5,3.907395e-01,1,4.462829e-01,1,10,9,1
E,5,3.907395e-01,1,4.462829e-01,1,10,58,1
E,5,4.462829e-01,1,4.462829e-01,1,10,140,0
E,5,3.907395e-01,1,4.462829e-01,1,10,232,1
E,5,4.462829e-01,1,4.462829e-01,1,10,326,0
E,5,4.462829e-01,1,4.462829e-01,1,10,333,0
E,5,1.368436e-01,1,4.462829e-01,1,3,357,2
E,5,4.462829e-01,1,4.462829e-01,1,10,380,0
E,5,2.396247e-02,1,4.462829e-01,1,1,431,3
E,5,3.907395e-01,1,4.462829e-01,1,10,524,1
E,5,4.462829e-01,1,4.462829e-01,1,10,611,0
E,5,3.907395e-01,1,4.462829e-01,1,10,668,1
E,5,1.368436e-01,1,4.462829e-01,1,3,679,2
E,5,3.907395e-01,1,4.462829e-01,1,10,804,1
E,5,3.907395e-01,1,4.462829e-01,1,10,833,1
E,5,4.462829e-01,1,4.462829e-01,1,10,1066,0
E,5,4.462829e-01,1,4.462829e-01,1,10,1096,0
E,5,3.907395e-01,1,4.462829e-01,1,10,1126,1
E,5,3.907395e-01,1,4.462829e-01,1,10,1153,1
E,5,1.368436e-01,1,4.462829e-01,1,3,1256,2
E,5,4.462829e-01,1,4.462829e-01,1,10,1323,0
E,5,4.462829e-01,1,4.462829e-01,1,10,1451,0
E,5,4.462829e-01,1,4.462829e-01,1,10,1466,0
E,6,3.990163e-01,1,3.990163e-01,1,11,81,1
E,6,1.746778e-01,1,3.990163e-01,1,4,236,2
E,6,3.797802e-01,1,3.990163e-01,1,8,331,0
E,6,3.797802e-01,1,3.990163e-01,1,8,337,0
E,6,3.990163e-01,1,3.990163e-01,1,11,416,1
E,6,3.990163e-01,1,3.990163e-01,1,11,420,1
E,6,1.746778e-01,1,3.990163e-01,1,4,463,2
E,6,1.746778e-01,1,3.990163e-01,1,4,469,2
E,6,3.797802e-01,1,3.990163e-01,1,8,479,0
E,6,5.356140e-03,1,3.990163e-01,1,2,574,4
E,6,3.990163e-01,1,3.990163e-01,1,11,689,1
E,6,3.990163e-01,1,3.990163e-01,1,11,703,1
E,6,3.797802e-01,1,3.990163e-01,1,8,796,0
E,6,3.990163e-01,1,3.990163e-01,1,11,802,1
E,6,3.797802e-01,1,3.990163e-01,1,8,825,0
E,6,3.990163e-01,1,3.990163e-01,1,11,839,1
E,6,3.990163e-01,1,3.990163e-01,1,11,907,1
E,6,3.797802e-01,1,3.990163e-01,1,8,920,0
E,6,3.990163e-01,1,3.990163e-01,1,11,967,1
E,6,5.356140e-03,1,3.990163e-01,1,2,977,4
E,6,3.797802e-01,1,3.990163e-01,1,8,1012,0
E,6,3.990163e-01,1,3.990163e-01,1,11,1067,1
E,6,3.990163e-01,1,3.990163e-01,1,11,1184,1
E,6,4.078341e-02,1,3.990163e-01,1,2,1400,3
E,6,4.078341e-02,1,3.990163e-01,1,2,1416,3
E,6,3.797802e-01,1,3.990163e-01,1,8,1454,0
E,6,1.746778e-01,1,3.990163e-01,1,4,1502,2
E,7,6.073565e-02,1,3.961499e-01,1,3,12,3
E,7,6.073565e-02,1,3.961499e-01,1,3,28,3
E,7,3.961499e-01,1,3.961499e-01,1,6,109,1
E,7,3.231874e-01,1,3.961499e-01,1,5,241,0
E,7,3.231874e-01,1,3.961499e-01,1,5,336,0
E,7,3.961499e-01,1,3.961499e-01,1,6,540,1
E,7,3.961499e-01,1,3.961499e-01,1,6,569,1
E,7,2.081075e-01,1,3.961499e-01,1,4,882,2
E,7,3.231874e-01,1,3.961499e-01,1,5,890,0
E,7,3.961499e-01,1,3.961499e-01,1,6,895,1
E,7,3.961499e-01,1,3.961499e-01,1,6,1082,1
E,7,6.073565e-02,1,3.961499e-01,1,3,1162,3
E,7,3.231874e-01,1,3.961499e-01,1,5,1172,0
E,7,3.961499e-01,1,3.961499e-01,1,6,1208,1
E,7,3.231874e-01,1,3.961499e-01,1,5,1234,0
E,7,2.081075e-01,1,3.961499e-01,1,4,1276,2
E,7,2.081075e-01,1,3.961499e-01,1,4,1380,2
E,7,2.081075e-01,1,3.961499e-01,1,4,1385,2
E,8,3.852774e-01,1,3.852774e-01,1,10,177,1
E,8,8.269623e-02,1,3.852774e-01,1,6,178,3
E,8,2.361286e-01,1,3.852774e-01,1,5,207,2
E,8,3.852774e-01,1,3.852774e-01,1,10,239,1
E,8,3.852774e-01,1,3.852774e-01,1,10,274,1
E,8,2.361286e-01,1,3.852774e-01,1,5,291,2
E,8,2.750277e-01,1,3.852774e-01,1,9,332,0
E,8,8.269623e-02,1,3.852774e-01,1,6,406,3
E,8,2.750277e-01,1,3.852774e-01,1,9,424,0
E,8,2.750277e-01,1,3.852774e-01,1,9,430,0
E,8,3.852774e-01,1,3.852774e-01,1,10,456,1
E,8,2.361286e-01,1,3.852774e-01,1,5,458,2
E,8,2.750277e-01,1,3.852774e-01,1,9,474,0
E,8,2.750277e-01,1,3.852774e-01,1,9,498,0
E,8,8.269623e-02,1,3.852774e-01,1,6,740,3
E,8,2.750277e-01,1,3.852774e-01,1,9,773,0
E,8,3.852774e-01,1,3.852774e-01,1,10,775,1
E,8,2.361286e-01,1,3.852774e-01,1,5,779,2
E,8,3.852774e-01,1,3.852774e-01,1,10,835,1
E,8,2.750277e-01,1,3.852774e-01,1,9,846,0
E,8,8.269623e-02,1,3.852774e-01,1,6,984,3
E,8,2.750277e-01,1,3.852774e-01,1,9,1026,0
E,8,3.852774e-01,1,3.852774e-01,1,10,1033,1
E,8,2.750277e-01,1,3.852774e-01,1,9,1182,0
E,8,3.852774e-01,1,3.852774e-01,1,10,1211,1
E,8,8.269623e-02,1,3.852774e-01,1,6,1236,3
E,8,8.269623e-02,1,3.852774e-01,1,6,1321,3
E,8,3.852774e-01,1,3.852774e-01,1,10,1408,1
E,8,3.852774e-01,1,3.852774e-01,1,10,1424,1
E,8,2.361286e-01,1,3.852774e-01,1,5,1430,2
E,9,3.688485e-01,1,3.688485e-01,1,3,94,1
E,9,2.583540e-01,1,3.688485e-01,1,7,223,2
E,9,2.340445e-01,1,3.688485e-01,1,5,233,0
E,9,2.583540e-01,1,3.688485e-01,1,7,278,2
E,9,1.055599e-01,1,3.688485e-01,1,3,675,3
E,9,4.253540e-05,1,3.688485e-01,1,1,681,7
E,9,2.340445e-01,1,3.688485e-01,1,5,694,0
E,9,3.688485e-01,1,3.688485e-01,1,3,818,1
E,9,2.340445e-01,1,3.688485e-01,1,5,896,0
E,9,2.583540e-01,1,3.688485e-01,1,7,921,2
