aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,1.918661e-01,1,8.081339e-01,1,5,279,0
E,1,1.918661e-01,1,8.081339e-01,1,5,351,0
E,1,8.081339e-01,1,8.081339e-01,1,25,363,1
E,1,8.081339e-01,1,8.081339e-01,1,25,385,1
E,1,1.918661e-01,1,8.081339e-01,1,5,443,0
E,1,8.081339e-01,1,8.081339e-01,1,25,462,1
E,1,8.081339e-01,1,8.081339e-01,1,25,489,1
E,1,8.081339e-01,1,8.081339e-01,1,25,519,1
E,1,1.918661e-01,1,8.081339e-01,1,5,522,0
E,1,1.918661e-01,1,8.081339e-01,1,5,696,0
E,1,8.081339e-01,1,8.081339e-01,1,25,847,1
E,1,8.081339e-01,1,8.081339e-01,1,25,853,1
E,1,8.081339e-01,1,8.081339e-01,1,25,943,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1035,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1141,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1196,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1354,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1412,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1475,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1630,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1725,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1738,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1852,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1891,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1901,1
E,1,8.081339e-01,1,8.081339e-01,1,25,1914,1
E,1,8.081339e-01,1,8.081339e-01,1,25,2159,1
E,1,8.081339e-01,1,8.081339e-01,1,25,2713,1
E,1,8.081339e-01,1,8.081339e-01,1,25,2768,1
E,1,8.081339e-01,1,8.081339e-01,1,25,2822,1
E,2,3.101070e-01,1,6.530804e-01,1,15,94,1
E,2,6.530804e-01,1,6.530804e-01,1,24,108,2
E,2,6.530804e-01,1,6.530804e-01,1,24,116,2
E,2,3.101070e-01,1,6.530804e-01,1,15,168,1
E,2,3.101070e-01,1,6.530804e-01,1,15,288,1
E,2,6.530804e-01,1,6.530804e-01,1,24,298,2
E,2,6.530804e-01,1,6.530804e-01,1,24,352,2
E,2,6.530804e-01,1,6.530804e-01,1,24,411,2
E,2,6.530804e-01,1,6.530804e-01,1,24,420,2
E,2,6.530804e-01,1,6.530804e-01,1,24,486,2
E,2,6.530804e-01,1,6.530804e-01,1,24,511,2
E,2,6.530804e-01,1,6.530804e-01,1,24,649,2
E,2,3.101070e-01,1,6.530804e-01,1,15,655,1
E,2,3.101070e-01,1,6.530804e-01,1,15,737,1
E,2,6.530804e-01,1,6.530804e-01,1,24,747,2
E,2,6.530804e-01,1,6.530804e-01,1,24,763,2
E,2,6.530804e-01,1,6.530804e-01,1,24,830,2
E,2,3.101070e-01,1,6.530804e-01,1,15,869,1
E,2,6.530804e-01,1,6.530804e-01,1,24,979,2
E,2,3.681261e-02,1,6.530804e-01,1,3,1040,0
E,2,6.530804e-01,1,6.530804e-01,1,24,1048,2
E,2,6.530804e-01,1,6.530804e-01,1,24,1170,2
E,2,3.101070e-01,1,6.530804e-01,1,15,1345,1
E,2,6.530804e-01,1,6.530804e-01,1,24,1406,2
E,2,6.530804e-01,1,6.530804e-01,1,24,1507,2
E,2,3.101070e-01,1,6.530804e-01,1,15,1621,1
E,2,3.101070e-01,1,6.530804e-01,1,15,1655,1
E,2,3.101070e-01,1,6.530804e-01,1,15,1762,1
E,2,6.530804e-01,1,6.530804e-01,1,24,1869,2
E,2,3.101070e-01,1,6.530804e-01,1,15,1963,1
E,2,6.530804e-01,1,6.530804e-01,1,24,2102,2
E,2,3.101070e-01,1,6.530804e-01,1,15,2253,1
E,2,3.101070e-01,1,6.530804e-01,1,15,2370,1
E,2,6.530804e-01,1,6.530804e-01,1,24,2447,2
E,2,6.530804e-01,1,6.530804e-01,1,24,2488,2
E,2,3.101070e-01,1,6.530804e-01,1,15,2517,1
E,2,6.530804e-01,1,6.530804e-01,1,24,2520,2
E,2,3.681261e-02,1,6.530804e-01,1,3,2543,0
E,2,3.681261e-02,1,6.530804e-01,1,3,2544,0
E,2,3.101070e-01,1,6.530804e-01,1,15,2636,1
E,2,6.530804e-01,1,6.530804e-01,1,24,2749,2
E,2,6.530804e-01,1,6.530804e-01,1,24,2894,2
E,3,5.277764e-01,1,5.277764e-01,1,21,6,3
E,3,3.759120e-01,1,5.277764e-01,1,28,39,2
E,3,5.277764e-01,1,5.277764e-01,1,21,66,3
E,3,8.924854e-02,1,5.277764e-01,1,8,92,1
E,3,3.759120e-01,1,5.277764e-01,1,28,126,2
E,3,5.277764e-01,1,5.277764e-01,1,21,170,3
E,3,3.759120e-01,1,5.277764e-01,1,28,251,2
E,3,5.277764e-01,1,5.277764e-01,1,21,287,3
E,3,3.759120e-01,1,5.277764e-01,1,28,335,2
E,3,3.759120e-01,1,5.277764e-01,1,28,339,2
E,3,8.924854e-02,1,5.277764e-01,1,8,365,1
E,3,7.063091e-03,1,5.277764e-01,1,2,416,0
E,3,5.277764e-01,1,5.277764e-01,1,21,476,3
E,3,5.277764e-01,1,5.277764e-01,1,21,485,3
E,3,3.759120e-01,1,5.277764e-01,1,28,618,2
E,3,5.277764e-01,1,5.277764e-01,1,21,641,3
E,3,3.759120e-01,1,5.277764e-01,1,28,700,2
E,3,8.924854e-02,1,5.277764e-01,1,8,705,1
E,3,3.759120e-01,1,5.277764e-01,1,28,746,2
E,3,8.924854e-02,1,5.277764e-01,1,8,794,1
E,3,8.924854e-02,1,5.277764e-01,1,8,1017,1
E,3,5.277764e-01,1,5.277764e-01,1,21,1021,3
E,3,3.759120e-01,1,5.277764e-01,1,28,1136,2
E,3,5.277764e-01,1,5.277764e-01,1,21,1148,3
E,3,5.277764e-01,1,5.277764e-01,1,21,1193,3
E,3,5.277764e-01,1,5.277764e-01,1,21,1241,3
E,3,3.759120e-01,1,5.277764e-01,1,28,1251,2
E,3,3.759120e-01,1,5.277764e-01,1,28,1259,2
E,3,3.759120e-01,1,5.277764e-01,1,28,1284,2
E,3,3.759120e-01,1,5.277764e-01,1,28,1534,2
E,3,3.759120e-01,1,5.277764e-01,1,28,1555,2
E,3,8.924854e-02,1,5.277764e-01,1,8,1556,1
E,3,3.759120e-01,1,5.277764e-01,1,28,1619,2
E,3,7.063091e-03,1,5.277764e-01,1,2,1654,0
E,3,8.924854e-02,1,5.277764e-01,1,8,1705,1
E,3,3.759120e-01,1,5.277764e-01,1,28,1721,2
E,3,5.277764e-01,1,5.277764e-01,1,21,1724,3
E,3,3.759120e-01,1,5.277764e-01,1,28,1796,2
E,3,8.924854e-02,1,5.277764e-01,1,8,1841,1
E,3,3.759120e-01,1,5.277764e-01,1,28,1913,2
E,3,5.277764e-01,1,5.277764e-01,1,21,1993,3
E,3,3.759120e-01,1,5.277764e-01,1,28,2014,2
E,3,3.759120e-01,1,5.277764e-01,1,28,2015,2
E,3,5.277764e-01,1,5.277764e-01,1,21,2146,3
E,3,5.277764e-01,1,5.277764e-01,1,21,2344,3
E,3,3.759120e-01,1,5.277764e-01,1,28,2376,2
E,3,3.759120e-01,1,5.277764e-01,1,28,2396,2
E,3,3.759120e-01,1,5.277764e-01,1,28,2417,2
E,3,3.759120e-01,1,5.277764e-01,1,28,2437,2
E,3,3.759120e-01,1,5.277764e-01,1,28,2496,2
E,3,5.277764e-01,1,5.277764e-01,1,21,2500,3
E,3,5.277764e-01,1,5.277764e-01,1,21,2579,3
E,3,5.277764e-01,1,5.277764e-01,1,21,2652,3
E,3,3.759120e-01,1,5.277764e-01,1,28,2686,2
E,3,3.759120e-01,1,5.277764e-01,1,28,2726,2
E,3,5.277764e-01,1,5.277764e-01,1,21,2740,3
E,3,5.277764e-01,1,5.277764e-01,1,21,2857,3
E,3,3.759120e-01,1,5.277764e-01,1,28,2879,2
E,3,5.277764e-01,1,5.277764e-01,1,21,2882,3
E,4,4.265140e-01,1,4.265140e-01,1,25,85,4
E,4,1.442495e-01,1,4.265140e-01,1,7,130,2
E,4,1.442495e-01,1,4.265140e-01,1,7,275,2
E,4,4.050496e-01,1,4.265140e-01,1,25,381,3
E,4,4.050496e-01,1,4.265140e-01,1,25,415,3
E,4,4.265140e-01,1,4.265140e-01,1,25,452,4
E,4,4.050496e-01,1,4.265140e-01,1,25,555,3
E,4,4.050496e-01,1,4.265140e-01,1,25,580,3
E,4,1.442495e-01,1,4.265140e-01,1,7,600,2
E,4,4.050496e-01,1,4.265140e-01,1,25,628,3
E,4,4.265140e-01,1,4.265140e-01,1,25,636,4
E,4,4.265140e-01,1,4.265140e-01,1,25,642,4
E,4,4.050496e-01,1,4.265140e-01,1,25,663,3
E,4,4.265140e-01,1,4.265140e-01,1,25,714,4
E,4,4.050496e-01,1,4.265140e-01,1,25,767,3
E,4,4.265140e-01,1,4.265140e-01,1,25,769,4
E,4,4.050496e-01,1,4.265140e-01,1,25,792,3
E,4,4.050496e-01,1,4.265140e-01,1,25,835,3
E,4,4.265140e-01,1,4.265140e-01,1,25,856,4
E,4,4.050496e-01,1,4.265140e-01,1,25,867,3
E,4,4.265140e-01,1,4.265140e-01,1,25,909,4
E,4,4.265140e-01,1,4.265140e-01,1,25,1117,4
E,4,4.050496e-01,1,4.265140e-01,1,25,1143,3
E,4,4.265140e-01,1,4.265140e-01,1,25,1197,4
E,4,4.050496e-01,1,4.265140e-01,1,25,1266,3
E,4,4.265140e-01,1,4.265140e-01,1,25,1323,4
E,4,4.265140e-01,1,4.265140e-01,1,25,1341,4
E,4,4.265140e-01,1,4.265140e-01,1,25,1396,4
E,4,1.442495e-01,1,4.265140e-01,1,7,1404,2
E,4,4.265140e-01,1,4.265140e-01,1,25,1425,4
E,4,2.283169e-02,1,4.265140e-01,1,4,1576,1
E,4,4.050496e-01,1,4.265140e-01,1,25,1656,3
E,4,1.442495e-01,1,4.265140e-01,1,7,1658,2
E,4,4.265140e-01,1,4.265140e-01,1,25,1723,4
E,4,4.050496e-01,1,4.265140e-01,1,25,1745,3
E,4,4.265140e-01,1,4.265140e-01,1,25,1766,4
E,4,2.283169e-02,1,4.265140e-01,1,4,1779,1
E,4,4.265140e-01,1,4.265140e-01,1,25,1801,4
E,4,2.283169e-02,1,4.265140e-01,1,4,1920,1
E,4,4.050496e-01,1,4.265140e-01,1,25,1982,3
E,4,4.265140e-01,1,4.265140e-01,1,25,2082,4
E,4,1.442495e-01,1,4.265140e-01,1,7,2111,2
E,4,4.050496e-01,1,4.265140e-01,1,25,2134,3
E,4,4.265140e-01,1,4.265140e-01,1,25,2167,4
E,4,4.050496e-01,1,4.265140e-01,1,25,2195,3
E,4,4.050496e-01,1,4.265140e-01,1,25,2205,3
E,4,4.265140e-01,1,4.265140e-01,1,25,2261,4
E,4,4.265140e-01,1,4.265140e-01,1,25,2385,4
E,4,4.050496e-01,1,4.265140e-01,1,25,2439,3
E,4,4.050496e-01,1,4.265140e-01,1,25,2448,3
E,4,4.265140e-01,1,4.265140e-01,1,25,2461,4
E,4,1.442495e-01,1,4.265140e-01,1,7,2471,2
E,4,4.265140e-01,1,4.265140e-01,1,25,2484,4
E,4,4.050496e-01,1,4.265140e-01,1,25,2546,3
E,4,4.265140e-01,1,4.265140e-01,1,25,2557,4
E,4,4.050496e-01,1,4.265140e-01,1,25,2594,3
E,4,4.050496e-01,1,4.265140e-01,1,25,2698,3
E,4,4.050496e-01,1,4.265140e-01,1,25,2738,3
E,4,4.050496e-01,1,4.265140e-01,1,25,2792,3
E,4,2.283169e-02,1,4.265140e-01,1,4,2897,1
E,4,4.265140e-01,1,4.265140e-01,1,25,2928,4
E,5,4.091679e-01,1,4.091679e-01,1,23,23,4
E,5,3.446804e-01,1,4.091679e-01,1,23,45,5
E,5,3.446804e-01,1,4.091679e-01,1,23,71,5
E,5,1.942882e-01,1,4.091679e-01,1,17,97,3
E,5,4.091679e-01,1,4.091679e-01,1,23,141,4
E,5,4.091679e-01,1,4.091679e-01,1,23,199,4
E,5,4.091679e-01,1,4.091679e-01,1,23,364,4
E,5,1.942882e-01,1,4.091679e-01,1,17,378,3
E,5,4.612766e-02,1,4.091679e-01,1,2,417,2
E,5,3.446804e-01,1,4.091679e-01,1,23,436,5
E,5,1.942882e-01,1,4.091679e-01,1,17,460,3
E,5,3.446804e-01,1,4.091679e-01,1,23,521,5
E,5,4.091679e-01,1,4.091679e-01,1,23,524,4
E,5,1.942882e-01,1,4.091679e-01,1,17,537,3
E,5,4.091679e-01,1,4.091679e-01,1,23,553,4
E,5,3.446804e-01,1,4.091679e-01,1,23,609,5
E,5,3.446804e-01,1,4.091679e-01,1,23,652,5
E,5,3.446804e-01,1,4.091679e-01,1,23,688,5
E,5,3.446804e-01,1,4.091679e-01,1,23,706,5
E,5,4.091679e-01,1,4.091679e-01,1,23,793,4
E,5,3.446804e-01,1,4.091679e-01,1,23,877,5
E,5,1.942882e-01,1,4.091679e-01,1,17,882,3
E,5,1.942882e-01,1,4.091679e-01,1,17,1001,3
E,5,4.091679e-01,1,4.091679e-01,1,23,1026,4
E,5,5.475786e-03,1,4.091679e-01,1,1,1080,1
E,5,3.446804e-01,1,4.091679e-01,1,23,1183,5
E,5,1.942882e-01,1,4.091679e-01,1,17,1218,3
E,5,4.091679e-01,1,4.091679e-01,1,23,1228,4
E,5,1.942882e-01,1,4.091679e-01,1,17,1325,3
E,5,1.942882e-01,1,4.091679e-01,1,17,1330,3
E,5,3.446804e-01,1,4.091679e-01,1,23,1347,5
E,5,4.091679e-01,1,4.091679e-01,1,23,1397,4
E,5,4.612766e-02,1,4.091679e-01,1,2,1410,2
E,5,3.446804e-01,1,4.091679e-01,1,23,1482,5
E,5,3.446804e-01,1,4.091679e-01,1,23,1526,5
E,5,1.942882e-01,1,4.091679e-01,1,17,1568,3
E,5,1.942882e-01,1,4.091679e-01,1,17,1706,3
E,5,1.942882e-01,1,4.091679e-01,1,17,1730,3
E,5,3.446804e-01,1,4.091679e-01,1,23,1761,5
E,5,4.091679e-01,1,4.091679e-01,1,23,1763,4
E,5,3.446804e-01,1,4.091679e-01,1,23,1885,5
E,5,1.942882e-01,1,4.091679e-01,1,17,1892,3
E,5,3.446804e-01,1,4.091679e-01,1,23,2003,5
E,5,4.091679e-01,1,4.091679e-01,1,23,2071,4
E,5,4.091679e-01,1,4.091679e-01,1,23,2110,4
E,5,1.942882e-01,1,4.091679e-01,1,17,2153,3
E,5,4.091679e-01,1,4.091679e-01,1,23,2248,4
E,5,4.091679e-01,1,4.091679e-01,1,23,2268,4
E,5,4.091679e-01,1,4.091679e-01,1,23,2290,4
E,5,1.942882e-01,1,4.091679e-01,1,17,2307,3
E,5,4.091679e-01,1,4.091679e-01,1,23,2320,4
E,5,3.446804e-01,1,4.091679e-01,1,23,2380,5
E,5,3.446804e-01,1,4.091679e-01,1,23,2426,5
E,5,4.091679e-01,1,4.091679e-01,1,23,2459,4
E,5,4.091679e-01,1,4.091679e-01,1,23,2476,4
E,5,4.091679e-01,1,4.091679e-01,1,23,2489,4
E,5,1.942882e-01,1,4.091679e-01,1,17,2551,3
E,5,3.446804e-01,1,4.091679e-01,1,23,2552,5
E,5,3.446804e-01,1,4.091679e-01,1,23,2628,5
E,5,3.446804e-01,1,4.091679e-01,1,23,2637,5
E,5,4.091679e-01,1,4.091679e-01,1,23,2640,4
E,5,3.446804e-01,1,4.091679e-01,1,23,2764,5
E,5,4.091679e-01,1,4.091679e-01,1,23,2779,4
E,5,4.091679e-01,1,4.091679e-01,1,23,2793,4
E,5,3.446804e-01,1,4.091679e-01,1,23,2935,5
E,5,1.942882e-01,1,4.091679e-01,1,17,2939,3
E,6,7.455466e-02,1,3.967949e-01,1,8,42,3
E,6,7.455466e-02,1,3.967949e-01,1,8,123,3
E,6,2.355164e-01,1,3.967949e-01,1,24,152,4
E,6,2.355164e-01,1,3.967949e-01,1,24,191,4
