aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,33,44,1
E,1,5.000000e-01,2,5.000000e-01,2,33,84,1
E,1,5.000000e-01,2,5.000000e-01,2,33,88,1
E,1,5.000000e-01,2,5.000000e-01,2,33,187,1
E,1,5.000000e-01,2,5.000000e-01,2,33,240,1
E,1,5.000000e-01,2,5.000000e-01,2,33,356,1
E,1,5.000000e-01,2,5.000000e-01,2,33,379,1
E,1,5.000000e-01,2,5.000000e-01,2,33,484,1
E,1,5.000000e-01,2,5.000000e-01,2,33,548,1
E,1,5.000000e-01,2,5.000000e-01,2,33,651,1
E,1,5.000000e-01,2,5.000000e-01,2,33,823,1
E,1,5.000000e-01,2,5.000000e-01,2,33,899,1
E,1,5.000000e-01,2,5.000000e-01,2,33,956,1
E,1,5.000000e-01,2,5.000000e-01,2,33,981,1
E,1,5.000000e-01,2,5.000000e-01,2,33,989,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1014,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1059,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1120,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1166,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1185,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1196,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1199,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1244,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1430,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1500,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1554,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1575,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1761,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1790,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1799,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1887,1
E,1,5.000000e-01,2,5.000000e-01,2,33,2078,1
E,1,5.000000e-01,2,5.000000e-01,2,33,2139,1
E,2,5.000000e-01,1,5.000000e-01,1,26,68,1
E,2,2.500000e-01,2,5.000000e-01,1,21,185,1
E,2,5.000000e-01,1,5.000000e-01,1,26,232,1
E,2,5.000000e-01,1,5.000000e-01,1,26,283,1
E,2,2.500000e-01,2,5.000000e-01,1,21,299,1
E,2,2.500000e-01,2,5.000000e-01,1,21,345,1
E,2,5.000000e-01,1,5.000000e-01,1,26,394,1
E,2,2.500000e-01,2,5.000000e-01,1,21,423,1
E,2,2.500000e-01,2,5.000000e-01,1,21,444,1
E,2,5.000000e-01,1,5.000000e-01,1,26,477,1
