aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,30,279,0
E,1,5.000000e-01,2,5.000000e-01,2,30,351,0
E,1,5.000000e-01,2,5.000000e-01,2,30,363,1
E,1,5.000000e-01,2,5.000000e-01,2,30,385,1
E,1,5.000000e-01,2,5.000000e-01,2,30,443,0
E,1,5.000000e-01,2,5.000000e-01,2,30,462,1
E,1,5.000000e-01,2,5.000000e-01,2,30,489,1
E,1,5.000000e-01,2,5.000000e-01,2,30,519,1
E,1,5.000000e-01,2,5.000000e-01,2,30,522,0
E,1,5.000000e-01,2,5.000000e-01,2,30,696,0
E,1,5.000000e-01,2,5.000000e-01,2,30,847,1
E,1,5.000000e-01,2,5.000000e-01,2,30,853,1
E,1,5.000000e-01,2,5.000000e-01,2,30,943,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1035,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1141,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1196,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1354,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1412,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1475,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1630,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1725,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1738,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1852,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1891,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1901,1
E,1,5.000000e-01,2,5.000000e-01,2,30,1914,1
E,1,5.000000e-01,2,5.000000e-01,2,30,2159,1
E,1,5.000000e-01,2,5.000000e-01,2,30,2713,1
E,1,5.000000e-01,2,5.000000e-01,2,30,2768,1
E,1,5.000000e-01,2,5.000000e-01,2,30,2822,1
E,2,5.000000e-01,1,5.000000e-01,1,15,94,1
E,2,2.500000e-01,2,5.000000e-01,1,27,108,2
E,2,2.500000e-01,2,5.000000e-01,1,27,116,2
E,2,5.000000e-01,1,5.000000e-01,1,15,168,1
E,2,5.000000e-01,1,5.000000e-01,1,15,288,1
E,2,2.500000e-01,2,5.000000e-01,1,27,298,2
E,2,2.500000e-01,2,5.000000e-01,1,27,352,2
E,2,2.500000e-01,2,5.000000e-01,1,27,411,2
E,2,2.500000e-01,2,5.000000e-01,1,27,420,2
E,2,2.500000e-01,2,5.000000e-01,1,27,486,2
E,2,2.500000e-01,2,5.000000e-01,1,27,511,2
E,2,2.500000e-01,2,5.000000e-01,1,27,649,2
E,2,5.000000e-01,1,5.000000e-01,1,15,655,1
E,2,5.000000e-01,1,5.000000e-01,1,15,737,1
E,2,2.500000e-01,2,5.000000e-01,1,27,747,2
E,2,2.500000e-01,2,5.000000e-01,1,27,763,2
E,2,2.500000e-01,2,5.000000e-01,1,27,830,2
E,2,5.000000e-01,1,5.000000e-01,1,15,869,1
E,2,2.500000e-01,2,5.000000e-01,1,27,979,2
E,2,2.500000e-01,2,5.000000e-01,1,27,1040,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1048,2
E,2,2.500000e-01,2,5.000000e-01,1,27,1170,2
E,2,5.000000e-01,1,5.000000e-01,1,15,1345,1
E,2,2.500000e-01,2,5.000000e-01,1,27,1406,2
E,2,2.500000e-01,2,5.000000e-01,1,27,1507,2
E,2,5.000000e-01,1,5.000000e-01,1,15,1621,1
E,2,5.000000e-01,1,5.000000e-01,1,15,1655,1
E,2,5.000000e-01,1,5.000000e-01,1,15,1762,1
E,2,2.500000e-01,2,5.000000e-01,1,27,1869,2
E,2,5.000000e-01,1,5.000000e-01,1,15,1963,1
E,2,2.500000e-01,2,5.000000e-01,1,27,2102,2
E,2,5.000000e-01,1,5.000000e-01,1,15,2253,1
E,2,5.000000e-01,1,5.000000e-01,1,15,2370,1
E,2,2.500000e-01,2,5.000000e-01,1,27,2447,2
E,2,2.500000e-01,2,5.000000e-01,1,27,2488,2
E,2,5.000000e-01,1,5.000000e-01,1,15,2517,1
E,2,2.500000e-01,2,5.000000e-01,1,27,2520,2
E,2,2.500000e-01,2,5.000000e-01,1,27,2543,0
E,2,2.500000e-01,2,5.000000e-01,1,27,2544,0
E,2,5.000000e-01,1,5.000000e-01,1,15,2636,1
E,2,2.500000e-01,2,5.000000e-01,1,27,2749,2
E,2,2.500000e-01,2,5.000000e-01,1,27,2894,2
E,3,1.250000e-01,2,3.750000e-01,2,23,6,3
E,3,3.750000e-01,2,3.750000e-01,2,36,39,2
E,3,1.250000e-01,2,3.750000e-01,2,23,66,3
E,3,3.750000e-01,2,3.750000e-01,2,36,92,1
E,3,3.750000e-01,2,3.750000e-01,2,36,126,2
E,3,1.250000e-01,2,3.750000e-01,2,23,170,3
E,3,3.750000e-01,2,3.750000e-01,2,36,251,2
E,3,1.250000e-01,2,3.750000e-01,2,23,287,3
E,3,3.750000e-01,2,3.750000e-01,2,36,335,2
E,3,3.750000e-01,2,3.750000e-01,2,36,339,2
E,3,3.750000e-01,2,3.750000e-01,2,36,365,1
E,3,1.250000e-01,2,3.750000e-01,2,23,416,0
E,3,1.250000e-01,2,3.750000e-01,2,23,476,3
E,3,1.250000e-01,2,3.750000e-01,2,23,485,3
E,3,3.750000e-01,2,3.750000e-01,2,36,618,2
E,3,1.250000e-01,2,3.750000e-01,2,23,641,3
E,3,3.750000e-01,2,3.750000e-01,2,36,700,2
E,3,3.750000e-01,2,3.750000e-01,2,36,705,1
E,3,3.750000e-01,2,3.750000e-01,2,36,746,2
E,3,3.750000e-01,2,3.750000e-01,2,36,794,1
E,3,3.750000e-01,2,3.750000e-01,2,36,1017,1
E,3,1.250000e-01,2,3.750000e-01,2,23,1021,3
E,3,3.750000e-01,2,3.750000e-01,2,36,1136,2
E,3,1.250000e-01,2,3.750000e-01,2,23,1148,3
E,3,1.250000e-01,2,3.750000e-01,2,23,1193,3
E,3,1.250000e-01,2,3.750000e-01,2,23,1241,3
E,3,3.750000e-01,2,3.750000e-01,2,36,1251,2
E,3,3.750000e-01,2,3.750000e-01,2,36,1259,2
E,3,3.750000e-01,2,3.750000e-01,2,36,1284,2
E,3,3.750000e-01,2,3.750000e-01,2,36,1534,2
E,3,3.750000e-01,2,3.750000e-01,2,36,1555,2
E,3,3.750000e-01,2,3.750000e-01,2,36,1556,1
E,3,3.750000e-01,2,3.750000e-01,2,36,1619,2
E,3,1.250000e-01,2,3.750000e-01,2,23,1654,0
E,3,3.750000e-01,2,3.750000e-01,2,36,1705,1
E,3,3.750000e-01,2,3.750000e-01,2,36,1721,2
E,3,1.250000e-01,2,3.750000e-01,2,23,1724,3
E,3,3.750000e-01,2,3.750000e-01,2,36,1796,2
E,3,3.750000e-01,2,3.750000e-01,2,36,1841,1
E,3,3.750000e-01,2,3.750000e-01,2,36,1913,2
E,3,1.250000e-01,2,3.750000e-01,2,23,1993,3
E,3,3.750000e-01,2,3.750000e-01,2,36,2014,2
E,3,3.750000e-01,2,3.750000e-01,2,36,2015,2
E,3,1.250000e-01,2,3.750000e-01,2,23,2146,3
E,3,1.250000e-01,2,3.750000e-01,2,23,2344,3
E,3,3.750000e-01,2,3.750000e-01,2,36,2376,2
E,3,3.750000e-01,2,3.750000e-01,2,36,2396,2
E,3,3.750000e-01,2,3.750000e-01,2,36,2417,2
E,3,3.750000e-01,2,3.750000e-01,2,36,2437,2
E,3,3.750000e-01,2,3.750000e-01,2,36,2496,2
E,3,1.250000e-01,2,3.750000e-01,2,23,2500,3
E,3,1.250000e-01,2,3.750000e-01,2,23,2579,3
E,3,1.250000e-01,2,3.750000e-01,2,23,2652,3
E,3,3.750000e-01,2,3.750000e-01,2,36,2686,2
E,3,3.750000e-01,2,3.750000e-01,2,36,2726,2
E,3,1.250000e-01,2,3.750000e-01,2,23,2740,3
E,3,1.250000e-01,2,3.750000e-01,2,23,2857,3
E,3,3.750000e-01,2,3.750000e-01,2,36,2879,2
E,3,1.250000e-01,2,3.750000e-01,2,23,2882,3
E,4,6.250000e-02,2,3.750000e-01,1,25,85,4
E,4,3.750000e-01,1,3.750000e-01,1,7,130,2
E,4,3.750000e-01,1,3.750000e-01,1,7,275,2
E,4,2.500000e-01,2,3.750000e-01,1,29,381,3
