aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,20,53,1
E,1,5.000000e-01,2,5.000000e-01,2,20,72,1
E,1,5.000000e-01,2,5.000000e-01,2,20,217,1
E,1,5.000000e-01,2,5.000000e-01,2,20,230,1
E,1,5.000000e-01,2,5.000000e-01,2,20,252,1
E,1,5.000000e-01,2,5.000000e-01,2,20,361,1
E,1,5.000000e-01,2,5.000000e-01,2,20,451,1
E,1,5.000000e-01,2,5.000000e-01,2,20,588,1
E,1,5.000000e-01,2,5.000000e-01,2,20,633,1
E,1,5.000000e-01,2,5.000000e-01,2,20,722,1
E,1,5.000000e-01,2,5.000000e-01,2,20,723,1
E,1,5.000000e-01,2,5.000000e-01,2,20,900,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1096,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1151,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1161,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1175,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1417,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1712,1
E,1,5.000000e-01,2,5.000000e-01,2,20,2173,1
E,1,5.000000e-01,2,5.000000e-01,2,20,2425,1
E,2,2.500000e-01,2,5.000000e-01,1,13,32,2
E,2,2.500000e-01,2,5.000000e-01,1,13,56,2
E,2,5.000000e-01,1,5.000000e-01,1,14,403,2
E,2,5.000000e-01,1,5.000000e-01,1,14,491,2
E,2,5.000000e-01,1,5.000000e-01,1,14,755,2
E,2,5.000000e-01,1,5.000000e-01,1,14,840,2
E,2,5.000000e-01,1,5.000000e-01,1,14,930,2
E,2,2.500000e-01,2,5.000000e-01,1,13,948,2
E,2,2.500000e-01,2,5.000000e-01,1,13,1057,2
E,2,2.500000e-01,2,5.000000e-01,1,13,1198,2
E,2,5.000000e-01,1,5.000000e-01,1,14,1222,2
E,2,2.500000e-01,2,5.000000e-01,1,13,1223,2
E,2,5.000000e-01,1,5.000000e-01,1,14,1486,2
E,2,5.000000e-01,1,5.000000e-01,1,14,1512,2
E,2,2.500000e-01,2,5.000000e-01,1,13,1517,2
E,2,2.500000e-01,2,5.000000e-01,1,13,1650,2
E,2,2.500000e-01,2,5.000000e-01,1,13,1696,2
E,2,2.500000e-01,2,5.000000e-01,1,13,1798,2
E,2,2.500000e-01,2,5.000000e-01,1,13,1839,2
E,2,5.000000e-01,1,5.000000e-01,1,14,2175,2
E,2,5.000000e-01,1,5.000000e-01,1,14,2324,2
E,2,5.000000e-01,1,5.000000e-01,1,14,2421,2
E,2,2.500000e-01,2,5.000000e-01,1,13,2460,2
E,2,5.000000e-01,1,5.000000e-01,1,14,2495,2
E,2,5.000000e-01,1,5.000000e-01,1,14,2547,2
E,2,2.500000e-01,2,5.000000e-01,1,13,2659,2
E,2,5.000000e-01,1,5.000000e-01,1,14,2666,2
E,3,3.750000e-01,2,3.750000e-01,2,33,52,1
E,3,3.750000e-01,2,3.750000e-01,2,33,118,1
E,3,3.750000e-01,2,3.750000e-01,2,33,285,1
E,3,3.750000e-01,2,3.750000e-01,2,33,302,1
E,3,3.750000e-01,2,3.750000e-01,2,33,325,1
E,3,3.750000e-01,2,3.750000e-01,2,33,360,1
E,3,3.750000e-01,2,3.750000e-01,2,33,366,1
E,3,3.750000e-01,2,3.750000e-01,2,33,444,1
E,3,3.750000e-01,2,3.750000e-01,2,33,557,1
E,3,3.750000e-01,2,3.750000e-01,2,33,581,1
E,3,3.750000e-01,2,3.750000e-01,2,33,603,1
E,3,1.250000e-01,2,3.750000e-01,2,6,775,1
E,3,3.750000e-01,2,3.750000e-01,2,33,787,1
E,3,3.750000e-01,2,3.750000e-01,2,33,885,1
E,3,3.750000e-01,2,3.750000e-01,2,33,940,1
E,3,3.750000e-01,2,3.750000e-01,2,33,974,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1084,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1095,1
E,3,1.250000e-01,2,3.750000e-01,2,6,1114,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1221,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1257,1
E,3,1.250000e-01,2,3.750000e-01,2,6,1332,1
E,3,1.250000e-01,2,3.750000e-01,2,6,1387,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1455,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1501,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1757,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1764,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1786,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1857,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1877,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1958,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1992,1
E,3,3.750000e-01,2,3.750000e-01,2,33,2106,1
E,3,1.250000e-01,2,3.750000e-01,2,6,2123,1
E,3,3.750000e-01,2,3.750000e-01,2,33,2239,1
E,3,3.750000e-01,2,3.750000e-01,2,33,2323,1
E,3,1.250000e-01,2,3.750000e-01,2,6,2363,1
E,3,3.750000e-01,2,3.750000e-01,2,33,2541,1
E,3,3.750000e-01,2,3.750000e-01,2,33,2556,1
E,4,2.500000e-01,2,3.750000e-01,1,16,25,1
E,4,2.500000e-01,2,3.750000e-01,1,16,88,1
E,4,2.500000e-01,2,3.750000e-01,1,16,102,1
E,4,2.500000e-01,2,3.750000e-01,1,16,127,1
E,4,3.750000e-01,1,3.750000e-01,1,21,167,1
E,4,3.750000e-01,1,3.750000e-01,1,21,265,1
E,4,3.750000e-01,1,3.750000e-01,1,21,335,1
E,4,2.500000e-01,2,3.750000e-01,1,16,413,1
E,4,3.750000e-01,1,3.750000e-01,1,21,484,1
E,4,3.750000e-01,1,3.750000e-01,1,21,566,1
E,4,3.750000e-01,1,3.750000e-01,1,21,617,1
E,4,3.750000e-01,1,3.750000e-01,1,21,626,1
E,4,3.750000e-01,1,3.750000e-01,1,21,655,1
E,4,3.750000e-01,1,3.750000e-01,1,21,665,1
E,4,3.750000e-01,1,3.750000e-01,1,21,799,1
E,4,6.250000e-02,2,3.750000e-01,1,3,801,1
E,4,3.750000e-01,1,3.750000e-01,1,21,916,1
E,4,2.500000e-01,2,3.750000e-01,1,16,1075,1
E,4,3.750000e-01,1,3.750000e-01,1,21,1123,1
E,4,3.750000e-01,1,3.750000e-01,1,21,1172,1
E,4,2.500000e-01,2,3.750000e-01,1,16,1276,1
E,4,3.750000e-01,1,3.750000e-01,1,21,1293,1
E,4,2.500000e-01,2,3.750000e-01,1,16,1324,1
E,4,2.500000e-01,2,3.750000e-01,1,16,1327,1
E,4,3.750000e-01,1,3.750000e-01,1,21,1460,1
E,4,3.750000e-01,1,3.750000e-01,1,21,1509,1
E,4,6.250000e-02,2,3.750000e-01,1,3,1550,1
E,4,2.500000e-01,2,3.750000e-01,1,16,1562,1
E,4,2.500000e-01,2,3.750000e-01,1,16,1576,1
E,4,3.750000e-01,1,3.750000e-01,1,21,1602,1
E,4,3.750000e-01,1,3.750000e-01,1,21,1920,1
E,4,2.500000e-01,2,3.750000e-01,1,16,2054,1
E,4,2.500000e-01,2,3.750000e-01,1,16,2159,1
E,4,3.750000e-01,1,3.750000e-01,1,21,2211,1
E,4,2.500000e-01,2,3.750000e-01,1,16,2310,1
E,4,3.750000e-01,1,3.750000e-01,1,21,2476,1
E,4,6.250000e-02,2,3.750000e-01,1,3,2512,1
E,4,2.500000e-01,2,3.750000e-01,1,16,2653,1
E,4,2.500000e-01,2,3.750000e-01,1,16,2662,1
E,4,3.750000e-01,1,3.750000e-01,1,21,2669,1
E,5,3.125000e-01,2,3.125000e-01,2,37,7,2
E,5,3.125000e-01,2,3.125000e-01,2,37,108,2
E,5,1.562500e-01,2,3.125000e-01,2,16,196,2
E,5,3.125000e-01,2,3.125000e-01,2,37,267,2
E,5,3.125000e-01,2,3.125000e-01,2,37,323,2
E,5,1.562500e-01,2,3.125000e-01,2,16,376,2
E,5,3.125000e-01,2,3.125000e-01,2,37,515,2
E,5,3.125000e-01,2,3.125000e-01,2,37,541,2
E,5,3.125000e-02,2,3.125000e-01,2,3,570,2
E,5,3.125000e-02,2,3.125000e-01,2,3,594,2
E,5,3.125000e-01,2,3.125000e-01,2,37,598,2
E,5,1.562500e-01,2,3.125000e-01,2,16,604,2
E,5,3.125000e-01,2,3.125000e-01,2,37,622,2
E,5,1.562500e-01,2,3.125000e-01,2,16,656,2
E,5,1.562500e-01,2,3.125000e-01,2,16,659,2
E,5,3.125000e-01,2,3.125000e-01,2,37,683,2
E,5,3.125000e-01,2,3.125000e-01,2,37,699,2
E,5,3.125000e-01,2,3.125000e-01,2,37,707,2
E,5,1.562500e-01,2,3.125000e-01,2,16,724,2
E,5,1.562500e-01,2,3.125000e-01,2,16,852,2
E,5,3.125000e-01,2,3.125000e-01,2,37,861,2
E,5,3.125000e-01,2,3.125000e-01,2,37,935,2
E,5,3.125000e-01,2,3.125000e-01,2,37,937,2
