aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.803360e-01,1,8.803360e-01,1,17,35,0
E,1,1.196640e-01,1,8.803360e-01,1,7,96,1
E,1,8.803360e-01,1,8.803360e-01,1,17,97,0
E,1,8.803360e-01,1,8.803360e-01,1,17,419,0
E,1,8.803360e-01,1,8.803360e-01,1,17,475,0
E,1,1.196640e-01,1,8.803360e-01,1,7,535,1
E,1,8.803360e-01,1,8.803360e-01,1,17,561,0
E,1,8.803360e-01,1,8.803360e-01,1,17,592,0
E,1,8.803360e-01,1,8.803360e-01,1,17,860,0
E,1,1.196640e-01,1,8.803360e-01,1,7,1011,1
E,1,1.196640e-01,1,8.803360e-01,1,7,1495,1
E,1,8.803360e-01,1,8.803360e-01,1,17,1677,0
E,1,8.803360e-01,1,8.803360e-01,1,17,1715,0
E,1,8.803360e-01,1,8.803360e-01,1,17,1730,0
E,1,1.196640e-01,1,8.803360e-01,1,7,1764,1
E,1,1.196640e-01,1,8.803360e-01,1,7,1904,1
E,1,8.803360e-01,1,8.803360e-01,1,17,1998,0
E,1,8.803360e-01,1,8.803360e-01,1,17,2180,0
E,1,8.803360e-01,1,8.803360e-01,1,17,2232,0
E,1,8.803360e-01,1,8.803360e-01,1,17,2389,0
E,1,8.803360e-01,1,8.803360e-01,1,17,2401,0
E,1,8.803360e-01,1,8.803360e-01,1,17,2496,0
E,1,1.196640e-01,1,8.803360e-01,1,7,2513,1
E,1,8.803360e-01,1,8.803360e-01,1,17,2563,0
E,2,7.749914e-01,1,7.749914e-01,1,24,24,0
E,2,2.106891e-01,1,7.749914e-01,1,13,45,1
E,2,7.749914e-01,1,7.749914e-01,1,24,190,0
E,2,2.106891e-01,1,7.749914e-01,1,13,199,1
E,2,2.106891e-01,1,7.749914e-01,1,13,325,1
E,2,1.431948e-02,1,7.749914e-01,1,1,399,2
E,2,2.106891e-01,1,7.749914e-01,1,13,430,1
E,2,7.749914e-01,1,7.749914e-01,1,24,433,0
E,2,7.749914e-01,1,7.749914e-01,1,24,463,0
E,2,2.106891e-01,1,7.749914e-01,1,13,745,1
E,2,7.749914e-01,1,7.749914e-01,1,24,747,0
E,2,7.749914e-01,1,7.749914e-01,1,24,782,0
E,2,7.749914e-01,1,7.749914e-01,1,24,850,0
E,2,2.106891e-01,1,7.749914e-01,1,13,889,1
E,2,7.749914e-01,1,7.749914e-01,1,24,924,0
E,2,2.106891e-01,1,7.749914e-01,1,13,1015,1
E,2,7.749914e-01,1,7.749914e-01,1,24,1100,0
E,2,7.749914e-01,1,7.749914e-01,1,24,1115,0
E,2,2.106891e-01,1,7.749914e-01,1,13,1176,1
E,2,7.749914e-01,1,7.749914e-01,1,24,1361,0
E,2,7.749914e-01,1,7.749914e-01,1,24,1564,0
E,2,7.749914e-01,1,7.749914e-01,1,24,1629,0
