aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,15,192,1
E,1,5.000000e-01,2,5.000000e-01,2,15,392,1
E,1,5.000000e-01,2,5.000000e-01,2,15,413,1
E,1,5.000000e-01,2,5.000000e-01,2,15,435,1
E,1,5.000000e-01,2,5.000000e-01,2,15,450,1
E,1,5.000000e-01,2,5.000000e-01,2,15,461,1
E,1,5.000000e-01,2,5.000000e-01,2,15,503,1
E,1,5.000000e-01,2,5.000000e-01,2,15,880,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1175,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1498,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1589,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1694,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1752,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1859,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1860,1
E,2,5.000000e-01,1,5.000000e-01,1,17,47,1
E,2,5.000000e-01,1,5.000000e-01,1,17,48,1
E,2,2.500000e-01,2,5.000000e-01,1,13,54,1
E,2,5.000000e-01,1,5.000000e-01,1,17,125,1
E,2,5.000000e-01,1,5.000000e-01,1,17,132,1
E,2,5.000000e-01,1,5.000000e-01,1,17,269,1
E,2,5.000000e-01,1,5.000000e-01,1,17,296,1
E,2,2.500000e-01,2,5.000000e-01,1,13,372,1
E,2,2.500000e-01,2,5.000000e-01,1,13,386,1
E,2,5.000000e-01,1,5.000000e-01,1,17,408,1
E,2,2.500000e-01,2,5.000000e-01,1,13,592,1
E,2,2.500000e-01,2,5.000000e-01,1,13,752,1
E,2,5.000000e-01,1,5.000000e-01,1,17,777,1
E,2,5.000000e-01,1,5.000000e-01,1,17,784,1
E,2,2.500000e-01,2,5.000000e-01,1,13,882,1
E,2,5.000000e-01,1,5.000000e-01,1,17,940,1
E,2,5.000000e-01,1,5.000000e-01,1,17,1011,1
E,2,2.500000e-01,2,5.000000e-01,1,13,1016,1
E,2,2.500000e-01,2,5.000000e-01,1,13,1075,1
E,2,5.000000e-01,1,5.000000e-01,1,17,1107,1
E,2,2.500000e-01,2,5.000000e-01,1,13,1220,1
E,2,5.000000e-01,1,5.000000e-01,1,17,1304,1
E,2,2.500000e-01,2,5.000000e-01,1,13,1347,1
E,2,2.500000e-01,2,5.000000e-01,1,13,1375,1
