aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,21,15,1
E,1,5.000000e-01,2,5.000000e-01,2,21,128,1
E,1,5.000000e-01,2,5.000000e-01,2,21,264,1
E,1,5.000000e-01,2,5.000000e-01,2,21,318,1
E,1,5.000000e-01,2,5.000000e-01,2,21,459,1
E,1,5.000000e-01,2,5.000000e-01,2,21,546,1
E,1,5.000000e-01,2,5.000000e-01,2,21,998,1
E,1,5.000000e-01,2,5.000000e-01,2,21,1077,1
E,1,5.000000e-01,2,5.000000e-01,2,21,1143,1
E,1,5.000000e-01,2,5.000000e-01,2,21,1548,1
E,1,5.000000e-01,2,5.000000e-01,2,21,1762,1
E,1,5.000000e-01,2,5.000000e-01,2,21,1908,1
E,1,5.000000e-01,2,5.000000e-01,2,21,2129,1
E,1,5.000000e-01,2,5.000000e-01,2,21,2505,1
E,1,5.000000e-01,2,5.000000e-01,2,21,2535,1
E,1,5.000000e-01,2,5.000000e-01,2,21,2743,1
E,1,5.000000e-01,2,5.000000e-01,2,21,2876,1
E,1,5.000000e-01,2,5.000000e-01,2,21,3394,1
E,1,5.000000e-01,2,5.000000e-01,2,21,3480,1
E,1,5.000000e-01,2,5.000000e-01,2,21,3575,1
E,1,5.000000e-01,2,5.000000e-01,2,21,3582,1
E,2,5.000000e-01,1,5.000000e-01,1,21,90,1
E,2,2.500000e-01,2,5.000000e-01,1,28,129,1
E,2,2.500000e-01,2,5.000000e-01,1,28,147,1
E,2,2.500000e-01,2,5.000000e-01,1,28,190,1
E,2,2.500000e-01,2,5.000000e-01,1,28,323,1
E,2,2.500000e-01,2,5.000000e-01,1,28,422,1
E,2,5.000000e-01,1,5.000000e-01,1,21,444,1
E,2,2.500000e-01,2,5.000000e-01,1,28,716,1
E,2,2.500000e-01,2,5.000000e-01,1,28,792,1
E,2,5.000000e-01,1,5.000000e-01,1,21,889,1
E,2,5.000000e-01,1,5.000000e-01,1,21,903,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1019,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1052,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1192,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1193,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1247,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1333,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1417,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1495,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1529,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1560,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1604,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1828,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1853,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1877,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1950,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1966,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1970,1
E,2,5.000000e-01,1,5.000000e-01,1,21,2093,1
E,2,5.000000e-01,1,5.000000e-01,1,21,2213,1
E,2,5.000000e-01,1,5.000000e-01,1,21,2241,1
E,2,2.500000e-01,2,5.000000e-01,1,28,2377,1
E,2,5.000000e-01,1,5.000000e-01,1,21,2462,1
E,2,2.500000e-01,2,5.000000e-01,1,28,2464,1
E,2,5.000000e-01,1,5.000000e-01,1,21,2602,1
E,2,2.500000e-01,2,5.000000e-01,1,28,2739,1
E,2,5.000000e-01,1,5.000000e-01,1,21,2933,1
E,2,2.500000e-01,2,5.000000e-01,1,28,2963,1
E,2,2.500000e-01,2,5.000000e-01,1,28,2980,1
E,2,5.000000e-01,1,5.000000e-01,1,21,2994,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3031,1
E,2,5.000000e-01,1,5.000000e-01,1,21,3079,1
E,2,5.000000e-01,1,5.000000e-01,1,21,3197,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3229,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3285,1
E,2,5.000000e-01,1,5.000000e-01,1,21,3320,1
E,2,5.000000e-01,1,5.000000e-01,1,21,3347,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3532,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3619,1
E,3,1.250000e-01,2,3.750000e-01,2,19,38,0
E,3,3.750000e-01,2,3.750000e-01,2,56,62,0
E,3,3.750000e-01,2,3.750000e-01,2,56,150,0
E,3,3.750000e-01,2,3.750000e-01,2,56,187,0
E,3,1.250000e-01,2,3.750000e-01,2,19,212,0
E,3,3.750000e-01,2,3.750000e-01,2,56,232,0
E,3,3.750000e-01,2,3.750000e-01,2,56,237,0
E,3,3.750000e-01,2,3.750000e-01,2,56,241,0
E,3,3.750000e-01,2,3.750000e-01,2,56,364,0
E,3,3.750000e-01,2,3.750000e-01,2,56,366,0
E,3,1.250000e-01,2,3.750000e-01,2,19,403,0
E,3,3.750000e-01,2,3.750000e-01,2,56,423,0
E,3,3.750000e-01,2,3.750000e-01,2,56,457,0
E,3,1.250000e-01,2,3.750000e-01,2,19,581,0
E,3,3.750000e-01,2,3.750000e-01,2,56,693,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1026,0
E,3,1.250000e-01,2,3.750000e-01,2,19,1046,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1081,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1104,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1166,0
E,3,1.250000e-01,2,3.750000e-01,2,19,1194,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1332,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1359,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1383,0
E,3,1.250000e-01,2,3.750000e-01,2,19,1423,0
E,3,1.250000e-01,2,3.750000e-01,2,19,1461,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1482,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1497,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1545,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1569,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1718,0
E,3,1.250000e-01,2,3.750000e-01,2,19,1778,0
E,3,3.750000e-01,2,3.750000e-01,2,56,1931,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2020,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2058,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2059,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2125,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2221,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2278,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2320,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2327,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2381,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2520,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2620,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2704,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2757,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2771,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2792,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2823,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2834,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2915,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2943,0
E,3,3.750000e-01,2,3.750000e-01,2,56,2979,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2999,0
E,3,1.250000e-01,2,3.750000e-01,2,19,3005,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3098,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3117,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3119,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3231,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3253,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3263,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3274,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3291,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3317,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3356,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3369,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3381,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3406,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3492,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3504,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3557,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3684,0
E,3,1.250000e-01,2,3.750000e-01,2,19,3713,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3715,0
E,3,3.750000e-01,2,3.750000e-01,2,56,3721,0
E,4,2.500000e-01,2,3.750000e-01,1,41,32,3
E,4,2.500000e-01,2,3.750000e-01,1,41,61,3
E,4,3.750000e-01,1,3.750000e-01,1,35,162,3
E,4,2.500000e-01,2,3.750000e-01,1,41,236,3
E,4,2.500000e-01,2,3.750000e-01,1,41,409,3
E,4,2.500000e-01,2,3.750000e-01,1,41,440,3
E,4,3.750000e-01,1,3.750000e-01,1,35,512,3
E,4,2.500000e-01,2,3.750000e-01,1,41,519,3
E,4,2.500000e-01,2,3.750000e-01,1,41,610,3
E,4,2.500000e-01,2,3.750000e-01,1,41,652,3
E,4,3.750000e-01,1,3.750000e-01,1,35,659,3
E,4,3.750000e-01,1,3.750000e-01,1,35,664,3
E,4,3.750000e-01,1,3.750000e-01,1,35,669,3
E,4,3.750000e-01,1,3.750000e-01,1,35,761,3
E,4,2.500000e-01,2,3.750000e-01,1,41,785,3
E,4,3.750000e-01,1,3.750000e-01,1,35,925,3
E,4,2.500000e-01,2,3.750000e-01,1,41,970,3
E,4,2.500000e-01,2,3.750000e-01,1,41,987,3
E,4,3.750000e-01,1,3.750000e-01,1,35,1017,3
E,4,3.750000e-01,1,3.750000e-01,1,35,1065,3
E,4,3.750000e-01,1,3.750000e-01,1,35,1127,3
E,4,2.500000e-01,2,3.750000e-01,1,41,1174,3
E,4,3.750000e-01,1,3.750000e-01,1,35,1419,3
E,4,2.500000e-01,2,3.750000e-01,1,41,1448,3
E,4,3.750000e-01,1,3.750000e-01,1,35,1473,3
E,4,6.250000e-02,2,3.750000e-01,1,9,1494,3
E,4,3.750000e-01,1,3.750000e-01,1,35,1521,3
E,4,6.250000e-02,2,3.750000e-01,1,9,1551,3
E,4,2.500000e-01,2,3.750000e-01,1,41,1575,3
E,4,3.750000e-01,1,3.750000e-01,1,35,1609,3
E,4,3.750000e-01,1,3.750000e-01,1,35,1624,3
E,4,2.500000e-01,2,3.750000e-01,1,41,1632,3
E,4,2.500000e-01,2,3.750000e-01,1,41,1675,3
E,4,2.500000e-01,2,3.750000e-01,1,41,1676,3
E,4,2.500000e-01,2,3.750000e-01,1,41,1683,3
E,4,3.750000e-01,1,3.750000e-01,1,35,1777,3
E,4,3.750000e-01,1,3.750000e-01,1,35,1789,3
E,4,2.500000e-01,2,3.750000e-01,1,41,1805,3
E,4,2.500000e-01,2,3.750000e-01,1,41,1835,3
E,4,2.500000e-01,2,3.750000e-01,1,41,1875,3
E,4,2.500000e-01,2,3.750000e-01,1,41,1901,3
E,4,2.500000e-01,2,3.750000e-01,1,41,1933,3
E,4,3.750000e-01,1,3.750000e-01,1,35,1962,3
E,4,2.500000e-01,2,3.750000e-01,1,41,2024,3
E,4,2.500000e-01,2,3.750000e-01,1,41,2120,3
E,4,2.500000e-01,2,3.750000e-01,1,41,2132,3
E,4,2.500000e-01,2,3.750000e-01,1,41,2151,3
E,4,3.750000e-01,1,3.750000e-01,1,35,2162,3
E,4,3.750000e-01,1,3.750000e-01,1,35,2165,3
E,4,2.500000e-01,2,3.750000e-01,1,41,2172,3
E,4,6.250000e-02,2,3.750000e-01,1,9,2281,3
E,4,2.500000e-01,2,3.750000e-01,1,41,2395,3
E,4,3.750000e-01,1,3.750000e-01,1,35,2450,3
E,4,2.500000e-01,2,3.750000e-01,1,41,2487,3
E,4,3.750000e-01,1,3.750000e-01,1,35,2590,3
E,4,3.750000e-01,1,3.750000e-01,1,35,2633,3
E,4,6.250000e-02,2,3.750000e-01,1,9,2640,3
E,4,2.500000e-01,2,3.750000e-01,1,41,2659,3
E,4,6.250000e-02,2,3.750000e-01,1,9,2700,3
E,4,3.750000e-01,1,3.750000e-01,1,35,2708,3
E,4,2.500000e-01,2,3.750000e-01,1,41,2719,3
E,4,3.750000e-01,1,3.750000e-01,1,35,2750,3
E,4,2.500000e-01,2,3.750000e-01,1,41,2783,3
E,4,3.750000e-01,1,3.750000e-01,1,35,2835,3
E,4,2.500000e-01,2,3.750000e-01,1,41,2959,3
E,4,2.500000e-01,2,3.750000e-01,1,41,2971,3
E,4,3.750000e-01,1,3.750000e-01,1,35,2976,3
E,4,3.750000e-01,1,3.750000e-01,1,35,2984,3
E,4,2.500000e-01,2,3.750000e-01,1,41,3021,3
E,4,6.250000e-02,2,3.750000e-01,1,9,3029,3
E,4,2.500000e-01,2,3.750000e-01,1,41,3055,3
E,4,2.500000e-01,2,3.750000e-01,1,41,3078,3
E,4,3.750000e-01,1,3.750000e-01,1,35,3147,3
E,4,6.250000e-02,2,3.750000e-01,1,9,3170,3
E,4,3.750000e-01,1,3.750000e-01,1,35,3236,3
E,4,2.500000e-01,2,3.750000e-01,1,41,3287,3
E,4,2.500000e-01,2,3.750000e-01,1,41,3354,3
E,4,2.500000e-01,2,3.750000e-01,1,41,3387,3
