aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.516632e-01,1,5.483368e-01,1,5,192,1
E,1,5.483368e-01,1,5.483368e-01,1,10,392,1
E,1,5.483368e-01,1,5.483368e-01,1,10,413,1
E,1,5.483368e-01,1,5.483368e-01,1,10,435,1
E,1,5.483368e-01,1,5.483368e-01,1,10,450,1
E,1,5.483368e-01,1,5.483368e-01,1,10,461,1
E,1,5.483368e-01,1,5.483368e-01,1,10,503,1
E,1,4.516632e-01,1,5.483368e-01,1,5,880,1
E,1,5.483368e-01,1,5.483368e-01,1,10,1175,1
E,1,5.483368e-01,1,5.483368e-01,1,10,1498,1
E,1,5.483368e-01,1,5.483368e-01,1,10,1589,1
E,1,5.483368e-01,1,5.483368e-01,1,10,1694,1
E,1,4.516632e-01,1,5.483368e-01,1,5,1752,1
E,1,4.516632e-01,1,5.483368e-01,1,5,1859,1
E,1,4.516632e-01,1,5.483368e-01,1,5,1860,1
E,2,4.953271e-01,1,4.953271e-01,1,17,47,1
E,2,4.953271e-01,1,4.953271e-01,1,17,48,1
E,2,3.006733e-01,1,4.953271e-01,1,8,54,1
E,2,4.953271e-01,1,4.953271e-01,1,17,125,1
E,2,4.953271e-01,1,4.953271e-01,1,17,132,1
E,2,4.953271e-01,1,4.953271e-01,1,17,269,1
E,2,4.953271e-01,1,4.953271e-01,1,17,296,1
E,2,2.039996e-01,1,4.953271e-01,1,5,372,1
E,2,3.006733e-01,1,4.953271e-01,1,8,386,1
E,2,4.953271e-01,1,4.953271e-01,1,17,408,1
E,2,3.006733e-01,1,4.953271e-01,1,8,592,1
E,2,3.006733e-01,1,4.953271e-01,1,8,752,1
E,2,3.006733e-01,1,4.953271e-01,1,8,777,1
E,2,4.953271e-01,1,4.953271e-01,1,17,784,1
E,2,2.039996e-01,1,4.953271e-01,1,5,882,1
E,2,4.953271e-01,1,4.953271e-01,1,17,940,1
E,2,4.953271e-01,1,4.953271e-01,1,17,1011,1
E,2,3.006733e-01,1,4.953271e-01,1,8,1016,1
E,2,2.039996e-01,1,4.953271e-01,1,5,1075,1
E,2,4.953271e-01,1,4.953271e-01,1,17,1107,1
E,2,3.006733e-01,1,4.953271e-01,1,8,1220,1
E,2,4.953271e-01,1,4.953271e-01,1,17,1304,1
E,2,2.039996e-01,1,4.953271e-01,1,5,1347,1
E,2,4.953271e-01,1,4.953271e-01,1,17,1375,1
E,2,4.953271e-01,1,4.953271e-01,1,17,1622,1
E,2,3.006733e-01,1,4.953271e-01,1,8,1662,1
E,2,2.039996e-01,1,4.953271e-01,1,5,1688,1
E,2,4.953271e-01,1,4.953271e-01,1,17,1712,1
E,2,4.953271e-01,1,4.953271e-01,1,17,1742,1
E,2,4.953271e-01,1,4.953271e-01,1,17,1878,1
E,3,3.355815e-01,1,4.074091e-01,1,7,51,2
E,3,4.074091e-01,1,4.074091e-01,1,16,71,2
E,3,4.074091e-01,1,4.074091e-01,1,16,145,2
E,3,3.355815e-01,1,4.074091e-01,1,7,265,2
E,3,4.074091e-01,1,4.074091e-01,1,16,297,2
E,3,9.213910e-02,1,4.074091e-01,1,4,347,2
E,3,3.355815e-01,1,4.074091e-01,1,7,415,2
E,3,4.074091e-01,1,4.074091e-01,1,16,479,2
E,3,9.213910e-02,1,4.074091e-01,1,4,519,2
E,3,4.074091e-01,1,4.074091e-01,1,16,580,2
E,3,3.355815e-01,1,4.074091e-01,1,7,590,2
E,3,3.355815e-01,1,4.074091e-01,1,7,775,2
E,3,1.648702e-01,1,4.074091e-01,1,2,810,2
E,3,4.074091e-01,1,4.074091e-01,1,16,812,2
E,3,4.074091e-01,1,4.074091e-01,1,16,883,2
E,3,3.355815e-01,1,4.074091e-01,1,7,941,2
E,3,9.213910e-02,1,4.074091e-01,1,4,944,2
E,3,4.074091e-01,1,4.074091e-01,1,16,957,2
E,3,9.213910e-02,1,4.074091e-01,1,4,1048,2
E,3,1.648702e-01,1,4.074091e-01,1,2,1127,2
E,3,4.074091e-01,1,4.074091e-01,1,16,1187,2
E,3,4.074091e-01,1,4.074091e-01,1,16,1316,2
E,3,4.074091e-01,1,4.074091e-01,1,16,1342,2
E,3,3.355815e-01,1,4.074091e-01,1,7,1449,2
E,3,4.074091e-01,1,4.074091e-01,1,16,1546,2
E,3,4.074091e-01,1,4.074091e-01,1,16,1586,2
E,3,4.074091e-01,1,4.074091e-01,1,16,1736,2
E,3,4.074091e-01,1,4.074091e-01,1,16,1795,2
E,3,4.074091e-01,1,4.074091e-01,1,16,1796,2
E,4,3.680234e-01,1,3.680234e-01,1,12,19,2
E,4,3.680234e-01,1,3.680234e-01,1,12,159,2
E,4,2.020931e-01,1,3.680234e-01,1,10,205,2
E,4,3.680234e-01,1,3.680234e-01,1,12,216,2
E,4,9.040443e-02,1,3.680234e-01,1,4,462,2
E,4,2.020931e-01,1,3.680234e-01,1,10,547,2
E,4,3.680234e-01,1,3.680234e-01,1,12,714,2
E,4,2.978633e-01,1,3.680234e-01,1,5,787,2
E,4,3.680234e-01,1,3.680234e-01,1,12,852,2
E,4,3.680234e-01,1,3.680234e-01,1,12,864,2
E,4,2.020931e-01,1,3.680234e-01,1,10,881,2
E,4,9.040443e-02,1,3.680234e-01,1,4,920,2
E,4,3.680234e-01,1,3.680234e-01,1,12,950,2
E,4,9.040443e-02,1,3.680234e-01,1,4,951,2
E,4,3.680234e-01,1,3.680234e-01,1,12,1025,2
E,4,3.680234e-01,1,3.680234e-01,1,12,1197,2
E,4,2.978633e-01,1,3.680234e-01,1,5,1209,2
E,4,9.040443e-02,1,3.680234e-01,1,4,1214,2
E,4,2.020931e-01,1,3.680234e-01,1,10,1261,2
