aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,13,173,1
E,1,5.000000e-01,2,5.000000e-01,2,13,240,1
E,1,5.000000e-01,2,5.000000e-01,2,13,384,1
E,1,5.000000e-01,2,5.000000e-01,2,13,440,1
E,1,5.000000e-01,2,5.000000e-01,2,13,601,1
E,1,5.000000e-01,2,5.000000e-01,2,13,699,1
E,1,5.000000e-01,2,5.000000e-01,2,13,888,0
E,1,5.000000e-01,2,5.000000e-01,2,13,897,1
E,1,5.000000e-01,2,5.000000e-01,2,13,936,1
E,1,5.000000e-01,2,5.000000e-01,2,13,937,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1150,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1423,1
E,1,5.000000e-01,2,5.000000e-01,2,13,1586,0
E,2,5.000000e-01,1,5.000000e-01,1,6,115,1
E,2,2.500000e-01,2,5.000000e-01,1,15,333,2
E,2,2.500000e-01,2,5.000000e-01,1,15,344,2
E,2,2.500000e-01,2,5.000000e-01,1,15,375,2
E,2,2.500000e-01,2,5.000000e-01,1,15,408,2
E,2,5.000000e-01,1,5.000000e-01,1,6,447,1
E,2,5.000000e-01,1,5.000000e-01,1,6,566,1
E,2,2.500000e-01,2,5.000000e-01,1,15,713,2
E,2,2.500000e-01,2,5.000000e-01,1,15,717,2
E,2,2.500000e-01,2,5.000000e-01,1,15,718,2
E,2,2.500000e-01,2,5.000000e-01,1,15,966,2
E,2,5.000000e-01,1,5.000000e-01,1,6,1308,1
E,2,2.500000e-01,2,5.000000e-01,1,15,1364,2
E,2,2.500000e-01,2,5.000000e-01,1,15,1396,2
E,2,2.500000e-01,2,5.000000e-01,1,15,1422,2
E,2,2.500000e-01,2,5.000000e-01,1,15,1451,2
E,2,5.000000e-01,1,5.000000e-01,1,6,1453,1
E,2,2.500000e-01,2,5.000000e-01,1,15,1493,2
E,2,2.500000e-01,2,5.000000e-01,1,15,1564,2
E,2,2.500000e-01,2,5.000000e-01,1,15,1629,2
E,2,5.000000e-01,1,5.000000e-01,1,6,1726,1
E,3,1.250000e-01,2,3.750000e-01,2,19,78,3
E,3,1.250000e-01,2,3.750000e-01,2,19,105,3
E,3,1.250000e-01,2,3.750000e-01,2,19,271,3
