aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.245645e-01,1,5.754355e-01,1,9,274,0
E,1,4.245645e-01,1,5.754355e-01,1,9,364,0
E,1,4.245645e-01,1,5.754355e-01,1,9,432,0
E,1,4.245645e-01,1,5.754355e-01,1,9,441,0
E,1,5.754355e-01,1,5.754355e-01,1,4,724,0
E,1,5.754355e-01,1,5.754355e-01,1,4,826,0
E,1,5.754355e-01,1,5.754355e-01,1,4,943,0
E,1,5.754355e-01,1,5.754355e-01,1,4,1147,0
E,1,4.245645e-01,1,5.754355e-01,1,9,1194,0
E,1,4.245645e-01,1,5.754355e-01,1,9,1327,0
E,1,4.245645e-01,1,5.754355e-01,1,9,1671,0
E,1,4.245645e-01,1,5.754355e-01,1,9,1888,0
E,1,4.245645e-01,1,5.754355e-01,1,9,1953,0
E,2,3.311260e-01,1,4.886190e-01,1,14,153,2
E,2,3.311260e-01,1,4.886190e-01,1,14,187,2
E,2,4.886190e-01,1,4.886190e-01,1,12,259,2
E,2,3.311260e-01,1,4.886190e-01,1,14,268,2
E,2,1.802551e-01,1,4.886190e-01,1,6,578,2
E,2,3.311260e-01,1,4.886190e-01,1,14,898,2
E,2,4.886190e-01,1,4.886190e-01,1,12,913,2
E,2,4.886190e-01,1,4.886190e-01,1,12,926,2
E,2,3.311260e-01,1,4.886190e-01,1,14,1109,2
E,2,3.311260e-01,1,4.886190e-01,1,14,1133,2
E,2,3.311260e-01,1,4.886190e-01,1,14,1145,2
E,2,1.802551e-01,1,4.886190e-01,1,6,1178,2
E,2,4.886190e-01,1,4.886190e-01,1,12,1220,2
E,2,3.311260e-01,1,4.886190e-01,1,14,1238,2
E,2,4.886190e-01,1,4.886190e-01,1,12,1242,2
E,2,3.311260e-01,1,4.886190e-01,1,14,1409,2
E,2,3.311260e-01,1,4.886190e-01,1,14,1432,2
E,2,4.886190e-01,1,4.886190e-01,1,12,1462,2
E,2,1.802551e-01,1,4.886190e-01,1,6,1535,2
E,2,1.802551e-01,1,4.886190e-01,1,6,1579,2
E,2,4.886190e-01,1,4.886190e-01,1,12,1625,2
E,2,4.886190e-01,1,4.886190e-01,1,12,1627,2
E,2,3.311260e-01,1,4.886190e-01,1,14,1678,2
E,2,3.311260e-01,1,4.886190e-01,1,14,1839,2
E,2,4.886190e-01,1,4.886190e-01,1,12,1840,2
E,2,4.886190e-01,1,4.886190e-01,1,12,1913,2
E,2,3.311260e-01,1,4.886190e-01,1,14,2113,2
E,2,3.311260e-01,1,4.886190e-01,1,14,2198,2
E,2,1.802551e-01,1,4.886190e-01,1,6,2216,2
E,2,4.886190e-01,1,4.886190e-01,1,12,2249,2
E,2,1.802551e-01,1,4.886190e-01,1,6,2392,2
E,2,4.886190e-01,1,4.886190e-01,1,12,2450,2
E,3,4.217530e-01,1,4.217530e-01,1,28,23,2
E,3,4.217530e-01,1,4.217530e-01,1,28,85,2
E,3,1.905416e-01,1,4.217530e-01,1,14,288,2
E,3,3.111754e-01,1,4.217530e-01,1,13,317,2
E,3,3.111754e-01,1,4.217530e-01,1,13,326,2
E,3,1.905416e-01,1,4.217530e-01,1,14,339,2
E,3,4.217530e-01,1,4.217530e-01,1,28,349,2
E,3,7.652990e-02,1,4.217530e-01,1,6,350,2
E,3,1.905416e-01,1,4.217530e-01,1,14,411,2
E,3,1.905416e-01,1,4.217530e-01,1,14,412,2
E,3,3.111754e-01,1,4.217530e-01,1,13,414,2
E,3,3.111754e-01,1,4.217530e-01,1,13,431,2
E,3,1.905416e-01,1,4.217530e-01,1,14,456,2
E,3,3.111754e-01,1,4.217530e-01,1,13,534,2
E,3,4.217530e-01,1,4.217530e-01,1,28,604,2
E,3,1.905416e-01,1,4.217530e-01,1,14,657,2
E,3,4.217530e-01,1,4.217530e-01,1,28,732,2
E,3,1.905416e-01,1,4.217530e-01,1,14,733,2
E,3,1.905416e-01,1,4.217530e-01,1,14,870,2
E,3,4.217530e-01,1,4.217530e-01,1,28,875,2
E,3,1.905416e-01,1,4.217530e-01,1,14,899,2
E,3,4.217530e-01,1,4.217530e-01,1,28,1033,2
E,3,1.905416e-01,1,4.217530e-01,1,14,1094,2
E,3,3.111754e-01,1,4.217530e-01,1,13,1104,2
E,3,4.217530e-01,1,4.217530e-01,1,28,1316,2
E,3,4.217530e-01,1,4.217530e-01,1,28,1345,2
E,3,4.217530e-01,1,4.217530e-01,1,28,1346,2
E,3,1.905416e-01,1,4.217530e-01,1,14,1412,2
E,3,7.652990e-02,1,4.217530e-01,1,6,1424,2
E,3,7.652990e-02,1,4.217530e-01,1,6,1431,2
E,3,3.111754e-01,1,4.217530e-01,1,13,1442,2
E,3,4.217530e-01,1,4.217530e-01,1,28,1445,2
E,3,3.111754e-01,1,4.217530e-01,1,13,1459,2
E,3,4.217530e-01,1,4.217530e-01,1,28,1546,2
E,3,3.111754e-01,1,4.217530e-01,1,13,1553,2
E,3,3.111754e-01,1,4.217530e-01,1,13,1564,2
E,3,4.217530e-01,1,4.217530e-01,1,28,1578,2
E,3,4.217530e-01,1,4.217530e-01,1,28,1583,2
E,3,1.905416e-01,1,4.217530e-01,1,14,1589,2
E,3,7.652990e-02,1,4.217530e-01,1,6,1647,2
E,3,1.905416e-01,1,4.217530e-01,1,14,1664,2
E,3,1.905416e-01,1,4.217530e-01,1,14,1715,2
E,3,7.652990e-02,1,4.217530e-01,1,6,1740,2
E,3,3.111754e-01,1,4.217530e-01,1,13,1757,2
E,3,4.217530e-01,1,4.217530e-01,1,28,1791,2
E,3,4.217530e-01,1,4.217530e-01,1,28,1807,2
E,3,4.217530e-01,1,4.217530e-01,1,28,1836,2
E,3,4.217530e-01,1,4.217530e-01,1,28,1880,2
E,3,3.111754e-01,1,4.217530e-01,1,13,1936,2
E,3,4.217530e-01,1,4.217530e-01,1,28,2084,2
E,3,4.217530e-01,1,4.217530e-01,1,28,2116,2
E,3,3.111754e-01,1,4.217530e-01,1,13,2128,2
E,3,4.217530e-01,1,4.217530e-01,1,28,2142,2
E,3,4.217530e-01,1,4.217530e-01,1,28,2157,2
E,3,4.217530e-01,1,4.217530e-01,1,28,2184,2
E,3,4.217530e-01,1,4.217530e-01,1,28,2203,2
E,3,7.652990e-02,1,4.217530e-01,1,6,2274,2
