aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,34,350,1
E,1,5.000000e-01,2,5.000000e-01,2,34,433,1
E,1,5.000000e-01,2,5.000000e-01,2,34,454,1
E,1,5.000000e-01,2,5.000000e-01,2,34,520,1
E,1,5.000000e-01,2,5.000000e-01,2,34,591,1
E,1,5.000000e-01,2,5.000000e-01,2,34,664,1
E,1,5.000000e-01,2,5.000000e-01,2,34,728,1
E,1,5.000000e-01,2,5.000000e-01,2,34,746,1
E,1,5.000000e-01,2,5.000000e-01,2,34,830,1
E,1,5.000000e-01,2,5.000000e-01,2,34,1230,1
E,1,5.000000e-01,2,5.000000e-01,2,34,1253,1
E,1,5.000000e-01,2,5.000000e-01,2,34,1323,1
E,1,5.000000e-01,2,5.000000e-01,2,34,1387,1
E,1,5.000000e-01,2,5.000000e-01,2,34,1457,1
E,1,5.000000e-01,2,5.000000e-01,2,34,1753,1
E,1,5.000000e-01,2,5.000000e-01,2,34,1791,1
E,1,5.000000e-01,2,5.000000e-01,2,34,2078,1
E,1,5.000000e-01,2,5.000000e-01,2,34,2441,1
E,1,5.000000e-01,2,5.000000e-01,2,34,2542,1
E,1,5.000000e-01,2,5.000000e-01,2,34,2584,1
E,1,5.000000e-01,2,5.000000e-01,2,34,2627,1
E,1,5.000000e-01,2,5.000000e-01,2,34,3022,1
E,1,5.000000e-01,2,5.000000e-01,2,34,3203,1
E,1,5.000000e-01,2,5.000000e-01,2,34,3264,1
E,1,5.000000e-01,2,5.000000e-01,2,34,3537,1
E,1,5.000000e-01,2,5.000000e-01,2,34,3538,1
E,1,5.000000e-01,2,5.000000e-01,2,34,3613,1
E,1,5.000000e-01,2,5.000000e-01,2,34,3721,1
E,1,5.000000e-01,2,5.000000e-01,2,34,3745,1
E,1,5.000000e-01,2,5.000000e-01,2,34,4007,1
E,1,5.000000e-01,2,5.000000e-01,2,34,4257,1
E,1,5.000000e-01,2,5.000000e-01,2,34,4318,1
E,1,5.000000e-01,2,5.000000e-01,2,34,4373,1
E,1,5.000000e-01,2,5.000000e-01,2,34,4746,1
E,2,5.000000e-01,1,5.000000e-01,1,38,39,1
E,2,2.500000e-01,2,5.000000e-01,1,28,129,1
E,2,5.000000e-01,1,5.000000e-01,1,38,371,1
E,2,2.500000e-01,2,5.000000e-01,1,28,411,1
E,2,5.000000e-01,1,5.000000e-01,1,38,491,1
E,2,5.000000e-01,1,5.000000e-01,1,38,557,1
E,2,5.000000e-01,1,5.000000e-01,1,38,571,1
E,2,2.500000e-01,2,5.000000e-01,1,28,653,1
E,2,5.000000e-01,1,5.000000e-01,1,38,726,1
E,2,2.500000e-01,2,5.000000e-01,1,28,794,1
E,2,5.000000e-01,1,5.000000e-01,1,38,798,1
E,2,5.000000e-01,1,5.000000e-01,1,38,813,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1002,1
E,2,5.000000e-01,1,5.000000e-01,1,38,1133,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1243,1
E,2,5.000000e-01,1,5.000000e-01,1,38,1361,1
E,2,5.000000e-01,1,5.000000e-01,1,38,1432,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1459,1
E,2,5.000000e-01,1,5.000000e-01,1,38,1554,1
E,2,5.000000e-01,1,5.000000e-01,1,38,1614,1
E,2,5.000000e-01,1,5.000000e-01,1,38,1712,1
E,2,2.500000e-01,2,5.000000e-01,1,28,1762,1
E,2,5.000000e-01,1,5.000000e-01,1,38,2026,1
E,2,5.000000e-01,1,5.000000e-01,1,38,2066,1
E,2,2.500000e-01,2,5.000000e-01,1,28,2225,1
E,2,2.500000e-01,2,5.000000e-01,1,28,2254,1
E,2,5.000000e-01,1,5.000000e-01,1,38,2355,1
E,2,5.000000e-01,1,5.000000e-01,1,38,2371,1
E,2,2.500000e-01,2,5.000000e-01,1,28,2391,1
E,2,2.500000e-01,2,5.000000e-01,1,28,2470,1
E,2,5.000000e-01,1,5.000000e-01,1,38,2714,1
E,2,2.500000e-01,2,5.000000e-01,1,28,2828,1
E,2,5.000000e-01,1,5.000000e-01,1,38,2845,1
E,2,5.000000e-01,1,5.000000e-01,1,38,3124,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3130,1
E,2,5.000000e-01,1,5.000000e-01,1,38,3182,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3231,1
E,2,5.000000e-01,1,5.000000e-01,1,38,3318,1
E,2,5.000000e-01,1,5.000000e-01,1,38,3351,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3420,1
E,2,5.000000e-01,1,5.000000e-01,1,38,3597,1
E,2,5.000000e-01,1,5.000000e-01,1,38,3600,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3622,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3737,1
E,2,5.000000e-01,1,5.000000e-01,1,38,3752,1
E,2,5.000000e-01,1,5.000000e-01,1,38,3768,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3844,1
E,2,5.000000e-01,1,5.000000e-01,1,38,3880,1
E,2,5.000000e-01,1,5.000000e-01,1,38,3881,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3951,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3975,1
E,2,2.500000e-01,2,5.000000e-01,1,28,3983,1
E,2,5.000000e-01,1,5.000000e-01,1,38,4049,1
E,2,5.000000e-01,1,5.000000e-01,1,38,4067,1
E,2,5.000000e-01,1,5.000000e-01,1,38,4165,1
E,2,2.500000e-01,2,5.000000e-01,1,28,4252,1
E,2,5.000000e-01,1,5.000000e-01,1,38,4292,1
E,2,2.500000e-01,2,5.000000e-01,1,28,4480,1
E,2,2.500000e-01,2,5.000000e-01,1,28,4505,1
E,2,5.000000e-01,1,5.000000e-01,1,38,4513,1
E,2,2.500000e-01,2,5.000000e-01,1,28,4587,1
E,2,2.500000e-01,2,5.000000e-01,1,28,4604,1
E,2,5.000000e-01,1,5.000000e-01,1,38,4611,1
E,2,5.000000e-01,1,5.000000e-01,1,38,4628,1
E,2,2.500000e-01,2,5.000000e-01,1,28,4653,1
E,2,5.000000e-01,1,5.000000e-01,1,38,4704,1
E,3,3.750000e-01,2,3.750000e-01,2,58,54,1
E,3,3.750000e-01,2,3.750000e-01,2,58,84,1
E,3,3.750000e-01,2,3.750000e-01,2,58,308,1
E,3,1.250000e-01,2,3.750000e-01,2,15,422,1
E,3,1.250000e-01,2,3.750000e-01,2,15,504,1
E,3,3.750000e-01,2,3.750000e-01,2,58,519,1
E,3,3.750000e-01,2,3.750000e-01,2,58,536,1
E,3,3.750000e-01,2,3.750000e-01,2,58,667,1
E,3,3.750000e-01,2,3.750000e-01,2,58,727,1
E,3,1.250000e-01,2,3.750000e-01,2,15,772,1
E,3,3.750000e-01,2,3.750000e-01,2,58,870,1
E,3,3.750000e-01,2,3.750000e-01,2,58,911,1
E,3,3.750000e-01,2,3.750000e-01,2,58,941,1
E,3,3.750000e-01,2,3.750000e-01,2,58,1039,1
E,3,1.250000e-01,2,3.750000e-01,2,15,1080,1
E,3,3.750000e-01,2,3.750000e-01,2,58,1128,1
E,3,3.750000e-01,2,3.750000e-01,2,58,1231,1
E,3,1.250000e-01,2,3.750000e-01,2,15,1249,1
E,3,1.250000e-01,2,3.750000e-01,2,15,1300,1
E,3,3.750000e-01,2,3.750000e-01,2,58,1316,1
E,3,3.750000e-01,2,3.750000e-01,2,58,1324,1
E,3,3.750000e-01,2,3.750000e-01,2,58,1340,1
E,3,3.750000e-01,2,3.750000e-01,2,58,1404,1
E,3,3.750000e-01,2,3.750000e-01,2,58,1588,1
E,3,3.750000e-01,2,3.750000e-01,2,58,1624,1
E,3,3.750000e-01,2,3.750000e-01,2,58,1812,1
E,3,3.750000e-01,2,3.750000e-01,2,58,1886,1
E,3,1.250000e-01,2,3.750000e-01,2,15,1906,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2060,1
E,3,1.250000e-01,2,3.750000e-01,2,15,2067,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2159,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2349,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2352,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2356,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2463,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2586,1
E,3,1.250000e-01,2,3.750000e-01,2,15,2591,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2667,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2668,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2711,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2720,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2750,1
E,3,3.750000e-01,2,3.750000e-01,2,58,2932,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3127,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3265,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3297,1
E,3,1.250000e-01,2,3.750000e-01,2,15,3306,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3309,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3361,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3406,1
E,3,1.250000e-01,2,3.750000e-01,2,15,3428,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3429,1
E,3,1.250000e-01,2,3.750000e-01,2,15,3452,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3458,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3530,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3645,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3764,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3766,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3769,1
E,3,1.250000e-01,2,3.750000e-01,2,15,3870,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3946,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3978,1
E,3,3.750000e-01,2,3.750000e-01,2,58,3981,1
E,3,3.750000e-01,2,3.750000e-01,2,58,4076,1
E,3,3.750000e-01,2,3.750000e-01,2,58,4282,1
E,3,3.750000e-01,2,3.750000e-01,2,58,4317,1
E,3,1.250000e-01,2,3.750000e-01,2,15,4400,1
E,3,3.750000e-01,2,3.750000e-01,2,58,4411,1
E,3,3.750000e-01,2,3.750000e-01,2,58,4584,1
E,3,3.750000e-01,2,3.750000e-01,2,58,4660,1
E,3,3.750000e-01,2,3.750000e-01,2,58,4667,1
E,3,1.250000e-01,2,3.750000e-01,2,15,4731,1
E,3,3.750000e-01,2,3.750000e-01,2,58,4756,1
E,4,2.500000e-01,2,3.750000e-01,1,52,51,3
E,4,2.500000e-01,2,3.750000e-01,1,52,114,3
E,4,6.250000e-02,2,3.750000e-01,1,11,127,3
E,4,3.750000e-01,1,3.750000e-01,1,30,240,3
E,4,2.500000e-01,2,3.750000e-01,1,52,246,3
E,4,2.500000e-01,2,3.750000e-01,1,52,338,3
E,4,3.750000e-01,1,3.750000e-01,1,30,376,3
E,4,3.750000e-01,1,3.750000e-01,1,30,538,3
E,4,6.250000e-02,2,3.750000e-01,1,11,542,3
E,4,6.250000e-02,2,3.750000e-01,1,11,609,3
E,4,2.500000e-01,2,3.750000e-01,1,52,658,3
E,4,3.750000e-01,1,3.750000e-01,1,30,786,3
E,4,3.750000e-01,1,3.750000e-01,1,30,808,3
E,4,2.500000e-01,2,3.750000e-01,1,52,857,3
E,4,6.250000e-02,2,3.750000e-01,1,11,858,3
E,4,3.750000e-01,1,3.750000e-01,1,30,886,3
E,4,2.500000e-01,2,3.750000e-01,1,52,915,3
E,4,2.500000e-01,2,3.750000e-01,1,52,986,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1126,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1284,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1294,3
E,4,3.750000e-01,1,3.750000e-01,1,30,1360,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1429,3
E,4,3.750000e-01,1,3.750000e-01,1,30,1441,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1498,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1632,3
E,4,6.250000e-02,2,3.750000e-01,1,11,1690,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1691,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1799,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1817,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1832,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1915,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1932,3
E,4,3.750000e-01,1,3.750000e-01,1,30,1958,3
E,4,2.500000e-01,2,3.750000e-01,1,52,1978,3
E,4,2.500000e-01,2,3.750000e-01,1,52,2008,3
E,4,6.250000e-02,2,3.750000e-01,1,11,2037,3
E,4,3.750000e-01,1,3.750000e-01,1,30,2055,3
E,4,2.500000e-01,2,3.750000e-01,1,52,2249,3
E,4,2.500000e-01,2,3.750000e-01,1,52,2261,3
E,4,2.500000e-01,2,3.750000e-01,1,52,2263,3
E,4,3.750000e-01,1,3.750000e-01,1,30,2334,3
E,4,2.500000e-01,2,3.750000e-01,1,52,2337,3
E,4,3.750000e-01,1,3.750000e-01,1,30,2359,3
E,4,2.500000e-01,2,3.750000e-01,1,52,2440,3
E,4,6.250000e-02,2,3.750000e-01,1,11,2447,3
E,4,2.500000e-01,2,3.750000e-01,1,52,2449,3
E,4,2.500000e-01,2,3.750000e-01,1,52,2474,3
E,4,3.750000e-01,1,3.750000e-01,1,30,2484,3
E,4,3.750000e-01,1,3.750000e-01,1,30,2585,3
E,4,2.500000e-01,2,3.750000e-01,1,52,2635,3
E,4,3.750000e-01,1,3.750000e-01,1,30,2700,3
E,4,3.750000e-01,1,3.750000e-01,1,30,2764,3
E,4,2.500000e-01,2,3.750000e-01,1,52,2790,3
E,4,3.750000e-01,1,3.750000e-01,1,30,2817,3
E,4,3.750000e-01,1,3.750000e-01,1,30,2919,3
E,4,3.750000e-01,1,3.750000e-01,1,30,2987,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3032,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3126,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3172,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3179,3
E,4,3.750000e-01,1,3.750000e-01,1,30,3186,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3204,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3333,3
E,4,6.250000e-02,2,3.750000e-01,1,11,3369,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3375,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3409,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3432,3
E,4,3.750000e-01,1,3.750000e-01,1,30,3442,3
E,4,3.750000e-01,1,3.750000e-01,1,30,3453,3
E,4,3.750000e-01,1,3.750000e-01,1,30,3454,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3455,3
E,4,3.750000e-01,1,3.750000e-01,1,30,3536,3
E,4,6.250000e-02,2,3.750000e-01,1,11,3617,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3688,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3719,3
E,4,3.750000e-01,1,3.750000e-01,1,30,3734,3
E,4,6.250000e-02,2,3.750000e-01,1,11,3874,3
E,4,2.500000e-01,2,3.750000e-01,1,52,3890,3
