aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,16,16,1
E,1,5.000000e-01,2,5.000000e-01,2,16,102,1
E,1,5.000000e-01,2,5.000000e-01,2,16,249,1
E,1,5.000000e-01,2,5.000000e-01,2,16,405,1
E,1,5.000000e-01,2,5.000000e-01,2,16,477,1
E,1,5.000000e-01,2,5.000000e-01,2,16,520,1
E,1,5.000000e-01,2,5.000000e-01,2,16,522,1
E,1,5.000000e-01,2,5.000000e-01,2,16,651,1
E,1,5.000000e-01,2,5.000000e-01,2,16,655,1
E,1,5.000000e-01,2,5.000000e-01,2,16,659,1
E,1,5.000000e-01,2,5.000000e-01,2,16,948,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1118,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1270,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1396,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1421,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1493,1
E,2,5.000000e-01,1,5.000000e-01,1,22,2,1
E,2,5.000000e-01,1,5.000000e-01,1,22,42,1
E,2,5.000000e-01,1,5.000000e-01,1,22,49,1
E,2,5.000000e-01,1,5.000000e-01,1,22,71,1
E,2,2.500000e-01,2,5.000000e-01,1,19,79,1
E,2,2.500000e-01,2,5.000000e-01,1,19,87,1
E,2,2.500000e-01,2,5.000000e-01,1,19,135,1
E,2,2.500000e-01,2,5.000000e-01,1,19,145,1
E,2,5.000000e-01,1,5.000000e-01,1,22,188,1
E,2,2.500000e-01,2,5.000000e-01,1,19,221,1
E,2,2.500000e-01,2,5.000000e-01,1,19,233,1
E,2,2.500000e-01,2,5.000000e-01,1,19,244,1
E,2,5.000000e-01,1,5.000000e-01,1,22,248,1
E,2,5.000000e-01,1,5.000000e-01,1,22,280,1
E,2,2.500000e-01,2,5.000000e-01,1,19,284,1
E,2,2.500000e-01,2,5.000000e-01,1,19,314,1
E,2,5.000000e-01,1,5.000000e-01,1,22,342,1
E,2,5.000000e-01,1,5.000000e-01,1,22,360,1
E,2,5.000000e-01,1,5.000000e-01,1,22,403,1
E,2,2.500000e-01,2,5.000000e-01,1,19,409,1
E,2,5.000000e-01,1,5.000000e-01,1,22,447,1
E,2,5.000000e-01,1,5.000000e-01,1,22,466,1
E,2,5.000000e-01,1,5.000000e-01,1,22,476,1
E,2,2.500000e-01,2,5.000000e-01,1,19,509,1
E,2,2.500000e-01,2,5.000000e-01,1,19,519,1
E,2,5.000000e-01,1,5.000000e-01,1,22,531,1
E,2,2.500000e-01,2,5.000000e-01,1,19,541,1
E,2,2.500000e-01,2,5.000000e-01,1,19,544,1
E,2,5.000000e-01,1,5.000000e-01,1,22,561,1
E,2,5.000000e-01,1,5.000000e-01,1,22,654,1
E,2,5.000000e-01,1,5.000000e-01,1,22,953,1
E,2,2.500000e-01,2,5.000000e-01,1,19,974,1
E,2,5.000000e-01,1,5.000000e-01,1,22,982,1
E,2,5.000000e-01,1,5.000000e-01,1,22,1074,1
E,2,2.500000e-01,2,5.000000e-01,1,19,1128,1
E,2,2.500000e-01,2,5.000000e-01,1,19,1268,1
E,2,5.000000e-01,1,5.000000e-01,1,22,1296,1
E,2,2.500000e-01,2,5.000000e-01,1,19,1382,1
E,2,5.000000e-01,1,5.000000e-01,1,22,1388,1
E,2,5.000000e-01,1,5.000000e-01,1,22,1445,1
E,2,2.500000e-01,2,5.000000e-01,1,19,1548,1
E,3,3.750000e-01,2,3.750000e-01,2,21,41,1
E,3,3.750000e-01,2,3.750000e-01,2,21,46,1
E,3,3.750000e-01,2,3.750000e-01,2,21,55,1
E,3,1.250000e-01,2,3.750000e-01,2,7,69,1
E,3,3.750000e-01,2,3.750000e-01,2,21,133,1
E,3,3.750000e-01,2,3.750000e-01,2,21,144,1
E,3,1.250000e-01,2,3.750000e-01,2,7,199,1
E,3,1.250000e-01,2,3.750000e-01,2,7,407,1
E,3,3.750000e-01,2,3.750000e-01,2,21,445,1
E,3,1.250000e-01,2,3.750000e-01,2,7,456,1
E,3,3.750000e-01,2,3.750000e-01,2,21,464,1
E,3,1.250000e-01,2,3.750000e-01,2,7,478,1
E,3,3.750000e-01,2,3.750000e-01,2,21,487,1
E,3,3.750000e-01,2,3.750000e-01,2,21,502,1
E,3,1.250000e-01,2,3.750000e-01,2,7,530,1
E,3,3.750000e-01,2,3.750000e-01,2,21,560,1
E,3,1.250000e-01,2,3.750000e-01,2,7,773,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1035,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1098,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1099,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1214,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1305,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1364,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1389,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1408,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1490,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1514,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1547,1
E,4,2.500000e-01,2,3.750000e-01,1,23,6,3
E,4,2.500000e-01,2,3.750000e-01,1,23,8,3
E,4,6.250000e-02,2,3.750000e-01,1,3,9,3
E,4,2.500000e-01,2,3.750000e-01,1,23,43,3
E,4,3.750000e-01,1,3.750000e-01,1,18,44,3
E,4,2.500000e-01,2,3.750000e-01,1,23,58,3
E,4,3.750000e-01,1,3.750000e-01,1,18,64,3
E,4,2.500000e-01,2,3.750000e-01,1,23,65,3
E,4,2.500000e-01,2,3.750000e-01,1,23,98,3
E,4,3.750000e-01,1,3.750000e-01,1,18,101,3
E,4,2.500000e-01,2,3.750000e-01,1,23,103,3
E,4,3.750000e-01,1,3.750000e-01,1,18,106,3
E,4,2.500000e-01,2,3.750000e-01,1,23,117,3
E,4,3.750000e-01,1,3.750000e-01,1,18,160,3
E,4,2.500000e-01,2,3.750000e-01,1,23,189,3
E,4,3.750000e-01,1,3.750000e-01,1,18,251,3
E,4,3.750000e-01,1,3.750000e-01,1,18,253,3
E,4,6.250000e-02,2,3.750000e-01,1,3,254,3
E,4,2.500000e-01,2,3.750000e-01,1,23,265,3
E,4,3.750000e-01,1,3.750000e-01,1,18,288,3
E,4,2.500000e-01,2,3.750000e-01,1,23,335,3
E,4,2.500000e-01,2,3.750000e-01,1,23,406,3
E,4,3.750000e-01,1,3.750000e-01,1,18,465,3
E,4,2.500000e-01,2,3.750000e-01,1,23,514,3
E,4,2.500000e-01,2,3.750000e-01,1,23,653,3
E,4,3.750000e-01,1,3.750000e-01,1,18,658,3
E,4,2.500000e-01,2,3.750000e-01,1,23,665,3
E,4,2.500000e-01,2,3.750000e-01,1,23,751,3
E,4,3.750000e-01,1,3.750000e-01,1,18,886,3
E,4,2.500000e-01,2,3.750000e-01,1,23,954,3
E,4,3.750000e-01,1,3.750000e-01,1,18,962,3
E,4,2.500000e-01,2,3.750000e-01,1,23,1119,3
E,4,2.500000e-01,2,3.750000e-01,1,23,1205,3
E,4,3.750000e-01,1,3.750000e-01,1,18,1208,3
E,4,2.500000e-01,2,3.750000e-01,1,23,1281,3
E,4,3.750000e-01,1,3.750000e-01,1,18,1390,3
E,4,2.500000e-01,2,3.750000e-01,1,23,1394,3
E,4,3.750000e-01,1,3.750000e-01,1,18,1395,3
E,4,3.750000e-01,1,3.750000e-01,1,18,1409,3
E,4,6.250000e-02,2,3.750000e-01,1,3,1410,3
E,4,2.500000e-01,2,3.750000e-01,1,23,1475,3
E,4,3.750000e-01,1,3.750000e-01,1,18,1476,3
E,4,2.500000e-01,2,3.750000e-01,1,23,1536,3
E,4,3.750000e-01,1,3.750000e-01,1,18,1559,3
E,5,3.125000e-01,2,3.125000e-01,2,18,63,3
E,5,3.125000e-01,2,3.125000e-01,2,18,67,3
E,5,3.125000e-01,2,3.125000e-01,2,18,68,3
E,5,3.125000e-01,2,3.125000e-01,2,18,78,3
E,5,3.125000e-01,2,3.125000e-01,2,18,85,3
E,5,1.562500e-01,2,3.125000e-01,2,8,128,3
E,5,1.562500e-01,2,3.125000e-01,2,8,194,3
E,5,3.125000e-01,2,3.125000e-01,2,18,205,3
E,5,3.125000e-01,2,3.125000e-01,2,18,232,3
E,5,3.125000e-01,2,3.125000e-01,2,18,245,3
