aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.054655e-01,1,5.054655e-01,1,41,28,0
E,1,4.945345e-01,1,5.054655e-01,1,29,35,1
E,1,5.054655e-01,1,5.054655e-01,1,41,363,0
E,1,5.054655e-01,1,5.054655e-01,1,41,409,0
E,1,5.054655e-01,1,5.054655e-01,1,41,434,0
E,1,5.054655e-01,1,5.054655e-01,1,41,531,0
E,1,5.054655e-01,1,5.054655e-01,1,41,532,0
E,1,5.054655e-01,1,5.054655e-01,1,41,548,0
E,1,4.945345e-01,1,5.054655e-01,1,29,697,1
E,1,5.054655e-01,1,5.054655e-01,1,41,752,0
E,1,5.054655e-01,1,5.054655e-01,1,41,799,0
E,1,5.054655e-01,1,5.054655e-01,1,41,879,0
E,1,4.945345e-01,1,5.054655e-01,1,29,1021,1
E,1,5.054655e-01,1,5.054655e-01,1,41,1077,0
E,1,4.945345e-01,1,5.054655e-01,1,29,1123,1
E,1,4.945345e-01,1,5.054655e-01,1,29,1137,1
E,1,4.945345e-01,1,5.054655e-01,1,29,1180,1
E,1,4.945345e-01,1,5.054655e-01,1,29,1197,1
E,1,4.945345e-01,1,5.054655e-01,1,29,1278,1
E,1,4.945345e-01,1,5.054655e-01,1,29,1415,1
E,1,5.054655e-01,1,5.054655e-01,1,41,1447,0
E,1,5.054655e-01,1,5.054655e-01,1,41,1458,0
E,1,4.945345e-01,1,5.054655e-01,1,29,1484,1
E,1,5.054655e-01,1,5.054655e-01,1,41,1660,0
E,1,5.054655e-01,1,5.054655e-01,1,41,1662,0
E,1,5.054655e-01,1,5.054655e-01,1,41,1674,0
E,1,5.054655e-01,1,5.054655e-01,1,41,1679,0
E,1,4.945345e-01,1,5.054655e-01,1,29,1895,1
E,1,4.945345e-01,1,5.054655e-01,1,29,1900,1
E,1,5.054655e-01,1,5.054655e-01,1,41,1909,0
E,1,4.945345e-01,1,5.054655e-01,1,29,1948,1
E,1,4.945345e-01,1,5.054655e-01,1,29,1999,1
E,1,5.054655e-01,1,5.054655e-01,1,41,2210,0
E,1,4.945345e-01,1,5.054655e-01,1,29,2219,1
E,1,4.945345e-01,1,5.054655e-01,1,29,2278,1
E,1,5.054655e-01,1,5.054655e-01,1,41,2338,0
E,1,4.945345e-01,1,5.054655e-01,1,29,2415,1
E,1,5.054655e-01,1,5.054655e-01,1,41,2489,0
E,1,5.054655e-01,1,5.054655e-01,1,41,2805,0
E,1,5.054655e-01,1,5.054655e-01,1,41,3052,0
E,1,5.054655e-01,1,5.054655e-01,1,41,3225,0
E,1,4.945345e-01,1,5.054655e-01,1,29,3230,1
E,1,5.054655e-01,1,5.054655e-01,1,41,3240,0
E,1,5.054655e-01,1,5.054655e-01,1,41,3280,0
E,1,4.945345e-01,1,5.054655e-01,1,29,3295,1
E,1,5.054655e-01,1,5.054655e-01,1,41,3465,0
E,1,5.054655e-01,1,5.054655e-01,1,41,3532,0
E,1,4.945345e-01,1,5.054655e-01,1,29,3591,1
E,1,4.945345e-01,1,5.054655e-01,1,29,3692,1
E,1,5.054655e-01,1,5.054655e-01,1,41,3780,0
E,1,4.945345e-01,1,5.054655e-01,1,29,3868,1
E,1,4.945345e-01,1,5.054655e-01,1,29,3901,1
E,1,4.945345e-01,1,5.054655e-01,1,29,3902,1
E,1,5.054655e-01,1,5.054655e-01,1,41,4196,0
E,1,5.054655e-01,1,5.054655e-01,1,41,4280,0
E,1,4.945345e-01,1,5.054655e-01,1,29,4443,1
E,1,4.945345e-01,1,5.054655e-01,1,29,4444,1
E,1,5.054655e-01,1,5.054655e-01,1,41,4464,0
E,1,5.054655e-01,1,5.054655e-01,1,41,4476,0
E,1,5.054655e-01,1,5.054655e-01,1,41,4574,0
E,1,5.054655e-01,1,5.054655e-01,1,41,4600,0
E,1,4.945345e-01,1,5.054655e-01,1,29,4740,1
E,1,5.054655e-01,1,5.054655e-01,1,41,4748,0
E,1,5.054655e-01,1,5.054655e-01,1,41,4835,0
E,1,5.054655e-01,1,5.054655e-01,1,41,4848,0
E,1,5.054655e-01,1,5.054655e-01,1,41,4910,0
E,1,4.945345e-01,1,5.054655e-01,1,29,4922,1
E,1,4.945345e-01,1,5.054655e-01,1,29,4943,1
E,1,5.054655e-01,1,5.054655e-01,1,41,4967,0
E,1,5.054655e-01,1,5.054655e-01,1,41,5038,0
E,2,2.554953e-01,1,4.999403e-01,1,25,3,0
E,2,4.999403e-01,1,4.999403e-01,1,62,23,1
E,2,4.999403e-01,1,4.999403e-01,1,62,42,1
E,2,2.445644e-01,1,4.999403e-01,1,39,139,2
E,2,4.999403e-01,1,4.999403e-01,1,62,161,1
E,2,4.999403e-01,1,4.999403e-01,1,62,181,1
E,2,4.999403e-01,1,4.999403e-01,1,62,288,1
E,2,2.445644e-01,1,4.999403e-01,1,39,300,2
E,2,2.554953e-01,1,4.999403e-01,1,25,338,0
E,2,2.445644e-01,1,4.999403e-01,1,39,388,2
E,2,2.554953e-01,1,4.999403e-01,1,25,408,0
E,2,2.445644e-01,1,4.999403e-01,1,39,497,2
E,2,2.445644e-01,1,4.999403e-01,1,39,512,2
E,2,4.999403e-01,1,4.999403e-01,1,62,526,1
E,2,4.999403e-01,1,4.999403e-01,1,62,528,1
E,2,4.999403e-01,1,4.999403e-01,1,62,640,1
E,2,4.999403e-01,1,4.999403e-01,1,62,650,1
E,2,2.445644e-01,1,4.999403e-01,1,39,805,2
E,2,2.554953e-01,1,4.999403e-01,1,25,818,0
E,2,4.999403e-01,1,4.999403e-01,1,62,828,1
E,2,2.445644e-01,1,4.999403e-01,1,39,839,2
E,2,4.999403e-01,1,4.999403e-01,1,62,848,1
E,2,2.445644e-01,1,4.999403e-01,1,39,889,2
E,2,4.999403e-01,1,4.999403e-01,1,62,920,1
E,2,4.999403e-01,1,4.999403e-01,1,62,950,1
E,2,2.445644e-01,1,4.999403e-01,1,39,976,2
E,2,2.445644e-01,1,4.999403e-01,1,39,979,2
E,2,2.445644e-01,1,4.999403e-01,1,39,1003,2
E,2,4.999403e-01,1,4.999403e-01,1,62,1028,1
E,2,4.999403e-01,1,4.999403e-01,1,62,1120,1
E,2,2.445644e-01,1,4.999403e-01,1,39,1269,2
E,2,4.999403e-01,1,4.999403e-01,1,62,1272,1
E,2,2.445644e-01,1,4.999403e-01,1,39,1322,2
E,2,4.999403e-01,1,4.999403e-01,1,62,1385,1
E,2,2.554953e-01,1,4.999403e-01,1,25,1433,0
E,2,4.999403e-01,1,4.999403e-01,1,62,1466,1
E,2,4.999403e-01,1,4.999403e-01,1,62,1508,1
E,2,4.999403e-01,1,4.999403e-01,1,62,1534,1
E,2,2.554953e-01,1,4.999403e-01,1,25,1545,0
E,2,4.999403e-01,1,4.999403e-01,1,62,1548,1
E,2,2.445644e-01,1,4.999403e-01,1,39,1551,2
E,2,4.999403e-01,1,4.999403e-01,1,62,1599,1
E,2,4.999403e-01,1,4.999403e-01,1,62,1614,1
E,2,4.999403e-01,1,4.999403e-01,1,62,1624,1
E,2,4.999403e-01,1,4.999403e-01,1,62,1659,1
E,2,4.999403e-01,1,4.999403e-01,1,62,1663,1
E,2,4.999403e-01,1,4.999403e-01,1,62,1698,1
E,2,2.554953e-01,1,4.999403e-01,1,25,1741,0
E,2,2.554953e-01,1,4.999403e-01,1,25,1743,0
E,2,4.999403e-01,1,4.999403e-01,1,62,1770,1
E,2,4.999403e-01,1,4.999403e-01,1,62,1784,1
E,2,2.554953e-01,1,4.999403e-01,1,25,1863,0
E,2,2.445644e-01,1,4.999403e-01,1,39,1905,2
E,2,4.999403e-01,1,4.999403e-01,1,62,1921,1
E,2,2.445644e-01,1,4.999403e-01,1,39,1941,2
E,2,4.999403e-01,1,4.999403e-01,1,62,1943,1
E,2,4.999403e-01,1,4.999403e-01,1,62,1952,1
E,2,2.445644e-01,1,4.999403e-01,1,39,1989,2
E,2,2.554953e-01,1,4.999403e-01,1,25,2008,0
E,2,4.999403e-01,1,4.999403e-01,1,62,2134,1
E,2,2.554953e-01,1,4.999403e-01,1,25,2157,0
E,2,2.445644e-01,1,4.999403e-01,1,39,2161,2
E,2,2.554953e-01,1,4.999403e-01,1,25,2169,0
E,2,2.445644e-01,1,4.999403e-01,1,39,2204,2
E,2,2.554953e-01,1,4.999403e-01,1,25,2253,0
E,2,4.999403e-01,1,4.999403e-01,1,62,2324,1
E,2,4.999403e-01,1,4.999403e-01,1,62,2454,1
E,2,2.445644e-01,1,4.999403e-01,1,39,2537,2
E,2,2.445644e-01,1,4.999403e-01,1,39,2862,2
E,2,4.999403e-01,1,4.999403e-01,1,62,2871,1
E,2,4.999403e-01,1,4.999403e-01,1,62,2905,1
E,2,4.999403e-01,1,4.999403e-01,1,62,2930,1
E,2,4.999403e-01,1,4.999403e-01,1,62,2953,1
E,2,4.999403e-01,1,4.999403e-01,1,62,3014,1
E,2,2.554953e-01,1,4.999403e-01,1,25,3024,0
E,2,4.999403e-01,1,4.999403e-01,1,62,3027,1
E,2,2.445644e-01,1,4.999403e-01,1,39,3035,2
