aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,7.216735e-01,1,7.216735e-01,1,14,305,0
E,1,7.216735e-01,1,7.216735e-01,1,14,337,0
E,1,2.783265e-01,1,7.216735e-01,1,3,373,0
E,1,7.216735e-01,1,7.216735e-01,1,14,612,0
E,1,7.216735e-01,1,7.216735e-01,1,14,720,0
E,1,7.216735e-01,1,7.216735e-01,1,14,1009,0
E,1,7.216735e-01,1,7.216735e-01,1,14,1213,0
E,1,7.216735e-01,1,7.216735e-01,1,14,1245,0
E,1,2.783265e-01,1,7.216735e-01,1,3,1301,0
E,1,7.216735e-01,1,7.216735e-01,1,14,1368,0
E,1,7.216735e-01,1,7.216735e-01,1,14,1380,0
E,1,7.216735e-01,1,7.216735e-01,1,14,1450,0
E,1,7.216735e-01,1,7.216735e-01,1,14,1649,0
E,1,7.216735e-01,1,7.216735e-01,1,14,1679,0
E,1,7.216735e-01,1,7.216735e-01,1,14,1692,0
E,1,2.783265e-01,1,7.216735e-01,1,3,2206,0
E,1,7.216735e-01,1,7.216735e-01,1,14,2361,0
E,2,5.208126e-01,1,5.208126e-01,1,14,20,0
E,2,4.017217e-01,1,5.208126e-01,1,9,399,0
E,2,5.208126e-01,1,5.208126e-01,1,14,407,0
E,2,4.017217e-01,1,5.208126e-01,1,9,597,0
E,2,5.208126e-01,1,5.208126e-01,1,14,655,0
E,2,5.208126e-01,1,5.208126e-01,1,14,656,0
E,2,4.017217e-01,1,5.208126e-01,1,9,741,0
E,2,4.017217e-01,1,5.208126e-01,1,9,755,0
E,2,4.017217e-01,1,5.208126e-01,1,9,843,0
E,2,4.017217e-01,1,5.208126e-01,1,9,960,0
E,2,5.208126e-01,1,5.208126e-01,1,14,1225,0
E,2,5.208126e-01,1,5.208126e-01,1,14,1381,0
E,2,4.017217e-01,1,5.208126e-01,1,9,1531,0
E,2,5.208126e-01,1,5.208126e-01,1,14,1570,0
E,2,4.017217e-01,1,5.208126e-01,1,9,1680,0
E,2,5.208126e-01,1,5.208126e-01,1,14,1702,0
E,2,5.208126e-01,1,5.208126e-01,1,14,1720,0
E,2,4.017217e-01,1,5.208126e-01,1,9,1928,0
E,2,5.208126e-01,1,5.208126e-01,1,14,1996,0
E,2,5.208126e-01,1,5.208126e-01,1,14,2127,0
E,2,5.208126e-01,1,5.208126e-01,1,14,2163,0
E,2,5.208126e-01,1,5.208126e-01,1,14,2194,0
E,2,5.208126e-01,1,5.208126e-01,1,14,2315,0
E,3,3.758566e-01,1,4.348679e-01,1,8,31,0
E,3,4.348679e-01,1,4.348679e-01,1,13,56,0
E,3,4.348679e-01,1,4.348679e-01,1,13,130,0
E,3,4.348679e-01,1,4.348679e-01,1,13,290,0
E,3,4.348679e-01,1,4.348679e-01,1,13,291,0
E,3,4.348679e-01,1,4.348679e-01,1,13,532,0
E,3,4.348679e-01,1,4.348679e-01,1,13,550,0
E,3,4.348679e-01,1,4.348679e-01,1,13,577,0
E,3,4.348679e-01,1,4.348679e-01,1,13,579,0
E,3,3.758566e-01,1,4.348679e-01,1,8,642,0
E,3,1.677147e-01,1,4.348679e-01,1,5,774,0
E,3,4.348679e-01,1,4.348679e-01,1,13,871,0
E,3,1.677147e-01,1,4.348679e-01,1,5,1050,0
E,3,2.156075e-02,1,4.348679e-01,1,1,1079,0
E,3,3.758566e-01,1,4.348679e-01,1,8,1176,0
E,3,1.677147e-01,1,4.348679e-01,1,5,1229,0
E,3,4.348679e-01,1,4.348679e-01,1,13,1235,0
E,3,3.758566e-01,1,4.348679e-01,1,8,1657,0
E,3,3.758566e-01,1,4.348679e-01,1,8,1677,0
E,3,4.348679e-01,1,4.348679e-01,1,13,1757,0
E,3,3.758566e-01,1,4.348679e-01,1,8,1899,0
E,3,3.758566e-01,1,4.348679e-01,1,8,1914,0
E,3,1.677147e-01,1,4.348679e-01,1,5,1969,0
E,3,3.758566e-01,1,4.348679e-01,1,8,2022,0
E,3,1.677147e-01,1,4.348679e-01,1,5,2094,0
E,3,4.348679e-01,1,4.348679e-01,1,13,2132,0
E,3,4.348679e-01,1,4.348679e-01,1,13,2296,0
E,4,2.712458e-01,1,4.184435e-01,1,10,148,0
E,4,2.420705e-01,1,4.184435e-01,1,9,183,0
E,4,4.184435e-01,1,4.184435e-01,1,12,262,0
E,4,4.184435e-01,1,4.184435e-01,1,12,274,0
E,4,6.223927e-02,1,4.184435e-01,1,1,346,0
E,4,4.184435e-01,1,4.184435e-01,1,12,394,0
E,4,2.712458e-01,1,4.184435e-01,1,10,588,0
E,4,4.184435e-01,1,4.184435e-01,1,12,623,0
E,4,4.184435e-01,1,4.184435e-01,1,12,637,0
E,4,2.420705e-01,1,4.184435e-01,1,9,662,0
E,4,2.712458e-01,1,4.184435e-01,1,10,691,0
E,4,2.712458e-01,1,4.184435e-01,1,10,722,0
E,4,2.712458e-01,1,4.184435e-01,1,10,785,0
E,4,2.420705e-01,1,4.184435e-01,1,9,944,0
E,4,4.184435e-01,1,4.184435e-01,1,12,1188,0
E,4,4.184435e-01,1,4.184435e-01,1,12,1202,0
E,4,4.184435e-01,1,4.184435e-01,1,12,1226,0
E,4,2.420705e-01,1,4.184435e-01,1,9,1244,0
E,4,2.420705e-01,1,4.184435e-01,1,9,1428,0
E,4,2.712458e-01,1,4.184435e-01,1,10,1455,0
E,4,2.420705e-01,1,4.184435e-01,1,9,1520,0
E,4,2.420705e-01,1,4.184435e-01,1,9,1537,0
E,4,4.184435e-01,1,4.184435e-01,1,12,1729,0
