aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,1.619450e-01,1,8.380550e-01,1,7,2,1
E,1,8.380550e-01,1,8.380550e-01,1,41,18,1
E,1,1.619450e-01,1,8.380550e-01,1,7,32,1
E,1,8.380550e-01,1,8.380550e-01,1,41,156,1
E,1,8.380550e-01,1,8.380550e-01,1,41,161,1
E,1,8.380550e-01,1,8.380550e-01,1,41,165,1
E,1,1.619450e-01,1,8.380550e-01,1,7,239,1
E,1,8.380550e-01,1,8.380550e-01,1,41,476,1
E,1,8.380550e-01,1,8.380550e-01,1,41,507,1
E,1,8.380550e-01,1,8.380550e-01,1,41,783,1
E,1,8.380550e-01,1,8.380550e-01,1,41,792,1
E,1,8.380550e-01,1,8.380550e-01,1,41,796,1
E,1,8.380550e-01,1,8.380550e-01,1,41,863,1
E,1,8.380550e-01,1,8.380550e-01,1,41,898,1
E,1,8.380550e-01,1,8.380550e-01,1,41,981,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1069,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1073,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1074,1
E,1,1.619450e-01,1,8.380550e-01,1,7,1081,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1112,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1128,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1286,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1325,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1342,1
E,1,1.619450e-01,1,8.380550e-01,1,7,1459,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1532,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1622,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1708,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1710,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1711,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1747,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1877,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1898,1
E,1,8.380550e-01,1,8.380550e-01,1,41,1970,1
E,1,8.380550e-01,1,8.380550e-01,1,41,2021,1
E,1,8.380550e-01,1,8.380550e-01,1,41,2083,1
E,1,8.380550e-01,1,8.380550e-01,1,41,2117,1
E,1,8.380550e-01,1,8.380550e-01,1,41,2213,1
E,1,8.380550e-01,1,8.380550e-01,1,41,2232,1
E,1,8.380550e-01,1,8.380550e-01,1,41,2236,1
E,1,8.380550e-01,1,8.380550e-01,1,41,2244,1
E,1,1.619450e-01,1,8.380550e-01,1,7,2327,1
E,1,8.380550e-01,1,8.380550e-01,1,41,2329,1
E,1,8.380550e-01,1,8.380550e-01,1,41,2358,1
E,1,8.380550e-01,1,8.380550e-01,1,41,2517,1
E,1,8.380550e-01,1,8.380550e-01,1,41,2518,1
E,1,8.380550e-01,1,8.380550e-01,1,41,2585,1
E,1,1.619450e-01,1,8.380550e-01,1,7,2622,1
E,2,7.023361e-01,1,7.023361e-01,1,41,121,0
E,2,7.023361e-01,1,7.023361e-01,1,41,168,0
E,2,2.714377e-01,1,7.023361e-01,1,15,240,0
E,2,7.023361e-01,1,7.023361e-01,1,41,241,0
E,2,7.023361e-01,1,7.023361e-01,1,41,333,0
E,2,2.714377e-01,1,7.023361e-01,1,15,371,0
E,2,7.023361e-01,1,7.023361e-01,1,41,387,0
