aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,3.271895e-01,1,6.728105e-01,1,13,62,1
E,1,6.728105e-01,1,6.728105e-01,1,13,71,0
E,1,3.271895e-01,1,6.728105e-01,1,13,158,1
E,1,6.728105e-01,1,6.728105e-01,1,13,221,0
E,1,6.728105e-01,1,6.728105e-01,1,13,283,0
E,1,3.271895e-01,1,6.728105e-01,1,13,289,1
E,1,3.271895e-01,1,6.728105e-01,1,13,307,1
E,1,6.728105e-01,1,6.728105e-01,1,13,327,0
E,1,3.271895e-01,1,6.728105e-01,1,13,444,1
E,1,3.271895e-01,1,6.728105e-01,1,13,499,1
E,1,6.728105e-01,1,6.728105e-01,1,13,605,0
E,1,6.728105e-01,1,6.728105e-01,1,13,643,0
E,1,6.728105e-01,1,6.728105e-01,1,13,747,0
E,1,6.728105e-01,1,6.728105e-01,1,13,787,0
E,1,3.271895e-01,1,6.728105e-01,1,13,794,1
E,1,6.728105e-01,1,6.728105e-01,1,13,820,0
E,1,6.728105e-01,1,6.728105e-01,1,13,854,0
E,1,3.271895e-01,1,6.728105e-01,1,13,864,1
E,1,6.728105e-01,1,6.728105e-01,1,13,876,0
E,1,3.271895e-01,1,6.728105e-01,1,13,887,1
E,1,3.271895e-01,1,6.728105e-01,1,13,894,1
E,1,3.271895e-01,1,6.728105e-01,1,13,910,1
E,1,6.728105e-01,1,6.728105e-01,1,13,961,0
E,1,3.271895e-01,1,6.728105e-01,1,13,1163,1
E,1,3.271895e-01,1,6.728105e-01,1,13,1228,1
E,1,6.728105e-01,1,6.728105e-01,1,13,1539,0
E,2,4.526740e-01,1,4.526740e-01,1,7,11,0
E,2,4.402730e-01,1,4.526740e-01,1,13,16,1
E,2,4.402730e-01,1,4.526740e-01,1,13,122,1
E,2,4.402730e-01,1,4.526740e-01,1,13,171,1
E,2,4.526740e-01,1,4.526740e-01,1,7,228,0
E,2,4.526740e-01,1,4.526740e-01,1,7,237,0
E,2,4.402730e-01,1,4.526740e-01,1,13,246,1
E,2,1.070530e-01,1,4.526740e-01,1,4,272,2
E,2,4.402730e-01,1,4.526740e-01,1,13,291,1
E,2,4.526740e-01,1,4.526740e-01,1,7,358,0
E,2,4.526740e-01,1,4.526740e-01,1,7,385,0
E,2,4.402730e-01,1,4.526740e-01,1,13,389,1
E,2,4.402730e-01,1,4.526740e-01,1,13,431,1
E,2,1.070530e-01,1,4.526740e-01,1,4,458,2
E,2,4.526740e-01,1,4.526740e-01,1,7,460,0
E,2,4.402730e-01,1,4.526740e-01,1,13,547,1
E,2,4.402730e-01,1,4.526740e-01,1,13,561,1
E,2,4.402730e-01,1,4.526740e-01,1,13,710,1
E,2,4.402730e-01,1,4.526740e-01,1,13,949,1
E,2,1.070530e-01,1,4.526740e-01,1,4,1029,2
E,2,4.402730e-01,1,4.526740e-01,1,13,1340,1
E,2,4.526740e-01,1,4.526740e-01,1,7,1416,0
E,2,1.070530e-01,1,4.526740e-01,1,4,1451,2
E,2,4.402730e-01,1,4.526740e-01,1,13,1468,1
E,3,3.502660e-02,1,4.443305e-01,1,1,77,3
E,3,4.443305e-01,1,4.443305e-01,1,14,93,1
E,3,3.045638e-01,1,4.443305e-01,1,11,110,0
E,3,3.045638e-01,1,4.443305e-01,1,11,160,0
E,3,4.443305e-01,1,4.443305e-01,1,14,184,1
E,3,4.443305e-01,1,4.443305e-01,1,14,314,1
E,3,2.160791e-01,1,4.443305e-01,1,8,342,2
E,3,3.045638e-01,1,4.443305e-01,1,11,416,0
E,3,4.443305e-01,1,4.443305e-01,1,14,505,1
E,3,4.443305e-01,1,4.443305e-01,1,14,529,1
E,3,4.443305e-01,1,4.443305e-01,1,14,583,1
E,3,2.160791e-01,1,4.443305e-01,1,8,633,2
E,3,3.045638e-01,1,4.443305e-01,1,11,635,0
E,3,2.160791e-01,1,4.443305e-01,1,8,698,2
E,3,3.045638e-01,1,4.443305e-01,1,11,705,0
E,3,3.045638e-01,1,4.443305e-01,1,11,707,0
E,3,3.045638e-01,1,4.443305e-01,1,11,853,0
E,3,4.443305e-01,1,4.443305e-01,1,14,883,1
E,3,3.045638e-01,1,4.443305e-01,1,11,892,0
E,3,3.045638e-01,1,4.443305e-01,1,11,917,0
E,3,4.443305e-01,1,4.443305e-01,1,14,1001,1
E,3,4.443305e-01,1,4.443305e-01,1,14,1013,1
E,3,2.160791e-01,1,4.443305e-01,1,8,1067,2
E,3,2.160791e-01,1,4.443305e-01,1,8,1069,2
E,3,3.045638e-01,1,4.443305e-01,1,11,1141,0
E,3,4.443305e-01,1,4.443305e-01,1,14,1160,1
E,3,2.160791e-01,1,4.443305e-01,1,8,1186,2
E,3,2.160791e-01,1,4.443305e-01,1,8,1254,2
E,3,4.443305e-01,1,4.443305e-01,1,14,1292,1
E,3,3.045638e-01,1,4.443305e-01,1,11,1369,0
E,3,2.160791e-01,1,4.443305e-01,1,8,1414,2
E,3,4.443305e-01,1,4.443305e-01,1,14,1423,1
E,3,4.443305e-01,1,4.443305e-01,1,14,1501,1
E,3,4.443305e-01,1,4.443305e-01,1,14,1507,1
E,4,2.907605e-01,1,3.986003e-01,1,7,113,2
E,4,3.986003e-01,1,3.986003e-01,1,10,128,1
E,4,2.907605e-01,1,3.986003e-01,1,7,168,2
E,4,2.049137e-01,1,3.986003e-01,1,6,188,0
E,4,3.986003e-01,1,3.986003e-01,1,10,245,1
E,4,2.049137e-01,1,3.986003e-01,1,6,357,0
E,4,3.986003e-01,1,3.986003e-01,1,10,361,1
E,4,2.907605e-01,1,3.986003e-01,1,7,418,2
E,4,2.907605e-01,1,3.986003e-01,1,7,423,2
E,4,2.049137e-01,1,3.986003e-01,1,6,509,0
E,4,2.907605e-01,1,3.986003e-01,1,7,540,2
E,4,9.426506e-02,1,3.986003e-01,1,1,795,3
E,4,3.986003e-01,1,3.986003e-01,1,10,829,1
E,4,3.986003e-01,1,3.986003e-01,1,10,899,1
E,4,3.986003e-01,1,3.986003e-01,1,10,947,1
E,4,2.907605e-01,1,3.986003e-01,1,7,975,2
E,4,2.049137e-01,1,3.986003e-01,1,6,1090,0
E,4,3.986003e-01,1,3.986003e-01,1,10,1139,1
E,4,2.907605e-01,1,3.986003e-01,1,7,1203,2
E,4,2.049137e-01,1,3.986003e-01,1,6,1239,0
E,4,3.986003e-01,1,3.986003e-01,1,10,1259,1
E,4,3.986003e-01,1,3.986003e-01,1,10,1358,1
E,4,2.049137e-01,1,3.986003e-01,1,6,1375,0
E,4,3.986003e-01,1,3.986003e-01,1,10,1418,1
E,5,3.260446e-01,1,3.352281e-01,1,18,15,2
E,5,3.260446e-01,1,3.352281e-01,1,18,41,2
E,5,3.260446e-01,1,3.352281e-01,1,18,54,2
E,5,1.585563e-01,1,3.352281e-01,1,9,92,3
E,5,1.585563e-01,1,3.352281e-01,1,9,111,3
E,5,1.378681e-01,1,3.352281e-01,1,5,155,0
E,5,1.585563e-01,1,3.352281e-01,1,9,203,3
E,5,1.378681e-01,1,3.352281e-01,1,5,220,0
E,5,3.260446e-01,1,3.352281e-01,1,18,254,2
E,5,3.855317e-02,1,3.352281e-01,1,2,268,4
E,5,3.260446e-01,1,3.352281e-01,1,18,269,2
E,5,3.352281e-01,1,3.352281e-01,1,13,303,1
E,5,3.260446e-01,1,3.352281e-01,1,18,339,2
E,5,3.352281e-01,1,3.352281e-01,1,13,355,1
E,5,3.352281e-01,1,3.352281e-01,1,13,378,1
E,5,3.352281e-01,1,3.352281e-01,1,13,448,1
E,5,1.585563e-01,1,3.352281e-01,1,9,476,3
E,5,3.260446e-01,1,3.352281e-01,1,18,486,2
E,5,3.260446e-01,1,3.352281e-01,1,18,579,2
E,5,1.585563e-01,1,3.352281e-01,1,9,594,3
E,5,1.378681e-01,1,3.352281e-01,1,5,641,0
E,5,1.378681e-01,1,3.352281e-01,1,5,642,0
E,5,3.260446e-01,1,3.352281e-01,1,18,677,2
E,5,1.585563e-01,1,3.352281e-01,1,9,685,3
E,5,3.352281e-01,1,3.352281e-01,1,13,722,1
E,5,3.260446e-01,1,3.352281e-01,1,18,873,2
E,5,3.260446e-01,1,3.352281e-01,1,18,874,2
E,5,1.585563e-01,1,3.352281e-01,1,9,875,3
E,5,3.352281e-01,1,3.352281e-01,1,13,915,1
E,5,3.260446e-01,1,3.352281e-01,1,18,922,2
E,5,3.352281e-01,1,3.352281e-01,1,13,928,1
E,5,3.352281e-01,1,3.352281e-01,1,13,955,1
E,5,3.260446e-01,1,3.352281e-01,1,18,974,2
E,5,1.378681e-01,1,3.352281e-01,1,5,978,0
E,5,3.749701e-03,1,3.352281e-01,1,1,1010,5
E,5,3.260446e-01,1,3.352281e-01,1,18,1073,2
E,5,3.260446e-01,1,3.352281e-01,1,18,1301,2
E,5,3.260446e-01,1,3.352281e-01,1,18,1306,2
E,5,1.585563e-01,1,3.352281e-01,1,9,1328,3
E,5,3.352281e-01,1,3.352281e-01,1,13,1376,1
E,5,3.352281e-01,1,3.352281e-01,1,13,1394,1
E,5,3.352281e-01,1,3.352281e-01,1,13,1407,1
E,5,1.585563e-01,1,3.352281e-01,1,9,1419,3
E,5,3.352281e-01,1,3.352281e-01,1,13,1438,1
E,5,3.260446e-01,1,3.352281e-01,1,18,1515,2
E,5,3.855317e-02,1,3.352281e-01,1,2,1537,4
E,5,3.260446e-01,1,3.352281e-01,1,18,1557,2
E,5,3.352281e-01,1,3.352281e-01,1,13,1562,1
E,6,2.133567e-01,1,3.290493e-01,1,11,33,3
E,6,3.290493e-01,1,3.290493e-01,1,13,129,2
E,6,2.133567e-01,1,3.290493e-01,1,11,154,3
E,6,2.706540e-01,1,3.290493e-01,1,22,156,1
E,6,2.706540e-01,1,3.290493e-01,1,22,174,1
E,6,2.706540e-01,1,3.290493e-01,1,22,189,1
E,6,2.133567e-01,1,3.290493e-01,1,11,218,3
E,6,2.706540e-01,1,3.290493e-01,1,22,248,1
E,6,3.290493e-01,1,3.290493e-01,1,13,277,2
E,6,2.706540e-01,1,3.290493e-01,1,22,296,1
E,6,2.706540e-01,1,3.290493e-01,1,22,324,1
E,6,2.706540e-01,1,3.290493e-01,1,22,370,1
E,6,2.706540e-01,1,3.290493e-01,1,22,373,1
E,6,3.290493e-01,1,3.290493e-01,1,13,433,2
E,6,3.290493e-01,1,3.290493e-01,1,13,517,2
E,6,3.290493e-01,1,3.290493e-01,1,13,524,2
E,6,2.706540e-01,1,3.290493e-01,1,22,535,1
E,6,2.706540e-01,1,3.290493e-01,1,22,572,1
E,6,2.133567e-01,1,3.290493e-01,1,11,606,3
E,6,2.133567e-01,1,3.290493e-01,1,11,691,3
E,6,2.133567e-01,1,3.290493e-01,1,11,694,3
E,6,3.290493e-01,1,3.290493e-01,1,13,727,2
E,6,3.290493e-01,1,3.290493e-01,1,13,728,2
E,6,2.133567e-01,1,3.290493e-01,1,11,732,3
E,6,2.706540e-01,1,3.290493e-01,1,22,783,1
E,6,2.706540e-01,1,3.290493e-01,1,22,866,1
E,6,2.133567e-01,1,3.290493e-01,1,11,912,3
E,6,2.706540e-01,1,3.290493e-01,1,22,913,1
E,6,3.290493e-01,1,3.290493e-01,1,13,932,2
E,6,2.706540e-01,1,3.290493e-01,1,22,933,1
E,6,2.706540e-01,1,3.290493e-01,1,22,989,1
E,6,2.133567e-01,1,3.290493e-01,1,11,1000,3
E,6,9.275912e-02,1,3.290493e-01,1,4,1011,0
E,6,3.290493e-01,1,3.290493e-01,1,13,1020,2
E,6,9.275912e-02,1,3.290493e-01,1,4,1028,0
E,6,2.706540e-01,1,3.290493e-01,1,22,1044,1
E,6,3.290493e-01,1,3.290493e-01,1,13,1093,2
E,6,9.275912e-02,1,3.290493e-01,1,4,1234,0
E,6,9.275912e-02,1,3.290493e-01,1,4,1248,0
E,6,3.290493e-01,1,3.290493e-01,1,13,1252,2
E,6,2.133567e-01,1,3.290493e-01,1,11,1280,3
E,6,2.706540e-01,1,3.290493e-01,1,22,1329,1
E,6,2.706540e-01,1,3.290493e-01,1,22,1361,1
E,6,2.133567e-01,1,3.290493e-01,1,11,1379,3
E,6,2.706540e-01,1,3.290493e-01,1,22,1396,1
E,6,3.290493e-01,1,3.290493e-01,1,13,1432,2
E,6,2.706540e-01,1,3.290493e-01,1,22,1434,1
E,6,3.290493e-01,1,3.290493e-01,1,13,1441,2
E,6,1.513703e-02,1,3.290493e-01,1,1,1496,5
E,6,2.706540e-01,1,3.290493e-01,1,22,1525,1
E,6,2.706540e-01,1,3.290493e-01,1,22,1569,1
E,7,3.099430e-01,1,3.099430e-01,1,18,2,2
E,7,2.512101e-01,1,3.099430e-01,1,12,17,3
