aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,28,6,0
E,1,5.000000e-01,2,5.000000e-01,2,28,90,0
E,1,5.000000e-01,2,5.000000e-01,2,28,155,1
E,1,5.000000e-01,2,5.000000e-01,2,28,241,0
E,1,5.000000e-01,2,5.000000e-01,2,28,257,0
E,1,5.000000e-01,2,5.000000e-01,2,28,309,0
E,1,5.000000e-01,2,5.000000e-01,2,28,456,0
E,1,5.000000e-01,2,5.000000e-01,2,28,479,1
E,1,5.000000e-01,2,5.000000e-01,2,28,737,1
E,1,5.000000e-01,2,5.000000e-01,2,28,757,0
E,1,5.000000e-01,2,5.000000e-01,2,28,841,1
E,1,5.000000e-01,2,5.000000e-01,2,28,854,0
E,1,5.000000e-01,2,5.000000e-01,2,28,882,0
E,1,5.000000e-01,2,5.000000e-01,2,28,969,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1002,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1016,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1027,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1140,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1151,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1294,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1339,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1506,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1618,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1646,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1663,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1726,1
E,1,5.000000e-01,2,5.000000e-01,2,28,1757,0
E,1,5.000000e-01,2,5.000000e-01,2,28,1769,0
E,2,5.000000e-01,1,5.000000e-01,1,17,14,1
E,2,5.000000e-01,1,5.000000e-01,1,17,18,1
E,2,5.000000e-01,1,5.000000e-01,1,17,61,1
E,2,5.000000e-01,1,5.000000e-01,1,17,73,1
E,2,5.000000e-01,1,5.000000e-01,1,17,183,1
E,2,2.500000e-01,2,5.000000e-01,1,27,224,2
E,2,5.000000e-01,1,5.000000e-01,1,17,399,1
E,2,5.000000e-01,1,5.000000e-01,1,17,417,1
E,2,2.500000e-01,2,5.000000e-01,1,27,422,0
E,2,5.000000e-01,1,5.000000e-01,1,17,447,1
E,2,2.500000e-01,2,5.000000e-01,1,27,504,0
E,2,2.500000e-01,2,5.000000e-01,1,27,547,0
E,2,2.500000e-01,2,5.000000e-01,1,27,591,0
E,2,5.000000e-01,1,5.000000e-01,1,17,613,1
E,2,2.500000e-01,2,5.000000e-01,1,27,622,0
E,2,2.500000e-01,2,5.000000e-01,1,27,653,0
E,2,5.000000e-01,1,5.000000e-01,1,17,759,1
E,2,2.500000e-01,2,5.000000e-01,1,27,795,2
E,2,5.000000e-01,1,5.000000e-01,1,17,875,1
E,2,5.000000e-01,1,5.000000e-01,1,17,900,1
E,2,2.500000e-01,2,5.000000e-01,1,27,915,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1021,0
E,2,5.000000e-01,1,5.000000e-01,1,17,1073,1
E,2,5.000000e-01,1,5.000000e-01,1,17,1083,1
E,2,5.000000e-01,1,5.000000e-01,1,17,1101,1
E,2,5.000000e-01,1,5.000000e-01,1,17,1139,1
E,2,2.500000e-01,2,5.000000e-01,1,27,1141,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1212,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1244,2
E,2,5.000000e-01,1,5.000000e-01,1,17,1293,1
E,2,2.500000e-01,2,5.000000e-01,1,27,1297,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1315,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1323,2
E,2,2.500000e-01,2,5.000000e-01,1,27,1387,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1390,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1409,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1519,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1559,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1628,2
E,2,2.500000e-01,2,5.000000e-01,1,27,1644,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1716,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1725,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1791,0
E,2,2.500000e-01,2,5.000000e-01,1,27,1938,0
E,3,3.750000e-01,2,3.750000e-01,2,32,3,1
E,3,3.750000e-01,2,3.750000e-01,2,32,4,1
E,3,1.250000e-01,2,3.750000e-01,2,15,29,0
E,3,1.250000e-01,2,3.750000e-01,2,15,113,0
E,3,1.250000e-01,2,3.750000e-01,2,15,161,0
E,3,3.750000e-01,2,3.750000e-01,2,32,173,1
E,3,3.750000e-01,2,3.750000e-01,2,32,178,2
E,3,1.250000e-01,2,3.750000e-01,2,15,277,0
E,3,1.250000e-01,2,3.750000e-01,2,15,306,0
E,3,1.250000e-01,2,3.750000e-01,2,15,362,3
E,3,3.750000e-01,2,3.750000e-01,2,32,363,1
E,3,3.750000e-01,2,3.750000e-01,2,32,375,1
E,3,3.750000e-01,2,3.750000e-01,2,32,388,2
E,3,3.750000e-01,2,3.750000e-01,2,32,453,2
E,3,1.250000e-01,2,3.750000e-01,2,15,510,0
E,3,3.750000e-01,2,3.750000e-01,2,32,542,2
E,3,1.250000e-01,2,3.750000e-01,2,15,544,0
E,3,3.750000e-01,2,3.750000e-01,2,32,590,2
E,3,3.750000e-01,2,3.750000e-01,2,32,600,2
E,3,1.250000e-01,2,3.750000e-01,2,15,642,0
E,3,3.750000e-01,2,3.750000e-01,2,32,661,1
E,3,3.750000e-01,2,3.750000e-01,2,32,700,2
E,3,1.250000e-01,2,3.750000e-01,2,15,719,0
E,3,3.750000e-01,2,3.750000e-01,2,32,736,1
E,3,3.750000e-01,2,3.750000e-01,2,32,740,2
E,3,3.750000e-01,2,3.750000e-01,2,32,801,1
E,3,3.750000e-01,2,3.750000e-01,2,32,1103,1
E,3,1.250000e-01,2,3.750000e-01,2,15,1119,0
E,3,1.250000e-01,2,3.750000e-01,2,15,1129,3
E,3,3.750000e-01,2,3.750000e-01,2,32,1333,1
E,3,3.750000e-01,2,3.750000e-01,2,32,1345,1
E,3,1.250000e-01,2,3.750000e-01,2,15,1408,3
E,3,3.750000e-01,2,3.750000e-01,2,32,1435,1
E,3,1.250000e-01,2,3.750000e-01,2,15,1454,0
E,3,3.750000e-01,2,3.750000e-01,2,32,1509,1
E,3,3.750000e-01,2,3.750000e-01,2,32,1610,2
E,3,3.750000e-01,2,3.750000e-01,2,32,1635,1
E,3,1.250000e-01,2,3.750000e-01,2,15,1691,0
E,3,3.750000e-01,2,3.750000e-01,2,32,1758,1
E,3,3.750000e-01,2,3.750000e-01,2,32,1792,2
E,3,3.750000e-01,2,3.750000e-01,2,32,1909,2
E,3,3.750000e-01,2,3.750000e-01,2,32,1911,2
E,3,3.750000e-01,2,3.750000e-01,2,32,1913,2
E,3,3.750000e-01,2,3.750000e-01,2,32,1925,1
E,3,3.750000e-01,2,3.750000e-01,2,32,1929,1
E,3,3.750000e-01,2,3.750000e-01,2,32,1944,2
E,3,3.750000e-01,2,3.750000e-01,2,32,1946,1
E,4,2.500000e-01,2,3.750000e-01,1,9,50,1
E,4,3.750000e-01,1,3.750000e-01,1,13,227,2
E,4,2.500000e-01,2,3.750000e-01,1,9,271,1
E,4,2.500000e-01,2,3.750000e-01,1,9,354,1
E,4,6.250000e-02,2,3.750000e-01,1,13,364,0
E,4,6.250000e-02,2,3.750000e-01,1,13,372,0
E,4,3.750000e-01,1,3.750000e-01,1,13,488,2
E,4,6.250000e-02,2,3.750000e-01,1,13,494,0
E,4,3.750000e-01,1,3.750000e-01,1,13,577,2
E,4,6.250000e-02,2,3.750000e-01,1,13,609,0
E,4,3.750000e-01,1,3.750000e-01,1,13,658,2
E,4,6.250000e-02,2,3.750000e-01,1,13,724,0
E,4,6.250000e-02,2,3.750000e-01,1,13,786,0
E,4,3.750000e-01,1,3.750000e-01,1,13,807,2
E,4,3.750000e-01,1,3.750000e-01,1,13,912,2
E,4,3.750000e-01,1,3.750000e-01,1,13,1006,2
E,4,2.500000e-01,2,3.750000e-01,1,9,1022,3
E,4,6.250000e-02,2,3.750000e-01,1,13,1075,0
E,4,2.500000e-01,2,3.750000e-01,1,9,1163,3
E,4,2.500000e-01,2,3.750000e-01,1,9,1177,1
E,4,6.250000e-02,2,3.750000e-01,1,13,1245,0
E,4,6.250000e-02,2,3.750000e-01,1,13,1282,0
E,4,6.250000e-02,2,3.750000e-01,1,13,1379,0
E,4,3.750000e-01,1,3.750000e-01,1,13,1394,2
E,4,2.500000e-01,2,3.750000e-01,1,9,1434,1
E,4,3.750000e-01,1,3.750000e-01,1,13,1455,2
E,4,2.500000e-01,2,3.750000e-01,1,9,1465,1
E,4,3.750000e-01,1,3.750000e-01,1,13,1470,2
E,4,6.250000e-02,2,3.750000e-01,1,13,1549,0
E,4,2.500000e-01,2,3.750000e-01,1,9,1581,1
