aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.727049e-01,1,6.727049e-01,1,17,62,0
E,1,6.727049e-01,1,6.727049e-01,1,17,71,0
E,1,6.727049e-01,1,6.727049e-01,1,17,160,0
E,1,6.727049e-01,1,6.727049e-01,1,17,222,0
E,1,6.727049e-01,1,6.727049e-01,1,17,284,0
E,1,6.727049e-01,1,6.727049e-01,1,17,308,0
E,1,6.727049e-01,1,6.727049e-01,1,17,328,0
E,1,3.272951e-01,1,6.727049e-01,1,8,443,0
E,1,6.727049e-01,1,6.727049e-01,1,17,498,0
E,1,6.727049e-01,1,6.727049e-01,1,17,605,0
E,1,6.727049e-01,1,6.727049e-01,1,17,642,0
E,1,6.727049e-01,1,6.727049e-01,1,17,746,0
E,1,6.727049e-01,1,6.727049e-01,1,17,786,0
E,1,3.272951e-01,1,6.727049e-01,1,8,793,0
E,1,3.272951e-01,1,6.727049e-01,1,8,818,0
E,1,6.727049e-01,1,6.727049e-01,1,17,852,0
E,1,3.272951e-01,1,6.727049e-01,1,8,862,0
E,1,6.727049e-01,1,6.727049e-01,1,17,874,0
E,1,3.272951e-01,1,6.727049e-01,1,8,885,0
E,1,6.727049e-01,1,6.727049e-01,1,17,892,0
E,1,3.272951e-01,1,6.727049e-01,1,8,909,0
E,1,3.272951e-01,1,6.727049e-01,1,8,960,0
E,1,6.727049e-01,1,6.727049e-01,1,17,1160,0
E,1,3.272951e-01,1,6.727049e-01,1,8,1225,0
E,1,6.727049e-01,1,6.727049e-01,1,17,1537,0
E,2,4.525319e-01,1,4.525319e-01,1,12,11,0
E,2,4.525319e-01,1,4.525319e-01,1,12,16,0
E,2,4.525319e-01,1,4.525319e-01,1,12,124,0
E,2,4.525319e-01,1,4.525319e-01,1,12,229,0
E,2,4.403460e-01,1,4.525319e-01,1,8,238,0
E,2,4.525319e-01,1,4.525319e-01,1,12,247,0
E,2,1.071221e-01,1,4.525319e-01,1,3,273,0
E,2,4.525319e-01,1,4.525319e-01,1,12,292,0
E,2,4.525319e-01,1,4.525319e-01,1,12,358,0
E,2,1.071221e-01,1,4.525319e-01,1,3,385,0
E,2,4.403460e-01,1,4.525319e-01,1,8,389,0
E,2,4.403460e-01,1,4.525319e-01,1,8,430,0
E,2,4.403460e-01,1,4.525319e-01,1,8,457,0
E,2,4.525319e-01,1,4.525319e-01,1,12,459,0
E,2,1.071221e-01,1,4.525319e-01,1,3,547,0
E,2,4.403460e-01,1,4.525319e-01,1,8,561,0
E,2,4.525319e-01,1,4.525319e-01,1,12,709,0
E,2,4.525319e-01,1,4.525319e-01,1,12,948,0
E,2,4.403460e-01,1,4.525319e-01,1,8,1028,0
E,2,4.403460e-01,1,4.525319e-01,1,8,1337,0
E,2,4.525319e-01,1,4.525319e-01,1,12,1414,0
E,2,4.403460e-01,1,4.525319e-01,1,8,1449,0
E,2,4.525319e-01,1,4.525319e-01,1,12,1466,0
E,3,4.443344e-01,1,4.443344e-01,1,18,78,1
E,3,4.443344e-01,1,4.443344e-01,1,18,94,1
E,3,4.443344e-01,1,4.443344e-01,1,18,112,1
E,3,3.044204e-01,1,4.443344e-01,1,7,162,1
E,3,2.161847e-01,1,4.443344e-01,1,5,185,1
E,3,4.443344e-01,1,4.443344e-01,1,18,290,1
E,3,3.044204e-01,1,4.443344e-01,1,7,315,1
E,3,2.161847e-01,1,4.443344e-01,1,5,342,1
E,3,4.443344e-01,1,4.443344e-01,1,18,504,1
E,3,4.443344e-01,1,4.443344e-01,1,18,529,1
E,3,3.506054e-02,1,4.443344e-01,1,4,583,1
E,3,3.506054e-02,1,4.443344e-01,1,4,632,1
E,3,3.044204e-01,1,4.443344e-01,1,7,634,1
E,3,4.443344e-01,1,4.443344e-01,1,18,697,1
E,3,4.443344e-01,1,4.443344e-01,1,18,704,1
E,3,2.161847e-01,1,4.443344e-01,1,5,706,1
E,3,2.161847e-01,1,4.443344e-01,1,5,851,1
E,3,4.443344e-01,1,4.443344e-01,1,18,881,1
E,3,4.443344e-01,1,4.443344e-01,1,18,890,1
E,3,4.443344e-01,1,4.443344e-01,1,18,916,1
E,3,3.044204e-01,1,4.443344e-01,1,7,1000,1
E,3,3.506054e-02,1,4.443344e-01,1,4,1012,1
E,3,4.443344e-01,1,4.443344e-01,1,18,1066,1
E,3,3.506054e-02,1,4.443344e-01,1,4,1068,1
E,3,4.443344e-01,1,4.443344e-01,1,18,1139,1
E,3,3.044204e-01,1,4.443344e-01,1,7,1157,1
E,3,4.443344e-01,1,4.443344e-01,1,18,1183,1
E,3,4.443344e-01,1,4.443344e-01,1,18,1251,1
E,3,4.443344e-01,1,4.443344e-01,1,18,1289,1
E,3,2.161847e-01,1,4.443344e-01,1,5,1366,1
E,3,3.044204e-01,1,4.443344e-01,1,7,1412,1
E,3,4.443344e-01,1,4.443344e-01,1,18,1421,1
E,3,3.044204e-01,1,4.443344e-01,1,7,1499,1
E,3,4.443344e-01,1,4.443344e-01,1,18,1505,1
E,4,2.908570e-01,1,3.985412e-01,1,9,115,2
E,4,9.434158e-02,1,3.985412e-01,1,5,130,2
E,4,3.985412e-01,1,3.985412e-01,1,4,170,2
E,4,2.908570e-01,1,3.985412e-01,1,9,189,2
E,4,2.908570e-01,1,3.985412e-01,1,9,246,2
E,4,3.985412e-01,1,3.985412e-01,1,4,357,2
E,4,9.434158e-02,1,3.985412e-01,1,5,361,2
E,4,3.985412e-01,1,3.985412e-01,1,4,417,2
E,4,2.047851e-01,1,3.985412e-01,1,6,422,2
E,4,2.047851e-01,1,3.985412e-01,1,6,508,2
E,4,9.434158e-02,1,3.985412e-01,1,5,540,2
E,4,2.908570e-01,1,3.985412e-01,1,9,794,2
E,4,2.047851e-01,1,3.985412e-01,1,6,827,2
E,4,2.908570e-01,1,3.985412e-01,1,9,897,2
E,4,9.434158e-02,1,3.985412e-01,1,5,946,2
E,4,2.047851e-01,1,3.985412e-01,1,6,974,2
E,4,9.434158e-02,1,3.985412e-01,1,5,1089,2
E,4,2.908570e-01,1,3.985412e-01,1,9,1137,2
E,4,2.908570e-01,1,3.985412e-01,1,9,1200,2
E,4,2.908570e-01,1,3.985412e-01,1,9,1236,2
E,4,3.985412e-01,1,3.985412e-01,1,4,1256,2
E,4,2.047851e-01,1,3.985412e-01,1,6,1355,2
E,4,2.047851e-01,1,3.985412e-01,1,6,1372,2
E,4,2.908570e-01,1,3.985412e-01,1,9,1416,2
E,5,3.351258e-01,1,3.351258e-01,1,17,15,1
E,5,3.351258e-01,1,3.351258e-01,1,17,41,1
E,5,3.351258e-01,1,3.351258e-01,1,17,54,1
E,5,3.351258e-01,1,3.351258e-01,1,17,93,1
E,5,1.586601e-01,1,3.351258e-01,1,6,113,1
E,5,1.586601e-01,1,3.351258e-01,1,6,157,1
E,5,3.351258e-01,1,3.351258e-01,1,17,204,1
E,5,1.586601e-01,1,3.351258e-01,1,6,221,1
E,5,3.859692e-02,1,3.351258e-01,1,3,255,1
E,5,3.261015e-01,1,3.351258e-01,1,15,269,1
E,5,3.351258e-01,1,3.351258e-01,1,17,270,1
E,5,3.261015e-01,1,3.351258e-01,1,15,304,1
E,5,1.377599e-01,1,3.351258e-01,1,7,339,1
E,5,3.351258e-01,1,3.351258e-01,1,17,355,1
E,5,3.351258e-01,1,3.351258e-01,1,17,378,1
E,5,3.351258e-01,1,3.351258e-01,1,17,447,1
E,5,1.377599e-01,1,3.351258e-01,1,7,475,1
E,5,3.351258e-01,1,3.351258e-01,1,17,485,1
E,5,1.377599e-01,1,3.351258e-01,1,7,579,1
E,5,3.351258e-01,1,3.351258e-01,1,17,594,1
E,5,3.261015e-01,1,3.351258e-01,1,15,640,1
E,5,3.261015e-01,1,3.351258e-01,1,15,641,1
E,5,3.351258e-01,1,3.351258e-01,1,17,676,1
E,5,3.351258e-01,1,3.351258e-01,1,17,684,1
E,5,3.351258e-01,1,3.351258e-01,1,17,721,1
E,5,3.351258e-01,1,3.351258e-01,1,17,871,1
E,5,3.261015e-01,1,3.351258e-01,1,15,872,1
E,5,1.586601e-01,1,3.351258e-01,1,6,873,1
E,5,1.377599e-01,1,3.351258e-01,1,7,914,1
E,5,1.586601e-01,1,3.351258e-01,1,6,921,1
E,5,1.377599e-01,1,3.351258e-01,1,7,927,1
E,5,3.859692e-02,1,3.351258e-01,1,3,954,1
E,5,1.377599e-01,1,3.351258e-01,1,7,973,1
E,5,3.261015e-01,1,3.351258e-01,1,15,977,1
E,5,3.261015e-01,1,3.351258e-01,1,15,1009,1
