aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,2.729898e-01,1,7.270102e-01,1,2,14,1
E,1,7.270102e-01,1,7.270102e-01,1,5,123,0
E,1,7.270102e-01,1,7.270102e-01,1,5,192,0
E,1,7.270102e-01,1,7.270102e-01,1,5,227,0
E,1,7.270102e-01,1,7.270102e-01,1,5,1447,0
E,1,2.729898e-01,1,7.270102e-01,1,2,1555,1
E,1,7.270102e-01,1,7.270102e-01,1,5,1803,0
E,2,5.285439e-01,1,5.285439e-01,1,5,264,0
E,2,5.285439e-01,1,5.285439e-01,1,5,360,0
E,2,3.969327e-01,1,5.285439e-01,1,5,414,1
E,2,3.969327e-01,1,5.285439e-01,1,5,471,1
E,2,3.969327e-01,1,5.285439e-01,1,5,586,1
E,2,3.969327e-01,1,5.285439e-01,1,5,620,1
E,2,5.285439e-01,1,5.285439e-01,1,5,824,0
E,2,5.285439e-01,1,5.285439e-01,1,5,1182,0
E,2,5.285439e-01,1,5.285439e-01,1,5,1288,0
E,2,3.969327e-01,1,5.285439e-01,1,5,1714,1
E,3,2.034413e-02,1,4.328612e-01,1,2,82,3
E,3,2.034413e-02,1,4.328612e-01,1,2,128,3
E,3,3.842568e-01,1,4.328612e-01,1,7,204,0
E,3,1.625378e-01,1,4.328612e-01,1,4,381,2
E,3,4.328612e-01,1,4.328612e-01,1,3,448,1
E,3,1.625378e-01,1,4.328612e-01,1,4,522,2
E,3,3.842568e-01,1,4.328612e-01,1,7,860,0
E,3,4.328612e-01,1,4.328612e-01,1,3,896,1
E,3,4.328612e-01,1,4.328612e-01,1,3,1051,1
E,3,1.625378e-01,1,4.328612e-01,1,4,1121,2
E,3,3.842568e-01,1,4.328612e-01,1,7,1390,0
E,3,3.842568e-01,1,4.328612e-01,1,7,1392,0
E,3,3.842568e-01,1,4.328612e-01,1,7,1472,0
E,3,3.842568e-01,1,4.328612e-01,1,7,1540,0
E,3,3.842568e-01,1,4.328612e-01,1,7,1689,0
E,3,1.625378e-01,1,4.328612e-01,1,4,1726,2
E,4,4.195927e-01,1,4.195927e-01,1,7,25,1
E,4,2.363334e-01,1,4.195927e-01,1,7,44,2
E,4,2.793586e-01,1,4.195927e-01,1,4,168,0
E,4,2.363334e-01,1,4.195927e-01,1,7,187,2
E,4,5.916156e-02,1,4.195927e-01,1,3,190,3
E,4,2.793586e-01,1,4.195927e-01,1,4,319,0
E,4,2.363334e-01,1,4.195927e-01,1,7,368,2
E,4,5.916156e-02,1,4.195927e-01,1,3,433,3
E,4,2.793586e-01,1,4.195927e-01,1,4,449,0
E,4,2.363334e-01,1,4.195927e-01,1,7,475,2
E,4,2.363334e-01,1,4.195927e-01,1,7,733,2
E,4,4.195927e-01,1,4.195927e-01,1,7,810,1
E,4,2.363334e-01,1,4.195927e-01,1,7,813,2
E,4,4.195927e-01,1,4.195927e-01,1,7,986,1
E,4,5.916156e-02,1,4.195927e-01,1,3,1487,3
E,4,5.553739e-03,1,4.195927e-01,1,2,1582,4
E,4,4.195927e-01,1,4.195927e-01,1,7,1622,1
E,4,4.195927e-01,1,4.195927e-01,1,7,1651,1
E,4,4.195927e-01,1,4.195927e-01,1,7,1653,1
E,4,2.793586e-01,1,4.195927e-01,1,4,1686,0
E,4,4.195927e-01,1,4.195927e-01,1,7,1712,1
E,4,2.363334e-01,1,4.195927e-01,1,7,1753,2
E,4,5.553739e-03,1,4.195927e-01,1,2,1756,4
E,5,2.863613e-01,1,3.813102e-01,1,7,3,2
E,5,2.030966e-01,1,3.813102e-01,1,9,12,0
E,5,3.813102e-01,1,3.813102e-01,1,17,20,1
E,5,2.018812e-02,1,3.813102e-01,1,2,113,4
E,5,2.030966e-01,1,3.813102e-01,1,9,193,0
E,5,3.813102e-01,1,3.813102e-01,1,17,389,1
E,5,3.813102e-01,1,3.813102e-01,1,17,456,1
E,5,3.813102e-01,1,3.813102e-01,1,17,547,1
E,5,3.813102e-01,1,3.813102e-01,1,17,589,1
E,5,2.863613e-01,1,3.813102e-01,1,7,687,2
E,5,3.813102e-01,1,3.813102e-01,1,17,707,1
E,5,3.813102e-01,1,3.813102e-01,1,17,734,1
E,5,2.030966e-01,1,3.813102e-01,1,9,789,0
E,5,2.863613e-01,1,3.813102e-01,1,7,837,2
E,5,3.813102e-01,1,3.813102e-01,1,17,857,1
E,5,3.813102e-01,1,3.813102e-01,1,17,873,1
E,5,2.863613e-01,1,3.813102e-01,1,7,888,2
E,5,3.813102e-01,1,3.813102e-01,1,17,990,1
E,5,1.075276e-01,1,3.813102e-01,1,6,1004,3
E,5,3.813102e-01,1,3.813102e-01,1,17,1022,1
E,5,1.075276e-01,1,3.813102e-01,1,6,1086,3
E,5,1.075276e-01,1,3.813102e-01,1,6,1149,3
E,5,3.813102e-01,1,3.813102e-01,1,17,1157,1
E,5,2.030966e-01,1,3.813102e-01,1,9,1176,0
E,5,2.030966e-01,1,3.813102e-01,1,9,1283,0
E,5,1.075276e-01,1,3.813102e-01,1,6,1309,3
E,5,3.813102e-01,1,3.813102e-01,1,17,1328,1
E,5,2.030966e-01,1,3.813102e-01,1,9,1336,0
E,5,2.863613e-01,1,3.813102e-01,1,7,1421,2
E,5,3.813102e-01,1,3.813102e-01,1,17,1437,1
E,5,1.075276e-01,1,3.813102e-01,1,6,1490,3
E,5,3.813102e-01,1,3.813102e-01,1,17,1621,1
E,5,2.030966e-01,1,3.813102e-01,1,9,1631,0
E,5,2.030966e-01,1,3.813102e-01,1,9,1650,0
E,5,2.030966e-01,1,3.813102e-01,1,9,1655,0
E,5,3.813102e-01,1,3.813102e-01,1,17,1693,1
E,5,2.863613e-01,1,3.813102e-01,1,7,1702,2
E,5,1.075276e-01,1,3.813102e-01,1,6,1711,3
E,5,2.863613e-01,1,3.813102e-01,1,7,1725,2
E,5,3.813102e-01,1,3.813102e-01,1,17,1786,1
E,5,2.018812e-02,1,3.813102e-01,1,2,1820,4
E,6,3.326597e-01,1,3.326597e-01,1,13,24,1
E,6,3.326597e-01,1,3.326597e-01,1,13,27,1
E,6,1.476533e-01,1,3.326597e-01,1,7,28,0
E,6,3.122814e-01,1,3.326597e-01,1,17,35,2
E,6,3.122814e-01,1,3.326597e-01,1,17,67,2
E,6,3.326597e-01,1,3.326597e-01,1,13,101,1
E,6,3.122814e-01,1,3.326597e-01,1,17,155,2
E,6,1.563474e-01,1,3.326597e-01,1,3,156,3
E,6,3.122814e-01,1,3.326597e-01,1,17,208,2
E,6,3.122814e-01,1,3.326597e-01,1,17,245,2
E,6,3.326597e-01,1,3.326597e-01,1,13,248,1
E,6,3.122814e-01,1,3.326597e-01,1,17,283,2
E,6,4.403092e-02,1,3.326597e-01,1,1,285,4
E,6,3.122814e-01,1,3.326597e-01,1,17,328,2
E,6,1.476533e-01,1,3.326597e-01,1,7,536,0
E,6,1.476533e-01,1,3.326597e-01,1,7,545,0
E,6,1.563474e-01,1,3.326597e-01,1,3,584,3
E,6,1.563474e-01,1,3.326597e-01,1,3,619,3
E,6,3.326597e-01,1,3.326597e-01,1,13,622,1
E,6,1.476533e-01,1,3.326597e-01,1,7,648,0
E,6,3.326597e-01,1,3.326597e-01,1,13,690,1
E,6,3.122814e-01,1,3.326597e-01,1,17,721,2
E,6,3.326597e-01,1,3.326597e-01,1,13,774,1
E,6,1.476533e-01,1,3.326597e-01,1,7,800,0
E,6,3.326597e-01,1,3.326597e-01,1,13,934,1
E,6,3.326597e-01,1,3.326597e-01,1,13,961,1
E,6,3.326597e-01,1,3.326597e-01,1,13,989,1
E,6,3.122814e-01,1,3.326597e-01,1,17,1021,2
E,6,3.122814e-01,1,3.326597e-01,1,17,1150,2
E,6,3.122814e-01,1,3.326597e-01,1,17,1215,2
E,6,3.326597e-01,1,3.326597e-01,1,13,1268,1
E,6,3.326597e-01,1,3.326597e-01,1,13,1388,1
E,6,3.122814e-01,1,3.326597e-01,1,17,1391,2
E,6,3.122814e-01,1,3.326597e-01,1,17,1532,2
E,6,3.122814e-01,1,3.326597e-01,1,17,1564,2
E,6,3.122814e-01,1,3.326597e-01,1,17,1599,2
E,6,1.476533e-01,1,3.326597e-01,1,7,1620,0
E,6,3.122814e-01,1,3.326597e-01,1,17,1638,2
E,6,3.326597e-01,1,3.326597e-01,1,13,1659,1
E,6,3.122814e-01,1,3.326597e-01,1,17,1683,2
