aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,9.443689e-01,1,9.443689e-01,1,3,281,0
E,1,5.563109e-02,1,9.443689e-01,1,2,342,0
E,1,9.443689e-01,1,9.443689e-01,1,3,543,0
E,1,9.443689e-01,1,9.443689e-01,1,3,594,0
E,1,5.563109e-02,1,9.443689e-01,1,2,600,0
E,2,8.918326e-01,1,8.918326e-01,1,3,343,0
E,2,8.918326e-01,1,8.918326e-01,1,3,426,0
E,2,8.918326e-01,1,8.918326e-01,1,3,535,0
E,3,1.488409e-01,1,8.422190e-01,1,4,7,1
E,3,8.422190e-01,1,8.422190e-01,1,5,25,1
E,3,8.422190e-01,1,8.422190e-01,1,5,113,1
E,3,8.422190e-01,1,8.422190e-01,1,5,117,1
E,3,1.488409e-01,1,8.422190e-01,1,4,266,1
E,3,1.488409e-01,1,8.422190e-01,1,4,344,1
E,3,8.422190e-01,1,8.422190e-01,1,5,517,1
E,3,8.422190e-01,1,8.422190e-01,1,5,526,1
E,3,1.488409e-01,1,8.422190e-01,1,4,540,1
E,4,7.953655e-01,1,7.953655e-01,1,9,24,0
E,4,7.953655e-01,1,7.953655e-01,1,9,94,0
E,4,7.953655e-01,1,7.953655e-01,1,9,131,0
E,4,7.953655e-01,1,7.953655e-01,1,9,378,0
E,4,7.953655e-01,1,7.953655e-01,1,9,414,0
E,4,1.874142e-01,1,7.953655e-01,1,3,424,0
E,4,7.953655e-01,1,7.953655e-01,1,9,461,0
E,4,1.874142e-01,1,7.953655e-01,1,3,556,0
E,4,7.953655e-01,1,7.953655e-01,1,9,565,0
E,4,7.953655e-01,1,7.953655e-01,1,9,575,0
E,4,1.874142e-01,1,7.953655e-01,1,3,585,0
E,4,7.953655e-01,1,7.953655e-01,1,9,587,0
E,5,2.212352e-01,1,7.511184e-01,1,3,26,1
E,5,7.511184e-01,1,7.511184e-01,1,10,33,1
E,5,2.212352e-01,1,7.511184e-01,1,3,46,1
E,5,7.511184e-01,1,7.511184e-01,1,10,187,1
E,5,7.511184e-01,1,7.511184e-01,1,10,218,1
E,5,2.212352e-01,1,7.511184e-01,1,3,290,1
E,5,7.511184e-01,1,7.511184e-01,1,10,452,1
E,5,7.511184e-01,1,7.511184e-01,1,10,495,1
E,5,7.511184e-01,1,7.511184e-01,1,10,529,1
E,5,7.511184e-01,1,7.511184e-01,1,10,537,1
E,5,7.511184e-01,1,7.511184e-01,1,10,539,1
E,5,7.511184e-01,1,7.511184e-01,1,10,555,1
E,5,7.511184e-01,1,7.511184e-01,1,10,568,1
E,6,7.093329e-01,1,7.093329e-01,1,7,215,0
E,6,7.093329e-01,1,7.093329e-01,1,7,315,0
E,6,7.093329e-01,1,7.093329e-01,1,7,351,0
E,6,7.093329e-01,1,7.093329e-01,1,7,458,0
E,6,7.093329e-01,1,7.093329e-01,1,7,512,0
E,6,7.093329e-01,1,7.093329e-01,1,7,569,0
E,6,7.093329e-01,1,7.093329e-01,1,7,571,0
E,7,6.698719e-01,1,6.698719e-01,1,14,79,0
E,7,6.698719e-01,1,6.698719e-01,1,14,91,0
E,7,6.698719e-01,1,6.698719e-01,1,14,120,0
E,7,2.762267e-01,1,6.698719e-01,1,4,139,0
E,7,6.698719e-01,1,6.698719e-01,1,14,141,0
E,7,6.698719e-01,1,6.698719e-01,1,14,200,0
E,7,6.698719e-01,1,6.698719e-01,1,14,202,0
E,7,2.762267e-01,1,6.698719e-01,1,4,210,0
E,7,6.698719e-01,1,6.698719e-01,1,14,268,0
E,7,6.698719e-01,1,6.698719e-01,1,14,328,0
E,7,6.698719e-01,1,6.698719e-01,1,14,347,0
E,7,2.762267e-01,1,6.698719e-01,1,4,348,0
E,7,6.698719e-01,1,6.698719e-01,1,14,449,0
E,7,2.762267e-01,1,6.698719e-01,1,4,455,0
E,7,4.881607e-02,1,6.698719e-01,1,1,522,0
E,7,6.698719e-01,1,6.698719e-01,1,14,523,0
E,7,6.698719e-01,1,6.698719e-01,1,14,527,0
E,7,6.698719e-01,1,6.698719e-01,1,14,576,0
E,7,6.698719e-01,1,6.698719e-01,1,14,599,0
E,8,6.326062e-01,1,6.326062e-01,1,11,39,0
E,8,6.326062e-01,1,6.326062e-01,1,11,93,0
E,8,2.981256e-01,1,6.326062e-01,1,6,166,0
E,8,6.326062e-01,1,6.326062e-01,1,11,169,0
E,8,6.326062e-01,1,6.326062e-01,1,11,225,0
E,8,6.326062e-01,1,6.326062e-01,1,11,263,0
E,8,6.326062e-01,1,6.326062e-01,1,11,265,0
E,8,2.981256e-01,1,6.326062e-01,1,6,276,0
E,8,2.981256e-01,1,6.326062e-01,1,6,285,0
E,8,2.981256e-01,1,6.326062e-01,1,6,365,0
E,8,6.326062e-01,1,6.326062e-01,1,11,448,0
E,8,6.146718e-02,1,6.326062e-01,1,2,451,0
E,8,6.146718e-02,1,6.326062e-01,1,2,475,0
E,8,6.326062e-01,1,6.326062e-01,1,11,524,0
E,8,6.326062e-01,1,6.326062e-01,1,11,536,0
E,8,2.981256e-01,1,6.326062e-01,1,6,564,0
E,8,2.981256e-01,1,6.326062e-01,1,6,570,0
E,8,6.326062e-01,1,6.326062e-01,1,11,579,0
E,8,6.326062e-01,1,6.326062e-01,1,11,582,0
E,9,5.974136e-01,1,5.974136e-01,1,13,30,0
E,9,5.974136e-01,1,5.974136e-01,1,13,32,0
E,9,5.974136e-01,1,5.974136e-01,1,13,44,0
E,9,5.974136e-01,1,5.974136e-01,1,13,135,0
E,9,5.974136e-01,1,5.974136e-01,1,13,163,0
E,9,5.974136e-01,1,5.974136e-01,1,13,164,0
E,9,5.974136e-01,1,5.974136e-01,1,13,338,0
E,9,5.974136e-01,1,5.974136e-01,1,13,356,0
E,9,3.167332e-01,1,5.974136e-01,1,1,381,0
E,9,5.974136e-01,1,5.974136e-01,1,13,418,0
E,9,5.974136e-01,1,5.974136e-01,1,13,479,0
E,9,5.974136e-01,1,5.974136e-01,1,13,553,0
E,9,5.974136e-01,1,5.974136e-01,1,13,558,0
E,9,5.974136e-01,1,5.974136e-01,1,13,596,0
E,10,8.810105e-02,1,5.641789e-01,1,1,29,2
E,10,5.641789e-01,1,5.641789e-01,1,6,124,2
E,10,3.323477e-01,1,5.641789e-01,1,4,197,2
E,10,5.641789e-01,1,5.641789e-01,1,6,204,2
E,10,5.641789e-01,1,5.641789e-01,1,6,253,2
E,10,5.641789e-01,1,5.641789e-01,1,6,368,2
E,10,3.323477e-01,1,5.641789e-01,1,4,373,2
E,10,5.641789e-01,1,5.641789e-01,1,6,391,2
E,10,5.641789e-01,1,5.641789e-01,1,6,392,2
E,10,3.323477e-01,1,5.641789e-01,1,4,453,2
E,10,3.323477e-01,1,5.641789e-01,1,4,542,2
E,11,1.016888e-01,1,5.327930e-01,1,5,8,2
E,11,3.452447e-01,1,5.327930e-01,1,10,17,2
E,11,5.327930e-01,1,5.327930e-01,1,11,36,2
E,11,5.327930e-01,1,5.327930e-01,1,11,45,2
E,11,5.327930e-01,1,5.327930e-01,1,11,73,2
E,11,5.327930e-01,1,5.327930e-01,1,11,129,2
E,11,5.327930e-01,1,5.327930e-01,1,11,171,2
E,11,5.327930e-01,1,5.327930e-01,1,11,226,2
E,11,3.452447e-01,1,5.327930e-01,1,10,236,2
E,11,3.452447e-01,1,5.327930e-01,1,10,270,2
E,11,3.452447e-01,1,5.327930e-01,1,10,273,2
E,11,1.016888e-01,1,5.327930e-01,1,5,283,2
E,11,3.452447e-01,1,5.327930e-01,1,10,289,2
E,11,5.327930e-01,1,5.327930e-01,1,11,295,2
E,11,5.327930e-01,1,5.327930e-01,1,11,317,2
E,11,5.327930e-01,1,5.327930e-01,1,11,345,2
E,11,3.452447e-01,1,5.327930e-01,1,10,361,2
E,11,3.452447e-01,1,5.327930e-01,1,10,387,2
E,11,5.327930e-01,1,5.327930e-01,1,11,401,2
E,11,3.452447e-01,1,5.327930e-01,1,10,406,2
E,11,5.327930e-01,1,5.327930e-01,1,11,432,2
E,11,3.452447e-01,1,5.327930e-01,1,10,454,2
E,11,1.016888e-01,1,5.327930e-01,1,5,494,2
E,11,1.016888e-01,1,5.327930e-01,1,5,508,2
E,11,3.452447e-01,1,5.327930e-01,1,10,520,2
E,11,1.016888e-01,1,5.327930e-01,1,5,531,2
E,12,2.999224e-03,1,5.031531e-01,1,1,16,4
E,12,3.556782e-01,1,5.031531e-01,1,8,228,4
E,12,1.152380e-01,1,5.031531e-01,1,3,242,4
E,12,1.152380e-01,1,5.031531e-01,1,3,243,4
E,12,1.152380e-01,1,5.031531e-01,1,3,267,4
E,12,3.556782e-01,1,5.031531e-01,1,8,327,4
E,12,5.031531e-01,1,5.031531e-01,1,5,360,4
E,12,5.031531e-01,1,5.031531e-01,1,5,374,4
E,12,3.556782e-01,1,5.031531e-01,1,8,402,4
E,12,3.556782e-01,1,5.031531e-01,1,8,408,4
E,12,3.556782e-01,1,5.031531e-01,1,8,422,4
E,12,3.556782e-01,1,5.031531e-01,1,8,445,4
E,12,3.556782e-01,1,5.031531e-01,1,8,464,4
E,12,5.031531e-01,1,5.031531e-01,1,5,509,4
E,12,5.031531e-01,1,5.031531e-01,1,5,525,4
E,12,3.556782e-01,1,5.031531e-01,1,8,559,4
E,12,5.031531e-01,1,5.031531e-01,1,5,577,4
E,13,4.751622e-01,1,4.751622e-01,1,9,13,0
E,13,4.751622e-01,1,4.751622e-01,1,9,20,0
E,13,3.638824e-01,1,4.751622e-01,1,8,21,0
E,13,4.751622e-01,1,4.751622e-01,1,9,27,0
E,13,1.286140e-01,1,4.751622e-01,1,5,35,0
E,13,3.638824e-01,1,4.751622e-01,1,8,42,0
E,13,3.638824e-01,1,4.751622e-01,1,8,90,0
E,13,1.286140e-01,1,4.751622e-01,1,5,147,0
E,13,3.638824e-01,1,4.751622e-01,1,8,156,0
E,13,1.286140e-01,1,4.751622e-01,1,5,173,0
E,13,4.751622e-01,1,4.751622e-01,1,9,174,0
E,13,3.638824e-01,1,4.751622e-01,1,8,186,0
E,13,3.638824e-01,1,4.751622e-01,1,8,212,0
E,13,3.638824e-01,1,4.751622e-01,1,8,306,0
E,13,1.286140e-01,1,4.751622e-01,1,5,337,0
E,13,4.751622e-01,1,4.751622e-01,1,9,428,0
E,13,4.751622e-01,1,4.751622e-01,1,9,516,0
E,13,3.638824e-01,1,4.751622e-01,1,8,518,0
E,13,1.286140e-01,1,4.751622e-01,1,5,530,0
E,13,4.751622e-01,1,4.751622e-01,1,9,584,0
E,13,4.751622e-01,1,4.751622e-01,1,9,597,0
E,13,4.751622e-01,1,4.751622e-01,1,9,603,0
E,14,3.700730e-01,1,4.487284e-01,1,8,51,1
E,14,1.417022e-01,1,4.487284e-01,1,5,63,1
E,14,1.417022e-01,1,4.487284e-01,1,5,70,1
E,14,3.700730e-01,1,4.487284e-01,1,8,92,1
E,14,3.700730e-01,1,4.487284e-01,1,8,119,1
E,14,4.487284e-01,1,4.487284e-01,1,5,127,1
E,14,3.700730e-01,1,4.487284e-01,1,8,191,1
E,14,1.417022e-01,1,4.487284e-01,1,5,235,1
E,14,1.417022e-01,1,4.487284e-01,1,5,239,1
E,14,4.487284e-01,1,4.487284e-01,1,5,298,1
E,14,4.487284e-01,1,4.487284e-01,1,5,382,1
E,14,3.700730e-01,1,4.487284e-01,1,8,383,1
E,14,4.487284e-01,1,4.487284e-01,1,5,395,1
E,14,3.700730e-01,1,4.487284e-01,1,8,425,1
E,14,4.487284e-01,1,4.487284e-01,1,5,506,1
E,14,3.700730e-01,1,4.487284e-01,1,8,514,1
E,14,3.700730e-01,1,4.487284e-01,1,8,528,1
E,14,1.417022e-01,1,4.487284e-01,1,5,541,1
E,15,3.744487e-01,1,4.237651e-01,1,3,1,1
E,15,4.237651e-01,1,4.237651e-01,1,5,54,1
E,15,4.237651e-01,1,4.237651e-01,1,5,71,1
E,15,4.237651e-01,1,4.237651e-01,1,5,74,1
E,15,1.544068e-01,1,4.237651e-01,1,5,165,1
E,15,1.544068e-01,1,4.237651e-01,1,5,224,1
E,15,1.544068e-01,1,4.237651e-01,1,5,284,1
E,15,4.237651e-01,1,4.237651e-01,1,5,370,1
E,15,3.744487e-01,1,4.237651e-01,1,3,442,1
E,15,3.744487e-01,1,4.237651e-01,1,3,534,1
E,15,4.237651e-01,1,4.237651e-01,1,5,548,1
E,15,1.544068e-01,1,4.237651e-01,1,5,574,1
E,15,1.544068e-01,1,4.237651e-01,1,5,612,1
E,16,4.581235e-02,1,4.001906e-01,1,3,5,3
E,16,4.001906e-01,1,4.001906e-01,1,8,9,3
E,16,1.666479e-01,1,4.001906e-01,1,3,43,3
E,16,4.001906e-01,1,4.001906e-01,1,8,82,3
E,16,4.001906e-01,1,4.001906e-01,1,8,101,3
E,16,1.666479e-01,1,4.001906e-01,1,3,198,3
E,16,4.001906e-01,1,4.001906e-01,1,8,208,3
E,16,3.771923e-01,1,4.001906e-01,1,3,260,3
E,16,4.001906e-01,1,4.001906e-01,1,8,275,3
E,16,4.581235e-02,1,4.001906e-01,1,3,319,3
E,16,4.001906e-01,1,4.001906e-01,1,8,364,3
E,16,4.581235e-02,1,4.001906e-01,1,3,399,3
E,16,4.001906e-01,1,4.001906e-01,1,8,430,3
E,16,4.001906e-01,1,4.001906e-01,1,8,438,3
E,16,3.771923e-01,1,4.001906e-01,1,3,519,3
E,16,1.666479e-01,1,4.001906e-01,1,3,561,3
E,16,3.771923e-01,1,4.001906e-01,1,3,580,3
E,17,3.784717e-01,1,3.784717e-01,1,4,149,1
E,17,3.779276e-01,1,3.784717e-01,1,5,157,1
E,17,3.784717e-01,1,3.784717e-01,1,4,182,1
E,17,1.083151e-02,1,3.784717e-01,1,1,190,1
E,17,3.784717e-01,1,3.784717e-01,1,4,240,1
