aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.407315e-01,1,6.407315e-01,1,9,5,0
E,1,6.407315e-01,1,6.407315e-01,1,9,54,0
E,1,6.407315e-01,1,6.407315e-01,1,9,111,0
E,1,3.592685e-01,1,6.407315e-01,1,2,122,1
E,1,6.407315e-01,1,6.407315e-01,1,9,279,0
E,1,6.407315e-01,1,6.407315e-01,1,9,511,0
E,1,6.407315e-01,1,6.407315e-01,1,9,589,0
E,1,6.407315e-01,1,6.407315e-01,1,9,638,0
E,1,6.407315e-01,1,6.407315e-01,1,9,689,0
E,1,3.592685e-01,1,6.407315e-01,1,2,742,1
E,1,6.407315e-01,1,6.407315e-01,1,9,858,0
E,2,4.105369e-01,1,4.603893e-01,1,6,3,0
E,2,4.603893e-01,1,4.603893e-01,1,7,4,1
E,2,4.105369e-01,1,4.603893e-01,1,6,50,0
E,2,4.603893e-01,1,4.603893e-01,1,7,95,1
E,2,1.290739e-01,1,4.603893e-01,1,3,101,2
E,2,4.105369e-01,1,4.603893e-01,1,6,443,0
E,2,4.603893e-01,1,4.603893e-01,1,7,467,1
E,2,4.105369e-01,1,4.603893e-01,1,6,484,0
E,2,4.105369e-01,1,4.603893e-01,1,6,488,0
E,2,4.105369e-01,1,4.603893e-01,1,6,522,0
E,2,4.603893e-01,1,4.603893e-01,1,7,591,1
E,2,4.603893e-01,1,4.603893e-01,1,7,634,1
E,2,1.290739e-01,1,4.603893e-01,1,3,705,2
E,2,4.603893e-01,1,4.603893e-01,1,7,820,1
E,2,1.290739e-01,1,4.603893e-01,1,3,837,2
E,2,4.603893e-01,1,4.603893e-01,1,7,852,1
E,3,4.424789e-01,1,4.424789e-01,1,7,76,1
E,3,2.630439e-01,1,4.424789e-01,1,4,132,0
E,3,4.424789e-01,1,4.424789e-01,1,7,307,1
E,3,4.424789e-01,1,4.424789e-01,1,7,363,1
E,3,2.481051e-01,1,4.424789e-01,1,6,489,2
E,3,2.481051e-01,1,4.424789e-01,1,6,507,2
E,3,4.424789e-01,1,4.424789e-01,1,7,548,1
E,3,2.481051e-01,1,4.424789e-01,1,6,575,2
E,3,2.630439e-01,1,4.424789e-01,1,4,587,0
E,3,4.424789e-01,1,4.424789e-01,1,7,617,1
E,3,2.481051e-01,1,4.424789e-01,1,6,671,2
E,3,2.630439e-01,1,4.424789e-01,1,4,706,0
E,3,4.424789e-01,1,4.424789e-01,1,7,762,1
E,3,2.481051e-01,1,4.424789e-01,1,6,776,2
E,3,2.630439e-01,1,4.424789e-01,1,4,817,0
E,3,2.481051e-01,1,4.424789e-01,1,6,893,2
E,3,4.424789e-01,1,4.424789e-01,1,7,896,1
E,4,3.780135e-01,1,3.780135e-01,1,11,1,1
E,4,3.780135e-01,1,3.780135e-01,1,11,2,1
E,4,3.780135e-01,1,3.780135e-01,1,11,14,1
E,4,3.780135e-01,1,3.780135e-01,1,11,45,1
E,4,3.780135e-01,1,3.780135e-01,1,11,118,1
E,4,3.179374e-01,1,3.780135e-01,1,6,129,2
E,4,1.188484e-01,1,3.780135e-01,1,4,137,3
E,4,3.179374e-01,1,3.780135e-01,1,6,149,2
E,4,3.780135e-01,1,3.780135e-01,1,11,257,1
E,4,3.179374e-01,1,3.780135e-01,1,6,333,2
E,4,1.188484e-01,1,3.780135e-01,1,4,408,3
E,4,3.780135e-01,1,3.780135e-01,1,11,413,1
E,4,1.685405e-01,1,3.780135e-01,1,1,418,0
E,4,1.188484e-01,1,3.780135e-01,1,4,476,3
E,4,3.179374e-01,1,3.780135e-01,1,6,492,2
E,4,3.780135e-01,1,3.780135e-01,1,11,509,1
E,4,3.780135e-01,1,3.780135e-01,1,11,573,1
E,4,3.179374e-01,1,3.780135e-01,1,6,609,2
E,4,1.188484e-01,1,3.780135e-01,1,4,719,3
E,4,3.780135e-01,1,3.780135e-01,1,11,765,1
E,4,3.780135e-01,1,3.780135e-01,1,11,821,1
E,4,3.179374e-01,1,3.780135e-01,1,6,892,2
E,5,3.027565e-01,1,3.395209e-01,1,6,84,1
E,5,1.903749e-01,1,3.395209e-01,1,6,113,3
E,5,1.903749e-01,1,3.395209e-01,1,6,266,3
E,5,3.027565e-01,1,3.395209e-01,1,6,400,1
E,5,1.903749e-01,1,3.395209e-01,1,6,402,3
E,5,3.395209e-01,1,3.395209e-01,1,2,407,2
E,5,1.903749e-01,1,3.395209e-01,1,6,420,3
E,5,5.337313e-02,1,3.395209e-01,1,2,430,4
E,5,3.027565e-01,1,3.395209e-01,1,6,478,1
E,5,3.027565e-01,1,3.395209e-01,1,6,483,1
E,5,3.395209e-01,1,3.395209e-01,1,2,513,2
E,5,3.027565e-01,1,3.395209e-01,1,6,610,1
E,5,3.027565e-01,1,3.395209e-01,1,6,658,1
E,5,5.337313e-02,1,3.395209e-01,1,2,747,4
E,5,1.079892e-01,1,3.395209e-01,1,2,773,0
E,5,1.079892e-01,1,3.395209e-01,1,2,787,0
E,5,1.903749e-01,1,3.395209e-01,1,6,832,3
E,5,1.903749e-01,1,3.395209e-01,1,6,867,3
E,6,2.327827e-01,1,3.263126e-01,1,6,33,1
E,6,3.263126e-01,1,3.263126e-01,1,8,53,2
E,6,3.263126e-01,1,3.263126e-01,1,8,82,2
E,6,2.327827e-01,1,3.263126e-01,1,6,104,1
E,6,2.327827e-01,1,3.263126e-01,1,6,117,1
E,6,1.025935e-01,1,3.263126e-01,1,3,123,4
E,6,6.919209e-02,1,3.263126e-01,1,5,140,0
E,6,6.919209e-02,1,3.263126e-01,1,5,226,0
E,6,2.327827e-01,1,3.263126e-01,1,6,231,1
E,6,3.263126e-01,1,3.263126e-01,1,8,293,2
E,6,3.263126e-01,1,3.263126e-01,1,8,323,2
E,6,1.025935e-01,1,3.263126e-01,1,3,361,4
E,6,3.263126e-01,1,3.263126e-01,1,8,403,2
E,6,2.301034e-02,1,3.263126e-01,1,2,409,5
E,6,2.439583e-01,1,3.263126e-01,1,2,486,3
E,6,2.327827e-01,1,3.263126e-01,1,6,495,1
E,6,6.919209e-02,1,3.263126e-01,1,5,547,0
E,6,3.263126e-01,1,3.263126e-01,1,8,615,2
E,6,1.025935e-01,1,3.263126e-01,1,3,635,4
E,6,6.919209e-02,1,3.263126e-01,1,5,657,0
E,6,2.439583e-01,1,3.263126e-01,1,2,711,3
E,6,3.263126e-01,1,3.263126e-01,1,8,713,2
E,6,6.919209e-02,1,3.263126e-01,1,5,739,0
E,6,3.263126e-01,1,3.263126e-01,1,8,780,2
E,6,2.301034e-02,1,3.263126e-01,1,2,894,5
E,6,2.327827e-01,1,3.263126e-01,1,6,900,1
E,7,2.735456e-01,1,2.927103e-01,1,7,20,3
E,7,2.735456e-01,1,2.927103e-01,1,7,29,3
E,7,2.735456e-01,1,2.927103e-01,1,7,80,3
E,7,2.927103e-01,1,2.927103e-01,1,9,147,2
E,7,2.735456e-01,1,2.927103e-01,1,7,164,3
E,7,2.927103e-01,1,2.927103e-01,1,9,258,2
E,7,2.735456e-01,1,2.927103e-01,1,7,267,3
E,7,2.927103e-01,1,2.927103e-01,1,9,269,2
E,7,1.740098e-01,1,2.927103e-01,1,5,271,1
E,7,2.735456e-01,1,2.927103e-01,1,7,306,3
E,7,2.927103e-01,1,2.927103e-01,1,9,332,2
E,7,1.533815e-01,1,2.927103e-01,1,8,362,4
E,7,2.927103e-01,1,2.927103e-01,1,9,387,2
E,7,1.740098e-01,1,2.927103e-01,1,5,405,1
E,7,1.533815e-01,1,2.927103e-01,1,8,406,4
E,7,1.533815e-01,1,2.927103e-01,1,8,417,4
E,7,1.533815e-01,1,2.927103e-01,1,8,424,4
E,7,1.740098e-01,1,2.927103e-01,1,5,436,1
E,7,1.533815e-01,1,2.927103e-01,1,8,458,4
E,7,1.740098e-01,1,2.927103e-01,1,5,474,1
E,7,4.433355e-02,1,2.927103e-01,1,1,504,0
E,7,2.735456e-01,1,2.927103e-01,1,7,580,3
E,7,1.533815e-01,1,2.927103e-01,1,8,595,4
E,7,5.160207e-02,1,2.927103e-01,1,1,619,5
E,7,2.927103e-01,1,2.927103e-01,1,9,626,2
E,7,2.927103e-01,1,2.927103e-01,1,9,770,2
E,7,2.927103e-01,1,2.927103e-01,1,9,797,2
E,7,1.533815e-01,1,2.927103e-01,1,8,811,4
E,7,2.927103e-01,1,2.927103e-01,1,9,819,2
E,7,9.644706e-03,1,2.927103e-01,1,1,822,6
E,7,1.533815e-01,1,2.927103e-01,1,8,857,4
E,7,1.740098e-01,1,2.927103e-01,1,5,912,1
E,8,1.965527e-01,1,2.804309e-01,1,2,13,4
E,8,8.816820e-02,1,2.804309e-01,1,3,25,5
E,8,2.500649e-01,1,2.804309e-01,1,11,77,2
E,8,2.500649e-01,1,2.804309e-01,1,11,81,2
E,8,2.804309e-01,1,2.804309e-01,1,7,87,3
E,8,2.500649e-01,1,2.804309e-01,1,11,168,2
E,8,2.804309e-01,1,2.804309e-01,1,7,191,3
E,8,1.274212e-01,1,2.804309e-01,1,3,197,1
E,8,2.804309e-01,1,2.804309e-01,1,7,207,3
E,8,1.965527e-01,1,2.804309e-01,1,2,377,4
E,8,2.804309e-01,1,2.804309e-01,1,7,394,3
E,8,2.500649e-01,1,2.804309e-01,1,11,411,2
E,8,2.471867e-02,1,2.804309e-01,1,1,414,6
E,8,2.804309e-01,1,2.804309e-01,1,7,445,3
E,8,8.816820e-02,1,2.804309e-01,1,3,446,5
E,8,2.500649e-01,1,2.804309e-01,1,11,500,2
E,8,2.500649e-01,1,2.804309e-01,1,11,510,2
E,8,2.804309e-01,1,2.804309e-01,1,7,572,3
E,8,2.500649e-01,1,2.804309e-01,1,11,596,2
E,8,1.274212e-01,1,2.804309e-01,1,3,716,1
E,8,2.804309e-01,1,2.804309e-01,1,7,718,3
E,8,2.500649e-01,1,2.804309e-01,1,11,754,2
E,8,2.500649e-01,1,2.804309e-01,1,11,812,2
E,8,1.274212e-01,1,2.804309e-01,1,3,843,1
E,8,2.500649e-01,1,2.804309e-01,1,11,850,2
E,8,8.816820e-02,1,2.804309e-01,1,3,895,5
E,8,2.500649e-01,1,2.804309e-01,1,11,898,2
E,9,2.266875e-01,1,2.695213e-01,1,7,23,4
E,9,2.266875e-01,1,2.695213e-01,1,7,169,4
E,9,2.266875e-01,1,2.695213e-01,1,7,176,4
E,9,2.266875e-01,1,2.695213e-01,1,7,264,4
E,9,1.141796e-02,1,2.695213e-01,1,1,318,7
E,9,2.060029e-01,1,2.695213e-01,1,5,357,2
E,9,2.266875e-01,1,2.695213e-01,1,7,370,4
E,9,2.266875e-01,1,2.695213e-01,1,7,372,4
E,9,9.184811e-02,1,2.695213e-01,1,1,447,1
E,9,2.266875e-01,1,2.695213e-01,1,7,590,4
E,9,2.695213e-01,1,2.695213e-01,1,3,594,3
E,9,2.060029e-01,1,2.695213e-01,1,5,599,2
E,9,2.060029e-01,1,2.695213e-01,1,5,604,2
E,9,2.060029e-01,1,2.695213e-01,1,5,614,2
E,9,2.695213e-01,1,2.695213e-01,1,3,647,3
E,9,2.060029e-01,1,2.695213e-01,1,5,684,2
E,9,1.271073e-01,1,2.695213e-01,1,1,793,5
E,9,2.695213e-01,1,2.695213e-01,1,3,838,3
E,10,1.649907e-01,1,2.467012e-01,1,10,7,2
E,10,1.649907e-01,1,2.467012e-01,1,10,83,2
E,10,2.420763e-01,1,2.467012e-01,1,5,112,4
E,10,1.649907e-01,1,2.467012e-01,1,10,135,2
E,10,1.649907e-01,1,2.467012e-01,1,10,173,2
E,10,2.420763e-01,1,2.467012e-01,1,5,312,4
E,10,2.467012e-01,1,2.467012e-01,1,9,328,3
E,10,2.420763e-01,1,2.467012e-01,1,5,358,4
E,10,2.467012e-01,1,2.467012e-01,1,9,374,3
E,10,2.467012e-01,1,2.467012e-01,1,9,386,3
E,10,2.467012e-01,1,2.467012e-01,1,9,398,3
E,10,7.610943e-02,1,2.467012e-01,1,3,410,6
E,10,2.420763e-01,1,2.467012e-01,1,5,462,4
E,10,2.420763e-01,1,2.467012e-01,1,5,466,4
E,10,1.649907e-01,1,2.467012e-01,1,10,514,2
E,10,2.467012e-01,1,2.467012e-01,1,9,545,3
E,10,6.538887e-02,1,2.467012e-01,1,2,557,1
E,10,2.467012e-01,1,2.467012e-01,1,9,574,3
E,10,2.467012e-01,1,2.467012e-01,1,9,597,3
E,10,7.610943e-02,1,2.467012e-01,1,3,612,6
E,10,2.467012e-01,1,2.467012e-01,1,9,639,3
E,10,1.649907e-01,1,2.467012e-01,1,10,664,2
E,10,1.628833e-01,1,2.467012e-01,1,2,702,5
E,10,1.649907e-01,1,2.467012e-01,1,10,722,2
E,10,2.467012e-01,1,2.467012e-01,1,9,726,3
E,10,1.649907e-01,1,2.467012e-01,1,10,734,2
E,10,1.649907e-01,1,2.467012e-01,1,10,738,2
E,10,2.438616e-02,1,2.467012e-01,1,2,769,7
E,10,1.628833e-01,1,2.467012e-01,1,2,794,5
E,10,2.438616e-02,1,2.467012e-01,1,2,803,7
E,10,7.610943e-02,1,2.467012e-01,1,3,808,6
E,10,6.538887e-02,1,2.467012e-01,1,2,826,1
E,10,1.649907e-01,1,2.467012e-01,1,10,911,2
E,11,2.437379e-01,1,2.437379e-01,1,8,37,4
E,11,2.173452e-01,1,2.437379e-01,1,7,72,3
E,11,1.072846e-01,1,2.437379e-01,1,6,114,6
E,11,1.292069e-01,1,2.437379e-01,1,12,134,2
E,11,1.292069e-01,1,2.437379e-01,1,12,146,2
E,11,1.072846e-01,1,2.437379e-01,1,6,153,6
E,11,1.292069e-01,1,2.437379e-01,1,12,180,2
E,11,2.173452e-01,1,2.437379e-01,1,7,187,3
E,11,4.608638e-02,1,2.437379e-01,1,3,234,1
E,11,2.173452e-01,1,2.437379e-01,1,7,270,3
E,11,1.292069e-01,1,2.437379e-01,1,12,329,2
E,11,2.173452e-01,1,2.437379e-01,1,7,349,3
E,11,1.913349e-01,1,2.437379e-01,1,3,401,5
E,11,2.437379e-01,1,2.437379e-01,1,8,415,4
E,11,2.437379e-01,1,2.437379e-01,1,8,416,4
E,11,4.608638e-02,1,2.437379e-01,1,3,461,1
E,11,1.292069e-01,1,2.437379e-01,1,12,464,2
E,11,1.292069e-01,1,2.437379e-01,1,12,494,2
E,11,1.292069e-01,1,2.437379e-01,1,12,506,2
E,11,2.437379e-01,1,2.437379e-01,1,8,529,4
E,11,1.072846e-01,1,2.437379e-01,1,6,542,6
E,11,1.292069e-01,1,2.437379e-01,1,12,564,2
E,11,2.173452e-01,1,2.437379e-01,1,7,605,3
E,11,2.437379e-01,1,2.437379e-01,1,8,620,4
E,11,1.072846e-01,1,2.437379e-01,1,6,642,6
E,11,1.204662e-02,1,2.437379e-01,1,1,644,8
E,11,2.173452e-01,1,2.437379e-01,1,7,667,3
E,11,2.173452e-01,1,2.437379e-01,1,7,686,3
E,11,2.437379e-01,1,2.437379e-01,1,8,701,4
E,11,4.608638e-02,1,2.437379e-01,1,3,707,1
E,11,1.072846e-01,1,2.437379e-01,1,6,714,6
E,11,1.292069e-01,1,2.437379e-01,1,12,732,2
E,11,1.292069e-01,1,2.437379e-01,1,12,736,2
E,11,1.072846e-01,1,2.437379e-01,1,6,807,6
E,11,1.913349e-01,1,2.437379e-01,1,3,836,5
E,11,1.913349e-01,1,2.437379e-01,1,3,859,5
E,11,1.292069e-01,1,2.437379e-01,1,12,860,2
E,11,2.437379e-01,1,2.437379e-01,1,8,861,4
E,11,2.437379e-01,1,2.437379e-01,1,8,871,4
E,11,1.292069e-01,1,2.437379e-01,1,12,881,2
E,12,2.101616e-01,1,2.342558e-01,1,5,8,5
E,12,9.934430e-02,1,2.342558e-01,1,5,17,2
E,12,2.342558e-01,1,2.342558e-01,1,4,42,4
E,12,6.607536e-02,1,2.342558e-01,1,3,65,7
E,12,2.101616e-01,1,2.342558e-01,1,5,91,5
E,12,1.856798e-01,1,2.342558e-01,1,6,121,3
E,12,1.856798e-01,1,2.342558e-01,1,6,133,3
E,12,9.934430e-02,1,2.342558e-01,1,5,159,2
E,12,2.342558e-01,1,2.342558e-01,1,4,188,4
E,12,3.221345e-02,1,2.342558e-01,1,1,210,1
E,12,6.607536e-02,1,2.342558e-01,1,3,298,7
E,12,2.342558e-01,1,2.342558e-01,1,4,310,4
