aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.794058e-01,1,8.794058e-01,1,26,91,0
E,1,8.794058e-01,1,8.794058e-01,1,26,92,0
E,1,8.794058e-01,1,8.794058e-01,1,26,146,0
E,1,1.205942e-01,1,8.794058e-01,1,6,194,0
E,1,8.794058e-01,1,8.794058e-01,1,26,291,0
E,1,8.794058e-01,1,8.794058e-01,1,26,355,0
E,1,8.794058e-01,1,8.794058e-01,1,26,374,0
E,1,1.205942e-01,1,8.794058e-01,1,6,379,0
E,1,8.794058e-01,1,8.794058e-01,1,26,450,0
E,1,8.794058e-01,1,8.794058e-01,1,26,531,0
E,1,8.794058e-01,1,8.794058e-01,1,26,571,0
E,1,1.205942e-01,1,8.794058e-01,1,6,583,0
E,1,8.794058e-01,1,8.794058e-01,1,26,803,0
E,1,8.794058e-01,1,8.794058e-01,1,26,814,0
E,1,1.205942e-01,1,8.794058e-01,1,6,822,0
E,1,8.794058e-01,1,8.794058e-01,1,26,877,0
E,1,8.794058e-01,1,8.794058e-01,1,26,903,0
E,1,8.794058e-01,1,8.794058e-01,1,26,1002,0
E,1,8.794058e-01,1,8.794058e-01,1,26,1039,0
E,1,8.794058e-01,1,8.794058e-01,1,26,1136,0
E,1,8.794058e-01,1,8.794058e-01,1,26,1320,0
E,1,1.205942e-01,1,8.794058e-01,1,6,1652,0
E,1,8.794058e-01,1,8.794058e-01,1,26,1664,0
E,1,1.205942e-01,1,8.794058e-01,1,6,1718,0
E,1,8.794058e-01,1,8.794058e-01,1,26,1740,0
E,1,8.794058e-01,1,8.794058e-01,1,26,1750,0
E,1,8.794058e-01,1,8.794058e-01,1,26,1797,0
E,1,8.794058e-01,1,8.794058e-01,1,26,1844,0
E,1,8.794058e-01,1,8.794058e-01,1,26,1905,0
E,1,8.794058e-01,1,8.794058e-01,1,26,1933,0
E,1,8.794058e-01,1,8.794058e-01,1,26,1988,0
E,1,8.794058e-01,1,8.794058e-01,1,26,2186,0
E,2,2.121024e-01,1,7.733546e-01,1,7,97,1
E,2,7.733546e-01,1,7.733546e-01,1,28,134,1
E,2,7.733546e-01,1,7.733546e-01,1,28,156,1
E,2,2.121024e-01,1,7.733546e-01,1,7,320,1
E,2,7.733546e-01,1,7.733546e-01,1,28,371,1
E,2,7.733546e-01,1,7.733546e-01,1,28,394,1
E,2,7.733546e-01,1,7.733546e-01,1,28,529,1
E,2,7.733546e-01,1,7.733546e-01,1,28,592,1
E,2,7.733546e-01,1,7.733546e-01,1,28,593,1
E,2,7.733546e-01,1,7.733546e-01,1,28,595,1
E,2,7.733546e-01,1,7.733546e-01,1,28,860,1
E,2,7.733546e-01,1,7.733546e-01,1,28,872,1
E,2,7.733546e-01,1,7.733546e-01,1,28,886,1
E,2,7.733546e-01,1,7.733546e-01,1,28,1059,1
E,2,2.121024e-01,1,7.733546e-01,1,7,1094,1
E,2,7.733546e-01,1,7.733546e-01,1,28,1114,1
E,2,7.733546e-01,1,7.733546e-01,1,28,1225,1
E,2,7.733546e-01,1,7.733546e-01,1,28,1282,1
E,2,2.121024e-01,1,7.733546e-01,1,7,1301,1
E,2,7.733546e-01,1,7.733546e-01,1,28,1441,1
E,2,7.733546e-01,1,7.733546e-01,1,28,1518,1
E,2,7.733546e-01,1,7.733546e-01,1,28,1544,1
E,2,7.733546e-01,1,7.733546e-01,1,28,1636,1
E,2,7.733546e-01,1,7.733546e-01,1,28,1805,1
E,2,7.733546e-01,1,7.733546e-01,1,28,1858,1
E,2,7.733546e-01,1,7.733546e-01,1,28,1992,1
E,2,7.733546e-01,1,7.733546e-01,1,28,2014,1
E,2,2.121024e-01,1,7.733546e-01,1,7,2107,1
E,2,2.121024e-01,1,7.733546e-01,1,7,2112,1
E,2,7.733546e-01,1,7.733546e-01,1,28,2115,1
E,2,7.733546e-01,1,7.733546e-01,1,28,2168,1
E,2,7.733546e-01,1,7.733546e-01,1,28,2236,1
E,2,7.733546e-01,1,7.733546e-01,1,28,2294,1
E,2,2.121024e-01,1,7.733546e-01,1,7,2340,1
E,2,7.733546e-01,1,7.733546e-01,1,28,2463,1
E,3,6.800926e-01,1,6.800926e-01,1,30,23,0
E,3,6.800926e-01,1,6.800926e-01,1,30,31,0
E,3,6.800926e-01,1,6.800926e-01,1,30,35,0
E,3,6.800926e-01,1,6.800926e-01,1,30,69,0
E,3,6.800926e-01,1,6.800926e-01,1,30,88,0
E,3,6.800926e-01,1,6.800926e-01,1,30,199,0
E,3,2.797861e-01,1,6.800926e-01,1,9,239,0
E,3,6.800926e-01,1,6.800926e-01,1,30,356,0
E,3,6.800926e-01,1,6.800926e-01,1,30,377,0
E,3,6.800926e-01,1,6.800926e-01,1,30,391,0
E,3,2.797861e-01,1,6.800926e-01,1,9,455,0
E,3,6.800926e-01,1,6.800926e-01,1,30,461,0
E,3,6.800926e-01,1,6.800926e-01,1,30,500,0
E,3,2.797861e-01,1,6.800926e-01,1,9,553,0
E,3,6.800926e-01,1,6.800926e-01,1,30,655,0
