aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.805544e-01,1,5.194456e-01,1,12,250,1
E,1,4.805544e-01,1,5.194456e-01,1,12,307,1
E,1,5.194456e-01,1,5.194456e-01,1,16,476,0
E,1,5.194456e-01,1,5.194456e-01,1,16,565,0
E,1,5.194456e-01,1,5.194456e-01,1,16,619,0
E,1,5.194456e-01,1,5.194456e-01,1,16,656,0
E,1,4.805544e-01,1,5.194456e-01,1,12,703,1
E,1,5.194456e-01,1,5.194456e-01,1,16,727,0
E,1,4.805544e-01,1,5.194456e-01,1,12,795,1
E,1,4.805544e-01,1,5.194456e-01,1,12,800,1
E,1,5.194456e-01,1,5.194456e-01,1,16,820,0
E,1,4.805544e-01,1,5.194456e-01,1,12,877,1
E,1,4.805544e-01,1,5.194456e-01,1,12,917,1
E,1,5.194456e-01,1,5.194456e-01,1,16,1028,0
E,1,5.194456e-01,1,5.194456e-01,1,16,1036,0
E,1,4.805544e-01,1,5.194456e-01,1,12,1073,1
E,1,5.194456e-01,1,5.194456e-01,1,16,1201,0
E,1,5.194456e-01,1,5.194456e-01,1,16,1228,0
E,1,4.805544e-01,1,5.194456e-01,1,12,1271,1
E,1,5.194456e-01,1,5.194456e-01,1,16,1284,0
E,1,4.805544e-01,1,5.194456e-01,1,12,1292,1
E,1,5.194456e-01,1,5.194456e-01,1,16,1310,0
E,1,5.194456e-01,1,5.194456e-01,1,16,1330,0
E,1,5.194456e-01,1,5.194456e-01,1,16,1350,0
E,1,4.805544e-01,1,5.194456e-01,1,12,1662,1
E,1,4.805544e-01,1,5.194456e-01,1,12,1673,1
E,1,5.194456e-01,1,5.194456e-01,1,16,2054,0
E,1,5.194456e-01,1,5.194456e-01,1,16,2083,0
E,2,2.309325e-01,1,4.992437e-01,1,5,83,2
E,2,4.992437e-01,1,4.992437e-01,1,21,239,1
E,2,2.309325e-01,1,4.992437e-01,1,5,288,2
E,2,2.698237e-01,1,4.992437e-01,1,7,382,0
E,2,4.992437e-01,1,4.992437e-01,1,21,389,1
E,2,4.992437e-01,1,4.992437e-01,1,21,480,1
E,2,4.992437e-01,1,4.992437e-01,1,21,482,1
E,2,2.309325e-01,1,4.992437e-01,1,5,536,2
E,2,4.992437e-01,1,4.992437e-01,1,21,569,1
E,2,2.698237e-01,1,4.992437e-01,1,7,582,0
E,2,4.992437e-01,1,4.992437e-01,1,21,622,1
E,2,4.992437e-01,1,4.992437e-01,1,21,655,1
E,2,4.992437e-01,1,4.992437e-01,1,21,672,1
E,2,2.309325e-01,1,4.992437e-01,1,5,678,2
E,2,2.698237e-01,1,4.992437e-01,1,7,1052,0
E,2,2.698237e-01,1,4.992437e-01,1,7,1105,0
E,2,4.992437e-01,1,4.992437e-01,1,21,1162,1
E,2,4.992437e-01,1,4.992437e-01,1,21,1202,1
E,2,2.698237e-01,1,4.992437e-01,1,7,1217,0
E,2,4.992437e-01,1,4.992437e-01,1,21,1270,1
E,2,4.992437e-01,1,4.992437e-01,1,21,1274,1
E,2,4.992437e-01,1,4.992437e-01,1,21,1289,1
E,2,2.309325e-01,1,4.992437e-01,1,5,1291,2
E,2,4.992437e-01,1,4.992437e-01,1,21,1418,1
E,2,4.992437e-01,1,4.992437e-01,1,21,1558,1
E,2,2.698237e-01,1,4.992437e-01,1,7,1686,0
E,2,4.992437e-01,1,4.992437e-01,1,21,1751,1
E,2,4.992437e-01,1,4.992437e-01,1,21,1779,1
E,2,4.992437e-01,1,4.992437e-01,1,21,1868,1
E,2,2.698237e-01,1,4.992437e-01,1,7,1878,0
E,2,4.992437e-01,1,4.992437e-01,1,21,1913,1
E,2,4.992437e-01,1,4.992437e-01,1,21,1924,1
E,2,4.992437e-01,1,4.992437e-01,1,21,1953,1
E,3,3.889949e-01,1,3.889949e-01,1,12,91,1
E,3,1.109757e-01,1,3.889949e-01,1,7,130,3
E,3,3.598707e-01,1,3.889949e-01,1,15,247,2
E,3,3.598707e-01,1,3.889949e-01,1,15,281,2
E,3,3.889949e-01,1,3.889949e-01,1,12,373,1
E,3,3.598707e-01,1,3.889949e-01,1,15,374,2
E,3,1.401587e-01,1,3.889949e-01,1,5,394,0
E,3,3.889949e-01,1,3.889949e-01,1,12,414,1
E,3,1.109757e-01,1,3.889949e-01,1,7,437,3
E,3,1.401587e-01,1,3.889949e-01,1,5,542,0
E,3,1.109757e-01,1,3.889949e-01,1,7,589,3
E,3,3.889949e-01,1,3.889949e-01,1,12,651,1
E,3,1.109757e-01,1,3.889949e-01,1,7,665,3
E,3,3.889949e-01,1,3.889949e-01,1,12,824,1
E,3,3.598707e-01,1,3.889949e-01,1,15,826,2
E,3,3.598707e-01,1,3.889949e-01,1,15,832,2
E,3,3.889949e-01,1,3.889949e-01,1,12,872,1
E,3,3.598707e-01,1,3.889949e-01,1,15,891,2
E,3,3.598707e-01,1,3.889949e-01,1,15,892,2
E,3,3.889949e-01,1,3.889949e-01,1,12,909,1
E,3,3.889949e-01,1,3.889949e-01,1,12,961,1
E,3,1.109757e-01,1,3.889949e-01,1,7,1047,3
E,3,3.889949e-01,1,3.889949e-01,1,12,1133,1
E,3,1.109757e-01,1,3.889949e-01,1,7,1144,3
E,3,3.598707e-01,1,3.889949e-01,1,15,1182,2
E,3,3.598707e-01,1,3.889949e-01,1,15,1343,2
E,3,3.598707e-01,1,3.889949e-01,1,15,1352,2
E,3,3.598707e-01,1,3.889949e-01,1,15,1420,2
E,3,3.598707e-01,1,3.889949e-01,1,15,1538,2
E,3,1.109757e-01,1,3.889949e-01,1,7,1562,3
E,3,3.889949e-01,1,3.889949e-01,1,12,1564,1
E,3,1.401587e-01,1,3.889949e-01,1,5,1571,0
E,3,3.598707e-01,1,3.889949e-01,1,15,1645,2
E,3,1.401587e-01,1,3.889949e-01,1,5,1683,0
E,3,3.889949e-01,1,3.889949e-01,1,12,1768,1
E,3,3.889949e-01,1,3.889949e-01,1,12,1881,1
E,3,3.598707e-01,1,3.889949e-01,1,15,1922,2
E,3,1.401587e-01,1,3.889949e-01,1,5,2034,0
E,3,3.598707e-01,1,3.889949e-01,1,15,2040,2
E,4,7.280484e-02,1,3.738665e-01,1,8,66,0
E,4,2.305833e-01,1,3.738665e-01,1,9,129,3
E,4,2.694156e-01,1,3.738665e-01,1,13,216,1
E,4,3.738665e-01,1,3.738665e-01,1,8,320,2
E,4,2.694156e-01,1,3.738665e-01,1,13,363,1
E,4,7.280484e-02,1,3.738665e-01,1,8,398,0
E,4,2.694156e-01,1,3.738665e-01,1,13,416,1
E,4,2.694156e-01,1,3.738665e-01,1,13,578,1
E,4,3.738665e-01,1,3.738665e-01,1,8,819,2
E,4,2.305833e-01,1,3.738665e-01,1,9,910,3
E,4,2.694156e-01,1,3.738665e-01,1,13,941,1
E,4,2.305833e-01,1,3.738665e-01,1,9,963,3
E,4,7.280484e-02,1,3.738665e-01,1,8,968,0
E,4,2.694156e-01,1,3.738665e-01,1,13,1041,1
E,4,7.280484e-02,1,3.738665e-01,1,8,1076,0
