aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.479331e-01,1,5.479331e-01,1,7,22,0
E,1,5.479331e-01,1,5.479331e-01,1,7,491,0
E,1,5.479331e-01,1,5.479331e-01,1,7,738,0
E,1,4.520669e-01,1,5.479331e-01,1,6,919,1
E,1,5.479331e-01,1,5.479331e-01,1,7,1073,0
E,1,4.520669e-01,1,5.479331e-01,1,6,1089,1
E,1,4.520669e-01,1,5.479331e-01,1,6,1256,1
E,1,4.520669e-01,1,5.479331e-01,1,6,1275,1
E,1,4.520669e-01,1,5.479331e-01,1,6,1464,1
E,1,5.479331e-01,1,5.479331e-01,1,7,1853,0
E,1,5.479331e-01,1,5.479331e-01,1,7,1920,0
E,1,5.479331e-01,1,5.479331e-01,1,7,1946,0
E,1,4.520669e-01,1,5.479331e-01,1,6,2081,1
E,2,2.043645e-01,1,4.954048e-01,1,5,201,2
E,2,4.954048e-01,1,4.954048e-01,1,12,282,1
E,2,4.954048e-01,1,4.954048e-01,1,12,356,1
E,2,2.043645e-01,1,4.954048e-01,1,5,364,2
E,2,4.954048e-01,1,4.954048e-01,1,12,416,1
E,2,3.002307e-01,1,4.954048e-01,1,4,446,0
E,2,4.954048e-01,1,4.954048e-01,1,12,466,1
E,2,3.002307e-01,1,4.954048e-01,1,4,541,0
E,2,4.954048e-01,1,4.954048e-01,1,12,652,1
E,2,4.954048e-01,1,4.954048e-01,1,12,674,1
E,2,4.954048e-01,1,4.954048e-01,1,12,743,1
E,2,3.002307e-01,1,4.954048e-01,1,4,755,0
E,2,4.954048e-01,1,4.954048e-01,1,12,774,1
E,2,2.043645e-01,1,4.954048e-01,1,5,899,2
E,2,4.954048e-01,1,4.954048e-01,1,12,992,1
E,2,4.954048e-01,1,4.954048e-01,1,12,1042,1
E,2,3.002307e-01,1,4.954048e-01,1,4,1541,0
E,2,2.043645e-01,1,4.954048e-01,1,5,1542,2
E,2,4.954048e-01,1,4.954048e-01,1,12,1695,1
E,2,4.954048e-01,1,4.954048e-01,1,12,1727,1
E,2,2.043645e-01,1,4.954048e-01,1,5,1769,2
E,3,3.359342e-01,1,4.071731e-01,1,13,13,2
E,3,3.359342e-01,1,4.071731e-01,1,13,44,2
E,3,4.071731e-01,1,4.071731e-01,1,13,82,1
E,3,9.238642e-02,1,4.071731e-01,1,4,140,3
E,3,4.071731e-01,1,4.071731e-01,1,13,205,1
E,3,3.359342e-01,1,4.071731e-01,1,13,219,2
E,3,1.645063e-01,1,4.071731e-01,1,7,269,0
E,3,1.645063e-01,1,4.071731e-01,1,7,436,0
E,3,9.238642e-02,1,4.071731e-01,1,4,456,3
E,3,3.359342e-01,1,4.071731e-01,1,13,469,2
E,3,3.359342e-01,1,4.071731e-01,1,13,493,2
E,3,4.071731e-01,1,4.071731e-01,1,13,534,1
E,3,4.071731e-01,1,4.071731e-01,1,13,617,1
E,3,4.071731e-01,1,4.071731e-01,1,13,627,1
E,3,4.071731e-01,1,4.071731e-01,1,13,725,1
E,3,3.359342e-01,1,4.071731e-01,1,13,760,2
E,3,9.238642e-02,1,4.071731e-01,1,4,812,3
E,3,3.359342e-01,1,4.071731e-01,1,13,884,2
E,3,4.071731e-01,1,4.071731e-01,1,13,932,1
E,3,1.645063e-01,1,4.071731e-01,1,7,937,0
E,3,3.359342e-01,1,4.071731e-01,1,13,972,2
E,3,1.645063e-01,1,4.071731e-01,1,7,1041,0
E,3,3.359342e-01,1,4.071731e-01,1,13,1166,2
E,3,3.359342e-01,1,4.071731e-01,1,13,1261,2
E,3,3.359342e-01,1,4.071731e-01,1,13,1373,2
E,3,4.071731e-01,1,4.071731e-01,1,13,1405,1
E,3,3.359342e-01,1,4.071731e-01,1,13,1422,2
E,3,1.645063e-01,1,4.071731e-01,1,7,1443,0
E,3,4.071731e-01,1,4.071731e-01,1,13,1474,1
E,3,4.071731e-01,1,4.071731e-01,1,13,1641,1
E,3,4.071731e-01,1,4.071731e-01,1,13,1681,1
E,3,9.238642e-02,1,4.071731e-01,1,4,1694,3
E,3,1.645063e-01,1,4.071731e-01,1,7,1721,0
E,3,4.071731e-01,1,4.071731e-01,1,13,1790,1
E,3,3.359342e-01,1,4.071731e-01,1,13,1892,2
E,3,4.071731e-01,1,4.071731e-01,1,13,1998,1
E,3,1.645063e-01,1,4.071731e-01,1,7,2029,0
E,4,3.681389e-01,1,3.681389e-01,1,19,12,2
E,4,9.013847e-02,1,3.681389e-01,1,6,21,0
E,4,3.681389e-01,1,3.681389e-01,1,19,47,2
E,4,3.681389e-01,1,3.681389e-01,1,19,51,2
E,4,9.013847e-02,1,3.681389e-01,1,6,81,0
E,4,3.681389e-01,1,3.681389e-01,1,19,112,2
E,4,2.024863e-01,1,3.681389e-01,1,8,181,3
E,4,3.681389e-01,1,3.681389e-01,1,19,350,2
E,4,3.681389e-01,1,3.681389e-01,1,19,377,2
E,4,2.024863e-01,1,3.681389e-01,1,8,395,3
E,4,2.974715e-01,1,3.681389e-01,1,9,424,1
E,4,3.681389e-01,1,3.681389e-01,1,19,488,2
E,4,2.974715e-01,1,3.681389e-01,1,9,497,1
E,4,3.681389e-01,1,3.681389e-01,1,19,505,2
E,4,4.176484e-02,1,3.681389e-01,1,1,554,4
E,4,2.024863e-01,1,3.681389e-01,1,8,741,3
E,4,3.681389e-01,1,3.681389e-01,1,19,791,2
E,4,2.974715e-01,1,3.681389e-01,1,9,847,1
E,4,3.681389e-01,1,3.681389e-01,1,19,850,2
E,4,9.013847e-02,1,3.681389e-01,1,6,982,0
E,4,3.681389e-01,1,3.681389e-01,1,19,1015,2
E,4,3.681389e-01,1,3.681389e-01,1,19,1152,2
E,4,3.681389e-01,1,3.681389e-01,1,19,1154,2
E,4,2.974715e-01,1,3.681389e-01,1,9,1157,1
E,4,3.681389e-01,1,3.681389e-01,1,19,1180,2
E,4,2.024863e-01,1,3.681389e-01,1,8,1247,3
E,4,2.024863e-01,1,3.681389e-01,1,8,1276,3
E,4,9.013847e-02,1,3.681389e-01,1,6,1446,0
E,4,9.013847e-02,1,3.681389e-01,1,6,1447,0
E,4,2.024863e-01,1,3.681389e-01,1,8,1467,3
E,4,2.974715e-01,1,3.681389e-01,1,9,1574,1
E,4,2.974715e-01,1,3.681389e-01,1,9,1697,1
E,4,2.974715e-01,1,3.681389e-01,1,9,1704,1
E,4,3.681389e-01,1,3.681389e-01,1,19,1713,2
E,4,2.974715e-01,1,3.681389e-01,1,9,1724,1
E,4,2.024863e-01,1,3.681389e-01,1,8,1768,3
E,4,3.681389e-01,1,3.681389e-01,1,19,1808,2
E,4,2.974715e-01,1,3.681389e-01,1,9,1891,1
E,4,2.024863e-01,1,3.681389e-01,1,8,1953,3
E,4,3.681389e-01,1,3.681389e-01,1,19,1959,2
E,4,9.013847e-02,1,3.681389e-01,1,6,1993,0
E,4,3.681389e-01,1,3.681389e-01,1,19,2055,2
E,4,3.681389e-01,1,3.681389e-01,1,19,2090,2
E,5,2.773724e-01,1,3.361925e-01,1,15,40,3
E,5,2.037431e-01,1,3.361925e-01,1,11,65,1
E,5,2.773724e-01,1,3.361925e-01,1,15,124,3
E,5,1.144217e-01,1,3.361925e-01,1,4,148,4
E,5,3.361925e-01,1,3.361925e-01,1,16,169,2
E,5,4.938985e-02,1,3.361925e-01,1,6,171,0
E,5,2.773724e-01,1,3.361925e-01,1,15,189,3
E,5,2.773724e-01,1,3.361925e-01,1,15,198,3
E,5,4.938985e-02,1,3.361925e-01,1,6,223,0
E,5,3.361925e-01,1,3.361925e-01,1,16,252,2
E,5,2.773724e-01,1,3.361925e-01,1,15,360,3
E,5,3.361925e-01,1,3.361925e-01,1,16,365,2
E,5,1.888050e-02,1,3.361925e-01,1,2,439,5
E,5,4.938985e-02,1,3.361925e-01,1,6,461,0
E,5,3.361925e-01,1,3.361925e-01,1,16,607,2
E,5,2.037431e-01,1,3.361925e-01,1,11,651,1
E,5,2.773724e-01,1,3.361925e-01,1,15,670,3
E,5,4.938985e-02,1,3.361925e-01,1,6,711,0
E,5,2.037431e-01,1,3.361925e-01,1,11,750,1
E,5,2.773724e-01,1,3.361925e-01,1,15,837,3
E,5,3.361925e-01,1,3.361925e-01,1,16,862,2
E,5,2.037431e-01,1,3.361925e-01,1,11,890,1
E,5,3.361925e-01,1,3.361925e-01,1,16,940,2
E,5,1.144217e-01,1,3.361925e-01,1,4,953,4
E,5,2.773724e-01,1,3.361925e-01,1,15,1021,3
E,5,3.361925e-01,1,3.361925e-01,1,16,1143,2
E,5,4.938985e-02,1,3.361925e-01,1,6,1151,0
E,5,2.037431e-01,1,3.361925e-01,1,11,1178,1
E,5,3.361925e-01,1,3.361925e-01,1,16,1205,2
E,5,3.361925e-01,1,3.361925e-01,1,16,1218,2
E,5,3.361925e-01,1,3.361925e-01,1,16,1277,2
E,5,3.361925e-01,1,3.361925e-01,1,16,1302,2
E,5,3.361925e-01,1,3.361925e-01,1,16,1361,2
E,5,3.361925e-01,1,3.361925e-01,1,16,1380,2
E,5,2.037431e-01,1,3.361925e-01,1,11,1462,1
E,5,1.144217e-01,1,3.361925e-01,1,4,1537,4
E,5,2.037431e-01,1,3.361925e-01,1,11,1546,1
E,5,2.037431e-01,1,3.361925e-01,1,11,1554,1
E,5,2.037431e-01,1,3.361925e-01,1,11,1565,1
E,5,2.773724e-01,1,3.361925e-01,1,15,1642,3
E,5,2.773724e-01,1,3.361925e-01,1,15,1655,3
E,5,3.361925e-01,1,3.361925e-01,1,16,1656,2
E,5,2.773724e-01,1,3.361925e-01,1,15,1678,3
E,5,2.037431e-01,1,3.361925e-01,1,11,1701,1
E,5,1.144217e-01,1,3.361925e-01,1,4,1737,4
E,5,2.773724e-01,1,3.361925e-01,1,15,1801,3
E,5,2.773724e-01,1,3.361925e-01,1,15,1838,3
E,5,4.938985e-02,1,3.361925e-01,1,6,1843,0
E,5,3.361925e-01,1,3.361925e-01,1,16,1887,2
E,5,2.773724e-01,1,3.361925e-01,1,15,1896,3
E,5,2.773724e-01,1,3.361925e-01,1,15,1956,3
E,5,2.037431e-01,1,3.361925e-01,1,11,2004,1
E,5,3.361925e-01,1,3.361925e-01,1,16,2019,2
E,5,1.888050e-02,1,3.361925e-01,1,2,2072,5
E,6,1.880863e-01,1,3.039630e-01,1,18,102,4
E,6,1.339651e-01,1,3.039630e-01,1,6,113,1
E,6,3.039630e-01,1,3.039630e-01,1,13,176,3
E,6,3.039630e-01,1,3.039630e-01,1,13,183,3
E,6,1.880863e-01,1,3.039630e-01,1,18,184,4
E,6,1.880863e-01,1,3.039630e-01,1,18,226,4
E,6,1.880863e-01,1,3.039630e-01,1,18,256,4
E,6,1.339651e-01,1,3.039630e-01,1,6,290,1
E,6,2.763165e-01,1,3.039630e-01,1,7,483,2
E,6,2.763165e-01,1,3.039630e-01,1,7,498,2
E,6,1.880863e-01,1,3.039630e-01,1,18,597,4
E,6,2.706233e-02,1,3.039630e-01,1,2,629,0
E,6,3.039630e-01,1,3.039630e-01,1,13,638,3
E,6,2.763165e-01,1,3.039630e-01,1,7,697,2
E,6,1.880863e-01,1,3.039630e-01,1,18,747,4
E,6,3.039630e-01,1,3.039630e-01,1,13,759,3
E,6,3.039630e-01,1,3.039630e-01,1,13,854,3
E,6,1.880863e-01,1,3.039630e-01,1,18,870,4
E,6,3.039630e-01,1,3.039630e-01,1,13,912,3
E,6,1.880863e-01,1,3.039630e-01,1,18,942,4
E,6,2.706233e-02,1,3.039630e-01,1,2,954,0
E,6,1.880863e-01,1,3.039630e-01,1,18,957,4
E,6,3.039630e-01,1,3.039630e-01,1,13,960,3
E,6,6.207151e-02,1,3.039630e-01,1,6,996,5
E,6,3.039630e-01,1,3.039630e-01,1,13,1005,3
E,6,1.880863e-01,1,3.039630e-01,1,18,1009,4
E,6,2.763165e-01,1,3.039630e-01,1,7,1031,2
E,6,1.880863e-01,1,3.039630e-01,1,18,1090,4
E,6,2.763165e-01,1,3.039630e-01,1,7,1207,2
E,6,1.880863e-01,1,3.039630e-01,1,18,1220,4
E,6,1.339651e-01,1,3.039630e-01,1,6,1278,1
E,6,6.207151e-02,1,3.039630e-01,1,6,1307,5
E,6,1.880863e-01,1,3.039630e-01,1,18,1309,4
E,6,6.207151e-02,1,3.039630e-01,1,6,1379,5
E,6,1.339651e-01,1,3.039630e-01,1,6,1394,1
E,6,3.039630e-01,1,3.039630e-01,1,13,1547,3
E,6,1.880863e-01,1,3.039630e-01,1,18,1640,4
E,6,1.880863e-01,1,3.039630e-01,1,18,1658,4
E,6,3.039630e-01,1,3.039630e-01,1,13,1668,3
E,6,3.039630e-01,1,3.039630e-01,1,13,1688,3
E,6,6.207151e-02,1,3.039630e-01,1,6,1718,5
E,6,6.207151e-02,1,3.039630e-01,1,6,1723,5
E,6,3.039630e-01,1,3.039630e-01,1,13,1734,3
E,6,2.763165e-01,1,3.039630e-01,1,7,1759,2
E,6,3.039630e-01,1,3.039630e-01,1,13,1789,3
E,6,2.763165e-01,1,3.039630e-01,1,7,1811,2
E,6,1.880863e-01,1,3.039630e-01,1,18,1824,4
E,6,1.880863e-01,1,3.039630e-01,1,18,1837,4
E,6,1.339651e-01,1,3.039630e-01,1,6,1921,1
E,6,1.339651e-01,1,3.039630e-01,1,6,2005,1
E,6,6.207151e-02,1,3.039630e-01,1,6,2074,5
E,6,1.880863e-01,1,3.039630e-01,1,18,2095,4
E,7,2.119641e-01,1,2.914649e-01,1,15,16,2
E,7,1.190386e-01,1,2.914649e-01,1,6,29,5
E,7,2.914649e-01,1,2.914649e-01,1,20,49,3
E,7,2.914649e-01,1,2.914649e-01,1,20,158,3
E,7,1.190386e-01,1,2.914649e-01,1,6,166,5
E,7,2.404703e-01,1,2.914649e-01,1,7,178,4
