aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,3.597292e-01,1,6.402708e-01,1,2,189,1
E,1,6.402708e-01,1,6.402708e-01,1,6,243,0
E,1,6.402708e-01,1,6.402708e-01,1,6,294,0
E,1,6.402708e-01,1,6.402708e-01,1,6,416,0
E,1,6.402708e-01,1,6.402708e-01,1,6,643,0
E,1,6.402708e-01,1,6.402708e-01,1,6,788,0
E,1,3.597292e-01,1,6.402708e-01,1,2,810,1
E,1,6.402708e-01,1,6.402708e-01,1,6,820,0
E,2,4.099467e-01,1,4.606482e-01,1,6,2,0
E,2,4.099467e-01,1,4.606482e-01,1,6,79,0
E,2,4.606482e-01,1,4.606482e-01,1,7,85,1
E,2,4.606482e-01,1,4.606482e-01,1,7,115,1
E,2,1.294051e-01,1,4.606482e-01,1,1,227,2
E,2,4.606482e-01,1,4.606482e-01,1,7,298,1
E,2,4.606482e-01,1,4.606482e-01,1,7,338,1
E,2,4.099467e-01,1,4.606482e-01,1,6,405,0
E,2,4.099467e-01,1,4.606482e-01,1,6,439,0
E,2,4.099467e-01,1,4.606482e-01,1,6,443,0
E,2,4.606482e-01,1,4.606482e-01,1,7,460,1
E,2,4.099467e-01,1,4.606482e-01,1,6,482,0
E,2,4.606482e-01,1,4.606482e-01,1,7,836,1
E,2,4.606482e-01,1,4.606482e-01,1,7,855,1
E,3,2.485629e-01,1,4.424094e-01,1,5,155,2
E,3,2.485629e-01,1,4.424094e-01,1,5,157,2
E,3,4.424094e-01,1,4.424094e-01,1,5,169,1
E,3,2.624769e-01,1,4.424094e-01,1,3,226,0
E,3,2.485629e-01,1,4.424094e-01,1,5,261,2
E,3,4.424094e-01,1,4.424094e-01,1,5,315,1
E,3,2.624769e-01,1,4.424094e-01,1,3,341,0
E,3,2.485629e-01,1,4.424094e-01,1,5,353,2
E,3,4.424094e-01,1,4.424094e-01,1,5,379,1
E,3,2.485629e-01,1,4.424094e-01,1,5,420,2
E,3,4.424094e-01,1,4.424094e-01,1,5,563,1
E,3,4.424094e-01,1,4.424094e-01,1,5,615,1
E,3,2.624769e-01,1,4.424094e-01,1,3,802,0
E,4,3.776824e-01,1,3.776824e-01,1,7,7,1
E,4,3.776824e-01,1,3.776824e-01,1,7,114,1
E,4,3.776824e-01,1,3.776824e-01,1,7,166,1
E,4,1.192204e-01,1,3.776824e-01,1,4,212,3
E,4,3.182951e-01,1,3.776824e-01,1,3,320,2
E,4,3.776824e-01,1,3.776824e-01,1,7,355,1
E,4,3.182951e-01,1,3.776824e-01,1,3,435,2
E,4,1.192204e-01,1,3.776824e-01,1,4,451,3
E,4,1.680563e-01,1,3.776824e-01,1,1,508,0
E,4,3.776824e-01,1,3.776824e-01,1,7,513,1
E,4,1.192204e-01,1,3.776824e-01,1,4,518,3
E,4,3.776824e-01,1,3.776824e-01,1,7,665,1
E,4,3.182951e-01,1,3.776824e-01,1,3,783,2
E,4,1.192204e-01,1,3.776824e-01,1,4,797,3
E,4,3.776824e-01,1,3.776824e-01,1,7,814,1
E,5,3.022738e-01,1,3.396585e-01,1,7,39,1
E,5,1.908334e-01,1,3.396585e-01,1,5,70,3
E,5,1.076016e-01,1,3.396585e-01,1,1,146,0
E,5,5.360883e-02,1,3.396585e-01,1,2,184,4
E,5,3.022738e-01,1,3.396585e-01,1,7,274,1
E,5,1.908334e-01,1,3.396585e-01,1,5,334,3
E,5,3.396585e-01,1,3.396585e-01,1,3,414,2
E,5,3.396585e-01,1,3.396585e-01,1,3,418,2
E,5,1.908334e-01,1,3.396585e-01,1,5,438,3
E,5,3.022738e-01,1,3.396585e-01,1,7,444,1
E,5,3.022738e-01,1,3.396585e-01,1,7,449,1
E,5,5.360883e-02,1,3.396585e-01,1,2,495,4
E,5,3.022738e-01,1,3.396585e-01,1,7,496,1
E,5,1.908334e-01,1,3.396585e-01,1,5,506,3
E,5,3.396585e-01,1,3.396585e-01,1,3,519,2
E,5,1.908334e-01,1,3.396585e-01,1,5,524,3
E,5,3.022738e-01,1,3.396585e-01,1,7,526,1
E,5,3.022738e-01,1,3.396585e-01,1,7,847,1
E,6,2.322445e-01,1,3.262101e-01,1,6,18,1
E,6,6.889414e-02,1,3.262101e-01,1,5,192,0
E,6,1.029725e-01,1,3.262101e-01,1,4,215,4
E,6,3.262101e-01,1,3.262101e-01,1,6,219,2
E,6,2.443701e-01,1,3.262101e-01,1,2,221,3
E,6,6.889414e-02,1,3.262101e-01,1,5,275,0
E,6,1.029725e-01,1,3.262101e-01,1,4,297,4
E,6,3.262101e-01,1,3.262101e-01,1,6,317,2
E,6,6.889414e-02,1,3.262101e-01,1,5,380,0
