aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,1.513416e-01,1,8.486584e-01,1,27,199,1
E,1,8.486584e-01,1,8.486584e-01,1,93,326,0
E,1,8.486584e-01,1,8.486584e-01,1,93,347,0
E,1,8.486584e-01,1,8.486584e-01,1,93,370,0
E,1,8.486584e-01,1,8.486584e-01,1,93,421,0
E,1,8.486584e-01,1,8.486584e-01,1,93,448,0
E,1,8.486584e-01,1,8.486584e-01,1,93,490,0
E,1,8.486584e-01,1,8.486584e-01,1,93,505,0
E,1,8.486584e-01,1,8.486584e-01,1,93,557,0
E,1,8.486584e-01,1,8.486584e-01,1,93,581,0
E,1,8.486584e-01,1,8.486584e-01,1,93,662,0
E,1,1.513416e-01,1,8.486584e-01,1,27,675,1
E,1,1.513416e-01,1,8.486584e-01,1,27,682,1
E,1,8.486584e-01,1,8.486584e-01,1,93,707,0
E,1,8.486584e-01,1,8.486584e-01,1,93,736,0
E,1,8.486584e-01,1,8.486584e-01,1,93,770,0
E,1,1.513416e-01,1,8.486584e-01,1,27,784,1
E,1,8.486584e-01,1,8.486584e-01,1,93,802,0
E,1,1.513416e-01,1,8.486584e-01,1,27,871,1
E,1,8.486584e-01,1,8.486584e-01,1,93,895,0
E,1,1.513416e-01,1,8.486584e-01,1,27,941,1
E,1,1.513416e-01,1,8.486584e-01,1,27,958,1
E,1,8.486584e-01,1,8.486584e-01,1,93,961,0
E,1,8.486584e-01,1,8.486584e-01,1,93,987,0
E,1,8.486584e-01,1,8.486584e-01,1,93,1000,0
E,1,8.486584e-01,1,8.486584e-01,1,93,1010,0
E,1,8.486584e-01,1,8.486584e-01,1,93,1060,0
E,1,1.513416e-01,1,8.486584e-01,1,27,1069,1
E,1,8.486584e-01,1,8.486584e-01,1,93,1125,0
E,1,1.513416e-01,1,8.486584e-01,1,27,1188,1
E,1,1.513416e-01,1,8.486584e-01,1,27,1209,1
E,1,8.486584e-01,1,8.486584e-01,1,93,1243,0
E,1,8.486584e-01,1,8.486584e-01,1,93,1251,0
E,1,8.486584e-01,1,8.486584e-01,1,93,1295,0
E,1,8.486584e-01,1,8.486584e-01,1,93,1296,0
E,1,8.486584e-01,1,8.486584e-01,1,93,1324,0
E,1,8.486584e-01,1,8.486584e-01,1,93,1401,0
E,1,8.486584e-01,1,8.486584e-01,1,93,1416,0
E,1,8.486584e-01,1,8.486584e-01,1,93,1458,0
E,1,8.486584e-01,1,8.486584e-01,1,93,1464,0
E,1,8.486584e-01,1,8.486584e-01,1,93,1490,0
E,1,1.513416e-01,1,8.486584e-01,1,27,1565,1
E,1,8.486584e-01,1,8.486584e-01,1,93,1590,0
