aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.419364e-01,1,6.419364e-01,1,6,13,0
E,1,6.419364e-01,1,6.419364e-01,1,6,158,0
E,1,3.580636e-01,1,6.419364e-01,1,3,180,1
E,1,6.419364e-01,1,6.419364e-01,1,6,190,0
E,1,3.580636e-01,1,6.419364e-01,1,3,329,1
E,1,6.419364e-01,1,6.419364e-01,1,6,365,0
E,1,3.580636e-01,1,6.419364e-01,1,3,433,1
E,1,6.419364e-01,1,6.419364e-01,1,6,487,0
E,1,6.419364e-01,1,6.419364e-01,1,6,657,0
E,2,4.597081e-01,1,4.597081e-01,1,5,206,1
E,2,4.597081e-01,1,4.597081e-01,1,5,225,1
E,2,4.120824e-01,1,4.597081e-01,1,5,229,0
E,2,4.120824e-01,1,4.597081e-01,1,5,327,0
E,2,4.597081e-01,1,4.597081e-01,1,5,334,1
E,2,1.282095e-01,1,4.597081e-01,1,1,471,2
E,2,4.597081e-01,1,4.597081e-01,1,5,541,1
E,2,4.597081e-01,1,4.597081e-01,1,5,581,1
E,2,4.120824e-01,1,4.597081e-01,1,5,646,0
E,2,4.120824e-01,1,4.597081e-01,1,5,680,0
E,2,4.120824e-01,1,4.597081e-01,1,5,724,0
E,3,2.645307e-01,1,4.426551e-01,1,5,171,0
E,3,2.645307e-01,1,4.426551e-01,1,5,249,0
E,3,2.645307e-01,1,4.426551e-01,1,5,368,0
E,3,2.469071e-01,1,4.426551e-01,1,5,406,2
E,3,4.426551e-01,1,4.426551e-01,1,3,413,1
E,3,2.645307e-01,1,4.426551e-01,1,5,470,0
E,3,2.469071e-01,1,4.426551e-01,1,5,505,2
E,3,2.645307e-01,1,4.426551e-01,1,5,584,0
E,3,2.469071e-01,1,4.426551e-01,1,5,596,2
E,3,4.426551e-01,1,4.426551e-01,1,3,620,1
E,3,2.469071e-01,1,4.426551e-01,1,5,661,2
E,3,2.469071e-01,1,4.426551e-01,1,5,701,2
E,3,4.426551e-01,1,4.426551e-01,1,3,805,1
E,4,3.788752e-01,1,3.788752e-01,1,8,35,1
E,4,3.169973e-01,1,3.788752e-01,1,4,153,2
E,4,1.178779e-01,1,3.788752e-01,1,5,166,3
E,4,3.788752e-01,1,3.788752e-01,1,8,184,1
E,4,3.788752e-01,1,3.788752e-01,1,8,254,1
