aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,7.951144e-01,1,7.951144e-01,1,33,160,0
E,1,7.951144e-01,1,7.951144e-01,1,33,353,0
E,1,2.048856e-01,1,7.951144e-01,1,7,357,1
E,1,7.951144e-01,1,7.951144e-01,1,33,583,0
E,1,7.951144e-01,1,7.951144e-01,1,33,680,0
E,1,7.951144e-01,1,7.951144e-01,1,33,719,0
E,1,7.951144e-01,1,7.951144e-01,1,33,724,0
E,1,7.951144e-01,1,7.951144e-01,1,33,741,0
E,1,7.951144e-01,1,7.951144e-01,1,33,833,0
E,1,7.951144e-01,1,7.951144e-01,1,33,904,0
E,1,7.951144e-01,1,7.951144e-01,1,33,914,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1049,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1108,0
E,1,2.048856e-01,1,7.951144e-01,1,7,1132,1
E,1,7.951144e-01,1,7.951144e-01,1,33,1196,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1281,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1345,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1395,0
E,1,2.048856e-01,1,7.951144e-01,1,7,1409,1
E,1,7.951144e-01,1,7.951144e-01,1,33,1422,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1423,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1509,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1612,0
E,1,2.048856e-01,1,7.951144e-01,1,7,1713,1
E,1,7.951144e-01,1,7.951144e-01,1,33,1733,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1761,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1780,0
E,1,7.951144e-01,1,7.951144e-01,1,33,1861,0
E,1,2.048856e-01,1,7.951144e-01,1,7,1898,1
E,1,7.951144e-01,1,7.951144e-01,1,33,2031,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2167,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2220,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2233,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2296,0
E,1,2.048856e-01,1,7.951144e-01,1,7,2300,1
E,1,7.951144e-01,1,7.951144e-01,1,33,2371,0
E,1,7.951144e-01,1,7.951144e-01,1,33,2468,0
E,1,2.048856e-01,1,7.951144e-01,1,7,2996,1
E,1,7.951144e-01,1,7.951144e-01,1,33,3086,0
E,1,7.951144e-01,1,7.951144e-01,1,33,3122,0
E,2,6.322068e-01,1,6.322068e-01,1,42,21,0
E,2,3.258150e-01,1,6.322068e-01,1,36,61,1
E,2,3.258150e-01,1,6.322068e-01,1,36,94,1
E,2,3.258150e-01,1,6.322068e-01,1,36,114,1
E,2,3.258150e-01,1,6.322068e-01,1,36,126,1
E,2,3.258150e-01,1,6.322068e-01,1,36,132,1
E,2,3.258150e-01,1,6.322068e-01,1,36,159,1
E,2,3.258150e-01,1,6.322068e-01,1,36,235,1
E,2,6.322068e-01,1,6.322068e-01,1,42,300,0
E,2,6.322068e-01,1,6.322068e-01,1,42,521,0
E,2,6.322068e-01,1,6.322068e-01,1,42,559,0
E,2,6.322068e-01,1,6.322068e-01,1,42,621,0
E,2,6.322068e-01,1,6.322068e-01,1,42,649,0
E,2,6.322068e-01,1,6.322068e-01,1,42,722,0
