aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,7.988345e-01,1,7.988345e-01,1,64,3,0
E,1,7.988345e-01,1,7.988345e-01,1,64,50,0
E,1,7.988345e-01,1,7.988345e-01,1,64,98,0
E,1,7.988345e-01,1,7.988345e-01,1,64,110,0
E,1,2.011655e-01,1,7.988345e-01,1,15,133,0
E,1,7.988345e-01,1,7.988345e-01,1,64,135,0
E,1,7.988345e-01,1,7.988345e-01,1,64,140,0
E,1,7.988345e-01,1,7.988345e-01,1,64,172,0
E,1,7.988345e-01,1,7.988345e-01,1,64,184,0
E,1,2.011655e-01,1,7.988345e-01,1,15,210,0
E,1,7.988345e-01,1,7.988345e-01,1,64,220,0
E,1,7.988345e-01,1,7.988345e-01,1,64,221,0
E,1,7.988345e-01,1,7.988345e-01,1,64,239,0
E,1,7.988345e-01,1,7.988345e-01,1,64,240,0
E,1,7.988345e-01,1,7.988345e-01,1,64,278,0
E,1,7.988345e-01,1,7.988345e-01,1,64,291,0
E,1,2.011655e-01,1,7.988345e-01,1,15,301,0
E,1,7.988345e-01,1,7.988345e-01,1,64,332,0
E,1,7.988345e-01,1,7.988345e-01,1,64,353,0
E,1,7.988345e-01,1,7.988345e-01,1,64,392,0
E,1,7.988345e-01,1,7.988345e-01,1,64,401,0
E,1,2.011655e-01,1,7.988345e-01,1,15,409,0
E,1,7.988345e-01,1,7.988345e-01,1,64,488,0
E,1,7.988345e-01,1,7.988345e-01,1,64,527,0
E,1,7.988345e-01,1,7.988345e-01,1,64,568,0
E,1,7.988345e-01,1,7.988345e-01,1,64,577,0
E,1,7.988345e-01,1,7.988345e-01,1,64,582,0
E,1,7.988345e-01,1,7.988345e-01,1,64,583,0
E,1,2.011655e-01,1,7.988345e-01,1,15,626,0
E,1,7.988345e-01,1,7.988345e-01,1,64,646,0
E,1,7.988345e-01,1,7.988345e-01,1,64,762,0
E,1,7.988345e-01,1,7.988345e-01,1,64,824,0
