aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,15,192,1
E,1,5.000000e-01,2,5.000000e-01,2,15,392,0
E,1,5.000000e-01,2,5.000000e-01,2,15,413,1
E,1,5.000000e-01,2,5.000000e-01,2,15,435,0
E,1,5.000000e-01,2,5.000000e-01,2,15,450,0
E,1,5.000000e-01,2,5.000000e-01,2,15,461,1
E,1,5.000000e-01,2,5.000000e-01,2,15,503,1
E,1,5.000000e-01,2,5.000000e-01,2,15,880,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1175,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1498,0
E,1,5.000000e-01,2,5.000000e-01,2,15,1589,0
E,1,5.000000e-01,2,5.000000e-01,2,15,1694,0
E,1,5.000000e-01,2,5.000000e-01,2,15,1752,0
E,1,5.000000e-01,2,5.000000e-01,2,15,1859,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1860,0
E,2,5.000000e-01,1,5.000000e-01,1,14,47,1
E,2,2.500000e-01,2,5.000000e-01,1,16,48,0
E,2,5.000000e-01,1,5.000000e-01,1,14,54,1
E,2,2.500000e-01,2,5.000000e-01,1,16,125,2
E,2,2.500000e-01,2,5.000000e-01,1,16,132,0
E,2,5.000000e-01,1,5.000000e-01,1,14,269,1
E,2,5.000000e-01,1,5.000000e-01,1,14,296,1
E,2,2.500000e-01,2,5.000000e-01,1,16,372,0
E,2,2.500000e-01,2,5.000000e-01,1,16,386,2
E,2,5.000000e-01,1,5.000000e-01,1,14,408,1
E,2,2.500000e-01,2,5.000000e-01,1,16,592,0
E,2,5.000000e-01,1,5.000000e-01,1,14,752,1
E,2,5.000000e-01,1,5.000000e-01,1,14,777,1
E,2,5.000000e-01,1,5.000000e-01,1,14,784,1
E,2,2.500000e-01,2,5.000000e-01,1,16,882,0
E,2,2.500000e-01,2,5.000000e-01,1,16,940,2
E,2,2.500000e-01,2,5.000000e-01,1,16,1011,2
E,2,5.000000e-01,1,5.000000e-01,1,14,1016,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1075,0
E,2,5.000000e-01,1,5.000000e-01,1,14,1107,1
E,2,5.000000e-01,1,5.000000e-01,1,14,1220,1
E,2,5.000000e-01,1,5.000000e-01,1,14,1304,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1347,2
E,2,2.500000e-01,2,5.000000e-01,1,16,1375,0
E,2,5.000000e-01,1,5.000000e-01,1,14,1622,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1662,0
E,2,2.500000e-01,2,5.000000e-01,1,16,1688,0
E,2,2.500000e-01,2,5.000000e-01,1,16,1712,0
E,2,2.500000e-01,2,5.000000e-01,1,16,1742,0
E,2,5.000000e-01,1,5.000000e-01,1,14,1878,1
E,3,3.750000e-01,2,3.750000e-01,2,24,51,1
E,3,3.750000e-01,2,3.750000e-01,2,24,71,2
E,3,3.750000e-01,2,3.750000e-01,2,24,145,2
E,3,3.750000e-01,2,3.750000e-01,2,24,265,1
E,3,3.750000e-01,2,3.750000e-01,2,24,297,1
E,3,3.750000e-01,2,3.750000e-01,2,24,347,1
E,3,3.750000e-01,2,3.750000e-01,2,24,415,1
E,3,1.250000e-01,2,3.750000e-01,2,5,479,0
E,3,3.750000e-01,2,3.750000e-01,2,24,519,2
E,3,3.750000e-01,2,3.750000e-01,2,24,580,2
E,3,3.750000e-01,2,3.750000e-01,2,24,590,2
E,3,3.750000e-01,2,3.750000e-01,2,24,775,2
E,3,3.750000e-01,2,3.750000e-01,2,24,810,1
E,3,3.750000e-01,2,3.750000e-01,2,24,812,2
E,3,1.250000e-01,2,3.750000e-01,2,5,883,0
E,3,3.750000e-01,2,3.750000e-01,2,24,941,2
E,3,1.250000e-01,2,3.750000e-01,2,5,944,0
E,3,3.750000e-01,2,3.750000e-01,2,24,957,1
E,3,3.750000e-01,2,3.750000e-01,2,24,1048,2
E,3,3.750000e-01,2,3.750000e-01,2,24,1127,2
E,3,3.750000e-01,2,3.750000e-01,2,24,1187,1
E,3,3.750000e-01,2,3.750000e-01,2,24,1316,2
E,3,3.750000e-01,2,3.750000e-01,2,24,1342,1
E,3,1.250000e-01,2,3.750000e-01,2,5,1449,3
E,3,3.750000e-01,2,3.750000e-01,2,24,1546,1
E,3,3.750000e-01,2,3.750000e-01,2,24,1586,2
E,3,1.250000e-01,2,3.750000e-01,2,5,1736,0
E,3,3.750000e-01,2,3.750000e-01,2,24,1795,2
E,3,3.750000e-01,2,3.750000e-01,2,24,1796,2
E,4,3.750000e-01,1,3.750000e-01,1,17,19,2
E,4,3.750000e-01,1,3.750000e-01,1,17,159,2
E,4,3.750000e-01,1,3.750000e-01,1,17,205,2
E,4,2.500000e-01,2,3.750000e-01,1,11,216,3
E,4,6.250000e-02,2,3.750000e-01,1,3,462,0
E,4,2.500000e-01,2,3.750000e-01,1,11,547,3
E,4,3.750000e-01,1,3.750000e-01,1,17,714,2
E,4,3.750000e-01,1,3.750000e-01,1,17,787,2
E,4,2.500000e-01,2,3.750000e-01,1,11,852,3
E,4,2.500000e-01,2,3.750000e-01,1,11,864,1
E,4,3.750000e-01,1,3.750000e-01,1,17,881,2
E,4,3.750000e-01,1,3.750000e-01,1,17,920,2
E,4,2.500000e-01,2,3.750000e-01,1,11,950,1
E,4,3.750000e-01,1,3.750000e-01,1,17,951,2
E,4,3.750000e-01,1,3.750000e-01,1,17,1025,2
E,4,2.500000e-01,2,3.750000e-01,1,11,1197,1
E,4,6.250000e-02,2,3.750000e-01,1,3,1209,0
E,4,6.250000e-02,2,3.750000e-01,1,3,1214,4
E,4,2.500000e-01,2,3.750000e-01,1,11,1261,1
E,4,3.750000e-01,1,3.750000e-01,1,17,1320,2
E,4,3.750000e-01,1,3.750000e-01,1,17,1328,2
E,4,3.750000e-01,1,3.750000e-01,1,17,1346,2
E,4,2.500000e-01,2,3.750000e-01,1,11,1369,3
E,4,3.750000e-01,1,3.750000e-01,1,17,1474,2
E,4,2.500000e-01,2,3.750000e-01,1,11,1506,3
E,4,3.750000e-01,1,3.750000e-01,1,17,1547,2
E,4,3.750000e-01,1,3.750000e-01,1,17,1615,2
E,4,2.500000e-01,2,3.750000e-01,1,11,1702,1
E,4,2.500000e-01,2,3.750000e-01,1,11,1725,3
E,4,3.750000e-01,1,3.750000e-01,1,17,1751,2
E,4,3.750000e-01,1,3.750000e-01,1,17,1807,2
E,5,1.562500e-01,2,3.125000e-01,2,15,50,4
E,5,3.125000e-02,2,3.125000e-01,2,8,114,0
E,5,1.562500e-01,2,3.125000e-01,2,15,262,1
E,5,1.562500e-01,2,3.125000e-01,2,15,321,1
E,5,3.125000e-02,2,3.125000e-01,2,8,356,0
E,5,3.125000e-01,2,3.125000e-01,2,27,375,2
E,5,3.125000e-01,2,3.125000e-01,2,27,389,2
E,5,3.125000e-01,2,3.125000e-01,2,27,398,2
E,5,3.125000e-01,2,3.125000e-01,2,27,401,2
E,5,3.125000e-01,2,3.125000e-01,2,27,402,2
E,5,3.125000e-01,2,3.125000e-01,2,27,518,3
E,5,1.562500e-01,2,3.125000e-01,2,15,536,4
E,5,3.125000e-01,2,3.125000e-01,2,27,549,3
E,5,3.125000e-01,2,3.125000e-01,2,27,685,3
E,5,3.125000e-01,2,3.125000e-01,2,27,725,2
E,5,3.125000e-01,2,3.125000e-01,2,27,726,2
E,5,3.125000e-01,2,3.125000e-01,2,27,838,3
E,5,3.125000e-01,2,3.125000e-01,2,27,863,2
E,5,3.125000e-01,2,3.125000e-01,2,27,907,2
E,5,3.125000e-02,2,3.125000e-01,2,8,923,0
E,5,3.125000e-01,2,3.125000e-01,2,27,945,2
E,5,3.125000e-01,2,3.125000e-01,2,27,998,2
E,5,1.562500e-01,2,3.125000e-01,2,15,1030,4
E,5,3.125000e-01,2,3.125000e-01,2,27,1088,3
E,5,1.562500e-01,2,3.125000e-01,2,15,1111,1
E,5,3.125000e-01,2,3.125000e-01,2,27,1130,3
E,5,1.562500e-01,2,3.125000e-01,2,15,1153,1
E,5,3.125000e-02,2,3.125000e-01,2,8,1169,0
E,5,3.125000e-01,2,3.125000e-01,2,27,1181,3
E,5,3.125000e-02,2,3.125000e-01,2,8,1195,5
E,5,3.125000e-02,2,3.125000e-01,2,8,1221,5
E,5,3.125000e-01,2,3.125000e-01,2,27,1231,2
E,5,1.562500e-01,2,3.125000e-01,2,15,1260,1
E,5,1.562500e-01,2,3.125000e-01,2,15,1305,1
E,5,3.125000e-01,2,3.125000e-01,2,27,1306,2
E,5,1.562500e-01,2,3.125000e-01,2,15,1334,1
E,5,1.562500e-01,2,3.125000e-01,2,15,1337,1
E,5,3.125000e-01,2,3.125000e-01,2,27,1348,2
E,5,3.125000e-01,2,3.125000e-01,2,27,1374,2
E,5,1.562500e-01,2,3.125000e-01,2,15,1466,4
E,5,3.125000e-02,2,3.125000e-01,2,8,1480,0
E,5,3.125000e-01,2,3.125000e-01,2,27,1483,2
E,5,3.125000e-01,2,3.125000e-01,2,27,1487,2
E,5,1.562500e-01,2,3.125000e-01,2,15,1500,4
E,5,3.125000e-01,2,3.125000e-01,2,27,1557,2
E,5,3.125000e-01,2,3.125000e-01,2,27,1588,2
E,5,3.125000e-02,2,3.125000e-01,2,8,1647,0
E,5,1.562500e-01,2,3.125000e-01,2,15,1769,1
E,5,3.125000e-01,2,3.125000e-01,2,27,1774,2
E,5,1.562500e-01,2,3.125000e-01,2,15,1871,1
E,6,9.375000e-02,2,3.125000e-01,1,10,1,1
E,6,2.343750e-01,2,3.125000e-01,1,17,25,4
E,6,9.375000e-02,2,3.125000e-01,1,10,26,5
E,6,3.125000e-01,1,3.125000e-01,1,14,104,3
E,6,1.562500e-02,2,3.125000e-01,1,3,131,0
E,6,2.343750e-01,2,3.125000e-01,1,17,251,4
E,6,3.125000e-01,1,3.125000e-01,1,14,279,3
E,6,3.125000e-01,1,3.125000e-01,1,14,351,3
E,6,2.343750e-01,2,3.125000e-01,1,17,363,2
E,6,3.125000e-01,1,3.125000e-01,1,14,445,3
E,6,2.343750e-01,2,3.125000e-01,1,17,474,2
E,6,2.343750e-01,2,3.125000e-01,1,17,529,4
E,6,3.125000e-01,1,3.125000e-01,1,14,550,3
E,6,2.343750e-01,2,3.125000e-01,1,17,615,4
E,6,9.375000e-02,2,3.125000e-01,1,10,623,1
E,6,9.375000e-02,2,3.125000e-01,1,10,625,5
E,6,2.343750e-01,2,3.125000e-01,1,17,659,2
E,6,9.375000e-02,2,3.125000e-01,1,10,667,5
E,6,3.125000e-01,1,3.125000e-01,1,14,700,3
E,6,9.375000e-02,2,3.125000e-01,1,10,713,1
E,6,3.125000e-01,1,3.125000e-01,1,14,748,3
E,6,3.125000e-01,1,3.125000e-01,1,14,763,3
E,6,2.343750e-01,2,3.125000e-01,1,17,887,4
E,6,2.343750e-01,2,3.125000e-01,1,17,963,2
E,6,3.125000e-01,1,3.125000e-01,1,14,1079,3
E,6,2.343750e-01,2,3.125000e-01,1,17,1138,4
E,6,9.375000e-02,2,3.125000e-01,1,10,1144,5
E,6,2.343750e-01,2,3.125000e-01,1,17,1158,4
E,6,2.343750e-01,2,3.125000e-01,1,17,1193,4
E,6,2.343750e-01,2,3.125000e-01,1,17,1215,4
E,6,3.125000e-01,1,3.125000e-01,1,14,1250,3
E,6,9.375000e-02,2,3.125000e-01,1,10,1269,1
E,6,2.343750e-01,2,3.125000e-01,1,17,1323,2
E,6,3.125000e-01,1,3.125000e-01,1,14,1332,3
E,6,2.343750e-01,2,3.125000e-01,1,17,1338,4
E,6,9.375000e-02,2,3.125000e-01,1,10,1420,1
E,6,3.125000e-01,1,3.125000e-01,1,14,1430,3
E,6,3.125000e-01,1,3.125000e-01,1,14,1436,3
E,6,1.562500e-02,2,3.125000e-01,1,3,1484,6
E,6,2.343750e-01,2,3.125000e-01,1,17,1533,2
E,6,2.343750e-01,2,3.125000e-01,1,17,1581,4
E,6,9.375000e-02,2,3.125000e-01,1,10,1756,1
E,6,3.125000e-01,1,3.125000e-01,1,14,1772,3
E,6,1.562500e-02,2,3.125000e-01,1,3,1846,0
E,7,1.640625e-01,2,2.734375e-01,2,13,36,2
E,7,2.734375e-01,2,2.734375e-01,2,25,207,4
E,7,2.734375e-01,2,2.734375e-01,2,25,225,3
E,7,2.734375e-01,2,2.734375e-01,2,25,307,4
E,7,2.734375e-01,2,2.734375e-01,2,25,327,3
E,7,2.734375e-01,2,2.734375e-01,2,25,339,3
E,7,1.640625e-01,2,2.734375e-01,2,13,399,5
E,7,1.640625e-01,2,2.734375e-01,2,13,546,5
E,7,2.734375e-01,2,2.734375e-01,2,25,556,3
E,7,2.734375e-01,2,2.734375e-01,2,25,573,3
E,7,2.734375e-01,2,2.734375e-01,2,25,579,4
E,7,2.734375e-01,2,2.734375e-01,2,25,614,4
E,7,5.468750e-02,2,2.734375e-01,2,8,678,1
E,7,2.734375e-01,2,2.734375e-01,2,25,684,4
E,7,1.640625e-01,2,2.734375e-01,2,13,711,2
E,7,2.734375e-01,2,2.734375e-01,2,25,740,3
E,7,5.468750e-02,2,2.734375e-01,2,8,750,1
E,7,5.468750e-02,2,2.734375e-01,2,8,792,1
E,7,2.734375e-01,2,2.734375e-01,2,25,905,4
E,7,5.468750e-02,2,2.734375e-01,2,8,916,1
E,7,1.640625e-01,2,2.734375e-01,2,13,924,2
E,7,5.468750e-02,2,2.734375e-01,2,8,955,6
E,7,2.734375e-01,2,2.734375e-01,2,25,974,4
E,7,1.640625e-01,2,2.734375e-01,2,13,979,2
E,7,1.640625e-01,2,2.734375e-01,2,13,996,2
E,7,2.734375e-01,2,2.734375e-01,2,25,1033,4
E,7,2.734375e-01,2,2.734375e-01,2,25,1058,4
E,7,1.640625e-01,2,2.734375e-01,2,13,1131,2
E,7,5.468750e-02,2,2.734375e-01,2,8,1164,1
E,7,2.734375e-01,2,2.734375e-01,2,25,1237,3
E,7,1.640625e-01,2,2.734375e-01,2,13,1242,5
E,7,2.734375e-01,2,2.734375e-01,2,25,1274,4
E,7,2.734375e-01,2,2.734375e-01,2,25,1326,4
E,7,5.468750e-02,2,2.734375e-01,2,8,1331,1
E,7,1.640625e-01,2,2.734375e-01,2,13,1340,2
E,7,1.640625e-01,2,2.734375e-01,2,13,1341,2
E,7,2.734375e-01,2,2.734375e-01,2,25,1402,4
E,7,2.734375e-01,2,2.734375e-01,2,25,1421,3
E,7,7.812500e-03,2,2.734375e-01,2,3,1427,0
E,7,2.734375e-01,2,2.734375e-01,2,25,1438,4
E,7,7.812500e-03,2,2.734375e-01,2,3,1507,0
E,7,1.640625e-01,2,2.734375e-01,2,13,1521,2
E,7,2.734375e-01,2,2.734375e-01,2,25,1563,4
E,7,7.812500e-03,2,2.734375e-01,2,3,1580,0
E,7,2.734375e-01,2,2.734375e-01,2,25,1587,3
