aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,113,40,1
E,1,5.000000e-01,2,5.000000e-01,2,113,94,1
E,1,5.000000e-01,2,5.000000e-01,2,113,101,1
E,1,5.000000e-01,2,5.000000e-01,2,113,113,1
E,1,5.000000e-01,2,5.000000e-01,2,113,117,1
E,1,5.000000e-01,2,5.000000e-01,2,113,201,1
E,1,5.000000e-01,2,5.000000e-01,2,113,203,1
E,1,5.000000e-01,2,5.000000e-01,2,113,219,1
E,1,5.000000e-01,2,5.000000e-01,2,113,256,1
E,1,5.000000e-01,2,5.000000e-01,2,113,281,1
E,1,5.000000e-01,2,5.000000e-01,2,113,285,1
E,1,5.000000e-01,2,5.000000e-01,2,113,296,1
E,1,5.000000e-01,2,5.000000e-01,2,113,390,1
E,1,5.000000e-01,2,5.000000e-01,2,113,401,1
E,1,5.000000e-01,2,5.000000e-01,2,113,416,1
E,1,5.000000e-01,2,5.000000e-01,2,113,460,1
E,1,5.000000e-01,2,5.000000e-01,2,113,464,1
E,1,5.000000e-01,2,5.000000e-01,2,113,688,1
E,1,5.000000e-01,2,5.000000e-01,2,113,730,1
E,1,5.000000e-01,2,5.000000e-01,2,113,739,1
E,1,5.000000e-01,2,5.000000e-01,2,113,751,1
E,1,5.000000e-01,2,5.000000e-01,2,113,776,1
E,1,5.000000e-01,2,5.000000e-01,2,113,833,1
E,1,5.000000e-01,2,5.000000e-01,2,113,871,1
E,1,5.000000e-01,2,5.000000e-01,2,113,882,1
E,1,5.000000e-01,2,5.000000e-01,2,113,891,1
E,1,5.000000e-01,2,5.000000e-01,2,113,934,1
E,1,5.000000e-01,2,5.000000e-01,2,113,982,1
E,1,5.000000e-01,2,5.000000e-01,2,113,993,1
E,1,5.000000e-01,2,5.000000e-01,2,113,1040,1
E,1,5.000000e-01,2,5.000000e-01,2,113,1044,1
E,1,5.000000e-01,2,5.000000e-01,2,113,1054,1
E,1,5.000000e-01,2,5.000000e-01,2,113,1061,1
E,1,5.000000e-01,2,5.000000e-01,2,113,1132,1
E,1,5.000000e-01,2,5.000000e-01,2,113,1141,1
E,1,5.000000e-01,2,5.000000e-01,2,113,1144,1
E,1,5.000000e-01,2,5.000000e-01,2,113,1147,1
E,1,5.000000e-01,2,5.000000e-01,2,113,1175,1
E,1,5.000000e-01,2,5.000000e-01,2,113,1219,1
