aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.830862e-01,1,8.830862e-01,1,18,254,0
E,1,1.169138e-01,1,8.830862e-01,1,7,369,1
E,1,8.830862e-01,1,8.830862e-01,1,18,885,0
E,1,1.169138e-01,1,8.830862e-01,1,7,981,1
E,1,8.830862e-01,1,8.830862e-01,1,18,990,0
E,1,8.830862e-01,1,8.830862e-01,1,18,994,0
E,1,8.830862e-01,1,8.830862e-01,1,18,1108,0
E,1,1.169138e-01,1,8.830862e-01,1,7,1125,1
E,1,8.830862e-01,1,8.830862e-01,1,18,1307,0
E,1,8.830862e-01,1,8.830862e-01,1,18,1470,0
E,1,8.830862e-01,1,8.830862e-01,1,18,1511,0
E,1,8.830862e-01,1,8.830862e-01,1,18,1530,0
E,1,8.830862e-01,1,8.830862e-01,1,18,1673,0
E,1,8.830862e-01,1,8.830862e-01,1,18,1731,0
E,1,1.169138e-01,1,8.830862e-01,1,7,1757,1
E,1,8.830862e-01,1,8.830862e-01,1,18,1770,0
E,1,8.830862e-01,1,8.830862e-01,1,18,1918,0
E,1,8.830862e-01,1,8.830862e-01,1,18,2126,0
E,1,8.830862e-01,1,8.830862e-01,1,18,2131,0
E,1,8.830862e-01,1,8.830862e-01,1,18,2243,0
E,1,8.830862e-01,1,8.830862e-01,1,18,2281,0
E,1,1.169138e-01,1,8.830862e-01,1,7,2296,1
E,1,1.169138e-01,1,8.830862e-01,1,7,2419,1
E,1,1.169138e-01,1,8.830862e-01,1,7,2462,1
E,1,8.830862e-01,1,8.830862e-01,1,18,2504,0
E,2,7.798412e-01,1,7.798412e-01,1,26,25,0
E,2,7.798412e-01,1,7.798412e-01,1,26,73,0
E,2,2.064899e-01,1,7.798412e-01,1,9,126,1
E,2,7.798412e-01,1,7.798412e-01,1,26,257,0
E,2,7.798412e-01,1,7.798412e-01,1,26,274,0
E,2,7.798412e-01,1,7.798412e-01,1,26,519,0
E,2,7.798412e-01,1,7.798412e-01,1,26,670,0
E,2,7.798412e-01,1,7.798412e-01,1,26,722,0
E,2,2.064899e-01,1,7.798412e-01,1,9,1028,1
E,2,7.798412e-01,1,7.798412e-01,1,26,1055,0
E,2,7.798412e-01,1,7.798412e-01,1,26,1086,0
E,2,7.798412e-01,1,7.798412e-01,1,26,1094,0
E,2,7.798412e-01,1,7.798412e-01,1,26,1124,0
E,2,7.798412e-01,1,7.798412e-01,1,26,1197,0
E,2,2.064899e-01,1,7.798412e-01,1,9,1218,1
E,2,2.064899e-01,1,7.798412e-01,1,9,1265,1
E,2,7.798412e-01,1,7.798412e-01,1,26,1290,0
E,2,2.064899e-01,1,7.798412e-01,1,9,1292,1
E,2,7.798412e-01,1,7.798412e-01,1,26,1437,0
E,2,7.798412e-01,1,7.798412e-01,1,26,1506,0
E,2,7.798412e-01,1,7.798412e-01,1,26,1579,0
E,2,7.798412e-01,1,7.798412e-01,1,26,1584,0
E,2,2.064899e-01,1,7.798412e-01,1,9,1738,1
E,2,7.798412e-01,1,7.798412e-01,1,26,1769,0
E,2,7.798412e-01,1,7.798412e-01,1,26,1811,0
E,2,1.366884e-02,1,7.798412e-01,1,2,1917,2
E,2,7.798412e-01,1,7.798412e-01,1,26,2094,0
E,2,2.064899e-01,1,7.798412e-01,1,9,2181,1
E,2,1.366884e-02,1,7.798412e-01,1,2,2182,2
E,2,7.798412e-01,1,7.798412e-01,1,26,2283,0
E,2,7.798412e-01,1,7.798412e-01,1,26,2297,0
E,2,7.798412e-01,1,7.798412e-01,1,26,2312,0
E,2,2.064899e-01,1,7.798412e-01,1,9,2337,1
E,2,7.798412e-01,1,7.798412e-01,1,26,2352,0
E,2,7.798412e-01,1,7.798412e-01,1,26,2388,0
E,2,2.064899e-01,1,7.798412e-01,1,9,2518,1
E,2,7.798412e-01,1,7.798412e-01,1,26,2560,0
E,3,2.735226e-01,1,6.886670e-01,1,14,43,1
E,3,2.735226e-01,1,6.886670e-01,1,14,44,1
E,3,6.886670e-01,1,6.886670e-01,1,24,46,0
E,3,6.886670e-01,1,6.886670e-01,1,24,61,0
E,3,2.735226e-01,1,6.886670e-01,1,14,62,1
E,3,6.886670e-01,1,6.886670e-01,1,24,72,0
E,3,6.886670e-01,1,6.886670e-01,1,24,279,0
E,3,6.886670e-01,1,6.886670e-01,1,24,286,0
E,3,2.735226e-01,1,6.886670e-01,1,14,376,1
E,3,2.735226e-01,1,6.886670e-01,1,14,377,1
E,3,2.735226e-01,1,6.886670e-01,1,14,475,1
E,3,6.886670e-01,1,6.886670e-01,1,24,484,0
E,3,6.886670e-01,1,6.886670e-01,1,24,565,0
E,3,6.886670e-01,1,6.886670e-01,1,24,590,0
E,3,6.886670e-01,1,6.886670e-01,1,24,731,0
E,3,2.735226e-01,1,6.886670e-01,1,14,839,1
E,3,6.886670e-01,1,6.886670e-01,1,24,882,0
E,3,3.621229e-02,1,6.886670e-01,1,3,942,2
E,3,6.886670e-01,1,6.886670e-01,1,24,1017,0
E,3,2.735226e-01,1,6.886670e-01,1,14,1167,1
E,3,2.735226e-01,1,6.886670e-01,1,14,1212,1
E,3,6.886670e-01,1,6.886670e-01,1,24,1339,0
E,3,3.621229e-02,1,6.886670e-01,1,3,1341,2
E,3,3.621229e-02,1,6.886670e-01,1,3,1424,2
E,3,6.886670e-01,1,6.886670e-01,1,24,1585,0
E,3,6.886670e-01,1,6.886670e-01,1,24,1687,0
E,3,6.886670e-01,1,6.886670e-01,1,24,1847,0
E,3,2.735226e-01,1,6.886670e-01,1,14,1891,1
E,3,2.735226e-01,1,6.886670e-01,1,14,1897,1
E,3,2.735226e-01,1,6.886670e-01,1,14,1963,1
E,3,6.886670e-01,1,6.886670e-01,1,24,2128,0
E,3,2.735226e-01,1,6.886670e-01,1,14,2140,1
E,3,6.886670e-01,1,6.886670e-01,1,24,2239,0
E,3,6.886670e-01,1,6.886670e-01,1,24,2338,0
E,3,6.886670e-01,1,6.886670e-01,1,24,2359,0
E,3,6.886670e-01,1,6.886670e-01,1,24,2387,0
E,3,2.735226e-01,1,6.886670e-01,1,14,2410,1
E,3,6.886670e-01,1,6.886670e-01,1,24,2411,0
E,3,6.886670e-01,1,6.886670e-01,1,24,2494,0
E,3,6.886670e-01,1,6.886670e-01,1,24,2519,0
E,3,6.886670e-01,1,6.886670e-01,1,24,2523,0
E,4,6.081523e-01,1,6.081523e-01,1,25,26,0
E,4,6.081523e-01,1,6.081523e-01,1,25,57,0
E,4,3.220587e-01,1,6.081523e-01,1,17,59,1
E,4,6.081523e-01,1,6.081523e-01,1,25,123,0
E,4,3.220587e-01,1,6.081523e-01,1,17,157,1
E,4,6.081523e-01,1,6.081523e-01,1,25,297,0
E,4,6.395714e-02,1,6.081523e-01,1,13,435,2
E,4,3.220587e-01,1,6.081523e-01,1,17,441,1
E,4,6.395714e-02,1,6.081523e-01,1,13,502,2
E,4,6.081523e-01,1,6.081523e-01,1,25,581,0
E,4,6.395714e-02,1,6.081523e-01,1,13,611,2
E,4,6.081523e-01,1,6.081523e-01,1,25,623,0
E,4,6.081523e-01,1,6.081523e-01,1,25,742,0
E,4,6.081523e-01,1,6.081523e-01,1,25,745,0
E,4,6.081523e-01,1,6.081523e-01,1,25,748,0
E,4,3.220587e-01,1,6.081523e-01,1,17,814,1
E,4,3.220587e-01,1,6.081523e-01,1,17,832,1
E,4,3.220587e-01,1,6.081523e-01,1,17,1024,1
E,4,6.395714e-02,1,6.081523e-01,1,13,1084,2
E,4,3.220587e-01,1,6.081523e-01,1,17,1137,1
E,4,6.081523e-01,1,6.081523e-01,1,25,1154,0
E,4,6.081523e-01,1,6.081523e-01,1,25,1184,0
E,4,3.220587e-01,1,6.081523e-01,1,17,1241,1
E,4,6.081523e-01,1,6.081523e-01,1,25,1264,0
E,4,3.220587e-01,1,6.081523e-01,1,17,1312,1
E,4,6.395714e-02,1,6.081523e-01,1,13,1342,2
E,4,6.081523e-01,1,6.081523e-01,1,25,1363,0
E,4,6.081523e-01,1,6.081523e-01,1,25,1368,0
E,4,6.395714e-02,1,6.081523e-01,1,13,1372,2
E,4,6.395714e-02,1,6.081523e-01,1,13,1399,2
E,4,3.220587e-01,1,6.081523e-01,1,17,1436,1
E,4,6.395714e-02,1,6.081523e-01,1,13,1583,2
E,4,6.081523e-01,1,6.081523e-01,1,25,1602,0
E,4,6.395714e-02,1,6.081523e-01,1,13,1704,2
E,4,6.081523e-01,1,6.081523e-01,1,25,1797,0
E,4,3.220587e-01,1,6.081523e-01,1,17,1808,1
E,4,6.395714e-02,1,6.081523e-01,1,13,1860,2
E,4,6.395714e-02,1,6.081523e-01,1,13,1862,2
E,4,3.220587e-01,1,6.081523e-01,1,17,1960,1
E,4,6.081523e-01,1,6.081523e-01,1,25,1978,0
E,4,6.081523e-01,1,6.081523e-01,1,25,2015,0
E,4,3.220587e-01,1,6.081523e-01,1,17,2021,1
E,4,6.081523e-01,1,6.081523e-01,1,25,2037,0
E,4,6.081523e-01,1,6.081523e-01,1,25,2081,0
E,4,6.395714e-02,1,6.081523e-01,1,13,2138,2
E,4,6.081523e-01,1,6.081523e-01,1,25,2177,0
E,4,3.220587e-01,1,6.081523e-01,1,17,2192,1
E,4,3.220587e-01,1,6.081523e-01,1,17,2194,1
E,4,6.395714e-02,1,6.081523e-01,1,13,2211,2
E,4,6.081523e-01,1,6.081523e-01,1,25,2223,0
E,4,3.220587e-01,1,6.081523e-01,1,17,2224,1
E,4,6.081523e-01,1,6.081523e-01,1,25,2294,0
E,4,6.081523e-01,1,6.081523e-01,1,25,2449,0
E,4,6.081523e-01,1,6.081523e-01,1,25,2530,0
E,4,3.220587e-01,1,6.081523e-01,1,17,2545,1
E,5,5.370509e-01,1,5.370509e-01,1,34,158,0
E,5,5.370509e-01,1,5.370509e-01,1,34,188,0
E,5,9.413278e-02,1,5.370509e-01,1,7,193,2
E,5,5.370509e-01,1,5.370509e-01,1,34,242,0
E,5,1.246245e-02,1,5.370509e-01,1,2,436,3
E,5,5.370509e-01,1,5.370509e-01,1,34,508,0
E,5,5.370509e-01,1,5.370509e-01,1,34,509,0
E,5,5.370509e-01,1,5.370509e-01,1,34,618,0
E,5,9.413278e-02,1,5.370509e-01,1,7,627,2
E,5,5.370509e-01,1,5.370509e-01,1,34,652,0
E,5,5.370509e-01,1,5.370509e-01,1,34,664,0
E,5,5.370509e-01,1,5.370509e-01,1,34,690,0
E,5,5.370509e-01,1,5.370509e-01,1,34,728,0
E,5,3.555070e-01,1,5.370509e-01,1,14,971,1
E,5,3.555070e-01,1,5.370509e-01,1,14,1119,1
E,5,3.555070e-01,1,5.370509e-01,1,14,1190,1
