aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,1.797530e-01,1,8.202470e-01,1,5,53,1
E,1,1.797530e-01,1,8.202470e-01,1,5,72,1
E,1,1.797530e-01,1,8.202470e-01,1,5,217,1
E,1,8.202470e-01,1,8.202470e-01,1,15,230,1
E,1,1.797530e-01,1,8.202470e-01,1,5,252,1
E,1,8.202470e-01,1,8.202470e-01,1,15,361,1
E,1,8.202470e-01,1,8.202470e-01,1,15,451,1
E,1,8.202470e-01,1,8.202470e-01,1,15,588,1
E,1,8.202470e-01,1,8.202470e-01,1,15,633,1
E,1,8.202470e-01,1,8.202470e-01,1,15,722,1
E,1,8.202470e-01,1,8.202470e-01,1,15,723,1
E,1,8.202470e-01,1,8.202470e-01,1,15,900,1
E,1,8.202470e-01,1,8.202470e-01,1,15,1096,1
E,1,8.202470e-01,1,8.202470e-01,1,15,1151,1
E,1,1.797530e-01,1,8.202470e-01,1,5,1161,1
E,1,8.202470e-01,1,8.202470e-01,1,15,1175,1
E,1,8.202470e-01,1,8.202470e-01,1,15,1417,1
E,1,8.202470e-01,1,8.202470e-01,1,15,1712,1
E,1,8.202470e-01,1,8.202470e-01,1,15,2173,1
E,1,8.202470e-01,1,8.202470e-01,1,15,2425,1
E,2,3.231113e-02,1,6.728052e-01,1,2,32,2
E,2,6.728052e-01,1,6.728052e-01,1,18,56,2
E,2,2.948837e-01,1,6.728052e-01,1,7,403,2
E,2,6.728052e-01,1,6.728052e-01,1,18,491,2
E,2,6.728052e-01,1,6.728052e-01,1,18,755,2
E,2,6.728052e-01,1,6.728052e-01,1,18,840,2
E,2,6.728052e-01,1,6.728052e-01,1,18,930,2
E,2,6.728052e-01,1,6.728052e-01,1,18,948,2
E,2,2.948837e-01,1,6.728052e-01,1,7,1057,2
E,2,6.728052e-01,1,6.728052e-01,1,18,1198,2
E,2,6.728052e-01,1,6.728052e-01,1,18,1222,2
E,2,2.948837e-01,1,6.728052e-01,1,7,1223,2
E,2,6.728052e-01,1,6.728052e-01,1,18,1486,2
E,2,6.728052e-01,1,6.728052e-01,1,18,1512,2
E,2,6.728052e-01,1,6.728052e-01,1,18,1517,2
E,2,3.231113e-02,1,6.728052e-01,1,2,1650,2
E,2,6.728052e-01,1,6.728052e-01,1,18,1696,2
E,2,6.728052e-01,1,6.728052e-01,1,18,1798,2
E,2,6.728052e-01,1,6.728052e-01,1,18,1839,2
E,2,2.948837e-01,1,6.728052e-01,1,7,2175,2
E,2,2.948837e-01,1,6.728052e-01,1,7,2324,2
E,2,6.728052e-01,1,6.728052e-01,1,18,2421,2
E,2,6.728052e-01,1,6.728052e-01,1,18,2460,2
E,2,6.728052e-01,1,6.728052e-01,1,18,2495,2
E,2,2.948837e-01,1,6.728052e-01,1,7,2547,2
E,2,2.948837e-01,1,6.728052e-01,1,7,2659,2
