aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,15,141,0
E,1,5.000000e-01,2,5.000000e-01,2,15,171,0
E,1,5.000000e-01,2,5.000000e-01,2,15,198,1
E,1,5.000000e-01,2,5.000000e-01,2,15,280,1
E,1,5.000000e-01,2,5.000000e-01,2,15,470,1
E,1,5.000000e-01,2,5.000000e-01,2,15,495,1
E,1,5.000000e-01,2,5.000000e-01,2,15,545,0
E,1,5.000000e-01,2,5.000000e-01,2,15,768,1
E,1,5.000000e-01,2,5.000000e-01,2,15,926,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1084,0
E,1,5.000000e-01,2,5.000000e-01,2,15,1169,0
E,1,5.000000e-01,2,5.000000e-01,2,15,1223,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1318,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1691,1
E,1,5.000000e-01,2,5.000000e-01,2,15,1705,1
E,2,5.000000e-01,1,5.000000e-01,1,7,269,1
E,2,2.500000e-01,2,5.000000e-01,1,8,425,2
E,2,5.000000e-01,1,5.000000e-01,1,7,468,1
E,2,5.000000e-01,1,5.000000e-01,1,7,553,1
E,2,2.500000e-01,2,5.000000e-01,1,8,565,2
E,2,2.500000e-01,2,5.000000e-01,1,8,716,2
E,2,5.000000e-01,1,5.000000e-01,1,7,753,1
E,2,5.000000e-01,1,5.000000e-01,1,7,796,1
E,2,2.500000e-01,2,5.000000e-01,1,8,1030,2
E,2,5.000000e-01,1,5.000000e-01,1,7,1206,1
E,2,2.500000e-01,2,5.000000e-01,1,8,1252,2
E,2,2.500000e-01,2,5.000000e-01,1,8,1508,2
E,2,2.500000e-01,2,5.000000e-01,1,8,1586,2
E,2,2.500000e-01,2,5.000000e-01,1,8,1738,2
E,2,5.000000e-01,1,5.000000e-01,1,7,1801,1
E,3,1.250000e-01,2,3.750000e-01,2,9,68,3
E,3,3.750000e-01,2,3.750000e-01,2,8,109,2
E,3,1.250000e-01,2,3.750000e-01,2,9,131,3
E,3,1.250000e-01,2,3.750000e-01,2,9,334,3
E,3,3.750000e-01,2,3.750000e-01,2,8,363,2
E,3,1.250000e-01,2,3.750000e-01,2,9,371,3
E,3,3.750000e-01,2,3.750000e-01,2,8,698,2
E,3,1.250000e-01,2,3.750000e-01,2,9,769,3
E,3,3.750000e-01,2,3.750000e-01,2,8,959,2
E,3,1.250000e-01,2,3.750000e-01,2,9,1052,3
E,3,3.750000e-01,2,3.750000e-01,2,8,1170,2
E,3,1.250000e-01,2,3.750000e-01,2,9,1350,3
E,3,3.750000e-01,2,3.750000e-01,2,8,1415,2
E,3,3.750000e-01,2,3.750000e-01,2,8,1485,2
E,3,3.750000e-01,2,3.750000e-01,2,8,1580,2
E,3,1.250000e-01,2,3.750000e-01,2,9,1687,3
E,3,1.250000e-01,2,3.750000e-01,2,9,1783,3
E,4,2.500000e-01,2,3.750000e-01,1,12,8,3
E,4,3.750000e-01,1,3.750000e-01,1,11,9,2
E,4,2.500000e-01,2,3.750000e-01,1,12,161,3
E,4,3.750000e-01,1,3.750000e-01,1,11,251,2
E,4,6.250000e-02,2,3.750000e-01,1,4,300,4
E,4,3.750000e-01,1,3.750000e-01,1,11,319,2
E,4,3.750000e-01,1,3.750000e-01,1,11,382,2
E,4,2.500000e-01,2,3.750000e-01,1,12,498,3
E,4,3.750000e-01,1,3.750000e-01,1,11,649,2
E,4,3.750000e-01,1,3.750000e-01,1,11,667,2
E,4,2.500000e-01,2,3.750000e-01,1,12,706,3
E,4,2.500000e-01,2,3.750000e-01,1,12,735,3
E,4,6.250000e-02,2,3.750000e-01,1,4,907,4
E,4,6.250000e-02,2,3.750000e-01,1,4,1188,4
E,4,6.250000e-02,2,3.750000e-01,1,4,1247,4
E,4,2.500000e-01,2,3.750000e-01,1,12,1291,1
E,4,3.750000e-01,1,3.750000e-01,1,11,1371,2
E,4,2.500000e-01,2,3.750000e-01,1,12,1524,1
E,4,3.750000e-01,1,3.750000e-01,1,11,1570,2
E,4,2.500000e-01,2,3.750000e-01,1,12,1587,3
E,4,2.500000e-01,2,3.750000e-01,1,12,1589,1
E,4,3.750000e-01,1,3.750000e-01,1,11,1624,2
