aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,1.563411e-01,1,8.436589e-01,1,3,45,1
E,1,8.436589e-01,1,8.436589e-01,1,28,66,0
E,1,8.436589e-01,1,8.436589e-01,1,28,267,0
E,1,8.436589e-01,1,8.436589e-01,1,28,291,0
E,1,1.563411e-01,1,8.436589e-01,1,3,394,1
E,1,8.436589e-01,1,8.436589e-01,1,28,534,0
E,1,8.436589e-01,1,8.436589e-01,1,28,626,0
E,1,8.436589e-01,1,8.436589e-01,1,28,816,0
E,1,8.436589e-01,1,8.436589e-01,1,28,896,0
E,1,8.436589e-01,1,8.436589e-01,1,28,928,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1060,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1141,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1150,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1222,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1234,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1277,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1296,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1307,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1396,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1496,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1522,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1574,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1754,0
E,1,1.563411e-01,1,8.436589e-01,1,3,1759,1
E,1,8.436589e-01,1,8.436589e-01,1,28,1762,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1777,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1803,0
E,1,8.436589e-01,1,8.436589e-01,1,28,1868,0
E,1,8.436589e-01,1,8.436589e-01,1,28,2152,0
E,1,8.436589e-01,1,8.436589e-01,1,28,2183,0
E,1,8.436589e-01,1,8.436589e-01,1,28,2225,0
E,2,2.637972e-01,1,7.117603e-01,1,10,11,1
E,2,7.117603e-01,1,7.117603e-01,1,32,12,0
E,2,7.117603e-01,1,7.117603e-01,1,32,71,0
E,2,2.637972e-01,1,7.117603e-01,1,10,98,1
E,2,7.117603e-01,1,7.117603e-01,1,32,159,0
E,2,2.637972e-01,1,7.117603e-01,1,10,162,1
E,2,7.117603e-01,1,7.117603e-01,1,32,205,0
E,2,7.117603e-01,1,7.117603e-01,1,32,350,0
