aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,21,97,1
E,1,5.000000e-01,2,5.000000e-01,2,21,121,1
E,1,5.000000e-01,2,5.000000e-01,2,21,122,1
E,1,5.000000e-01,2,5.000000e-01,2,21,162,1
E,1,5.000000e-01,2,5.000000e-01,2,21,340,1
E,1,5.000000e-01,2,5.000000e-01,2,21,429,0
E,1,5.000000e-01,2,5.000000e-01,2,21,626,0
E,1,5.000000e-01,2,5.000000e-01,2,21,680,1
E,1,5.000000e-01,2,5.000000e-01,2,21,714,0
E,1,5.000000e-01,2,5.000000e-01,2,21,953,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1094,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1306,1
E,1,5.000000e-01,2,5.000000e-01,2,21,1436,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1591,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1639,1
E,1,5.000000e-01,2,5.000000e-01,2,21,1819,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1827,0
E,1,5.000000e-01,2,5.000000e-01,2,21,2457,0
E,1,5.000000e-01,2,5.000000e-01,2,21,2772,1
E,1,5.000000e-01,2,5.000000e-01,2,21,2786,0
E,1,5.000000e-01,2,5.000000e-01,2,21,2831,0
E,2,2.500000e-01,2,5.000000e-01,1,15,64,2
E,2,5.000000e-01,1,5.000000e-01,1,9,149,1
E,2,2.500000e-01,2,5.000000e-01,1,15,305,0
E,2,2.500000e-01,2,5.000000e-01,1,15,306,0
E,2,2.500000e-01,2,5.000000e-01,1,15,346,0
E,2,5.000000e-01,1,5.000000e-01,1,9,397,1
E,2,2.500000e-01,2,5.000000e-01,1,15,486,0
E,2,2.500000e-01,2,5.000000e-01,1,15,529,2
E,2,5.000000e-01,1,5.000000e-01,1,9,611,1
E,2,5.000000e-01,1,5.000000e-01,1,9,625,1
E,2,5.000000e-01,1,5.000000e-01,1,9,954,1
E,2,2.500000e-01,2,5.000000e-01,1,15,955,2
E,2,2.500000e-01,2,5.000000e-01,1,15,1036,0
