aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,32,9,0
E,1,5.000000e-01,2,5.000000e-01,2,32,10,0
E,1,5.000000e-01,2,5.000000e-01,2,32,82,0
E,1,5.000000e-01,2,5.000000e-01,2,32,138,0
E,1,5.000000e-01,2,5.000000e-01,2,32,170,0
E,1,5.000000e-01,2,5.000000e-01,2,32,184,0
E,1,5.000000e-01,2,5.000000e-01,2,32,206,0
E,1,5.000000e-01,2,5.000000e-01,2,32,319,0
E,1,5.000000e-01,2,5.000000e-01,2,32,328,0
E,1,5.000000e-01,2,5.000000e-01,2,32,408,0
E,1,5.000000e-01,2,5.000000e-01,2,32,483,0
E,1,5.000000e-01,2,5.000000e-01,2,32,487,0
E,1,5.000000e-01,2,5.000000e-01,2,32,630,0
E,1,5.000000e-01,2,5.000000e-01,2,32,701,0
E,1,5.000000e-01,2,5.000000e-01,2,32,751,0
E,1,5.000000e-01,2,5.000000e-01,2,32,758,0
E,1,5.000000e-01,2,5.000000e-01,2,32,775,0
E,1,5.000000e-01,2,5.000000e-01,2,32,881,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1307,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1506,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1591,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1669,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1701,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1830,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1858,0
E,1,5.000000e-01,2,5.000000e-01,2,32,1997,0
E,1,5.000000e-01,2,5.000000e-01,2,32,2021,0
E,1,5.000000e-01,2,5.000000e-01,2,32,2085,0
E,1,5.000000e-01,2,5.000000e-01,2,32,2262,0
E,1,5.000000e-01,2,5.000000e-01,2,32,2310,0
E,1,5.000000e-01,2,5.000000e-01,2,32,2325,0
E,1,5.000000e-01,2,5.000000e-01,2,32,2473,0
E,2,2.500000e-01,2,5.000000e-01,1,31,17,0
E,2,5.000000e-01,1,5.000000e-01,1,20,28,0
E,2,2.500000e-01,2,5.000000e-01,1,31,38,0
E,2,5.000000e-01,1,5.000000e-01,1,20,42,0
E,2,2.500000e-01,2,5.000000e-01,1,31,54,0
E,2,2.500000e-01,2,5.000000e-01,1,31,75,0
E,2,2.500000e-01,2,5.000000e-01,1,31,207,0
E,2,5.000000e-01,1,5.000000e-01,1,20,209,0
