aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,37,96,0
E,1,5.000000e-01,2,5.000000e-01,2,37,99,0
E,1,5.000000e-01,2,5.000000e-01,2,37,717,0
E,1,5.000000e-01,2,5.000000e-01,2,37,739,0
E,1,5.000000e-01,2,5.000000e-01,2,37,946,0
E,1,5.000000e-01,2,5.000000e-01,2,37,973,0
E,1,5.000000e-01,2,5.000000e-01,2,37,1075,1
E,1,5.000000e-01,2,5.000000e-01,2,37,1188,0
E,1,5.000000e-01,2,5.000000e-01,2,37,1389,1
E,1,5.000000e-01,2,5.000000e-01,2,37,1430,0
E,1,5.000000e-01,2,5.000000e-01,2,37,1453,1
E,1,5.000000e-01,2,5.000000e-01,2,37,1465,0
E,1,5.000000e-01,2,5.000000e-01,2,37,1607,0
E,1,5.000000e-01,2,5.000000e-01,2,37,1652,0
E,1,5.000000e-01,2,5.000000e-01,2,37,1793,0
E,1,5.000000e-01,2,5.000000e-01,2,37,1822,0
E,1,5.000000e-01,2,5.000000e-01,2,37,1966,1
E,1,5.000000e-01,2,5.000000e-01,2,37,2012,1
E,1,5.000000e-01,2,5.000000e-01,2,37,2128,0
E,1,5.000000e-01,2,5.000000e-01,2,37,2229,0
E,1,5.000000e-01,2,5.000000e-01,2,37,2321,0
E,1,5.000000e-01,2,5.000000e-01,2,37,2459,1
E,1,5.000000e-01,2,5.000000e-01,2,37,2563,0
E,1,5.000000e-01,2,5.000000e-01,2,37,2617,0
E,1,5.000000e-01,2,5.000000e-01,2,37,2708,0
E,1,5.000000e-01,2,5.000000e-01,2,37,2942,0
E,1,5.000000e-01,2,5.000000e-01,2,37,3223,1
E,1,5.000000e-01,2,5.000000e-01,2,37,3287,1
E,1,5.000000e-01,2,5.000000e-01,2,37,3294,0
E,1,5.000000e-01,2,5.000000e-01,2,37,3394,1
E,1,5.000000e-01,2,5.000000e-01,2,37,3414,1
E,1,5.000000e-01,2,5.000000e-01,2,37,3502,0
E,1,5.000000e-01,2,5.000000e-01,2,37,3525,1
E,1,5.000000e-01,2,5.000000e-01,2,37,3556,0
E,1,5.000000e-01,2,5.000000e-01,2,37,3677,1
E,1,5.000000e-01,2,5.000000e-01,2,37,4071,0
E,1,5.000000e-01,2,5.000000e-01,2,37,4118,1
E,2,2.500000e-01,2,5.000000e-01,1,39,11,2
E,2,2.500000e-01,2,5.000000e-01,1,39,74,0
E,2,2.500000e-01,2,5.000000e-01,1,39,143,0
E,2,5.000000e-01,1,5.000000e-01,1,25,244,1
